ticker,action,confidence,mfpm_score,mode_w_score,sms_raw,sms_label,signal_mode,close,entry,sl,tp1,rr,amf_decision,best_pattern,hmm_state,stealth_accum
TN1,WATCH,LOW,75,54,39,RETAIL_DRIVEN,MODE_A,16.5,0.0,0.0,0.0,0.0,PASS,VCP,TRANSITIONAL,False
CLC,WATCH,LOW,65,40,40,RETAIL_DRIVEN,MODE_A,57.3,100.0,100.0,100.0,0.0,PASS,NONE,TRANSITIONAL,False
CRE,WATCH,LOW,65,66,51,MIXED,MODE_B,7.97,0.0,0.0,0.0,0.0,PASS,VCP,TRANSITIONAL,False
SAF,WATCH,LOW,65,47,32,RETAIL_DRIVEN,MODE_A,54.0,54.0,100.0,100.0,1.0,PASS,VCP,TRANSITIONAL,False
SVI,WATCH,LOW,65,50,50,RETAIL_DRIVEN,MODE_A,37.2,0.0,0.0,0.0,0.0,PASS,NONE,TRANSITIONAL,False
AAV,WATCH,LOW,60,50,50,RETAIL_DRIVEN,MODE_B,8.4,0.0,0.0,0.0,0.0,PASS,NONE,TRANSITIONAL,False
GLT,WATCH,LOW,60,39,39,MIXED,MODE_A,29.9,0.0,0.0,0.0,0.0,PASS,NONE,TRANSITIONAL,False
HJS,WATCH,LOW,60,26,26,WHALE_DISTRIBUTING,MODE_A,27.5,27.5,0.0,0.0,1.0,PASS,NONE,TRANSITIONAL,False
SAV,WATCH,LOW,60,28,28,WHALE_DISTRIBUTING,MODE_A,13.5,0.0,0.0,0.0,0.0,PASS,NONE,TRANSITIONAL,False
DAT,WATCH,LOW,58,32,24,WHALE_DISTRIBUTING,MODE_A,8.38,8.38,0.0,0.0,1.0,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
EIB,WATCH,LOW,58,54,46,RETAIL_DRIVEN,MODE_B,23.6,0.0,0.0,0.0,0.0,PASS,RSI_DIV_BULLISH,TRANSITIONAL,False
HTN,WATCH,LOW,58,58,50,RETAIL_DRIVEN,MODE_B,7.4,0.0,0.0,0.0,0.0,PASS,RSI_DIV_BULLISH,STEADY_BEAR,False
PET,WATCH,LOW,58,50,35,RETAIL_DRIVEN,MODE_B,50.7,0.0,0.0,0.0,0.0,PASS,VCP,TRANSITIONAL,False
HID,WATCH,LOW,55,50,50,RETAIL_DRIVEN,MODE_B,5.72,0.0,0.0,0.0,0.0,WARN,NONE,TRANSITIONAL,False
