date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9233,9233,9214,9233,380,KBS
2020-01-03 07:00:00,9233,9273,9114,9154,2870,KBS
2020-01-06 07:00:00,9194,9194,8756,9054,4900,KBS
2020-01-07 07:00:00,8955,8995,8955,8995,880,KBS
2020-01-08 07:00:00,9273,9273,8835,8915,2100,KBS
2020-01-09 07:00:00,8955,8995,8875,8875,410,KBS
2020-01-10 07:00:00,8995,8995,8756,8995,4110,KBS
2020-01-13 07:00:00,9054,9054,8995,8995,210,KBS
2020-01-14 07:00:00,8617,8915,8597,8915,410,KBS
2020-01-15 07:00:00,8915,8915,8358,8358,18090,KBS
2020-01-16 07:00:00,8437,8557,8358,8437,33680,KBS
2020-01-17 07:00:00,8517,8776,8358,8437,18940,KBS
2020-01-20 07:00:00,8358,8477,8358,8477,6930,KBS
2020-01-21 07:00:00,8557,8736,8437,8736,2690,KBS
2020-01-22 07:00:00,8736,9114,8557,9114,4040,KBS
2020-01-30 07:00:00,9154,9154,8955,8955,1120,KBS
2020-01-31 07:00:00,8358,9293,8358,8955,9040,KBS
2020-02-03 07:00:00,8457,8457,8338,8338,13760,KBS
2020-02-04 07:00:00,8338,8557,8000,8000,1600,KBS
2020-02-05 07:00:00,8358,8358,7960,8358,2100,KBS
2020-02-06 07:00:00,8358,8517,8318,8437,21910,KBS
2020-02-07 07:00:00,8557,8696,8437,8676,29540,KBS
2020-02-10 07:00:00,8676,8676,8358,8557,9660,KBS
2020-02-11 07:00:00,8756,8756,8398,8557,1850,KBS
2020-02-12 07:00:00,8617,8636,8358,8517,32830,KBS
2020-02-13 07:00:00,8517,8537,8358,8537,24690,KBS
2020-02-14 07:00:00,8557,8557,8358,8517,10730,KBS
2020-02-17 07:00:00,8517,8517,8358,8477,39900,KBS
2020-02-18 07:00:00,8477,8477,8318,8398,3010,KBS
2020-02-19 07:00:00,7980,8517,7980,8517,3960,KBS
2020-02-20 07:00:00,8617,8617,8378,8477,11100,KBS
2020-02-21 07:00:00,8477,8477,8358,8477,24650,KBS
2020-02-24 07:00:00,8358,8358,7960,8179,57920,KBS
