date,open,high,low,close,volume,_source
2020-01-09 07:00:00,7354,7354,7354,7354,600,KBS
2020-01-15 07:00:00,7354,7354,7354,7354,100,KBS
2020-01-16 07:00:00,7762,7762,7762,7762,400,KBS
2020-02-10 07:00:00,7762,7762,7762,7762,2000,KBS
2020-02-11 07:00:00,7762,7762,7762,7762,500,KBS
2020-02-13 07:00:00,7762,7762,7762,7762,2000,KBS
2020-02-14 07:00:00,7558,7558,7558,7558,1700,KBS
2020-02-18 07:00:00,7558,7558,7558,7558,3500,KBS
2020-02-24 07:00:00,7394,7394,7394,7394,2600,KBS
2020-03-06 07:00:00,7394,7394,7394,7394,4000,KBS
2020-03-18 07:00:00,7313,7313,7272,7272,7400,KBS
2020-03-19 07:00:00,7272,7272,7149,7149,3300,KBS
2020-04-06 07:00:00,7313,7313,7313,7313,10000,KBS
2020-04-09 07:00:00,7313,7313,7313,7313,1400,KBS
2020-04-15 07:00:00,7354,7354,7354,7354,300,KBS
2020-04-27 07:00:00,7354,7354,7354,7354,300,KBS
2020-05-08 07:00:00,7354,7885,7354,7885,500,KBS
2020-05-22 07:00:00,7394,7394,7394,7394,100,KBS
2020-05-28 07:00:00,7844,7844,7844,7844,1100,KBS
2020-06-05 07:00:00,7762,7762,7762,7762,1500,KBS
2020-06-12 07:00:00,7435,7476,7435,7476,1800,KBS
2020-06-16 07:00:00,7762,7762,7762,7762,2500,KBS
2020-06-17 07:00:00,7926,7926,7926,7926,100,KBS
2020-06-19 07:00:00,7966,7966,7966,7966,900,KBS
2020-06-22 07:00:00,7966,7966,7966,7966,2500,KBS
2020-06-23 07:00:00,7966,8171,7966,8171,2300,KBS
2020-06-24 07:00:00,8171,8171,8171,8171,1100,KBS
2020-06-25 07:00:00,8171,8171,8171,8171,100,KBS
2020-06-26 07:00:00,8171,8171,8089,8089,200,KBS
2020-07-02 07:00:00,8089,8089,8089,8089,300,KBS
2020-07-03 07:00:00,8130,8130,8130,8130,300,KBS
2020-07-06 07:00:00,8130,8130,8130,8130,1000,KBS
2020-07-07 07:00:00,8089,8089,8089,8089,900,KBS
2020-07-08 07:00:00,8089,8538,8089,8538,1900,KBS
2020-07-09 07:00:00,8538,8538,8538,8538,700,KBS
2020-07-13 07:00:00,8538,8538,8171,8171,3200,KBS
2020-07-14 07:00:00,8171,8171,8171,8171,300,KBS
2020-07-16 07:00:00,8171,8171,8171,8171,200,KBS
2020-07-17 07:00:00,8171,8171,8171,8171,400,KBS
2020-07-20 07:00:00,7944,7944,7944,7944,700,KBS
2020-07-21 07:00:00,7898,7898,7898,7898,1900,KBS
2020-07-22 07:00:00,7853,7853,7853,7853,100,KBS
2020-07-23 07:00:00,7853,7853,7853,7853,200,KBS
2020-07-24 07:00:00,7853,7853,7853,7853,500,KBS
2020-07-27 07:00:00,7853,7853,7853,7853,1200,KBS
2020-07-30 07:00:00,7853,7853,7853,7853,200,KBS
2020-08-04 07:00:00,7853,7853,7853,7853,400,KBS
2020-08-13 07:00:00,7853,7853,7853,7853,400,KBS
2020-08-26 07:00:00,7898,7898,7898,7898,100,KBS
2020-09-16 07:00:00,7944,7944,7944,7944,700,KBS
2020-09-18 07:00:00,7717,7717,7354,7490,3000,KBS
2020-09-25 07:00:00,7717,7717,7717,7717,200,KBS
2020-10-09 07:00:00,7717,7717,7717,7717,2000,KBS
2020-10-13 07:00:00,7354,7490,7354,7399,1500,KBS
2020-10-19 07:00:00,7490,7490,7444,7490,2200,KBS
2020-10-23 07:00:00,7444,7444,7444,7444,600,KBS
2020-10-29 07:00:00,7490,7490,7490,7490,400,KBS
2020-10-30 07:00:00,7490,7490,7490,7490,3900,KBS
2020-11-17 07:00:00,7444,7444,7444,7444,200,KBS
2020-11-30 07:00:00,7444,7444,7444,7444,100,KBS
2020-12-01 07:00:00,7444,7444,7444,7444,100,KBS
2020-12-04 07:00:00,8171,8171,8171,8171,100,KBS
2020-12-09 07:00:00,8625,8625,8625,8625,100,KBS
2020-12-15 07:00:00,8942,8942,8942,8942,100,KBS
2020-12-22 07:00:00,8852,8852,8761,8761,300,KBS
2020-12-29 07:00:00,8761,8761,8761,8761,1200,KBS
2020-12-30 07:00:00,8942,8942,8942,8942,400,KBS
2021-01-05 07:00:00,8852,8852,8080,8080,500,KBS
2021-01-06 07:00:00,8715,8715,8715,8715,100,KBS
2021-01-08 07:00:00,7944,7944,7944,7944,200,KBS
2021-01-13 07:00:00,7944,7944,7444,7444,200,KBS
2021-01-14 07:00:00,7535,7535,7490,7490,300,KBS
2021-01-15 07:00:00,8216,8216,8216,8216,100,KBS
2021-01-18 07:00:00,8352,8398,8352,8398,1100,KBS
2021-01-20 07:00:00,7581,7581,7581,7581,3100,KBS
2021-01-21 07:00:00,8216,8307,8216,8307,400,KBS
2021-01-25 07:00:00,8307,8307,8307,8307,500,KBS
2021-01-27 07:00:00,8307,8307,8307,8307,100,KBS
2021-01-28 07:00:00,7535,7535,7535,7535,100,KBS
2021-01-29 07:00:00,7944,7944,7944,7944,500,KBS
2021-02-02 07:00:00,7490,7490,7490,7490,100,KBS
2021-02-04 07:00:00,7944,8080,7944,8080,2000,KBS
2021-02-09 07:00:00,7535,7535,7535,7535,300,KBS
2021-02-17 07:00:00,8125,8125,8125,8125,100,KBS
2021-02-18 07:00:00,8080,8080,8080,8080,800,KBS
2021-02-23 07:00:00,8080,8080,8080,8080,200,KBS
2021-02-24 07:00:00,8579,8579,8171,8171,3200,KBS
2021-02-26 07:00:00,8852,8988,8852,8988,6900,KBS
2021-03-03 07:00:00,8988,8988,8988,8988,1000,KBS
2021-03-05 07:00:00,9078,9078,9078,9078,300,KBS
2021-03-09 07:00:00,9078,9078,9078,9078,1000,KBS
2021-03-12 07:00:00,9078,9986,9078,9986,6300,KBS
2021-03-15 07:00:00,9986,10440,9986,10440,2000,KBS
2021-03-22 07:00:00,10440,10440,10440,10440,200,KBS
2021-03-31 07:00:00,10440,10940,10440,10940,200,KBS
2021-04-12 07:00:00,10758,10758,10758,10758,600,KBS
2021-04-13 07:00:00,10440,10440,10440,10440,1900,KBS
2021-04-15 07:00:00,10213,10894,10213,10894,1400,KBS
2021-04-20 07:00:00,10849,10849,10849,10849,100,KBS
2021-04-29 07:00:00,9805,9805,9805,9805,300,KBS
2021-05-06 07:00:00,10123,10123,10123,10123,100,KBS
2021-05-12 07:00:00,10077,10077,10077,10077,100,KBS
2021-05-14 07:00:00,9532,9532,9532,9532,100,KBS
2021-05-17 07:00:00,9305,9305,9305,9305,300,KBS
2021-05-19 07:00:00,9305,9305,9305,9305,200,KBS
2021-05-21 07:00:00,8398,8398,8398,8398,100,KBS
2021-05-26 07:00:00,8398,8398,8398,8398,300,KBS
2021-05-28 07:00:00,7762,7762,7762,7762,100,KBS
2021-06-01 07:00:00,8534,8534,8534,8534,1200,KBS
2021-06-02 07:00:00,9124,9351,9124,9351,12400,KBS
2021-06-03 07:00:00,9714,10259,9714,10259,1900,KBS
2021-06-04 07:00:00,10259,10259,9487,9759,1500,KBS
2021-06-08 07:00:00,9078,9078,9078,9078,200,KBS
2021-06-09 07:00:00,8171,8216,8171,8171,300,KBS
2021-06-10 07:00:00,8988,8988,8988,8988,100,KBS
2021-06-11 07:00:00,9532,9850,9532,9850,1700,KBS
2021-06-14 07:00:00,10622,10667,9896,10667,11100,KBS
2021-06-15 07:00:00,10713,10713,10667,10667,3300,KBS
2021-06-16 07:00:00,10667,10667,10667,10667,2000,KBS
2021-06-17 07:00:00,10667,11348,10667,10667,4700,KBS
2021-06-18 07:00:00,10667,11303,10667,10803,6200,KBS
2021-06-21 07:00:00,10853,11249,9911,11249,4300,KBS
2021-06-22 07:00:00,11299,11299,10209,10308,3400,KBS
2021-06-23 07:00:00,10902,10902,10110,10110,2000,KBS
2021-06-24 07:00:00,10159,10159,10159,10159,500,KBS
2021-06-25 07:00:00,10110,10110,10010,10060,1600,KBS
