date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2010,2090,1980,2090,2572810,KBS
2020-01-03 07:00:00,2190,2230,2100,2100,5307180,KBS
2020-01-06 07:00:00,2070,2120,1980,2000,3058510,KBS
2020-01-07 07:00:00,2020,2140,1990,2110,1898670,KBS
2020-01-08 07:00:00,2080,2080,1970,1970,3545750,KBS
2020-01-09 07:00:00,2030,2050,1950,1950,1887970,KBS
2020-01-10 07:00:00,1970,2030,1820,1820,4194050,KBS
2020-01-13 07:00:00,1840,1860,1710,1710,2400650,KBS
2020-01-14 07:00:00,1680,1820,1670,1810,1710950,KBS
2020-01-15 07:00:00,1810,1810,1730,1740,1002700,KBS
2020-01-16 07:00:00,1740,1790,1700,1720,1049640,KBS
2020-01-17 07:00:00,1700,1810,1690,1740,1035180,KBS
2020-01-20 07:00:00,1760,1800,1720,1760,837650,KBS
2020-01-21 07:00:00,1760,1880,1760,1880,1772320,KBS
2020-01-22 07:00:00,1920,1960,1880,1950,1486140,KBS
2020-01-30 07:00:00,1930,1930,1820,1820,2306710,KBS
2020-01-31 07:00:00,1790,1830,1700,1700,2463560,KBS
2020-02-03 07:00:00,1620,1750,1590,1650,3631110,KBS
2020-02-04 07:00:00,1690,1720,1650,1710,1803750,KBS
2020-02-05 07:00:00,1710,1780,1700,1720,1375760,KBS
2020-02-06 07:00:00,1740,1800,1700,1790,1792250,KBS
2020-02-07 07:00:00,1790,1860,1750,1800,2039170,KBS
2020-02-10 07:00:00,1750,1790,1720,1720,1256030,KBS
2020-02-11 07:00:00,1720,1780,1710,1750,1307980,KBS
2020-02-12 07:00:00,1790,1870,1780,1870,2575660,KBS
2020-02-13 07:00:00,2000,2000,1950,2000,6942080,KBS
2020-02-14 07:00:00,2140,2140,2080,2100,8005750,KBS
2020-02-17 07:00:00,2100,2130,2000,2040,2821760,KBS
2020-02-18 07:00:00,2030,2180,2020,2180,2393870,KBS
2020-02-19 07:00:00,2330,2330,2250,2330,7833920,KBS
2020-02-20 07:00:00,2380,2450,2310,2310,3637140,KBS
2020-02-21 07:00:00,2250,2310,2150,2150,4617400,KBS
2020-02-24 07:00:00,2010,2060,2000,2000,4572060,KBS
2020-02-25 07:00:00,1870,2100,1860,2070,3967890,KBS
2020-02-26 07:00:00,2000,2060,1950,1990,1841010,KBS
2020-02-27 07:00:00,1970,2120,1970,2120,3140640,KBS
2020-02-28 07:00:00,2070,2220,2050,2200,3251080,KBS
2020-03-02 07:00:00,2270,2350,2250,2350,10721060,KBS
2020-03-03 07:00:00,2510,2510,2510,2510,860320,KBS
2020-03-04 07:00:00,2680,2680,2680,2680,519570,KBS
2020-03-05 07:00:00,2860,2860,2860,2860,1819080,KBS
2020-03-06 07:00:00,3060,3060,3060,3060,1280860,KBS
2020-03-09 07:00:00,3270,3270,3060,3270,20636010,KBS
2020-03-10 07:00:00,3490,3490,3490,3490,1233130,KBS
2020-03-11 07:00:00,3730,3730,3600,3730,12343670,KBS
2020-03-12 07:00:00,3950,3990,3730,3990,9138750,KBS
2020-03-13 07:00:00,4260,4260,4260,4260,2921100,KBS
2020-03-16 07:00:00,4550,4550,4550,4550,391710,KBS
2020-03-17 07:00:00,4860,4860,4860,4860,435600,KBS
2020-03-18 07:00:00,5200,5200,5200,5200,430510,KBS
2020-03-19 07:00:00,5560,5560,4840,4840,35482420,KBS
2020-03-20 07:00:00,4510,4810,4510,4510,7276140,KBS
2020-03-23 07:00:00,4200,4200,4200,4200,113490,KBS
2020-03-24 07:00:00,3910,3910,3910,3910,141010,KBS
2020-03-25 07:00:00,3640,3700,3640,3640,13307930,KBS
2020-03-26 07:00:00,3390,3390,3390,3390,1275330,KBS
2020-03-27 07:00:00,3160,3160,3160,3160,276940,KBS
2020-03-30 07:00:00,2940,2940,2940,2940,52780,KBS
2020-03-31 07:00:00,2740,2860,2740,2740,19490630,KBS
2020-04-01 07:00:00,2550,2930,2550,2930,3907030,KBS
2020-04-03 07:00:00,3130,3130,3130,3130,541070,KBS
2020-04-06 07:00:00,3340,3340,2950,2980,21156490,KBS
2020-04-07 07:00:00,2980,2980,2780,2780,9186170,KBS
2020-04-08 07:00:00,2850,2970,2720,2970,1587380,KBS
2020-04-09 07:00:00,2970,3150,2960,2980,7479310,KBS
2020-04-10 07:00:00,2900,2920,2780,2810,13839620,KBS
2020-04-13 07:00:00,2820,2920,2700,2850,3456400,KBS
2020-04-14 07:00:00,2810,2830,2700,2740,3569630,KBS
2020-04-15 07:00:00,2750,2930,2750,2930,7145920,KBS
2020-04-16 07:00:00,2970,3050,2890,2930,4175160,KBS
2020-04-17 07:00:00,2930,2970,2850,2860,5060870,KBS
2020-04-20 07:00:00,2920,2950,2820,2860,4241110,KBS
2020-04-21 07:00:00,2830,3060,2760,2980,9039950,KBS
2020-04-22 07:00:00,2950,3170,2860,3070,4141550,KBS
2020-04-23 07:00:00,3220,3220,3030,3070,4494520,KBS
2020-04-24 07:00:00,3070,3280,2960,3280,11225390,KBS
2020-04-27 07:00:00,3500,3500,3300,3300,10039300,KBS
2020-04-28 07:00:00,3330,3430,3160,3220,4390660,KBS
2020-04-29 07:00:00,3350,3420,3120,3350,5007760,KBS
2020-05-04 07:00:00,3120,3240,3120,3120,5346100,KBS
2020-05-05 07:00:00,2980,3130,2910,3060,6114870,KBS
2020-05-06 07:00:00,3060,3270,3060,3250,4844850,KBS
2020-05-07 07:00:00,3280,3280,3110,3140,2199710,KBS
2020-05-08 07:00:00,3170,3190,3080,3100,3794560,KBS
2020-05-11 07:00:00,3120,3200,3050,3120,2888760,KBS
2020-05-12 07:00:00,3110,3180,3070,3140,2458330,KBS
2020-05-13 07:00:00,3170,3250,3090,3220,5275540,KBS
2020-05-14 07:00:00,3220,3400,3220,3310,4171570,KBS
2020-05-15 07:00:00,3330,3350,3120,3200,4048320,KBS
2020-05-18 07:00:00,3200,3220,3110,3120,2655830,KBS
2020-05-19 07:00:00,3120,3200,3090,3110,3369780,KBS
2020-05-20 07:00:00,3110,3280,3110,3280,2627210,KBS
2020-05-21 07:00:00,3330,3380,3150,3200,3612720,KBS
