date,open,high,low,close,volume,_source
2020-01-02 07:00:00,19700,20000,19400,20000,4010,KBS
2020-01-03 07:00:00,20350,20350,19600,20200,11740,KBS
2020-01-06 07:00:00,20000,20400,19500,20200,5400,KBS
2020-01-07 07:00:00,19600,20200,19600,20200,4850,KBS
2020-01-08 07:00:00,20000,20000,19400,20000,4860,KBS
2020-01-09 07:00:00,20000,20050,19100,19900,2990,KBS
2020-01-10 07:00:00,19800,19850,19100,19800,3390,KBS
2020-01-13 07:00:00,19500,19500,19400,19400,7760,KBS
2020-01-14 07:00:00,19700,19900,19050,19550,16180,KBS
2020-01-15 07:00:00,19200,19450,19000,19150,10620,KBS
2020-01-16 07:00:00,19800,19800,19000,19000,11810,KBS
2020-01-17 07:00:00,19000,19950,18500,19950,14390,KBS
2020-01-20 07:00:00,19200,20250,19000,19950,5660,KBS
2020-01-21 07:00:00,19900,19900,19900,19900,9380,KBS
2020-01-22 07:00:00,19850,20400,19850,20100,19150,KBS
2020-01-30 07:00:00,18800,21000,18800,19300,7110,KBS
2020-01-31 07:00:00,19400,20400,19200,20000,16240,KBS
2020-02-03 07:00:00,20000,20000,18600,18600,11960,KBS
2020-02-04 07:00:00,18000,18800,18000,18800,21730,KBS
2020-02-05 07:00:00,18700,19100,18500,19000,2850,KBS
2020-02-06 07:00:00,19000,19000,18450,19000,12540,KBS
2020-02-07 07:00:00,19000,19000,18400,18950,26900,KBS
2020-02-10 07:00:00,18500,18900,18250,18900,7810,KBS
2020-02-11 07:00:00,19250,19250,18600,18600,3000,KBS
2020-02-12 07:00:00,18600,18850,18600,18850,7210,KBS
2020-02-13 07:00:00,18550,18700,18450,18700,13170,KBS
2020-02-14 07:00:00,18700,18800,18600,18600,690,KBS
2020-02-17 07:00:00,18600,18600,18500,18500,1210,KBS
2020-02-18 07:00:00,18500,19000,18400,18550,16140,KBS
2020-02-19 07:00:00,18500,18700,18500,18700,9550,KBS
2020-02-20 07:00:00,19200,19200,18500,18800,10340,KBS
2020-02-21 07:00:00,18700,18800,18400,18800,4290,KBS
2020-02-24 07:00:00,18000,18700,18000,18500,15420,KBS
2020-02-25 07:00:00,18050,18100,17300,18000,13020,KBS
2020-02-26 07:00:00,18000,18900,18000,18000,1070,KBS
2020-02-27 07:00:00,17550,17900,17550,17800,2480,KBS
2020-02-28 07:00:00,17800,17800,17800,17800,1900,KBS
2020-03-02 07:00:00,17750,17750,17750,17750,570,KBS
2020-03-03 07:00:00,17100,18500,17100,17700,16080,KBS
2020-03-04 07:00:00,18000,18000,17600,17950,640,KBS
2020-03-05 07:00:00,18850,18850,17800,18400,8800,KBS
2020-03-06 07:00:00,17650,18200,17650,18100,430,KBS
2020-03-09 07:00:00,17100,17900,16850,16850,16720,KBS
2020-03-10 07:00:00,16850,16850,16500,16850,4570,KBS
2020-03-11 07:00:00,16850,16900,15900,15900,10460,KBS
2020-03-12 07:00:00,15500,15700,15000,15000,9910,KBS
2020-03-13 07:00:00,14000,15000,14000,14900,33300,KBS
2020-03-16 07:00:00,15000,15000,14600,14900,2500,KBS
2020-03-17 07:00:00,14050,15100,14050,15000,5470,KBS
2020-03-18 07:00:00,15000,15400,15000,15000,25300,KBS
2020-03-19 07:00:00,15000,15000,14500,14650,11820,KBS
2020-03-20 07:00:00,14650,14700,14200,14600,6620,KBS
2020-03-23 07:00:00,14000,14800,13600,13600,40710,KBS
2020-03-24 07:00:00,13600,13600,13100,13600,8720,KBS
2020-03-25 07:00:00,14400,14450,13250,13850,780,KBS
2020-03-26 07:00:00,13800,13800,13100,13800,3880,KBS
2020-03-27 07:00:00,13700,13800,13250,13800,9800,KBS
2020-03-30 07:00:00,13000,13650,13000,13500,3970,KBS
2020-03-31 07:00:00,12850,13700,12850,13000,2090,KBS
2020-04-01 07:00:00,13400,13600,13000,13600,6210,KBS
2020-04-03 07:00:00,13600,13700,13500,13600,17800,KBS
2020-04-06 07:00:00,14400,14400,13500,13700,36010,KBS
2020-04-07 07:00:00,13700,14650,13700,14400,36820,KBS
2020-04-08 07:00:00,14550,15350,14500,15300,28540,KBS
2020-04-09 07:00:00,16000,16000,15300,15300,9230,KBS
2020-04-10 07:00:00,15300,15300,14700,15000,5170,KBS
2020-04-13 07:00:00,15000,15000,14600,14900,10730,KBS
2020-04-14 07:00:00,14050,14900,14050,14900,13410,KBS
2020-04-15 07:00:00,15000,15000,14400,14500,29250,KBS
2020-04-16 07:00:00,14400,15000,13500,13500,24940,KBS
2020-04-17 07:00:00,13500,14400,13500,14400,48730,KBS
2020-04-20 07:00:00,15150,15400,15100,15400,36080,KBS
2020-04-21 07:00:00,16200,16450,15700,16450,102220,KBS
2020-04-22 07:00:00,15300,17200,15300,16550,45910,KBS
2020-04-23 07:00:00,17550,17550,16000,16600,28540,KBS
2020-04-24 07:00:00,16100,17300,15800,16900,33450,KBS
2020-04-27 07:00:00,16300,16800,16100,16500,31640,KBS
2020-04-28 07:00:00,16500,16500,16000,16100,36950,KBS
2020-04-29 07:00:00,16500,16600,16100,16500,28830,KBS
2020-05-04 07:00:00,16500,17300,16450,17000,40840,KBS
2020-05-05 07:00:00,17000,17300,16900,17200,10720,KBS
2020-05-06 07:00:00,17350,17900,17200,17900,23590,KBS
2020-05-07 07:00:00,17900,18300,17500,18000,38610,KBS
2020-05-08 07:00:00,18300,18300,17400,18000,42910,KBS
2020-05-11 07:00:00,17700,18000,17700,17700,20490,KBS
2020-05-12 07:00:00,17500,17800,17450,17700,14090,KBS
2020-05-13 07:00:00,17700,17800,17200,17200,29710,KBS
2020-05-14 07:00:00,17250,17950,17100,17900,27820,KBS
2020-05-15 07:00:00,17600,17900,17550,17550,12240,KBS
2020-05-18 07:00:00,17700,18150,17700,18150,14620,KBS
2020-05-19 07:00:00,18200,18500,17900,17900,26560,KBS
2020-05-20 07:00:00,17950,18000,17600,17900,18260,KBS
2020-05-21 07:00:00,17800,17800,17600,17700,22370,KBS
2020-05-22 07:00:00,18000,18000,17550,17650,14840,KBS
2020-05-25 07:00:00,17650,18000,17600,17700,11520,KBS
2020-05-26 07:00:00,17800,18000,17600,18000,37890,KBS
2020-05-27 07:00:00,18450,18450,17700,17800,23120,KBS
2020-05-28 07:00:00,17800,18000,17600,18000,27780,KBS
2020-05-29 07:00:00,18000,18000,17600,17950,1850,KBS
2020-06-01 07:00:00,17700,17850,17600,17600,19600,KBS
2020-06-02 07:00:00,17600,17800,17400,17400,21650,KBS
2020-06-03 07:00:00,17400,17800,17300,17800,16230,KBS
2020-06-04 07:00:00,17800,18400,17800,18200,57590,KBS
2020-06-05 07:00:00,18200,19450,18000,19450,29740,KBS
2020-06-08 07:00:00,20800,20800,20800,20800,12960,KBS
2020-06-09 07:00:00,22250,22250,21850,22250,184850,KBS
2020-06-10 07:00:00,23700,23800,22500,23800,86710,KBS
2020-06-11 07:00:00,24950,25450,23800,23800,225440,KBS
2020-06-12 07:00:00,22150,23700,22150,22800,95700,KBS
2020-06-15 07:00:00,22900,23200,21300,21300,68490,KBS
2020-06-16 07:00:00,21300,22000,20500,21800,27190,KBS
2020-06-17 07:00:00,22400,22400,21000,21450,20560,KBS
2020-06-18 07:00:00,21450,22000,20000,20750,39330,KBS
