date,open,high,low,close,volume,_source
2020-01-13 07:00:00,24781,22303,22303,24781,10,KBS
2020-02-06 07:00:00,22303,22303,22303,22303,100,KBS
2020-02-14 07:00:00,20375,20375,20375,20375,100,KBS
2020-04-06 07:00:00,20375,20375,20375,20375,11,KBS
2020-06-24 07:00:00,20375,20375,20375,20375,75,KBS
2020-06-30 07:00:00,18382,18382,18382,18382,100,KBS
2020-07-03 07:00:00,16610,16610,16610,16610,100,KBS
2020-07-20 07:00:00,15060,15060,15060,15060,100,KBS
2020-08-06 07:00:00,13657,13657,13657,13657,100,KBS
2020-08-21 07:00:00,12402,12402,12402,12402,100,KBS
2020-09-09 07:00:00,12402,12402,12402,12402,1,KBS
2020-09-15 07:00:00,12402,12402,12402,12402,75,KBS
2020-10-20 07:00:00,13643,13643,13643,13643,105,KBS
2020-11-10 07:00:00,12402,14971,12402,14971,200,KBS
2020-11-11 07:00:00,16389,16389,16389,16389,100,KBS
2020-11-13 07:00:00,17983,17983,17983,17983,100,KBS
2020-11-16 07:00:00,19755,19755,19755,19755,122,KBS
2020-11-17 07:00:00,21704,21704,21704,21704,100,KBS
2020-11-18 07:00:00,23830,23830,23830,23830,100,KBS
2020-11-19 07:00:00,23830,23830,23830,23830,100,KBS
2020-11-23 07:00:00,26134,26134,26134,26134,100,KBS
2020-11-24 07:00:00,28703,28703,28703,28703,100,KBS
2020-11-25 07:00:00,31537,31537,31537,31537,100,KBS
2020-11-26 07:00:00,34638,34638,34638,34638,100,KBS
2020-11-27 07:00:00,38093,38093,38093,38093,1100,KBS
2020-11-30 07:00:00,41902,41902,41902,41902,100,KBS
2020-12-01 07:00:00,46066,46066,46066,46066,100,KBS
2020-12-04 07:00:00,50672,50672,46066,46066,200,KBS
2020-12-09 07:00:00,41459,41459,41459,41459,300,KBS
2020-12-18 07:00:00,44294,44294,44294,44294,1000,KBS
2021-01-12 07:00:00,39865,39865,39865,39865,300,KBS
2021-01-19 07:00:00,35878,35878,35878,35878,300,KBS
2021-02-05 07:00:00,32335,32335,32335,32335,100,KBS
2021-03-11 07:00:00,29146,29146,29146,29146,100,KBS
2021-03-26 07:00:00,26576,26576,26576,26576,300,KBS
2021-03-31 07:00:00,29234,29234,29234,29234,100,KBS
2021-04-01 07:00:00,32158,32158,32158,32158,100,KBS
2021-04-02 07:00:00,32158,32158,32158,32158,1,KBS
2021-04-05 07:00:00,32158,32158,32158,32158,10,KBS
2021-04-06 07:00:00,32158,32158,32158,32158,24,KBS
2021-04-12 07:00:00,35347,35347,35347,35347,100,KBS
2021-04-22 07:00:00,32423,32423,32423,32423,100,KBS
2021-04-26 07:00:00,32423,32423,32423,32423,100,KBS
2021-05-05 07:00:00,35435,35435,35435,35435,1000,KBS
2021-05-20 07:00:00,35435,35435,35435,35435,1000,KBS
2021-05-28 07:00:00,38979,38979,38979,38979,100,KBS
2021-06-01 07:00:00,38979,38979,38979,38979,1200,KBS
2021-06-02 07:00:00,38979,38979,38979,38979,310,KBS
2021-06-07 07:00:00,38979,38979,38979,38979,300,KBS
2021-06-08 07:00:00,38979,38979,38979,38979,10,KBS
2021-06-09 07:00:00,38979,38979,38979,38979,15,KBS
2021-06-15 07:00:00,40751,40751,40751,40751,200,KBS
2021-06-18 07:00:00,42522,42522,42522,42522,109,KBS
2021-07-28 07:00:00,42522,42522,42522,42522,300,KBS
2021-07-29 07:00:00,42522,42522,42522,42522,1000,KBS
2021-07-30 07:00:00,42522,42522,42522,42522,2002,KBS
2021-08-02 07:00:00,44294,44294,44294,44294,2000,KBS
2021-09-06 07:00:00,44294,44294,44294,44294,1,KBS
2021-09-13 07:00:00,44294,44294,44294,44294,20,KBS
2021-09-15 07:00:00,44294,44294,44294,44294,2300,KBS
2021-09-16 07:00:00,44294,44294,44294,44294,1100,KBS
2021-09-17 07:00:00,44294,44294,44294,44294,2000,KBS
2021-09-21 07:00:00,40267,40267,39909,39909,10600,KBS
2021-09-22 07:00:00,39909,42952,39373,42952,13100,KBS
2021-09-23 07:00:00,42057,44742,39373,44742,5700,KBS
2021-10-01 07:00:00,49216,49216,40267,40267,1602,KBS
2021-10-07 07:00:00,40267,40267,40267,40267,400,KBS
2021-10-08 07:00:00,40267,40267,40267,40267,4000,KBS
2021-10-15 07:00:00,40267,40267,40267,40267,1100,KBS
2021-10-20 07:00:00,44294,44294,44294,44294,909,KBS
2021-10-22 07:00:00,44742,44742,44742,44742,100,KBS
2021-10-25 07:00:00,44742,44742,44742,44742,100,KBS
2021-10-28 07:00:00,44742,44742,44742,44742,100,KBS
2021-10-29 07:00:00,44742,44742,40357,40357,409,KBS
2021-11-01 07:00:00,40357,40357,40357,40357,800,KBS
2021-11-03 07:00:00,40357,40357,40357,40357,3300,KBS
2021-11-05 07:00:00,40267,40267,40267,40267,1100,KBS
2021-11-18 07:00:00,44294,44294,43847,43847,2500,KBS
2021-11-19 07:00:00,44742,44742,44742,44742,5000,KBS
2021-11-22 07:00:00,44742,44742,44742,44742,2,KBS
2021-12-01 07:00:00,44742,44742,44742,44742,200,KBS
2021-12-03 07:00:00,44742,44742,44742,44742,9,KBS
2022-05-10 07:00:00,44742,44742,44742,44742,10,KBS
2022-06-15 07:00:00,40267,40267,40267,40267,100,KBS
2022-08-22 07:00:00,36250,36250,36250,36250,400,KBS
2022-08-23 07:00:00,36250,36250,36250,36250,80,KBS
2022-10-03 07:00:00,36250,36250,36250,36250,1,KBS
2022-10-14 07:00:00,39811,39811,39811,39811,100,KBS
2022-10-19 07:00:00,42915,42915,42915,42915,100,KBS
2022-10-25 07:00:00,45655,45655,45655,45655,100,KBS
2023-01-27 07:00:00,41089,41089,41089,41089,200,KBS
2023-04-04 07:00:00,41089,41089,41089,41089,3600,KBS
2023-04-05 07:00:00,41089,41089,41089,41089,12,KBS
2023-05-15 07:00:00,41089,41089,41089,41089,53,KBS
2023-05-16 07:00:00,36980,36980,36980,36980,106,KBS
2023-05-24 07:00:00,33328,33328,33328,33328,100,KBS
2023-06-12 07:00:00,30132,30132,30132,30132,100,KBS
2023-06-13 07:00:00,27393,27393,27393,27393,135,KBS
2023-07-13 07:00:00,27393,27393,27393,27393,400,KBS
2023-08-01 07:00:00,24691,24691,24691,24691,700,KBS
