date,open,high,low,close,volume,_source
2020-01-02 07:00:00,12046.0,12094.0,11902.0,12094.0,18540,KBS
2020-01-03 07:00:00,11830.0,12407.0,11830.0,12335.0,37610,KBS
2020-01-06 07:00:00,12407.0,12407.0,12094.0,12263.0,26560,KBS
2020-01-07 07:00:00,12311.0,12311.0,11926.0,12238.0,15880,KBS
2020-01-08 07:00:00,12238.0,12238.0,11878.0,12214.0,31070,KBS
2020-01-09 07:00:00,11926.0,12118.0,11758.0,11878.0,37750,KBS
2020-01-10 07:00:00,12022.0,12022.0,11685.0,11926.0,40420,KBS
2020-01-13 07:00:00,11878.0,12407.0,11878.0,12407.0,33620,KBS
2020-01-14 07:00:00,12383.0,12383.0,12383.0,12383.0,100,KBS
2020-01-15 07:00:00,12022.0,12311.0,11974.0,12311.0,22000,KBS
2020-01-16 07:00:00,12022.0,12263.0,12022.0,12263.0,49680,KBS
2020-01-17 07:00:00,12263.0,12503.0,12118.0,12359.0,30680,KBS
2020-01-20 07:00:00,12238.0,12263.0,11974.0,12263.0,11700,KBS
2020-01-21 07:00:00,11998.0,12214.0,11998.0,12214.0,10430,KBS
2020-01-22 07:00:00,12022.0,12503.0,11998.0,12503.0,41480,KBS
2020-01-30 07:00:00,12166.0,12166.0,11782.0,11974.0,53870,KBS
2020-01-31 07:00:00,12238.0,12238.0,11710.0,12166.0,39050,KBS
2020-02-03 07:00:00,11734.0,12022.0,11661.0,11950.0,39790,KBS
2020-02-04 07:00:00,11926.0,11926.0,11685.0,11878.0,27840,KBS
2020-02-05 07:00:00,11710.0,11830.0,11661.0,11830.0,78210,KBS
2020-02-06 07:00:00,11950.0,11950.0,11493.0,11493.0,141020,KBS
2020-02-07 07:00:00,11060.0,11541.0,11060.0,11541.0,65150,KBS
2020-02-10 07:00:00,11541.0,11685.0,11493.0,11685.0,17360,KBS
2020-02-11 07:00:00,11541.0,11589.0,11445.0,11589.0,56160,KBS
2020-02-12 07:00:00,11589.0,11589.0,11373.0,11493.0,44090,KBS
2020-02-13 07:00:00,11445.0,11445.0,11445.0,11445.0,2710,KBS
2020-02-14 07:00:00,11229.0,11421.0,10988.0,11325.0,118820,KBS
2020-02-17 07:00:00,11301.0,11301.0,11060.0,11181.0,53620,KBS
2020-02-18 07:00:00,11349.0,11541.0,11301.0,11445.0,146120,KBS
2020-02-19 07:00:00,11421.0,11445.0,11349.0,11445.0,75000,KBS
2020-02-20 07:00:00,11541.0,11541.0,11373.0,11445.0,26920,KBS
2020-02-21 07:00:00,11349.0,11397.0,11253.0,11373.0,70130,KBS
2020-02-24 07:00:00,11108.0,11157.0,10676.0,10892.0,76310,KBS
2020-02-25 07:00:00,10339.0,10724.0,10339.0,10724.0,81410,KBS
2020-02-26 07:00:00,10579.0,10940.0,10579.0,10724.0,70090,KBS
2020-02-27 07:00:00,10964.0,10964.0,10676.0,10916.0,23780,KBS
2020-02-28 07:00:00,10483.0,10892.0,10195.0,10676.0,93220,KBS
2020-03-02 07:00:00,10676.0,10748.0,10483.0,10724.0,40200,KBS
2020-03-03 07:00:00,10724.0,10820.0,10483.0,10652.0,53060,KBS
2020-03-04 07:00:00,10531.0,10555.0,10435.0,10555.0,33720,KBS
2020-03-05 07:00:00,10507.0,10820.0,10483.0,10820.0,99110,KBS
2020-03-06 07:00:00,10579.0,10964.0,10507.0,10916.0,79020,KBS
2020-03-09 07:00:00,10483.0,10483.0,10171.0,10171.0,111930,KBS
2020-03-10 07:00:00,9618.0,10291.0,9618.0,10195.0,79470,KBS
2020-03-11 07:00:00,10002.0,10075.0,9618.0,9618.0,126040,KBS
2020-03-12 07:00:00,9137.0,9137.0,8944.0,8944.0,134400,KBS
2020-03-13 07:00:00,8319.0,8944.0,8319.0,8848.0,116830,KBS
2020-03-16 07:00:00,8656.0,8848.0,8247.0,8752.0,337430,KBS
2020-03-17 07:00:00,8223.0,8656.0,8175.0,8656.0,86920,KBS
2020-03-18 07:00:00,8415.0,8656.0,8415.0,8464.0,74520,KBS
2020-03-19 07:00:00,8079.0,8175.0,7886.0,8175.0,152190,KBS
2020-03-20 07:00:00,8175.0,8175.0,7694.0,8175.0,120250,KBS
2020-03-23 07:00:00,7694.0,7694.0,7622.0,7622.0,123220,KBS
2020-03-24 07:00:00,7093.0,7622.0,7093.0,7093.0,306130,KBS
2020-03-25 07:00:00,7117.0,7285.0,6973.0,7213.0,414350,KBS
2020-03-26 07:00:00,7213.0,7261.0,7093.0,7141.0,112920,KBS
2020-03-27 07:00:00,7117.0,7574.0,7021.0,7550.0,115630,KBS
2020-03-30 07:00:00,7454.0,7454.0,7165.0,7430.0,172580,KBS
2020-03-31 07:00:00,7430.0,7430.0,7069.0,7309.0,131380,KBS
2020-04-01 07:00:00,7333.0,7550.0,7213.0,7285.0,204260,KBS
2020-04-03 07:00:00,7261.0,7502.0,7261.0,7454.0,53030,KBS
2020-04-06 07:00:00,7478.0,7959.0,7478.0,7959.0,297050,KBS
2020-04-07 07:00:00,8079.0,8199.0,7790.0,8151.0,260870,KBS
2020-04-08 07:00:00,7814.0,7983.0,7790.0,7935.0,279540,KBS
2020-04-09 07:00:00,7838.0,8103.0,7766.0,7886.0,542650,KBS
2020-04-10 07:00:00,7838.0,7911.0,7718.0,7742.0,353710,KBS
2020-04-13 07:00:00,8031.0,8271.0,8007.0,8271.0,360770,KBS
2020-04-14 07:00:00,8848.0,8848.0,8656.0,8848.0,784090,KBS
2020-04-15 07:00:00,9137.0,9137.0,8680.0,8848.0,384780,KBS
2020-04-16 07:00:00,8752.0,9449.0,8608.0,9449.0,754820,KBS
2020-04-17 07:00:00,9449.0,10099.0,9449.0,10099.0,643650,KBS
2020-04-20 07:00:00,10579.0,10796.0,10339.0,10579.0,995720,KBS
2020-04-21 07:00:00,10099.0,10195.0,9858.0,9858.0,696960,KBS
2020-04-22 07:00:00,9281.0,10099.0,9257.0,10099.0,323660,KBS
2020-04-23 07:00:00,10099.0,10387.0,9714.0,9714.0,315640,KBS
2020-04-24 07:00:00,9666.0,9978.0,9522.0,9858.0,158770,KBS
2020-04-27 07:00:00,10099.0,10339.0,9882.0,10195.0,354950,KBS
2020-04-28 07:00:00,10291.0,10315.0,10099.0,10219.0,207430,KBS
2020-04-29 07:00:00,10868.0,10916.0,10099.0,10868.0,916410,KBS
2020-05-04 07:00:00,10868.0,10940.0,10123.0,10387.0,374420,KBS
2020-05-05 07:00:00,10123.0,10916.0,10123.0,10772.0,281750,KBS
2020-05-06 07:00:00,10820.0,10820.0,10603.0,10772.0,88900,KBS
2020-05-07 07:00:00,10796.0,10868.0,10531.0,10772.0,185410,KBS
2020-05-08 07:00:00,10772.0,10916.0,10628.0,10772.0,264050,KBS
2020-05-11 07:00:00,11036.0,11108.0,10748.0,11036.0,213340,KBS
2020-05-12 07:00:00,11036.0,11108.0,10459.0,11060.0,511040,KBS
2020-05-13 07:00:00,10820.0,11445.0,10724.0,11253.0,373930,KBS
2020-05-14 07:00:00,11304.0,11510.0,10842.0,11047.0,416310,KBS
2020-05-15 07:00:00,11047.0,11355.0,10970.0,11047.0,225240,KBS
2020-05-18 07:00:00,11047.0,11278.0,11047.0,11150.0,242260,KBS
