date,open,high,low,close,volume,_source
2020-01-02 07:00:00,24041,24201,23882,24014,68030,KBS
2020-01-03 07:00:00,24014,24467,23935,23935,49400,KBS
2020-01-06 07:00:00,23935,23935,23669,23775,59040,KBS
2020-01-07 07:00:00,23775,24201,23562,23775,81160,KBS
2020-01-08 07:00:00,23882,23882,23403,23403,68100,KBS
2020-01-09 07:00:00,23828,23935,23562,23935,37360,KBS
2020-01-10 07:00:00,24201,24360,23935,24360,30740,KBS
2020-01-13 07:00:00,24360,24360,23935,23935,13130,KBS
2020-01-14 07:00:00,23935,24254,23935,24201,22900,KBS
2020-01-15 07:00:00,24360,24360,24041,24201,17480,KBS
2020-01-16 07:00:00,24201,24360,24094,24094,15560,KBS
2020-01-17 07:00:00,24254,24360,23988,24307,23030,KBS
2020-01-20 07:00:00,24413,24413,23882,24147,28940,KBS
2020-01-21 07:00:00,24360,24360,23828,24147,7760,KBS
2020-01-22 07:00:00,23935,24413,23935,24147,16700,KBS
2020-01-30 07:00:00,23509,24041,23403,23669,27740,KBS
2020-01-31 07:00:00,23137,23403,22605,22605,81180,KBS
2020-02-03 07:00:00,21807,22605,21063,22445,125430,KBS
2020-02-04 07:00:00,21860,22871,21860,22605,52020,KBS
2020-02-05 07:00:00,22605,22711,22339,22339,46350,KBS
2020-02-06 07:00:00,22339,22552,22233,22339,100330,KBS
2020-02-07 07:00:00,22339,22605,22073,22073,196920,KBS
2020-02-10 07:00:00,22073,22312,21594,21621,185770,KBS
2020-02-11 07:00:00,21541,21701,21541,21594,137920,KBS
2020-02-12 07:00:00,21807,22126,21648,21967,233780,KBS
2020-02-13 07:00:00,21967,22073,21860,21860,93040,KBS
2020-02-14 07:00:00,21860,22179,21621,21754,153290,KBS
2020-02-17 07:00:00,21754,22312,21701,22073,178370,KBS
2020-02-18 07:00:00,22073,23403,22073,23403,591990,KBS
2020-02-19 07:00:00,23350,23350,23004,23296,125190,KBS
2020-02-20 07:00:00,23296,23669,23084,23562,152820,KBS
2020-02-21 07:00:00,23350,24254,23296,23669,371000,KBS
2020-02-24 07:00:00,23350,23350,22339,22339,162540,KBS
2020-02-25 07:00:00,21701,22552,21701,22552,217020,KBS
2020-02-26 07:00:00,22073,22339,21860,22179,128040,KBS
2020-02-27 07:00:00,21860,22445,21860,22233,61630,KBS
