date,open,high,low,close,volume,_source
2020-01-08 07:00:00,22700,22700,22700,22700,139,KBS
2020-01-09 07:00:00,24941,24941,24941,24941,100,KBS
2020-01-13 07:00:00,27399,27399,26025,26025,1101,KBS
2020-01-15 07:00:00,28628,28628,28628,28628,100,KBS
2020-01-17 07:00:00,31447,31447,31447,31447,100,KBS
2020-01-20 07:00:00,34556,34556,34556,34556,100,KBS
2020-01-22 07:00:00,37953,37953,37953,37953,100,KBS
2020-01-31 07:00:00,41713,41713,41713,41713,100,KBS
2020-02-03 07:00:00,41713,41713,41713,41713,1,KBS
2020-02-07 07:00:00,41713,41713,41713,41713,2,KBS
2020-02-10 07:00:00,37592,37592,37592,37592,2500,KBS
2020-02-20 07:00:00,37592,37592,37592,37592,10,KBS
2020-02-25 07:00:00,36146,36146,36146,36146,10700,KBS
2020-02-26 07:00:00,35423,35423,35423,35423,110,KBS
2020-03-10 07:00:00,35423,35423,35423,35423,16,KBS
2020-03-16 07:00:00,35423,35423,35423,35423,12,KBS
2020-03-17 07:00:00,35423,35423,35423,35423,1,KBS
2020-03-18 07:00:00,35423,35423,35423,35423,7,KBS
2020-04-09 07:00:00,35423,35423,35423,35423,1,KBS
2020-05-04 07:00:00,35423,35423,35423,35423,6,KBS
2020-05-11 07:00:00,35423,35423,35423,35423,6,KBS
2020-05-22 07:00:00,35423,35423,35423,35423,10,KBS
2020-05-26 07:00:00,31881,31881,31881,31881,100,KBS
2020-05-27 07:00:00,28917,28917,28917,28917,100,KBS
2020-06-01 07:00:00,26025,26025,26025,26025,200,KBS
2020-06-02 07:00:00,26025,26025,23423,23423,2111,KBS
2020-06-03 07:00:00,23423,23423,23423,23423,100,KBS
2020-06-05 07:00:00,21760,21760,21760,21760,6000,KBS
2020-06-08 07:00:00,21760,21760,21760,21760,1000,KBS
2020-06-09 07:00:00,23856,23856,23856,23856,327,KBS
2020-06-10 07:00:00,25013,25158,25013,25158,450,KBS
2020-06-11 07:00:00,25158,25158,25158,25158,2500,KBS
2020-06-17 07:00:00,25158,25158,25158,25158,10,KBS
2020-06-22 07:00:00,25013,25013,25013,25013,100,KBS
2020-06-26 07:00:00,22542,22542,22542,22542,220,KBS
2020-06-29 07:00:00,20295,20295,20295,20295,100,KBS
2020-06-30 07:00:00,20295,20295,20295,20295,100,KBS
2020-07-06 07:00:00,20295,20295,20295,20295,10,KBS
2020-07-08 07:00:00,21343,21418,21343,21418,4000,KBS
2020-07-10 07:00:00,21418,21418,21418,21418,30,KBS
2020-07-14 07:00:00,21418,21418,21418,21418,27,KBS
2020-07-22 07:00:00,19321,19321,19321,19321,100,KBS
2020-07-28 07:00:00,17449,17449,17449,17449,100,KBS
2020-08-18 07:00:00,17449,19172,17449,19172,2200,KBS
2020-08-24 07:00:00,19172,19172,19172,19172,10,KBS
2020-09-01 07:00:00,19172,19172,19172,19172,100,KBS
2020-09-09 07:00:00,21044,21044,21044,21044,100,KBS
2020-09-29 07:00:00,18947,21044,18947,21044,900,KBS
2020-10-01 07:00:00,19022,21044,19022,21044,200,KBS
2020-10-05 07:00:00,18947,18947,18947,18947,100,KBS
2020-10-06 07:00:00,18947,18947,18947,18947,1,KBS
2020-10-15 07:00:00,20819,20819,20819,20819,800,KBS
2020-10-23 07:00:00,18872,18872,18872,18872,1101,KBS
2020-10-26 07:00:00,18872,18872,18722,18722,3900,KBS
2020-10-29 07:00:00,19471,19471,19471,19471,100,KBS
2020-11-18 07:00:00,18947,19097,18947,19097,2700,KBS
2020-11-19 07:00:00,19097,19097,19097,19097,100,KBS
2020-11-27 07:00:00,19097,19097,19097,19097,200,KBS
2020-12-09 07:00:00,20220,20220,20220,20220,1300,KBS
2020-12-10 07:00:00,20969,22242,20969,22242,1200,KBS
2020-12-14 07:00:00,23965,23965,23965,23965,100,KBS
2020-12-17 07:00:00,21718,22467,21718,21718,2000,KBS
2020-12-24 07:00:00,19546,19546,19546,19546,100,KBS
2020-12-25 07:00:00,20595,21493,20220,21493,2100,KBS
2020-12-28 07:00:00,22467,22467,19396,19396,2100,KBS
2020-12-29 07:00:00,17674,21269,17524,21269,6110,KBS
2021-01-04 07:00:00,20894,22617,20220,22617,600,KBS
2021-01-05 07:00:00,20669,20669,20370,20370,2900,KBS
2021-01-06 07:00:00,20370,20370,19097,19097,400,KBS
2021-01-07 07:00:00,20145,20145,20145,20145,100,KBS
2021-01-08 07:00:00,20145,20145,20145,20145,100,KBS
2021-01-11 07:00:00,19471,19921,19471,19921,600,KBS
2021-01-12 07:00:00,20145,21643,20145,21643,200,KBS
2021-01-13 07:00:00,21643,21643,21643,21643,1,KBS
2021-01-14 07:00:00,19696,19696,19696,19696,100,KBS
2021-01-18 07:00:00,19696,21418,19696,21418,1600,KBS
2021-01-19 07:00:00,19696,19696,19696,19696,200,KBS
2021-01-20 07:00:00,19696,19771,19696,19771,1200,KBS
2021-01-21 07:00:00,20819,20819,20819,20819,100,KBS
2021-01-22 07:00:00,20819,21343,20819,21343,1400,KBS
2021-01-25 07:00:00,21343,21343,20819,20819,2100,KBS
2021-01-26 07:00:00,20819,20819,20819,20819,1700,KBS
2021-01-27 07:00:00,20819,20819,20819,20819,800,KBS
2021-01-28 07:00:00,20819,20819,20819,20819,13600,KBS
2021-02-03 07:00:00,20819,20819,20819,20819,1000,KBS
2021-02-17 07:00:00,20819,20819,20819,20819,1,KBS
2021-02-18 07:00:00,22841,22841,22691,22766,1100,KBS
2021-02-19 07:00:00,20969,20969,20969,20969,202,KBS
2021-02-23 07:00:00,21718,21718,21718,21718,400,KBS
2021-02-26 07:00:00,21718,21793,21718,21793,2100,KBS
2021-03-01 07:00:00,22467,22467,22467,22467,3100,KBS
2021-03-02 07:00:00,22467,24714,22467,24714,318,KBS
2021-03-03 07:00:00,24714,26885,24714,26885,1000,KBS
2021-03-08 07:00:00,26885,26885,26885,26885,200,KBS
2021-03-09 07:00:00,26885,29357,26885,29357,400,KBS
2021-03-12 07:00:00,29357,29357,29357,29357,5,KBS
2021-03-23 07:00:00,26436,26436,26436,26436,100,KBS
2021-03-24 07:00:00,26436,26436,26436,26436,4,KBS
2021-03-25 07:00:00,23965,23965,23965,23965,100,KBS
2021-04-06 07:00:00,23965,26136,23965,26136,301,KBS
2021-04-07 07:00:00,26136,26136,26136,26136,14,KBS
2021-04-14 07:00:00,24489,24489,24489,24489,3800,KBS
2021-04-15 07:00:00,24489,24489,24489,24489,14,KBS
2021-04-19 07:00:00,22167,24564,22167,24564,200,KBS
2021-05-04 07:00:00,26960,26960,24564,24564,220,KBS
2021-05-11 07:00:00,24564,24564,24564,24564,1,KBS
2021-05-19 07:00:00,26981,26981,26981,26981,100,KBS
2021-05-25 07:00:00,29632,29632,29632,29632,129,KBS
2021-06-17 07:00:00,29632,29632,29632,29632,1,KBS
2021-07-02 07:00:00,32596,32596,32596,32596,100,KBS
2021-07-12 07:00:00,32596,32596,32596,32596,100,KBS
2021-07-19 07:00:00,31192,31192,31192,31192,100,KBS
2021-07-20 07:00:00,28073,28073,28073,28073,300,KBS
2021-07-21 07:00:00,25266,25266,25266,25266,2100,KBS
2021-07-27 07:00:00,27761,27761,27761,27761,100,KBS
2021-07-28 07:00:00,29632,29632,29632,29632,100,KBS
2021-07-29 07:00:00,31192,31192,31192,31192,300,KBS
2021-08-02 07:00:00,28073,31192,28073,31192,1100,KBS
2021-08-03 07:00:00,28073,31192,28073,31192,600,KBS
2021-08-04 07:00:00,28073,28073,28073,28073,1500,KBS
2021-08-09 07:00:00,25266,25344,25266,25344,600,KBS
2021-08-10 07:00:00,25344,25344,22848,25266,500,KBS
