date,open,high,low,close,volume,_source
2020-01-02 07:00:00,17348,17462,17311,17348,114410,KBS
2020-01-03 07:00:00,17386,17386,17084,17235,100340,KBS
2020-01-06 07:00:00,17311,17348,17159,17159,113870,KBS
2020-01-07 07:00:00,17311,17311,17008,17008,182440,KBS
2020-01-08 07:00:00,17197,17197,16895,17046,95080,KBS
2020-01-09 07:00:00,17046,17159,16630,16933,62710,KBS
2020-01-10 07:00:00,17008,17197,16933,17122,71350,KBS
2020-01-13 07:00:00,17122,17122,16857,16933,28480,KBS
2020-01-14 07:00:00,17008,17008,16706,16933,75660,KBS
2020-01-15 07:00:00,17008,17008,16857,16895,38820,KBS
2020-01-16 07:00:00,16819,16819,16706,16781,38710,KBS
2020-01-17 07:00:00,16781,16819,16630,16744,70080,KBS
2020-01-20 07:00:00,16555,16857,15874,16630,89570,KBS
2020-01-21 07:00:00,16706,16857,16479,16857,23310,KBS
2020-01-22 07:00:00,16933,17348,16781,16781,127540,KBS
2020-01-30 07:00:00,16781,17386,16479,16630,109900,KBS
2020-01-31 07:00:00,16630,16630,15534,15534,88180,KBS
2020-02-03 07:00:00,15534,15874,14476,15081,305310,KBS
2020-02-04 07:00:00,15118,15118,14438,14514,319570,KBS
2020-02-05 07:00:00,14514,14740,14476,14514,295200,KBS
2020-02-06 07:00:00,14514,15118,14514,14627,729180,KBS
2020-02-07 07:00:00,14967,15081,14627,14778,556870,KBS
2020-02-10 07:00:00,14778,15459,14627,15421,125220,KBS
2020-02-11 07:00:00,15270,15988,15270,15874,242380,KBS
2020-02-12 07:00:00,16177,16403,16026,16328,298230,KBS
2020-02-13 07:00:00,16328,16328,15874,16026,159890,KBS
2020-02-14 07:00:00,15874,16101,15610,15950,98900,KBS
2020-02-17 07:00:00,15837,16215,15496,16177,187730,KBS
2020-02-18 07:00:00,16290,16555,16177,16403,250130,KBS
2020-02-19 07:00:00,16592,16592,16403,16555,122580,KBS
2020-02-20 07:00:00,16479,16592,16101,16290,248130,KBS
2020-02-21 07:00:00,16290,16441,15874,15950,191700,KBS
2020-02-24 07:00:00,15723,15950,15194,15194,362630,KBS
2020-02-25 07:00:00,15194,15648,15194,15610,75480,KBS
2020-02-26 07:00:00,15307,15648,15270,15421,261260,KBS
2020-02-27 07:00:00,15421,15799,15345,15648,141730,KBS
2020-02-28 07:00:00,15648,15950,15496,15761,165430,KBS
2020-03-02 07:00:00,15874,16441,15874,16026,151350,KBS
2020-03-03 07:00:00,16403,16479,15648,15874,91630,KBS
2020-03-04 07:00:00,15874,16139,15799,15874,37200,KBS
2020-03-05 07:00:00,15799,15874,15496,15496,255710,KBS
2020-03-06 07:00:00,15496,15723,15496,15648,31380,KBS
2020-03-09 07:00:00,15459,15459,14589,14589,369510,KBS
2020-03-10 07:00:00,14438,14892,14400,14892,129970,KBS
2020-03-11 07:00:00,14967,15383,14703,15043,159470,KBS
