date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8558,8596,8520,8596,15120,KBS
2020-01-03 07:00:00,8558,8577,8520,8520,12350,KBS
2020-01-06 07:00:00,8196,8482,8196,8482,2840,KBS
2020-01-07 07:00:00,8482,8482,7911,8482,11140,KBS
2020-01-08 07:00:00,8234,8482,8196,8406,1150,KBS
2020-01-09 07:00:00,8406,8539,8101,8539,3070,KBS
2020-01-10 07:00:00,8348,8482,8158,8158,7960,KBS
2020-01-13 07:00:00,8158,8406,8139,8406,6810,KBS
2020-01-14 07:00:00,8177,8387,8139,8387,4610,KBS
2020-01-16 07:00:00,7949,8348,7949,7987,12440,KBS
2020-01-17 07:00:00,8368,8368,7968,8310,19580,KBS
2020-01-20 07:00:00,8025,8368,8025,8310,980,KBS
2020-01-21 07:00:00,8082,8272,8082,8215,6090,KBS
2020-01-22 07:00:00,8558,8558,8063,8215,3020,KBS
2020-01-30 07:00:00,8063,8177,8063,8120,5950,KBS
2020-01-31 07:00:00,8120,8177,7873,8158,34620,KBS
2020-02-03 07:00:00,8025,8025,7607,7987,35950,KBS
2020-02-04 07:00:00,7930,8329,7835,8329,26820,KBS
2020-02-05 07:00:00,7911,8329,7892,8101,9250,KBS
2020-02-06 07:00:00,8101,8215,7930,8101,62780,KBS
2020-02-07 07:00:00,8101,8368,8063,8368,51120,KBS
2020-02-10 07:00:00,8215,8520,8215,8444,38530,KBS
2020-02-11 07:00:00,8444,8482,8444,8463,40300,KBS
2020-02-12 07:00:00,8520,8558,8444,8539,27880,KBS
2020-02-13 07:00:00,8539,8539,8406,8520,5310,KBS
2020-02-14 07:00:00,8672,8672,8406,8596,670,KBS
2020-02-17 07:00:00,8482,8615,8158,8615,15960,KBS
2020-02-18 07:00:00,8729,8729,8482,8596,820,KBS
2020-02-19 07:00:00,8406,8596,8253,8520,3620,KBS
2020-02-20 07:00:00,8501,8558,8501,8558,2020,KBS
2020-02-21 07:00:00,8406,8558,8368,8520,11600,KBS
2020-02-24 07:00:00,8368,8368,8025,8329,36210,KBS
2020-02-25 07:00:00,8101,8291,8101,8272,63770,KBS
2020-02-26 07:00:00,8482,8482,8101,8272,21680,KBS
2020-02-27 07:00:00,8139,8482,8139,8482,6520,KBS
2020-02-28 07:00:00,8329,8329,8139,8329,42690,KBS
2020-03-02 07:00:00,8139,8177,8101,8177,3950,KBS
2020-03-03 07:00:00,8063,8368,7987,8368,18610,KBS
2020-03-04 07:00:00,8063,8368,8006,8329,84180,KBS
2020-03-05 07:00:00,8368,8368,8329,8329,15150,KBS
2020-03-06 07:00:00,8063,8310,8063,8310,62630,KBS
2020-03-09 07:00:00,8025,8139,7778,7968,12130,KBS
2020-03-10 07:00:00,7987,7987,7949,7987,14090,KBS
2020-03-11 07:00:00,7835,7987,7607,7968,21750,KBS
