date,open,high,low,close,volume,_source
2020-01-02 07:00:00,6486,6595,6464,6595,6800,KBS
2020-01-03 07:00:00,6508,6530,6508,6508,3080,KBS
2020-01-06 07:00:00,6552,6552,6508,6508,7620,KBS
2020-01-07 07:00:00,6552,6552,6508,6530,2300,KBS
2020-01-08 07:00:00,6508,6508,6508,6508,6200,KBS
2020-01-09 07:00:00,6508,6508,6486,6486,2300,KBS
2020-01-10 07:00:00,6508,6508,6508,6508,1300,KBS
2020-01-13 07:00:00,6508,6552,6508,6508,5550,KBS
2020-01-15 07:00:00,6508,6508,6508,6508,30,KBS
2020-01-16 07:00:00,6508,6508,6333,6508,4240,KBS
2020-01-17 07:00:00,6508,6508,6333,6442,1200,KBS
2020-01-20 07:00:00,6464,6552,6442,6552,5251,KBS
2020-01-21 07:00:00,6552,6595,6552,6595,2100,KBS
2020-01-22 07:00:00,6704,6748,6704,6748,729,KBS
2020-01-30 07:00:00,6552,6552,6552,6552,1130,KBS
2020-01-31 07:00:00,6552,6552,6115,6442,4624,KBS
2020-02-03 07:00:00,6333,6333,6115,6333,1320,KBS
2020-02-04 07:00:00,6246,6464,6224,6464,2616,KBS
2020-02-05 07:00:00,6333,6333,6268,6311,2020,KBS
2020-02-06 07:00:00,6180,6311,6180,6311,1650,KBS
2020-02-07 07:00:00,6333,6333,6333,6333,700,KBS
2020-02-10 07:00:00,6552,6552,6530,6530,1100,KBS
2020-02-11 07:00:00,6530,6530,6530,6530,1100,KBS
2020-02-12 07:00:00,6442,6552,6442,6486,3650,KBS
2020-02-13 07:00:00,6464,6464,6464,6464,1700,KBS
2020-02-14 07:00:00,6464,6464,6464,6464,7,KBS
2020-02-17 07:00:00,6464,6464,6442,6442,2000,KBS
2020-02-18 07:00:00,6442,6552,6442,6442,7430,KBS
2020-02-19 07:00:00,6442,6595,6442,6595,1600,KBS
2020-02-20 07:00:00,6552,6552,6508,6508,1000,KBS
2020-02-21 07:00:00,6464,6464,6442,6442,6540,KBS
2020-02-24 07:00:00,6464,6464,6421,6464,13300,KBS
2020-02-25 07:00:00,6442,6464,6399,6464,7102,KBS
2020-02-26 07:00:00,6421,6421,6399,6399,7110,KBS
2020-02-27 07:00:00,6333,6442,6333,6399,2600,KBS
2020-02-28 07:00:00,6421,6421,6421,6421,100,KBS
2020-03-02 07:00:00,6442,6442,6442,6442,200,KBS
2020-03-03 07:00:00,6442,6442,6399,6399,5510,KBS
2020-03-04 07:00:00,6399,6399,6377,6377,6300,KBS
2020-03-05 07:00:00,6377,6377,6377,6377,1017,KBS
2020-03-06 07:00:00,6421,6421,6399,6421,4800,KBS
2020-03-09 07:00:00,6421,6421,6355,6421,69504,KBS
2020-03-10 07:00:00,6399,6399,6377,6399,4106,KBS
2020-03-11 07:00:00,6399,6442,6333,6399,12000,KBS
2020-03-12 07:00:00,6333,6333,6006,6290,1540,KBS
2020-03-13 07:00:00,6006,6290,6006,6290,5090,KBS
2020-03-16 07:00:00,6006,6290,6006,6290,6200,KBS
