date,open,high,low,close,volume,_source
2020-01-02 07:00:00,5013.0,5238.0,4884.0,5109.0,82710,KBS
2020-01-03 07:00:00,5077.0,5206.0,4993.0,5103.0,37020,KBS
2020-01-06 07:00:00,5206.0,5238.0,4949.0,4949.0,91210,KBS
2020-01-07 07:00:00,4949.0,5135.0,4949.0,4961.0,85120,KBS
2020-01-08 07:00:00,4961.0,4961.0,4621.0,4820.0,95610,KBS
2020-01-09 07:00:00,4916.0,4916.0,4691.0,4730.0,56000,KBS
2020-01-10 07:00:00,4884.0,4884.0,4653.0,4711.0,38950,KBS
2020-01-13 07:00:00,4711.0,4788.0,4576.0,4576.0,100610,KBS
2020-01-14 07:00:00,4576.0,4749.0,4576.0,4691.0,26920,KBS
2020-01-15 07:00:00,4756.0,4756.0,4640.0,4646.0,21430,KBS
2020-01-16 07:00:00,4646.0,4679.0,4646.0,4646.0,23570,KBS
2020-01-17 07:00:00,4646.0,4756.0,4627.0,4756.0,86780,KBS
2020-01-20 07:00:00,4756.0,4756.0,4691.0,4691.0,40220,KBS
2020-01-21 07:00:00,4691.0,4691.0,4563.0,4563.0,107940,KBS
2020-01-22 07:00:00,4595.0,4595.0,4434.0,4563.0,69040,KBS
2020-01-30 07:00:00,4563.0,4576.0,4370.0,4499.0,38300,KBS
2020-01-31 07:00:00,4434.0,4434.0,4184.0,4242.0,144430,KBS
2020-02-03 07:00:00,3952.0,4042.0,3946.0,3952.0,125040,KBS
2020-02-04 07:00:00,4113.0,4177.0,3792.0,3792.0,135250,KBS
2020-02-05 07:00:00,3856.0,4010.0,3792.0,3914.0,131520,KBS
2020-02-06 07:00:00,4010.0,4017.0,3856.0,3965.0,66180,KBS
2020-02-07 07:00:00,4004.0,4004.0,3952.0,3978.0,31280,KBS
2020-02-10 07:00:00,3952.0,3952.0,3798.0,3856.0,54490,KBS
2020-02-11 07:00:00,3946.0,3946.0,3760.0,3824.0,134460,KBS
2020-02-12 07:00:00,3824.0,3850.0,3663.0,3824.0,269470,KBS
2020-02-13 07:00:00,3824.0,3850.0,3792.0,3817.0,49660,KBS
2020-02-14 07:00:00,3817.0,3817.0,3727.0,3817.0,82440,KBS
2020-02-17 07:00:00,3817.0,3817.0,3695.0,3785.0,225930,KBS
2020-02-18 07:00:00,3779.0,3779.0,3676.0,3676.0,187410,KBS
2020-02-19 07:00:00,3637.0,3933.0,3637.0,3933.0,302050,KBS
2020-02-20 07:00:00,4177.0,4203.0,4152.0,4203.0,157320,KBS
2020-02-21 07:00:00,4177.0,4409.0,4036.0,4062.0,136210,KBS
2020-02-24 07:00:00,3952.0,4004.0,3779.0,3779.0,334550,KBS
2020-02-25 07:00:00,3663.0,3850.0,3663.0,3843.0,110110,KBS
2020-02-26 07:00:00,3727.0,3837.0,3727.0,3753.0,142430,KBS
2020-02-27 07:00:00,3843.0,3843.0,3727.0,3817.0,65340,KBS
2020-02-28 07:00:00,3817.0,3817.0,3567.0,3727.0,117560,KBS
2020-03-02 07:00:00,3792.0,3985.0,3670.0,3875.0,206490,KBS
2020-03-03 07:00:00,3985.0,3985.0,3792.0,3914.0,67420,KBS
2020-03-04 07:00:00,3805.0,3920.0,3805.0,3901.0,83270,KBS
2020-03-05 07:00:00,3901.0,4164.0,3856.0,4055.0,223730,KBS
2020-03-06 07:00:00,4248.0,4248.0,4010.0,4113.0,179870,KBS
2020-03-09 07:00:00,3837.0,3920.0,3830.0,3830.0,141410,KBS
2020-03-10 07:00:00,3567.0,3985.0,3567.0,3837.0,177840,KBS
2020-03-11 07:00:00,3766.0,3888.0,3573.0,3573.0,257820,KBS
2020-03-12 07:00:00,3329.0,3329.0,3329.0,3329.0,109350,KBS
2020-03-13 07:00:00,3098.0,3278.0,3098.0,3123.0,510690,KBS
2020-03-16 07:00:00,3123.0,3342.0,3123.0,3278.0,217640,KBS
2020-03-17 07:00:00,3278.0,3490.0,3233.0,3245.0,102310,KBS
2020-03-18 07:00:00,3278.0,3380.0,3278.0,3335.0,74330,KBS
2020-03-19 07:00:00,3278.0,3310.0,3213.0,3271.0,73640,KBS
2020-03-20 07:00:00,3355.0,3355.0,3233.0,3271.0,23650,KBS
2020-03-23 07:00:00,3245.0,3245.0,3046.0,3046.0,85810,KBS
2020-03-24 07:00:00,2841.0,3046.0,2834.0,3021.0,123660,KBS
