date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1000,1000,1000,1000,43000,KBS
2020-01-03 07:00:00,1000,1000,900,1000,108000,KBS
2020-01-06 07:00:00,1000,1000,1000,1000,169868,KBS
2020-01-07 07:00:00,1100,1100,1000,1100,165050,KBS
2020-01-08 07:00:00,1100,1100,1000,1100,51330,KBS
2020-01-09 07:00:00,1000,1100,1000,1000,48900,KBS
2020-01-10 07:00:00,1000,1000,900,1000,71300,KBS
2020-01-13 07:00:00,1000,1000,900,1000,24400,KBS
2020-01-14 07:00:00,900,1000,900,1000,23900,KBS
2020-01-15 07:00:00,1000,1000,1000,1000,15101,KBS
2020-01-16 07:00:00,900,1000,900,1000,31017,KBS
2020-01-17 07:00:00,1000,1100,1000,1000,85600,KBS
2020-01-20 07:00:00,1000,1000,1000,1000,10000,KBS
2020-01-21 07:00:00,1000,1100,1000,1100,9010,KBS
2020-01-22 07:00:00,1100,1100,1000,1000,32200,KBS
2020-01-30 07:00:00,1000,1000,900,900,26000,KBS
2020-01-31 07:00:00,1000,1000,1000,1000,27017,KBS
2020-02-03 07:00:00,900,1000,900,900,87300,KBS
2020-02-04 07:00:00,1000,1000,900,1000,1600,KBS
2020-02-05 07:00:00,1000,1000,1000,1000,25200,KBS
2020-02-06 07:00:00,1000,1000,900,1000,28000,KBS
2020-02-07 07:00:00,1000,1000,900,1000,23500,KBS
2020-02-10 07:00:00,900,1100,900,1000,34492,KBS
2020-02-11 07:00:00,1000,1000,1000,1000,28300,KBS
2020-02-12 07:00:00,1000,1100,1000,1000,32410,KBS
2020-02-13 07:00:00,1000,1100,1000,1100,69394,KBS
2020-02-14 07:00:00,1000,1100,900,900,60420,KBS
2020-02-17 07:00:00,1000,1000,1000,1000,21200,KBS
2020-02-18 07:00:00,1000,1000,1000,1000,62000,KBS
2020-02-19 07:00:00,900,1000,900,1000,33201,KBS
2020-02-20 07:00:00,900,900,900,900,12810,KBS
2020-02-21 07:00:00,900,1000,900,1000,87600,KBS
2020-02-24 07:00:00,900,900,900,900,116262,KBS
2020-02-25 07:00:00,1000,1000,900,1000,17110,KBS
2020-02-26 07:00:00,1000,1000,1000,1000,10270,KBS
2020-02-27 07:00:00,1000,1000,1000,1000,100,KBS
2020-02-28 07:00:00,1000,1000,900,1000,18230,KBS
2020-03-02 07:00:00,900,1000,900,1000,90150,KBS
2020-03-03 07:00:00,1000,1000,1000,1000,61050,KBS
2020-03-04 07:00:00,1000,1000,900,1000,16100,KBS
2020-03-05 07:00:00,1000,1000,1000,1000,1520,KBS
2020-03-06 07:00:00,1000,1000,900,1000,34650,KBS
2020-03-09 07:00:00,900,900,900,900,150320,KBS
2020-03-10 07:00:00,900,1000,800,1000,53000,KBS
2020-03-11 07:00:00,1000,1000,800,900,24600,KBS
2020-03-12 07:00:00,900,900,800,900,108500,KBS
2020-03-13 07:00:00,900,900,800,800,35600,KBS
2020-03-16 07:00:00,800,800,800,800,4520,KBS
2020-03-17 07:00:00,900,900,900,900,10140,KBS
2020-03-18 07:00:00,900,900,800,900,20010,KBS
2020-03-19 07:00:00,800,900,800,900,18645,KBS
2020-03-20 07:00:00,900,900,800,900,21100,KBS
2020-03-23 07:00:00,900,900,800,800,68530,KBS
2020-03-24 07:00:00,900,900,800,800,10100,KBS
2020-03-25 07:00:00,900,900,700,800,47300,KBS
2020-03-26 07:00:00,800,800,700,800,24790,KBS
2020-03-27 07:00:00,800,800,700,800,70600,KBS
2020-03-30 07:00:00,700,700,700,700,118900,KBS
2020-03-31 07:00:00,700,700,700,700,37505,KBS
2020-04-01 07:00:00,700,800,700,800,98600,KBS
2020-04-03 07:00:00,800,800,700,700,5610,KBS
2020-04-06 07:00:00,800,800,700,800,65400,KBS
2020-04-07 07:00:00,800,800,800,800,75622,KBS
2020-04-08 07:00:00,800,800,800,800,21800,KBS
2020-04-09 07:00:00,900,900,900,900,1600,KBS
2020-04-10 07:00:00,900,900,800,900,31911,KBS
2020-04-13 07:00:00,900,900,800,800,6701,KBS
2020-04-14 07:00:00,800,800,800,800,16837,KBS
2020-04-15 07:00:00,700,800,700,800,1722,KBS
2020-04-16 07:00:00,900,900,800,800,6428,KBS
2020-04-17 07:00:00,800,800,800,800,53881,KBS
2020-04-20 07:00:00,900,900,800,800,11300,KBS
2020-04-21 07:00:00,800,800,800,800,52605,KBS
2020-04-22 07:00:00,700,900,700,900,945,KBS
2020-04-23 07:00:00,800,800,800,800,85371,KBS
2020-04-24 07:00:00,800,900,800,900,330,KBS
2020-04-27 07:00:00,900,900,900,900,3440,KBS
2020-04-28 07:00:00,900,900,800,900,11930,KBS
2020-04-29 07:00:00,900,900,800,800,25671,KBS
2020-05-04 07:00:00,900,900,900,900,18802,KBS
2020-05-05 07:00:00,900,900,900,900,20500,KBS
2020-05-06 07:00:00,900,900,800,900,2212,KBS
2020-05-07 07:00:00,800,900,800,900,20732,KBS
2020-05-08 07:00:00,900,900,800,800,23739,KBS
2020-05-11 07:00:00,800,900,800,800,2218,KBS
2020-05-12 07:00:00,900,900,800,900,20370,KBS
2020-05-13 07:00:00,800,900,800,800,33700,KBS
2020-05-14 07:00:00,900,900,900,900,1300,KBS
2020-05-15 07:00:00,900,900,800,800,10500,KBS
2020-05-18 07:00:00,800,800,800,800,10860,KBS
2020-05-19 07:00:00,800,900,800,900,13360,KBS
2020-05-20 07:00:00,900,900,800,900,11203,KBS
2020-05-21 07:00:00,800,800,800,800,34050,KBS
2020-05-22 07:00:00,800,900,800,900,68227,KBS
2020-05-25 07:00:00,900,900,800,800,4100,KBS
2020-05-26 07:00:00,800,900,800,800,30500,KBS
2020-05-27 07:00:00,900,900,900,900,285100,KBS
