date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10792,10792,10765,10765,1500,KBS
2020-01-03 07:00:00,10792,10792,10765,10765,20970,KBS
2020-01-06 07:00:00,10739,10792,10739,10792,12050,KBS
2020-01-07 07:00:00,10739,10739,10739,10739,5000,KBS
2020-01-08 07:00:00,10765,10792,10765,10765,10000,KBS
2020-01-09 07:00:00,10739,10739,10739,10739,500,KBS
2020-01-10 07:00:00,10818,10818,10765,10765,720,KBS
2020-01-13 07:00:00,10845,10898,10845,10845,8160,KBS
2020-01-14 07:00:00,10845,10845,10765,10765,16520,KBS
2020-01-15 07:00:00,10845,10845,10739,10818,9300,KBS
2020-01-16 07:00:00,10792,10845,10765,10792,2200,KBS
2020-01-17 07:00:00,10792,10792,10765,10765,5000,KBS
2020-01-20 07:00:00,10765,10792,10765,10792,1930,KBS
2020-01-21 07:00:00,10792,10818,10792,10818,1730,KBS
2020-01-22 07:00:00,10845,10898,10845,10845,5100,KBS
2020-01-30 07:00:00,10872,10898,10792,10792,2200,KBS
2020-01-31 07:00:00,10792,10792,10792,10792,3500,KBS
2020-02-03 07:00:00,10792,10792,10659,10659,15000,KBS
2020-02-04 07:00:00,10765,10765,10659,10765,4600,KBS
2020-02-05 07:00:00,10685,10739,10659,10739,10990,KBS
2020-02-06 07:00:00,10739,10739,10739,10739,30,KBS
2020-02-07 07:00:00,10792,10792,10792,10792,4120,KBS
2020-02-11 07:00:00,10792,10792,10712,10712,3100,KBS
2020-02-13 07:00:00,10739,10818,10739,10739,7280,KBS
2020-02-14 07:00:00,10792,10792,10765,10792,4200,KBS
2020-02-17 07:00:00,10739,10739,10739,10739,10540,KBS
2020-02-18 07:00:00,10792,10792,10792,10792,20,KBS
2020-02-19 07:00:00,10792,10792,10739,10765,10700,KBS
2020-02-20 07:00:00,10765,10792,10739,10739,27250,KBS
2020-02-21 07:00:00,10818,10818,10632,10632,27950,KBS
2020-02-24 07:00:00,10632,10632,10632,10632,2140,KBS
2020-02-25 07:00:00,10632,10632,10632,10632,8860,KBS
2020-02-26 07:00:00,10632,10632,10526,10526,12870,KBS
2020-02-27 07:00:00,10526,10526,10499,10499,11200,KBS
2020-02-28 07:00:00,10499,10499,10473,10499,1850,KBS
2020-03-02 07:00:00,10499,10632,10499,10632,1730,KBS
2020-03-03 07:00:00,10845,10845,10632,10632,24810,KBS
2020-03-04 07:00:00,10632,10739,10632,10739,12100,KBS
2020-03-05 07:00:00,10739,10739,10739,10739,7200,KBS
2020-03-06 07:00:00,10765,10765,10632,10739,8600,KBS
2020-03-09 07:00:00,10499,10499,10101,10101,53870,KBS
2020-03-10 07:00:00,10712,10712,10659,10659,40,KBS
2020-03-11 07:00:00,10260,10260,10207,10207,19100,KBS
2020-03-12 07:00:00,10127,10154,9994,9994,40280,KBS
2020-03-13 07:00:00,9622,9994,9622,9994,7200,KBS
2020-03-16 07:00:00,9569,9994,9569,9569,17620,KBS
2020-03-17 07:00:00,10207,10207,10048,10048,3160,KBS
2020-03-18 07:00:00,10101,10101,9941,9941,24750,KBS
2020-03-19 07:00:00,9941,9941,9861,9861,20790,KBS
2020-03-20 07:00:00,9835,9835,9835,9835,17900,KBS
2020-03-23 07:00:00,9569,10048,9383,9410,50750,KBS
2020-03-24 07:00:00,9144,9569,9037,9569,10020,KBS
2020-03-25 07:00:00,9303,9835,9277,9835,13820,KBS
2020-03-26 07:00:00,9729,9729,9356,9569,2960,KBS
2020-03-27 07:00:00,9729,9729,9516,9569,860,KBS
2020-03-30 07:00:00,9516,9835,9516,9569,6710,KBS
2020-03-31 07:00:00,9569,9569,9356,9356,1110,KBS
2020-04-01 07:00:00,9144,9569,9144,9197,5010,KBS
2020-04-03 07:00:00,9330,9516,9330,9463,18510,KBS
2020-04-06 07:00:00,9383,9569,9383,9569,12730,KBS
2020-04-07 07:00:00,9383,9569,9383,9569,20490,KBS
2020-04-08 07:00:00,9702,9729,9702,9729,170,KBS
2020-04-09 07:00:00,9782,9782,9622,9755,3000,KBS
2020-04-10 07:00:00,9755,9755,9755,9755,680,KBS
2020-04-13 07:00:00,9808,9808,9808,9808,1300,KBS
2020-04-14 07:00:00,9888,9888,9888,9888,3240,KBS
2020-04-15 07:00:00,9782,10101,9755,10101,6430,KBS
2020-04-16 07:00:00,10739,10739,9649,10260,1600,KBS
2020-04-17 07:00:00,10260,10260,10260,10260,2310,KBS
2020-04-20 07:00:00,10127,10207,10101,10101,10400,KBS
2020-04-21 07:00:00,10101,10101,9835,10101,28410,KBS
2020-04-22 07:00:00,10074,10101,10048,10101,21380,KBS
2020-04-23 07:00:00,9835,10101,9835,9994,370,KBS
2020-04-24 07:00:00,10101,10101,9994,10101,16760,KBS
2020-04-27 07:00:00,10101,10101,9994,10048,5450,KBS
2020-04-28 07:00:00,9941,10101,9941,10101,10100,KBS
2020-05-04 07:00:00,10101,10101,10101,10101,11300,KBS
2020-05-05 07:00:00,10101,10366,10101,10366,1800,KBS
2020-05-06 07:00:00,9941,10473,9888,10473,560,KBS
2020-05-07 07:00:00,10101,10366,10101,10366,7010,KBS
2020-05-08 07:00:00,10898,10898,9994,9994,50,KBS
2020-05-11 07:00:00,9994,10101,10101,10101,13700,KBS
2020-05-12 07:00:00,10420,10420,10101,10101,3460,KBS
2020-05-13 07:00:00,10154,10154,10154,10154,7590,KBS
2020-05-14 07:00:00,10154,10154,9941,10154,340,KBS
2020-05-15 07:00:00,10154,10154,10154,10154,30,KBS
2020-05-18 07:00:00,10473,10473,10473,10473,10,KBS
2020-05-19 07:00:00,10473,10473,10127,10366,10380,KBS
2020-05-20 07:00:00,10127,10260,10101,10260,14560,KBS
2020-05-21 07:00:00,10127,10313,10127,10260,9250,KBS
2020-05-22 07:00:00,10154,10234,10154,10234,7510,KBS
2020-05-25 07:00:00,10154,10366,10101,10154,6900,KBS
2020-05-27 07:00:00,10154,10207,10154,10207,800,KBS
2020-05-28 07:00:00,10207,10207,10207,10207,2610,KBS
2020-05-29 07:00:00,10207,10207,10154,10154,9190,KBS
2020-06-01 07:00:00,10154,10154,10101,10101,18240,KBS
2020-06-02 07:00:00,10101,10154,10101,10154,19810,KBS
2020-06-03 07:00:00,10101,10287,10101,10287,52460,KBS
2020-06-08 07:00:00,10101,10260,10101,10260,2500,KBS
2020-06-09 07:00:00,9729,10260,9675,10260,5480,KBS
