date,open,high,low,close,volume,_source
2020-01-03 07:00:00,2180,2340,2180,2320,2060,KBS
2020-01-06 07:00:00,2160,2350,2160,2310,9880,KBS
2020-01-07 07:00:00,2150,2150,2150,2150,610,KBS
2020-01-08 07:00:00,2000,2200,2000,2200,1600,KBS
2020-01-09 07:00:00,2200,2200,2200,2200,100,KBS
2020-01-13 07:00:00,2100,2100,2100,2100,100,KBS
2020-01-15 07:00:00,2240,2240,2050,2100,1410,KBS
2020-01-16 07:00:00,1960,1960,1960,1960,1000,KBS
2020-01-17 07:00:00,1830,2090,1830,2090,1130,KBS
2020-01-20 07:00:00,1950,2230,1950,2230,1010,KBS
2020-01-22 07:00:00,2180,2180,2140,2140,5300,KBS
2020-01-30 07:00:00,2000,2000,2000,2000,500,KBS
2020-01-31 07:00:00,2000,2140,2000,2140,11600,KBS
2020-02-03 07:00:00,2090,2090,2090,2090,990,KBS
2020-02-05 07:00:00,1950,1950,1950,1950,1380,KBS
2020-02-06 07:00:00,1830,2080,1820,2080,2670,KBS
2020-02-07 07:00:00,2100,2220,2100,2100,630,KBS
2020-02-10 07:00:00,2100,2200,2040,2200,1120,KBS
2020-02-11 07:00:00,2190,2190,2190,2190,1430,KBS
2020-02-12 07:00:00,2040,2100,2040,2100,1200,KBS
2020-02-13 07:00:00,2000,2000,1960,1960,1000,KBS
2020-02-14 07:00:00,1840,1960,1840,1960,360,KBS
2020-02-17 07:00:00,1830,1840,1830,1840,6010,KBS
2020-02-18 07:00:00,1840,1930,1720,1930,15260,KBS
2020-02-19 07:00:00,1800,2000,1800,2000,11780,KBS
2020-02-20 07:00:00,2000,2000,1860,1990,6700,KBS
2020-02-21 07:00:00,1860,1980,1860,1860,6680,KBS
2020-02-24 07:00:00,1860,1860,1730,1850,2870,KBS
2020-02-25 07:00:00,1840,1840,1830,1830,1350,KBS
2020-02-26 07:00:00,1710,1750,1710,1730,2820,KBS
2020-02-27 07:00:00,1830,1850,1830,1850,13580,KBS
2020-02-28 07:00:00,1950,1950,1900,1920,1400,KBS
2020-03-02 07:00:00,1810,2000,1810,2000,1170,KBS
2020-03-03 07:00:00,1900,1900,1860,1860,5200,KBS
2020-03-05 07:00:00,1850,1990,1850,1950,6690,KBS
2020-03-06 07:00:00,1950,1950,1950,1950,1010,KBS
2020-03-09 07:00:00,1820,1820,1820,1820,6790,KBS
2020-03-10 07:00:00,1820,1820,1730,1740,2320,KBS
2020-03-11 07:00:00,1750,1760,1750,1760,4720,KBS
2020-03-12 07:00:00,1760,1760,1640,1700,550,KBS
2020-03-13 07:00:00,1610,1690,1590,1690,1710,KBS
2020-03-16 07:00:00,1590,1740,1590,1740,2480,KBS
2020-03-17 07:00:00,1860,1860,1860,1860,1430,KBS
2020-03-18 07:00:00,1990,1990,1990,1990,4150,KBS
2020-03-19 07:00:00,1990,1990,1860,1860,3300,KBS
2020-03-20 07:00:00,1860,1860,1860,1860,1110,KBS
2020-03-23 07:00:00,1730,1980,1730,1980,290,KBS
2020-03-25 07:00:00,1990,1990,1990,1990,110,KBS
2020-03-26 07:00:00,1990,1990,1870,1870,1060,KBS
2020-03-27 07:00:00,1950,1950,1870,1870,5040,KBS
2020-03-30 07:00:00,1850,1860,1850,1860,140,KBS
2020-03-31 07:00:00,1740,1740,1740,1740,190,KBS
2020-04-03 07:00:00,1800,1800,1800,1800,790,KBS
2020-04-06 07:00:00,1680,1720,1680,1720,220,KBS
2020-04-08 07:00:00,1610,1610,1610,1610,220,KBS
2020-04-09 07:00:00,1700,1720,1700,1720,5010,KBS
2020-04-10 07:00:00,1840,1840,1830,1840,1550,KBS
2020-04-13 07:00:00,1840,1840,1720,1720,1210,KBS
2020-04-14 07:00:00,1810,1810,1810,1810,60,KBS
2020-04-15 07:00:00,1850,1850,1810,1810,2180,KBS
2020-04-16 07:00:00,1810,1810,1810,1810,10,KBS
2020-04-17 07:00:00,1810,1810,1810,1810,820,KBS
2020-04-20 07:00:00,1920,1920,1900,1900,40,KBS
2020-04-21 07:00:00,1810,1990,1810,1990,60,KBS
2020-04-23 07:00:00,1860,1880,1860,1880,2050,KBS
2020-04-27 07:00:00,1880,1890,1800,1800,630,KBS
2020-04-29 07:00:00,1800,1690,1690,1690,500,KBS
2020-05-04 07:00:00,1690,1720,1690,1710,1790,KBS
2020-05-05 07:00:00,1710,1820,1710,1820,5120,KBS
2020-05-06 07:00:00,1800,1800,1800,1800,210,KBS
2020-05-07 07:00:00,1800,1800,1800,1800,1000,KBS
2020-05-08 07:00:00,1680,1680,1680,1680,1050,KBS
2020-05-11 07:00:00,1680,1750,1750,1750,1000,KBS
2020-05-12 07:00:00,1800,1800,1800,1800,2160,KBS
2020-05-18 07:00:00,1830,1830,1800,1830,540,KBS
