date,open,high,low,close,volume,_source
2020-01-02 07:00:00,18499,19574,18499,19457,4920,KBS
2020-01-03 07:00:00,18470,19399,18470,19399,1220,KBS
2020-01-06 07:00:00,18528,19167,18528,19167,1450,KBS
2020-01-07 07:00:00,18702,19051,18644,19022,1100,KBS
2020-01-08 07:00:00,19283,19283,18615,18615,340,KBS
2020-01-09 07:00:00,19167,19167,19167,19167,10,KBS
2020-01-10 07:00:00,18470,19167,18470,19167,4840,KBS
2020-01-13 07:00:00,18644,19051,18644,18877,2600,KBS
2020-01-14 07:00:00,19167,19167,17570,18877,5180,KBS
2020-01-15 07:00:00,19109,19109,19109,19109,50,KBS
2020-01-16 07:00:00,18819,18819,18063,18586,25170,KBS
2020-01-17 07:00:00,18877,18877,17773,18209,8800,KBS
2020-01-20 07:00:00,19167,19167,18063,18209,2410,KBS
2020-01-21 07:00:00,18586,19167,18209,18557,10500,KBS
2020-01-22 07:00:00,19080,19080,18470,18586,1960,KBS
2020-01-30 07:00:00,18296,18586,18180,18586,5670,KBS
2020-01-31 07:00:00,18296,18528,18005,18528,1450,KBS
2020-02-03 07:00:00,18296,18528,18296,18296,7380,KBS
2020-02-04 07:00:00,18586,18586,18005,18296,270,KBS
2020-02-05 07:00:00,18528,18528,17744,18296,1670,KBS
2020-02-06 07:00:00,18528,18528,18005,18034,237600,KBS
2020-02-07 07:00:00,18034,18586,17773,18034,22090,KBS
2020-02-10 07:00:00,17483,18063,17483,18063,9270,KBS
2020-02-11 07:00:00,18034,18063,17715,18005,2570,KBS
2020-02-12 07:00:00,18557,18557,17976,18005,3160,KBS
2020-02-13 07:00:00,18528,18528,18528,18528,20,KBS
2020-02-14 07:00:00,18441,18528,18441,18528,1070,KBS
2020-02-17 07:00:00,18063,18557,17744,18557,140,KBS
2020-02-19 07:00:00,17512,17512,17425,17425,16590,KBS
2020-02-20 07:00:00,17425,18470,17425,18005,1230,KBS
2020-02-21 07:00:00,18470,18470,17425,17425,5680,KBS
2020-02-24 07:00:00,17715,17889,17425,17744,530,KBS
2020-02-25 07:00:00,17947,17947,16553,17686,1010,KBS
2020-02-26 07:00:00,17773,17773,17134,17686,4520,KBS
2020-02-27 07:00:00,17657,17686,17657,17686,280,KBS
2020-02-28 07:00:00,17686,17686,16582,16728,80,KBS
2020-03-02 07:00:00,16582,17425,16582,17366,2190,KBS
2020-03-03 07:00:00,17425,17425,16902,17308,3720,KBS
2020-03-04 07:00:00,16902,17425,16786,17425,12780,KBS
2020-03-05 07:00:00,16815,17308,16786,17308,14870,KBS
2020-03-06 07:00:00,16350,17366,16350,17366,16200,KBS
2020-03-09 07:00:00,16611,17134,16553,16553,1970,KBS
2020-03-10 07:00:00,16553,17250,16553,17250,1660,KBS
2020-03-11 07:00:00,16902,17425,16292,17425,2230,KBS
2020-03-12 07:00:00,17425,17425,16263,17425,7550,KBS
2020-03-13 07:00:00,16263,17337,16234,17279,10650,KBS
2020-03-16 07:00:00,16263,17250,16263,16263,1940,KBS
2020-03-17 07:00:00,16844,16844,16844,16844,270,KBS
2020-03-18 07:00:00,16844,16844,16263,16263,18570,KBS
2020-03-19 07:00:00,16786,16786,15130,15827,24810,KBS
2020-03-20 07:00:00,15798,15798,14724,14724,20720,KBS
2020-03-23 07:00:00,13707,14201,13707,14201,35370,KBS
2020-03-24 07:00:00,13243,13649,13243,13649,12500,KBS
2020-03-25 07:00:00,13649,14114,13649,13940,8030,KBS
2020-03-26 07:00:00,14027,14811,14027,14811,8100,KBS
2020-03-27 07:00:00,14288,14637,14288,14520,23240,KBS
2020-03-30 07:00:00,14259,14520,14056,14259,18590,KBS
2020-03-31 07:00:00,14085,14259,13446,13446,74240,KBS
2020-04-01 07:00:00,12836,14230,12836,13504,18250,KBS
2020-04-03 07:00:00,13417,13998,13388,13998,25040,KBS
2020-04-06 07:00:00,14520,14956,14520,14956,25790,KBS
2020-04-07 07:00:00,14985,15043,14956,14956,26630,KBS
2020-04-08 07:00:00,14956,14985,14956,14985,4910,KBS
2020-04-09 07:00:00,15392,15653,15392,15595,8140,KBS
2020-04-10 07:00:00,15943,15972,15682,15914,8500,KBS
2020-04-13 07:00:00,15421,16292,15421,16263,16570,KBS
2020-04-14 07:00:00,15217,16263,15217,16089,5270,KBS
2020-04-15 07:00:00,16089,16553,16089,16263,22140,KBS
2020-04-16 07:00:00,16263,16263,15972,15972,10520,KBS
2020-04-17 07:00:00,15682,16089,15682,16089,22930,KBS
2020-04-20 07:00:00,15159,15740,15159,15682,5530,KBS
2020-04-21 07:00:00,15421,15740,15421,15740,3090,KBS
2020-04-22 07:00:00,14869,15740,14869,15740,16520,KBS
2020-04-23 07:00:00,15305,15740,15159,15740,22510,KBS
2020-04-24 07:00:00,16263,16263,16205,16205,220,KBS
2020-04-27 07:00:00,16205,16205,15711,16089,3070,KBS
2020-04-28 07:00:00,16089,16089,15421,15421,40,KBS
2020-04-29 07:00:00,15885,15885,15885,15885,60,KBS
2020-05-04 07:00:00,15827,15827,15827,15827,50,KBS
2020-05-05 07:00:00,15421,16931,15421,15856,2080,KBS
2020-05-06 07:00:00,15682,15682,15392,15566,14970,KBS
2020-05-07 07:00:00,15566,16437,15566,16321,130,KBS
2020-05-08 07:00:00,16031,16089,16031,16031,4950,KBS
2020-05-11 07:00:00,16031,16466,15566,16466,3160,KBS
2020-05-12 07:00:00,15624,16263,15624,16263,6700,KBS
2020-05-13 07:00:00,16205,16495,15479,15508,47730,KBS
2020-05-14 07:00:00,16234,16234,15392,16118,34300,KBS
2020-05-15 07:00:00,16089,16089,15392,15972,2040,KBS
2020-05-18 07:00:00,15682,15682,15392,15595,4210,KBS
2020-05-19 07:00:00,15653,15682,15508,15682,15020,KBS
2020-05-20 07:00:00,15566,15827,15566,15827,8240,KBS
2020-05-21 07:00:00,15711,15856,15682,15856,5660,KBS
2020-05-22 07:00:00,15827,15914,15798,15798,10150,KBS
2020-05-25 07:00:00,15682,15972,15682,15972,7110,KBS
2020-05-26 07:00:00,15972,15972,15827,15856,40880,KBS
2020-05-27 07:00:00,15740,15856,15740,15856,16400,KBS
2020-05-28 07:00:00,15740,15827,15740,15798,9680,KBS
2020-05-29 07:00:00,15856,15856,15827,15827,750,KBS
2020-06-01 07:00:00,15798,15827,15769,15769,14940,KBS
2020-06-02 07:00:00,15827,15827,15769,15798,21240,KBS
2020-06-03 07:00:00,15827,15856,15827,15827,15810,KBS
2020-06-04 07:00:00,15827,15856,15682,15856,22360,KBS
2020-06-05 07:00:00,15769,15827,15682,15682,26580,KBS
2020-06-08 07:00:00,15682,15914,15682,15769,24280,KBS
2020-06-09 07:00:00,15740,15798,15682,15798,4140,KBS
2020-06-10 07:00:00,15711,15769,15711,15769,5660,KBS
2020-06-11 07:00:00,15769,15798,15682,15711,7780,KBS
2020-06-12 07:00:00,15566,15943,15101,15943,6870,KBS
2020-06-15 07:00:00,15798,15798,15392,15392,4310,KBS
2020-06-16 07:00:00,15246,15653,15246,15392,4510,KBS
2020-06-17 07:00:00,15421,15653,15421,15653,17330,KBS
2020-06-18 07:00:00,15334,15624,15334,15450,3730,KBS
2020-06-19 07:00:00,15334,15595,15334,15566,21350,KBS
2020-06-22 07:00:00,15653,15653,15421,15653,3870,KBS
2020-06-23 07:00:00,15508,15740,15508,15566,19520,KBS
2020-06-24 07:00:00,15566,15682,15421,15682,7760,KBS
2020-06-25 07:00:00,15305,15624,15305,15624,2660,KBS
2020-06-26 07:00:00,15392,15682,15392,15682,6050,KBS
