date,open,high,low,close,volume,_source
2020-01-02 07:00:00,16337,16337,16337,16337,50,KBS
2020-01-03 07:00:00,16337,16337,16337,16337,10,KBS
2020-01-07 07:00:00,17451,17451,17451,17451,1000,KBS
2020-01-09 07:00:00,17080,17080,17080,17080,60,KBS
2020-01-21 07:00:00,18268,18268,18268,18268,10,KBS
2020-01-22 07:00:00,19382,19456,19382,19456,1030,KBS
2020-01-30 07:00:00,18157,18157,18157,18157,10,KBS
2020-01-31 07:00:00,18157,18157,18157,18157,10,KBS
2020-02-11 07:00:00,18565,19419,18565,19419,30,KBS
2020-02-12 07:00:00,20756,20756,20422,20422,10150,KBS
2020-02-13 07:00:00,20793,20793,20793,20793,30,KBS
2020-02-14 07:00:00,20867,20867,20867,20867,200,KBS
2020-02-17 07:00:00,20793,20793,20793,20793,50,KBS
2020-02-24 07:00:00,22204,22241,22204,22241,10190,KBS
2020-02-25 07:00:00,20719,20719,20719,20719,10,KBS
2020-02-26 07:00:00,19308,19308,19308,19308,100,KBS
2020-02-28 07:00:00,20496,20496,20496,20496,500,KBS
2020-03-06 07:00:00,19159,19159,19159,19159,100,KBS
2020-03-11 07:00:00,20496,20496,20496,20496,100,KBS
2020-03-13 07:00:00,21164,21164,21164,21164,50,KBS
2020-03-16 07:00:00,21164,21684,21164,21684,1510,KBS
2020-03-17 07:00:00,23169,23169,23021,23021,90,KBS
2020-03-19 07:00:00,21424,21424,21424,21424,10,KBS
2020-03-30 07:00:00,19939,19939,19939,19939,10,KBS
2020-03-31 07:00:00,18565,19939,18565,19939,1550,KBS
2020-04-07 07:00:00,18937,18937,18937,18937,1000,KBS
2020-04-10 07:00:00,19976,19976,19976,19976,40,KBS
2020-04-13 07:00:00,19976,19976,19976,19976,30,KBS
2020-04-14 07:00:00,18751,18751,18751,18751,10,KBS
2020-04-16 07:00:00,20050,20050,20050,20050,10,KBS
2020-04-21 07:00:00,20422,20422,20050,20050,1060,KBS
2020-04-22 07:00:00,21424,21424,20793,20793,120,KBS
2020-05-07 07:00:00,19679,19679,19679,19679,130,KBS
2020-05-08 07:00:00,18565,20422,18565,20422,230,KBS
2020-05-11 07:00:00,20422,20422,19345,19716,50,KBS
2020-05-13 07:00:00,20422,20422,19308,19308,20,KBS
2020-05-14 07:00:00,20050,20050,19308,19308,30,KBS
2020-05-18 07:00:00,20385,20385,20385,20385,30,KBS
2020-05-25 07:00:00,20050,20050,20050,20050,5880,KBS
2020-05-26 07:00:00,20050,20422,20050,20422,1570,KBS
2020-05-27 07:00:00,19011,19011,19011,19011,100,KBS
2020-05-28 07:00:00,19308,19308,19308,19308,10,KBS
2020-05-29 07:00:00,19308,19308,19308,19308,6000,KBS
2020-06-01 07:00:00,19308,19308,19308,19308,5000,KBS
2020-06-02 07:00:00,19308,19308,19308,19308,10000,KBS
2020-06-03 07:00:00,19308,19308,17971,19308,20030,KBS
2020-06-04 07:00:00,17971,20645,17971,18565,580,KBS
2020-06-05 07:00:00,19679,19679,19679,19679,10,KBS
2020-06-12 07:00:00,18305,18305,18305,18305,10,KBS
2020-06-15 07:00:00,18305,18305,18305,18305,500,KBS
2020-06-16 07:00:00,18305,18305,18305,18305,50,KBS
2020-06-25 07:00:00,18565,18565,18565,18565,10000,KBS
2020-06-26 07:00:00,17266,17266,17266,17266,10,KBS
2020-07-06 07:00:00,17934,17934,17934,17934,10,KBS
2020-07-07 07:00:00,19011,19011,19011,19011,1040,KBS
2020-07-10 07:00:00,20199,20199,20199,20199,100,KBS
2020-07-29 07:00:00,18809,18809,18809,18809,120,KBS
2020-08-12 07:00:00,20083,20083,20083,20083,10,KBS
2020-08-13 07:00:00,20083,20083,20083,20083,10,KBS
2020-08-25 07:00:00,21164,21164,21164,21164,100,KBS
2020-08-31 07:00:00,19697,22632,19697,22632,60,KBS
2020-09-04 07:00:00,21049,21049,21049,21049,10,KBS
2020-09-07 07:00:00,22091,22091,22091,22091,10,KBS
2020-09-08 07:00:00,20547,20547,20547,20547,50,KBS
2020-09-09 07:00:00,19156,19156,19156,19156,10,KBS
