date,open,high,low,close,volume,_source
2020-01-02 07:00:00,14883,15090,14841,14883,27230,KBS
2020-01-03 07:00:00,15090,15090,14841,14841,13000,KBS
2020-01-06 07:00:00,14883,15546,14800,14924,11490,KBS
2020-01-07 07:00:00,15131,15131,14841,14924,8250,KBS
2020-01-08 07:00:00,14924,14924,14510,14841,8140,KBS
2020-01-09 07:00:00,14717,14924,14510,14510,41880,KBS
2020-01-10 07:00:00,14758,14758,14510,14510,8760,KBS
2020-01-13 07:00:00,14510,14510,14302,14447,10070,KBS
2020-01-14 07:00:00,14302,14510,13929,14344,30450,KBS
2020-01-15 07:00:00,13888,14468,13888,14427,7700,KBS
2020-01-16 07:00:00,14385,14427,14136,14344,17820,KBS
2020-01-17 07:00:00,14344,14344,14136,14302,18780,KBS
2020-01-20 07:00:00,14302,14302,13971,14302,31990,KBS
2020-01-21 07:00:00,14095,14302,13929,13929,29790,KBS
2020-01-22 07:00:00,13929,14261,13929,14261,18030,KBS
2020-01-30 07:00:00,14261,14261,13680,13846,28690,KBS
2020-01-31 07:00:00,13846,13846,13266,13266,20330,KBS
2020-02-03 07:00:00,12354,12851,12354,12395,27210,KBS
2020-02-04 07:00:00,12851,12851,12458,12789,4350,KBS
2020-02-05 07:00:00,12312,12644,12312,12458,38860,KBS
2020-02-06 07:00:00,12458,13266,12458,12851,50040,KBS
2020-02-07 07:00:00,13266,13266,12851,12934,17340,KBS
2020-02-10 07:00:00,12851,12934,12561,12727,18570,KBS
2020-02-11 07:00:00,12727,12727,12437,12686,42100,KBS
2020-02-12 07:00:00,12686,12686,12271,12603,75170,KBS
2020-02-13 07:00:00,12022,12561,12022,12437,82490,KBS
2020-02-14 07:00:00,12437,13183,12354,13183,140120,KBS
2020-02-17 07:00:00,13183,13245,12851,13059,27360,KBS
2020-02-18 07:00:00,13100,13183,13059,13142,14000,KBS
2020-02-19 07:00:00,13142,14012,13142,13307,39460,KBS
2020-02-20 07:00:00,13888,13888,13432,13680,19920,KBS
2020-02-21 07:00:00,13473,13846,13266,13680,14440,KBS
2020-02-24 07:00:00,12727,13349,12727,12727,42840,KBS
2020-02-25 07:00:00,12727,12976,12437,12727,19990,KBS
2020-02-26 07:00:00,12644,12644,12354,12437,47810,KBS
2020-02-27 07:00:00,12810,12810,12437,12727,11320,KBS
2020-02-28 07:00:00,12437,12623,12354,12603,23530,KBS
2020-03-02 07:00:00,12603,12768,12437,12603,19330,KBS
2020-03-03 07:00:00,12851,13038,12686,12893,24210,KBS
2020-03-04 07:00:00,12603,12976,12603,12851,7080,KBS
2020-03-05 07:00:00,12851,12893,12644,12810,16730,KBS
2020-03-06 07:00:00,12810,12851,12644,12768,10960,KBS
2020-03-09 07:00:00,12437,12437,11877,11877,73590,KBS
2020-03-10 07:00:00,11525,12437,11525,12147,18190,KBS
2020-03-11 07:00:00,12188,12188,11297,11297,82700,KBS
2020-03-12 07:00:00,11297,11297,10509,10509,59610,KBS
2020-03-13 07:00:00,9784,10281,9784,9867,129850,KBS
2020-03-16 07:00:00,9535,10364,9535,9846,65240,KBS
2020-03-17 07:00:00,9183,9742,9183,9659,32020,KBS
2020-03-18 07:00:00,10281,10281,9618,9618,71960,KBS
2020-03-19 07:00:00,9535,9659,9369,9618,24750,KBS
2020-03-20 07:00:00,9618,9949,9535,9576,8020,KBS
2020-03-23 07:00:00,9286,9452,8913,8913,37370,KBS
2020-03-24 07:00:00,9079,9079,8830,8913,38980,KBS
2020-03-25 07:00:00,9473,9493,9286,9493,58500,KBS
2020-03-26 07:00:00,9411,9949,8996,9618,37520,KBS
2020-03-27 07:00:00,9183,9701,9183,9618,52650,KBS
2020-03-30 07:00:00,9079,9535,8954,9535,110560,KBS
2020-03-31 07:00:00,9535,9618,8872,9328,70880,KBS
2020-04-01 07:00:00,9120,9535,9120,9452,13560,KBS
2020-04-03 07:00:00,9452,9949,9452,9949,25960,KBS
2020-04-06 07:00:00,10530,10613,10364,10571,38870,KBS
2020-04-07 07:00:00,11193,11193,10364,11152,41190,KBS
2020-04-08 07:00:00,10779,10779,10405,10675,28700,KBS
2020-04-09 07:00:00,10779,10986,10571,10986,77110,KBS
2020-04-10 07:00:00,10779,11110,10779,10986,21100,KBS
2020-04-13 07:00:00,11027,11110,10861,10986,29560,KBS
2020-04-14 07:00:00,11193,11193,10841,11152,53520,KBS
2020-04-15 07:00:00,11442,11587,11359,11483,34680,KBS
2020-04-16 07:00:00,11545,11919,11483,11919,47220,KBS
2020-04-17 07:00:00,12271,12561,12022,12230,49000,KBS
2020-04-20 07:00:00,12478,12623,12230,12312,57800,KBS
2020-04-21 07:00:00,12312,12354,11463,11463,66530,KBS
2020-04-22 07:00:00,11463,11608,11193,11608,66130,KBS
2020-04-23 07:00:00,12395,12395,11649,11898,26860,KBS
2020-04-24 07:00:00,12002,12105,11649,12105,14580,KBS
2020-04-27 07:00:00,12105,12147,11566,11898,68020,KBS
2020-04-28 07:00:00,11981,11981,11587,11815,21790,KBS
2020-04-29 07:00:00,11877,11898,11608,11877,21400,KBS
2020-05-04 07:00:00,11877,11877,11566,11732,15600,KBS
2020-05-05 07:00:00,11774,11774,11442,11711,5370,KBS
2020-05-06 07:00:00,11711,11732,11566,11711,56460,KBS
2020-05-07 07:00:00,11815,12064,11815,11981,20920,KBS
2020-05-08 07:00:00,12022,12022,11856,11856,40120,KBS
2020-05-11 07:00:00,11794,11939,11691,11794,32810,KBS
2020-05-12 07:00:00,11794,12022,11732,12022,30930,KBS
2020-05-13 07:00:00,12022,12354,11898,12188,77490,KBS
2020-05-14 07:00:00,11939,12147,11753,11981,48400,KBS
2020-05-15 07:00:00,12002,12022,11608,12022,78510,KBS
2020-05-18 07:00:00,12022,12022,11691,11815,12390,KBS
2020-05-19 07:00:00,11815,11981,11711,11815,45490,KBS
2020-05-20 07:00:00,11815,11815,11442,11711,65660,KBS
2020-05-21 07:00:00,11525,11836,11525,11711,39450,KBS
2020-05-22 07:00:00,11774,11774,11566,11608,50860,KBS
2020-05-25 07:00:00,11608,11691,11545,11691,37040,KBS
2020-05-26 07:00:00,11732,11732,11608,11649,32280,KBS
2020-05-27 07:00:00,11691,11691,11545,11545,85760,KBS
2020-05-28 07:00:00,11545,11566,11359,11566,41270,KBS
2020-05-29 07:00:00,11732,11732,11359,11545,33720,KBS
2020-06-01 07:00:00,11545,11566,11483,11545,58880,KBS
2020-06-02 07:00:00,11608,11608,11483,11504,33650,KBS
2020-06-03 07:00:00,11504,11566,11442,11566,12490,KBS
2020-06-04 07:00:00,11608,11711,11587,11691,121340,KBS
2020-06-05 07:00:00,11794,11794,11649,11691,49660,KBS
2020-06-08 07:00:00,11691,12499,11608,12499,202150,KBS
2020-06-09 07:00:00,13183,13183,12955,13059,160130,KBS
2020-06-10 07:00:00,13059,13059,12603,12603,113820,KBS
2020-06-11 07:00:00,12727,12727,11732,11732,129910,KBS
2020-06-12 07:00:00,11400,12230,11400,12022,265750,KBS
2020-06-15 07:00:00,12064,12064,11691,11815,126620,KBS
2020-06-16 07:00:00,11981,12022,11753,11856,28820,KBS
2020-06-17 07:00:00,12292,12292,11815,11960,14190,KBS
2020-06-18 07:00:00,12188,12395,11939,12395,35390,KBS
2020-06-19 07:00:00,12395,12748,12395,12727,55980,KBS
2020-06-22 07:00:00,12727,13017,12478,12727,52130,KBS
2020-06-23 07:00:00,12727,13121,12416,12851,118340,KBS
2020-06-24 07:00:00,12851,13162,12727,12727,49950,KBS
2020-06-25 07:00:00,12188,12686,12188,12520,18610,KBS
2020-06-26 07:00:00,12520,12996,12520,12893,152780,KBS
2020-06-29 07:00:00,12893,12955,12437,12768,69070,KBS
2020-06-30 07:00:00,12851,13245,12644,12872,81140,KBS
2020-07-01 07:00:00,13245,13245,12851,12851,21360,KBS
2020-07-02 07:00:00,12851,12996,12748,12914,34780,KBS
2020-07-03 07:00:00,12955,12955,12520,12520,32570,KBS
2020-07-06 07:00:00,12831,12831,12540,12540,63340,KBS
2020-07-07 07:00:00,12644,12686,12520,12520,40740,KBS
2020-07-08 07:00:00,12520,12520,12022,12147,70180,KBS
2020-07-09 07:00:00,12230,12416,12167,12312,33020,KBS
2020-07-10 07:00:00,12437,12437,12147,12312,14360,KBS
2020-07-13 07:00:00,12312,12478,12147,12230,29730,KBS
2020-07-14 07:00:00,12230,12230,12043,12230,35290,KBS
2020-07-15 07:00:00,12230,12333,12209,12292,21340,KBS
2020-07-16 07:00:00,12292,12333,12209,12230,14610,KBS
2020-07-17 07:00:00,12312,12478,12230,12478,46130,KBS
2020-07-20 07:00:00,12644,13079,12644,12893,96810,KBS
2020-07-21 07:00:00,13059,13059,12561,12686,16150,KBS
2020-07-22 07:00:00,12893,12893,12437,12686,33900,KBS
2020-07-23 07:00:00,12686,12686,12354,12561,16160,KBS
2020-07-24 07:00:00,12561,12561,11691,11815,33060,KBS
2020-07-27 07:00:00,11608,11608,11007,11317,114660,KBS
2020-07-28 07:00:00,11400,12105,11400,12022,43790,KBS
2020-07-29 07:00:00,12022,12022,11400,11815,23490,KBS
2020-07-30 07:00:00,11981,12022,11815,12022,27090,KBS
2020-07-31 07:00:00,12022,12022,11815,11856,9950,KBS
2020-08-03 07:00:00,11856,12230,11856,12022,31850,KBS
2020-08-04 07:00:00,12022,12603,12022,12603,32660,KBS
2020-08-05 07:00:00,12623,12810,12603,12686,78880,KBS
2020-08-06 07:00:00,12686,12934,12644,12644,24310,KBS
2020-08-07 07:00:00,12768,12768,12540,12644,30450,KBS
2020-08-10 07:00:00,12851,13142,12644,12976,129860,KBS
2020-08-11 07:00:00,13059,13059,12644,12893,32440,KBS
2020-08-12 07:00:00,12851,13059,12851,12893,38310,KBS
2020-08-13 07:00:00,12976,12976,12437,12810,35690,KBS
2020-08-14 07:00:00,12810,12810,12520,12727,34710,KBS
2020-08-17 07:00:00,12727,12727,12458,12603,27630,KBS
2020-08-18 07:00:00,12603,12727,12520,12561,21320,KBS
2020-08-19 07:00:00,12644,13017,12561,12934,63830,KBS
