date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2872,2872,2872,2872,700,KBS
2020-01-08 07:00:00,2779,2779,2779,2779,1500,KBS
2020-01-09 07:00:00,2872,2872,2872,2872,1500,KBS
2020-01-14 07:00:00,2779,2779,2779,2779,400,KBS
2020-01-17 07:00:00,2779,2779,2779,2779,2200,KBS
2020-01-20 07:00:00,2687,2687,2687,2687,120,KBS
2020-01-21 07:00:00,2779,2779,2779,2779,1000,KBS
2020-01-22 07:00:00,2779,2779,2779,2779,1000,KBS
2020-01-30 07:00:00,2687,2687,2687,2687,1000,KBS
2020-01-31 07:00:00,2687,2687,2687,2687,1500,KBS
2020-02-03 07:00:00,2501,2779,2501,2779,400,KBS
2020-02-04 07:00:00,2779,2872,2779,2872,1000,KBS
2020-02-06 07:00:00,2594,2594,2594,2594,100,KBS
2020-02-07 07:00:00,2594,2779,2594,2779,300,KBS
2020-02-12 07:00:00,2779,2779,2779,2779,500,KBS
2020-02-13 07:00:00,2687,2687,2687,2687,8300,KBS
2020-02-14 07:00:00,2779,2779,2779,2779,100,KBS
2020-03-05 07:00:00,2779,2779,2779,2779,1500,KBS
2020-03-06 07:00:00,2779,2779,2779,2779,1400,KBS
2020-03-09 07:00:00,2687,2687,2594,2594,6400,KBS
2020-03-10 07:00:00,2594,2594,2501,2594,6100,KBS
2020-03-12 07:00:00,2409,2409,2409,2409,18200,KBS
2020-03-13 07:00:00,2316,2316,2224,2224,21500,KBS
2020-03-16 07:00:00,2131,2409,2038,2316,33600,KBS
2020-03-17 07:00:00,2224,2224,2224,2224,500,KBS
2020-03-18 07:00:00,2316,2316,2316,2316,4800,KBS
2020-03-19 07:00:00,2224,2224,2131,2131,27100,KBS
2020-03-20 07:00:00,2131,2316,2131,2316,9900,KBS
2020-03-24 07:00:00,2131,2316,2131,2316,200,KBS
2020-03-25 07:00:00,2316,2316,2316,2316,1200,KBS
2020-03-26 07:00:00,2316,2316,2131,2316,14200,KBS
2020-03-27 07:00:00,2316,2316,2316,2316,5400,KBS
2020-03-30 07:00:00,2131,2316,2131,2316,10100,KBS
2020-04-01 07:00:00,2316,2409,2316,2409,1500,KBS
2020-04-06 07:00:00,2316,2316,2224,2224,1200,KBS
2020-04-08 07:00:00,2224,2224,2224,2224,2105,KBS
2020-04-09 07:00:00,2316,2316,2224,2224,24200,KBS
2020-04-10 07:00:00,2316,2409,2131,2316,52830,KBS
2020-04-13 07:00:00,2224,2316,2224,2316,800,KBS
2020-04-14 07:00:00,2224,2316,2224,2316,300,KBS
2020-04-15 07:00:00,2224,2224,2224,2224,12220,KBS
2020-04-16 07:00:00,2224,2224,2224,2224,4100,KBS
2020-04-17 07:00:00,2224,2316,2224,2316,10600,KBS
2020-04-20 07:00:00,2316,2409,2224,2409,38105,KBS
2020-04-21 07:00:00,2316,2316,2224,2316,22700,KBS
2020-04-22 07:00:00,2224,2316,2224,2316,6900,KBS
2020-04-23 07:00:00,2224,2316,2224,2316,17710,KBS
2020-04-24 07:00:00,2316,2409,2316,2316,3100,KBS
2020-04-27 07:00:00,2316,2409,2224,2409,16500,KBS
2020-04-28 07:00:00,2409,2409,2316,2409,1500,KBS
2020-05-04 07:00:00,2316,2316,2224,2224,13600,KBS
2020-05-05 07:00:00,2131,2224,2131,2224,3190,KBS
2020-05-06 07:00:00,2131,2131,2131,2131,13800,KBS
2020-05-07 07:00:00,2131,2224,2131,2224,26140,KBS
2020-05-11 07:00:00,2131,2131,2131,2131,920,KBS
2020-05-12 07:00:00,2131,2224,2131,2224,550,KBS
2020-05-13 07:00:00,2224,2224,2224,2224,5140,KBS
2020-05-14 07:00:00,2131,2224,2038,2224,21050,KBS
2020-05-15 07:00:00,2131,2224,2131,2224,32100,KBS
2020-05-18 07:00:00,2224,2316,2224,2316,5605,KBS
2020-05-19 07:00:00,2316,2316,2224,2316,1820,KBS
2020-05-20 07:00:00,2224,2316,2224,2316,6800,KBS
2020-05-21 07:00:00,2224,2316,2224,2316,27700,KBS
2020-05-22 07:00:00,2316,2316,2316,2316,600,KBS
2020-05-25 07:00:00,2316,2316,2316,2316,8000,KBS
2020-05-26 07:00:00,2409,2501,2409,2501,10100,KBS
2020-05-27 07:00:00,2409,2409,2409,2409,4455,KBS
2020-05-29 07:00:00,2409,2501,2409,2501,1700,KBS
2020-06-01 07:00:00,2409,2501,2409,2501,13090,KBS
2020-06-02 07:00:00,2409,2409,2316,2409,16500,KBS
2020-06-04 07:00:00,2224,2409,2224,2409,31300,KBS
2020-06-05 07:00:00,2316,2409,2316,2409,23800,KBS
2020-06-08 07:00:00,2316,2409,2224,2409,9100,KBS
2020-06-09 07:00:00,2409,2409,2316,2409,24500,KBS
2020-06-10 07:00:00,2316,2409,2224,2409,25100,KBS
2020-06-11 07:00:00,2316,2501,2316,2409,85640,KBS
2020-06-12 07:00:00,2316,2316,2224,2224,37520,KBS
2020-06-15 07:00:00,2224,2224,2131,2224,16110,KBS
2020-06-16 07:00:00,2131,2131,2038,2131,14200,KBS
2020-06-17 07:00:00,2224,2316,2224,2316,38600,KBS
2020-06-18 07:00:00,2316,2316,2224,2224,11202,KBS
2020-06-19 07:00:00,2224,2224,2224,2224,5200,KBS
2020-06-22 07:00:00,2224,2224,2224,2224,8,KBS
2020-06-24 07:00:00,2224,2224,2131,2131,3400,KBS
2020-06-25 07:00:00,2224,2224,2224,2224,2000,KBS
2020-06-26 07:00:00,2224,2224,2131,2131,12200,KBS
2020-06-29 07:00:00,2131,2131,2131,2131,6000,KBS
2020-06-30 07:00:00,2224,2224,2224,2224,1010,KBS
2020-07-02 07:00:00,2224,2224,2224,2224,30,KBS
2020-07-03 07:00:00,2131,2316,2038,2316,67000,KBS
2020-07-06 07:00:00,2316,2501,2224,2501,45910,KBS
2020-07-07 07:00:00,2501,2594,2316,2594,99400,KBS
2020-07-08 07:00:00,2594,2779,2501,2779,117608,KBS
2020-07-09 07:00:00,2872,3057,2872,3057,72610,KBS
2020-07-10 07:00:00,3335,3335,3335,3335,69300,KBS
2020-07-13 07:00:00,3613,3613,3335,3613,141908,KBS
2020-07-14 07:00:00,3706,3706,3335,3335,57000,KBS
2020-07-15 07:00:00,3613,3613,3243,3428,132802,KBS
2020-07-16 07:00:00,3150,3706,3150,3706,211500,KBS
2020-07-17 07:00:00,3521,3706,3428,3706,58000,KBS
2020-07-20 07:00:00,3335,3613,3335,3521,17510,KBS
2020-07-21 07:00:00,3521,3613,3243,3521,48800,KBS
2020-07-22 07:00:00,3521,3613,3243,3428,78700,KBS
2020-07-23 07:00:00,3428,3613,3335,3428,126200,KBS
2020-07-24 07:00:00,3428,3428,3150,3428,42100,KBS
2020-07-27 07:00:00,3150,3243,3150,3150,30100,KBS
2020-07-28 07:00:00,3057,3057,2872,2965,57300,KBS
2020-07-29 07:00:00,2965,3243,2687,2965,110000,KBS
2020-07-30 07:00:00,2965,3150,2687,2965,70112,KBS
2020-07-31 07:00:00,2779,2779,2687,2687,39700,KBS
2020-08-03 07:00:00,2594,2687,2501,2594,139800,KBS
2020-08-04 07:00:00,2594,2779,2409,2687,283300,KBS
2020-08-05 07:00:00,2779,2872,2687,2872,853500,KBS
2020-08-06 07:00:00,2965,3150,2965,3150,83200,KBS
2020-08-07 07:00:00,3428,3428,3150,3335,290700,KBS
2020-08-10 07:00:00,3150,3150,3057,3057,235000,KBS
2020-08-11 07:00:00,2965,3057,2779,2965,67700,KBS
2020-08-12 07:00:00,2872,3243,2779,3243,70000,KBS
2020-08-13 07:00:00,3243,3243,3057,3243,197600,KBS
2020-08-14 07:00:00,3150,3335,3150,3335,125500,KBS
2020-08-17 07:00:00,3243,3428,3150,3335,76600,KBS
2020-08-18 07:00:00,3243,3335,3057,3057,61300,KBS
2020-08-19 07:00:00,2965,3243,2779,3057,49200,KBS
2020-08-20 07:00:00,3057,3243,2965,3150,115900,KBS
2020-08-21 07:00:00,3243,3243,2872,3057,373956,KBS
2020-08-24 07:00:00,2872,2872,2779,2779,117898,KBS
2020-08-25 07:00:00,2872,2872,2687,2687,100102,KBS
2020-08-26 07:00:00,2687,2872,2687,2872,143760,KBS
2020-08-27 07:00:00,2872,2965,2872,2965,28405,KBS
2020-08-28 07:00:00,2965,2965,2779,2872,42500,KBS
2020-08-31 07:00:00,2779,2872,2779,2872,58100,KBS
2020-09-01 07:00:00,2687,2779,2594,2687,24000,KBS
2020-09-03 07:00:00,2687,2872,2687,2872,55614,KBS
2020-09-04 07:00:00,2872,2872,2687,2779,39000,KBS
2020-09-07 07:00:00,2687,2779,2687,2779,22610,KBS
2020-09-08 07:00:00,2687,2779,2687,2779,35510,KBS
2020-09-09 07:00:00,2779,2872,2779,2872,89164,KBS
2020-09-10 07:00:00,2779,3150,2779,3057,200229,KBS
2020-09-11 07:00:00,3057,3057,2872,2872,81210,KBS
2020-09-14 07:00:00,2872,2965,2872,2872,44869,KBS
2020-09-15 07:00:00,2872,2872,2779,2872,44601,KBS
2020-09-16 07:00:00,2872,2965,2779,2965,59800,KBS
2020-09-17 07:00:00,2872,2965,2872,2965,4900,KBS
2020-09-18 07:00:00,2872,2965,2872,2872,15800,KBS
2020-09-21 07:00:00,2965,3150,2965,3150,184220,KBS
2020-09-22 07:00:00,3150,3335,3150,3243,31895,KBS
2020-09-23 07:00:00,3243,3243,3150,3150,14915,KBS
2020-09-24 07:00:00,3057,3057,2965,3057,57940,KBS
2020-09-25 07:00:00,2965,3057,2872,2872,17610,KBS
2020-09-28 07:00:00,2965,3150,2965,2965,62310,KBS
2020-09-29 07:00:00,3057,3057,2965,2965,72300,KBS
2020-09-30 07:00:00,2965,2965,2965,2965,4270,KBS
2020-10-01 07:00:00,2965,3057,2872,3057,53339,KBS
2020-10-02 07:00:00,3057,3057,2872,3057,12100,KBS
2020-10-05 07:00:00,3057,3057,2872,3057,11120,KBS
2020-10-06 07:00:00,2965,3057,2872,3057,18800,KBS
2020-10-07 07:00:00,2965,2965,2872,2965,38300,KBS
2020-10-08 07:00:00,2872,2965,2872,2965,36620,KBS
2020-10-09 07:00:00,2965,3150,2965,2965,25804,KBS
2020-10-12 07:00:00,2965,3057,2872,2965,54400,KBS
2020-10-13 07:00:00,2965,2965,2965,2965,17500,KBS
2020-10-14 07:00:00,2872,2965,2872,2965,29800,KBS
2020-10-15 07:00:00,2872,2965,2872,2965,30015,KBS
2020-10-16 07:00:00,2965,2965,2872,2872,3140,KBS
2020-10-19 07:00:00,2872,2872,2687,2687,56155,KBS
2020-10-20 07:00:00,2687,2779,2687,2779,12100,KBS
2020-10-21 07:00:00,2779,2779,2779,2779,12725,KBS
2020-10-22 07:00:00,2779,2779,2687,2687,12400,KBS
2020-10-23 07:00:00,2687,2687,2501,2687,145996,KBS
2020-10-26 07:00:00,2594,2594,2501,2594,85600,KBS
2020-10-27 07:00:00,2501,2501,2501,2501,9904,KBS
2020-10-28 07:00:00,2501,2501,2316,2409,66200,KBS
2020-10-29 07:00:00,2409,2501,2409,2501,12800,KBS
2020-10-30 07:00:00,2409,2501,2316,2501,58220,KBS
2020-11-02 07:00:00,2409,2501,2409,2409,20110,KBS
2020-11-03 07:00:00,2409,2501,2409,2501,10443,KBS
2020-11-04 07:00:00,2501,2501,2501,2501,500,KBS
2020-11-05 07:00:00,2501,2501,2409,2409,11120,KBS
2020-11-06 07:00:00,2409,2501,2409,2501,4000,KBS
2020-11-09 07:00:00,2409,2501,2409,2501,19200,KBS
2020-11-10 07:00:00,2409,2409,2409,2409,19575,KBS
2020-11-11 07:00:00,2316,2409,2316,2409,17900,KBS
2020-11-12 07:00:00,2316,2409,2316,2409,7700,KBS
2020-11-13 07:00:00,2316,2409,2316,2316,16005,KBS
2020-11-16 07:00:00,2316,2409,2316,2409,10400,KBS
2020-11-17 07:00:00,2409,2501,2409,2501,19900,KBS
2020-11-18 07:00:00,2501,2501,2409,2409,61720,KBS
2020-11-19 07:00:00,2409,2409,2409,2409,11400,KBS
2020-11-20 07:00:00,2409,2501,2409,2501,14573,KBS
2020-11-23 07:00:00,2409,2501,2316,2501,65659,KBS
2020-11-24 07:00:00,2409,2409,2409,2409,10000,KBS
2020-11-25 07:00:00,2409,2501,2409,2501,15400,KBS
2020-11-26 07:00:00,2409,2409,2409,2409,16400,KBS
2020-11-27 07:00:00,2409,2501,2316,2501,35500,KBS
2020-11-30 07:00:00,2409,2501,2409,2501,18100,KBS
2020-12-01 07:00:00,2409,2501,2409,2501,25530,KBS
2020-12-02 07:00:00,2409,2501,2409,2409,16840,KBS
2020-12-03 07:00:00,2501,2501,2409,2409,1200,KBS
2020-12-04 07:00:00,2409,2409,2316,2316,32600,KBS
2020-12-07 07:00:00,2409,2501,2409,2501,18800,KBS
2020-12-08 07:00:00,2501,2501,2409,2409,10220,KBS
2020-12-09 07:00:00,2409,2501,2316,2409,50500,KBS
2020-12-10 07:00:00,2409,2501,2409,2501,21600,KBS
2020-12-11 07:00:00,2409,2501,2409,2501,900,KBS
2020-12-14 07:00:00,2409,2409,2316,2409,38520,KBS
2020-12-15 07:00:00,2409,2409,2316,2409,18282,KBS
2020-12-16 07:00:00,2409,2501,2409,2409,16200,KBS
2020-12-17 07:00:00,2409,2409,2316,2409,66420,KBS
2020-12-18 07:00:00,2409,2501,2409,2501,33200,KBS
2020-12-21 07:00:00,2409,2501,2409,2501,12200,KBS
2020-12-22 07:00:00,2409,2501,2409,2501,21602,KBS
2020-12-23 07:00:00,2501,2687,2501,2687,163700,KBS
2020-12-24 07:00:00,2687,2687,2501,2594,46600,KBS
2020-12-25 07:00:00,2594,2687,2501,2594,18700,KBS
2020-12-28 07:00:00,2594,2594,2501,2501,44202,KBS
2020-12-29 07:00:00,2594,2687,2594,2687,112235,KBS
2020-12-30 07:00:00,2687,2872,2687,2687,94730,KBS
2020-12-31 07:00:00,2687,2779,2594,2779,26286,KBS
2021-01-04 07:00:00,2779,2872,2687,2779,57715,KBS
2021-01-05 07:00:00,2779,2779,2687,2779,67500,KBS
2021-01-06 07:00:00,2687,3057,2687,2965,112100,KBS
2021-01-07 07:00:00,2965,3057,2965,3057,21300,KBS
2021-01-08 07:00:00,3057,3057,2779,2872,136677,KBS
2021-01-11 07:00:00,2872,3057,2872,3057,127400,KBS
2021-01-12 07:00:00,3057,3057,2872,2965,39900,KBS
2021-01-13 07:00:00,2965,3057,2872,2965,61615,KBS
2021-01-14 07:00:00,2965,2965,2872,2965,11700,KBS
2021-01-15 07:00:00,2965,2965,2872,2965,67600,KBS
2021-01-18 07:00:00,2965,3243,2965,3243,183699,KBS
2021-01-19 07:00:00,3335,3521,3150,3243,170515,KBS
2021-01-20 07:00:00,3243,3428,2965,3428,98200,KBS
2021-01-21 07:00:00,3428,3706,3428,3706,164809,KBS
2021-01-22 07:00:00,3706,3706,3335,3335,117016,KBS
2021-01-25 07:00:00,3243,3428,3150,3428,88627,KBS
2021-01-26 07:00:00,3428,3428,3243,3428,42300,KBS
2021-01-27 07:00:00,3243,3335,3150,3243,37100,KBS
2021-01-28 07:00:00,3243,3243,2965,2965,79627,KBS
2021-01-29 07:00:00,2872,2872,2687,2872,39000,KBS
2021-02-01 07:00:00,2965,2965,2872,2872,5400,KBS
2021-02-02 07:00:00,2965,2965,2872,2965,3710,KBS
2021-02-03 07:00:00,2872,2965,2779,2965,22600,KBS
2021-02-04 07:00:00,2872,2965,2872,2965,2100,KBS
2021-02-05 07:00:00,2965,2965,2965,2965,200,KBS
2021-02-08 07:00:00,2965,2965,2779,2872,16700,KBS
2021-02-09 07:00:00,2872,2965,2872,2872,9700,KBS
2021-02-17 07:00:00,2872,2965,2779,2965,13650,KBS
2021-02-18 07:00:00,2965,3057,2965,2965,26610,KBS
2021-02-19 07:00:00,2965,3150,2965,3057,43400,KBS
2021-02-22 07:00:00,2965,3057,2965,3057,9600,KBS
2021-02-23 07:00:00,3057,3057,2965,2965,12400,KBS
2021-02-24 07:00:00,2965,3150,2965,3057,32200,KBS
2021-02-25 07:00:00,3057,3057,2965,3057,37600,KBS
2021-02-26 07:00:00,2965,3243,2965,3243,35400,KBS
2021-03-01 07:00:00,3243,3243,3150,3243,12200,KBS
2021-03-02 07:00:00,3243,3243,3057,3057,23865,KBS
2021-03-03 07:00:00,3150,3150,3057,3150,18700,KBS
2021-03-04 07:00:00,3057,3243,2965,3243,5804,KBS
2021-03-05 07:00:00,3243,3243,3150,3150,21850,KBS
2021-03-08 07:00:00,3243,3335,3243,3243,32000,KBS
2021-03-09 07:00:00,3243,3335,3243,3335,31010,KBS
2021-03-10 07:00:00,3428,3613,3335,3613,197316,KBS
2021-03-11 07:00:00,3613,3799,3613,3706,57935,KBS
2021-03-12 07:00:00,3799,3799,3428,3613,14778,KBS
2021-03-15 07:00:00,3613,3613,3335,3521,107875,KBS
2021-03-16 07:00:00,3521,3613,3335,3521,98400,KBS
2021-03-17 07:00:00,3335,3521,3335,3521,25901,KBS
2021-03-18 07:00:00,3428,3521,3335,3521,65800,KBS
2021-03-19 07:00:00,3335,3428,3335,3335,57300,KBS
2021-03-22 07:00:00,3335,3613,3335,3613,108550,KBS
2021-03-23 07:00:00,3706,3891,3706,3891,220700,KBS
2021-03-24 07:00:00,3984,4262,3984,4262,230980,KBS
2021-03-25 07:00:00,4262,4354,3891,3891,66000,KBS
2021-03-26 07:00:00,3799,3984,3613,3799,60202,KBS
2021-03-29 07:00:00,3799,3891,3521,3891,106612,KBS
2021-03-30 07:00:00,3891,3891,3706,3891,64368,KBS
2021-03-31 07:00:00,3706,3891,3706,3891,59800,KBS
2021-04-01 07:00:00,3891,3891,3706,3891,56550,KBS
2021-04-02 07:00:00,3891,3984,3891,3984,46810,KBS
2021-04-05 07:00:00,3891,4354,3891,4262,127050,KBS
2021-04-06 07:00:00,4262,4354,3891,4076,73221,KBS
2021-04-07 07:00:00,4169,4447,4169,4262,155200,KBS
2021-04-08 07:00:00,4447,4632,4262,4632,178100,KBS
2021-04-09 07:00:00,4725,5096,4725,5096,194711,KBS
2021-04-12 07:00:00,5188,5559,5096,5559,184123,KBS
2021-04-13 07:00:00,5559,5929,5188,5188,247600,KBS
2021-04-14 07:00:00,5096,5374,5003,5281,52100,KBS
2021-04-15 07:00:00,5188,5281,4818,5281,94340,KBS
2021-04-16 07:00:00,5003,5096,4818,5003,117071,KBS
2021-04-19 07:00:00,4910,5003,4540,4725,179210,KBS
2021-04-20 07:00:00,4632,4632,4262,4262,205200,KBS
2021-04-22 07:00:00,4354,4540,4169,4262,66900,KBS
2021-04-23 07:00:00,4262,4447,3984,4447,103700,KBS
2021-04-26 07:00:00,4540,4540,4076,4262,60020,KBS
2021-04-27 07:00:00,4169,4169,3891,4076,30300,KBS
2021-04-28 07:00:00,3984,4354,3891,4354,29900,KBS
2021-04-29 07:00:00,4169,4354,4076,4354,8700,KBS
2021-05-04 07:00:00,4169,4262,3984,4169,18600,KBS
2021-05-05 07:00:00,4262,4354,4169,4262,16619,KBS
2021-05-06 07:00:00,4262,4262,3891,3984,51900,KBS
