date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10590,11331,10590,11331,400,KBS
2020-01-03 07:00:00,10961,10961,10961,10961,600,KBS
2020-01-06 07:00:00,11490,11490,10061,10908,1400,KBS
2020-01-07 07:00:00,10749,10749,10749,10749,241,KBS
2020-01-08 07:00:00,10643,10643,10643,10643,300,KBS
2020-01-09 07:00:00,10643,10802,10802,10802,700,KBS
2020-01-10 07:00:00,10643,10643,10643,10643,500,KBS
2020-01-13 07:00:00,10590,10590,10590,10590,200,KBS
2020-01-14 07:00:00,11172,11172,11172,11172,300,KBS
2020-01-15 07:00:00,11120,11120,11120,11120,410,KBS
2020-01-16 07:00:00,11543,11543,11172,11172,400,KBS
2020-01-17 07:00:00,10590,11225,10590,11225,510,KBS
2020-01-20 07:00:00,11649,11649,11649,11649,200,KBS
2020-01-21 07:00:00,12814,12814,10643,12126,1350,KBS
2020-01-22 07:00:00,12292,12292,12292,12292,500,KBS
2020-01-30 07:00:00,12901,12901,11074,12624,1200,KBS
2020-01-31 07:00:00,13233,13233,12901,12901,600,KBS
2020-02-03 07:00:00,12901,12901,12901,12901,35,KBS
2020-02-04 07:00:00,12845,13787,11627,12901,1200,KBS
2020-02-05 07:00:00,13178,13178,11627,12790,1000,KBS
2020-02-06 07:00:00,11517,12292,11517,12292,1001,KBS
2020-02-10 07:00:00,11129,11959,11129,11959,350,KBS
2020-02-12 07:00:00,10907,11683,10907,11683,1700,KBS
2020-02-13 07:00:00,11517,11517,11517,11517,300,KBS
2020-02-18 07:00:00,11461,11461,11461,11461,300,KBS
2020-02-19 07:00:00,11295,11295,11295,11295,500,KBS
2020-02-20 07:00:00,10797,10797,10797,10797,900,KBS
2020-02-21 07:00:00,11627,11627,11627,11627,100,KBS
2020-02-26 07:00:00,10575,11461,10575,11461,900,KBS
2020-02-28 07:00:00,11627,11627,11018,11018,600,KBS
2020-03-02 07:00:00,10520,10907,10520,10907,600,KBS
2020-03-03 07:00:00,10520,10520,10520,10520,300,KBS
2020-03-05 07:00:00,10520,10520,10520,10520,600,KBS
2020-03-06 07:00:00,10520,10520,10520,10520,200,KBS
2020-03-09 07:00:00,10741,11517,10741,11517,200,KBS
2020-03-11 07:00:00,10520,10520,10520,10520,200,KBS
2020-03-12 07:00:00,9523,9634,9468,9634,1100,KBS
2020-03-13 07:00:00,10575,10575,10575,10575,100,KBS
2020-03-16 07:00:00,10963,10963,10963,10963,100,KBS
2020-03-17 07:00:00,9911,10298,9911,10298,500,KBS
2020-03-18 07:00:00,11018,11018,10797,10797,200,KBS
2020-03-26 07:00:00,9800,10520,9800,10520,1200,KBS
2020-04-03 07:00:00,10465,10575,10465,10575,1000,KBS
2020-04-06 07:00:00,9579,9966,9523,9966,1050,KBS
2020-04-07 07:00:00,9191,9966,9136,9966,11800,KBS
2020-04-10 07:00:00,9246,9246,9025,9080,2800,KBS
2020-04-13 07:00:00,8970,9302,8914,9302,1910,KBS
2020-04-14 07:00:00,9246,9302,9246,9302,2000,KBS
2020-04-15 07:00:00,9246,9246,9246,9246,100,KBS
2020-04-16 07:00:00,9136,9302,9136,9302,900,KBS
2020-04-17 07:00:00,9246,9246,9136,9136,14700,KBS
2020-04-20 07:00:00,9136,9136,9136,9136,1250,KBS
2020-04-21 07:00:00,9136,9136,9136,9136,1050,KBS
2020-04-23 07:00:00,9413,9413,9191,9191,6700,KBS
2020-04-24 07:00:00,9246,9246,8748,9246,1200,KBS
2020-04-27 07:00:00,9191,9191,9191,9191,100,KBS
2020-04-28 07:00:00,9634,9634,9191,9191,2300,KBS
2020-04-29 07:00:00,9357,9357,8748,9136,2300,KBS
2020-05-05 07:00:00,9136,9136,8582,9080,5400,KBS
2020-05-06 07:00:00,8859,8859,8194,8194,35500,KBS
2020-05-07 07:00:00,8693,8693,8637,8693,740,KBS
2020-05-08 07:00:00,8471,8582,8471,8471,910,KBS
2020-05-11 07:00:00,8305,8305,8305,8305,5115,KBS
2020-05-12 07:00:00,8693,8693,8361,8361,1200,KBS
2020-05-13 07:00:00,8416,8527,8361,8471,1800,KBS
2020-05-14 07:00:00,8471,8471,8471,8471,100,KBS
2020-05-15 07:00:00,7918,8471,7918,8471,200,KBS
2020-05-18 07:00:00,8028,8028,8028,8028,230,KBS
2020-05-19 07:00:00,8527,8804,8305,8637,400,KBS
2020-05-21 07:00:00,8637,8637,8637,8637,10,KBS
2020-05-22 07:00:00,8637,8637,8637,8637,200,KBS
2020-05-25 07:00:00,8028,8637,8028,8637,300,KBS
2020-05-26 07:00:00,8305,8637,8305,8637,625,KBS
2020-05-28 07:00:00,8471,8471,8471,8471,405,KBS
2020-05-29 07:00:00,8582,8582,8582,8582,200,KBS
2020-06-01 07:00:00,8804,8970,8804,8970,1900,KBS
2020-06-02 07:00:00,8527,8527,8527,8527,100,KBS
2020-06-03 07:00:00,8527,8527,8527,8527,20,KBS
2020-06-04 07:00:00,8582,8582,8582,8582,200,KBS
2020-06-05 07:00:00,8859,8859,8859,8859,100,KBS
2020-06-08 07:00:00,8970,9689,8970,8970,3500,KBS
2020-06-09 07:00:00,9634,9634,9634,9634,120,KBS
2020-06-10 07:00:00,8859,9357,8859,9357,500,KBS
2020-06-12 07:00:00,8693,9357,8693,9357,1200,KBS
2020-06-15 07:00:00,8527,9136,8471,9136,8510,KBS
2020-06-18 07:00:00,9136,9136,9136,9136,10,KBS
2020-06-22 07:00:00,9080,9080,8859,8859,1700,KBS
2020-06-24 07:00:00,8859,8859,8859,8859,20,KBS
2020-06-29 07:00:00,8859,8859,8859,8859,200,KBS
2020-06-30 07:00:00,8582,8582,8582,8582,200,KBS
2020-07-01 07:00:00,8582,8582,8582,8582,30,KBS
2020-07-03 07:00:00,8859,8859,8859,8859,906,KBS
2020-07-06 07:00:00,8084,8084,8084,8084,100,KBS
2020-07-07 07:00:00,8305,8804,8305,8804,5300,KBS
2020-07-09 07:00:00,9246,9246,8914,8914,1500,KBS
2020-07-10 07:00:00,8914,8914,8914,8914,1600,KBS
2020-07-13 07:00:00,8914,8914,8416,8416,900,KBS
2020-07-14 07:00:00,8970,9025,8637,8637,6100,KBS
2020-07-15 07:00:00,9136,9136,8914,8914,4600,KBS
2020-07-17 07:00:00,8970,9025,8970,8970,706,KBS
2020-07-21 07:00:00,9025,9025,9025,9025,930,KBS
2020-07-22 07:00:00,9025,9136,9025,9025,1500,KBS
2020-07-23 07:00:00,9136,9136,9136,9136,200,KBS
2020-07-24 07:00:00,9025,9025,9025,9025,100,KBS
2020-07-27 07:00:00,9200,9549,9200,9549,2200,KBS
2020-07-28 07:00:00,9491,9491,8909,8909,1300,KBS
2020-07-30 07:00:00,8909,9083,8909,9083,200,KBS
2020-07-31 07:00:00,8792,9491,8792,9316,2030,KBS
2020-08-03 07:00:00,9316,9433,9316,9433,2100,KBS
2020-08-04 07:00:00,9316,9316,9316,9316,4000,KBS
2020-08-05 07:00:00,8909,9433,8909,9433,2100,KBS
2020-08-10 07:00:00,9374,9374,9258,9374,900,KBS
2020-08-11 07:00:00,9374,9374,9258,9258,400,KBS
2020-08-12 07:00:00,9316,9374,9316,9316,2200,KBS
2020-08-13 07:00:00,8501,9374,8501,9374,800,KBS
2020-08-14 07:00:00,9374,9374,9374,9374,100,KBS
2020-08-17 07:00:00,9491,9491,9316,9316,820,KBS
2020-08-18 07:00:00,9316,9433,9200,9433,2600,KBS
2020-08-19 07:00:00,9374,9433,9083,9083,600,KBS
2020-08-25 07:00:00,9141,9141,9083,9083,301,KBS
2020-08-26 07:00:00,9200,9316,9200,9316,1410,KBS
2020-08-27 07:00:00,9316,9316,9316,9316,100,KBS
2020-08-28 07:00:00,9374,9374,9374,9374,100,KBS
2020-08-31 07:00:00,9374,9374,9374,9374,100,KBS
2020-09-01 07:00:00,9491,9491,9491,9491,900,KBS
2020-09-09 07:00:00,9491,9491,9491,9491,200,KBS
2020-09-11 07:00:00,9258,9258,9200,9200,1100,KBS
2020-09-15 07:00:00,9141,9141,9025,9025,500,KBS
2020-09-21 07:00:00,9083,9083,9083,9083,500,KBS
2020-09-28 07:00:00,9607,9607,9607,9607,20000,KBS
2020-09-30 07:00:00,9607,9607,9607,9607,25,KBS
2020-10-07 07:00:00,9607,9607,9607,9607,7000,KBS
2020-10-08 07:00:00,9083,9083,9025,9025,530,KBS
2020-10-09 07:00:00,9316,9316,9316,9316,200,KBS
2020-10-12 07:00:00,9025,9025,9025,9025,500,KBS
2020-10-13 07:00:00,9025,9025,9025,9025,20,KBS
