date,open,high,low,close,volume,_source
2020-01-10 07:00:00,300,300,300,300,28300,KBS
2020-03-13 07:00:00,200,200,200,200,300,KBS
2020-04-24 07:00:00,100,100,100,100,100,KBS
2020-06-05 07:00:00,200,200,200,200,100,KBS
2020-06-12 07:00:00,100,100,100,100,235300,KBS
2020-06-19 07:00:00,200,200,200,200,20000,KBS
2020-06-26 07:00:00,300,300,300,300,100,KBS
2020-07-03 07:00:00,300,300,300,300,47,KBS
2020-07-17 07:00:00,400,400,400,400,5400,KBS
2020-07-31 07:00:00,500,500,500,500,20500,KBS
2020-08-07 07:00:00,400,400,400,400,100,KBS
2020-08-28 07:00:00,400,400,400,400,1,KBS
2020-09-18 07:00:00,300,300,300,300,100,KBS
2020-09-25 07:00:00,400,400,400,400,1900,KBS
2020-10-02 07:00:00,500,500,500,500,100,KBS
2020-10-09 07:00:00,600,600,600,600,100,KBS
2020-10-16 07:00:00,700,700,600,600,1810,KBS
2020-10-23 07:00:00,600,600,600,600,300,KBS
2021-01-08 07:00:00,700,700,600,600,1136,KBS
2021-01-15 07:00:00,600,600,600,600,300,KBS
2021-01-22 07:00:00,600,700,600,700,8300,KBS
2021-02-05 07:00:00,700,700,500,700,400,KBS
2021-02-19 07:00:00,700,700,700,700,41011,KBS
2021-02-26 07:00:00,700,800,700,800,20400,KBS
2021-03-05 07:00:00,900,900,900,900,13900,KBS
2021-03-12 07:00:00,1000,1000,1000,1000,17100,KBS
2021-03-19 07:00:00,1000,1000,1000,1000,761,KBS
2021-03-26 07:00:00,900,1000,900,900,20700,KBS
2021-04-02 07:00:00,800,900,800,800,17200,KBS
2021-04-09 07:00:00,900,900,800,900,15300,KBS
2021-04-16 07:00:00,900,900,900,900,30500,KBS
2021-04-23 07:00:00,1000,1000,1000,1000,37000,KBS
2021-05-07 07:00:00,1100,1100,900,1100,16700,KBS
2021-05-14 07:00:00,1100,1100,900,1100,5800,KBS
2021-05-21 07:00:00,1000,1100,900,1100,4600,KBS
2021-05-28 07:00:00,1100,1100,1100,1100,41600,KBS
2021-06-04 07:00:00,1000,1100,1000,1100,19400,KBS
2021-06-11 07:00:00,1100,1100,1000,1000,23300,KBS
2021-06-18 07:00:00,1000,1100,1000,1000,3800,KBS
2021-06-25 07:00:00,900,1000,900,900,2200,KBS
2021-07-02 07:00:00,1000,1000,900,1000,12400,KBS
2021-07-09 07:00:00,1100,1100,900,1000,14100,KBS
