date,open,high,low,close,volume,_source
2020-01-02 07:00:00,32202,34023,32202,33144,123270,KBS
2020-01-03 07:00:00,33646,34399,33458,33458,135390,KBS
2020-01-06 07:00:00,33269,33332,32705,33018,28890,KBS
2020-01-07 07:00:00,33144,33144,32014,32328,77310,KBS
2020-01-08 07:00:00,32077,32265,31575,31637,104260,KBS
2020-01-09 07:00:00,31637,32453,31512,31512,70230,KBS
2020-01-10 07:00:00,31449,31512,29974,31104,285310,KBS
2020-01-13 07:00:00,31104,31888,31104,31198,61630,KBS
2020-01-14 07:00:00,31010,31700,31010,31135,69340,KBS
2020-01-15 07:00:00,31072,31324,30947,31041,58970,KBS
2020-01-16 07:00:00,31041,31261,30570,30947,45110,KBS
2020-01-17 07:00:00,30696,33081,30696,33081,251890,KBS
2020-01-20 07:00:00,33269,34839,33269,33583,108300,KBS
2020-01-21 07:00:00,33583,33897,32830,33269,123630,KBS
2020-01-22 07:00:00,32642,34650,32642,33521,147520,KBS
2020-01-30 07:00:00,33144,34337,33144,33207,130320,KBS
2020-01-31 07:00:00,33269,35529,33269,34964,299400,KBS
2020-02-03 07:00:00,35090,35090,32642,32767,304180,KBS
2020-02-04 07:00:00,32767,33458,31386,31449,254790,KBS
2020-02-05 07:00:00,31700,32642,31700,31763,148880,KBS
2020-02-06 07:00:00,32642,33521,31763,33332,170980,KBS
2020-02-07 07:00:00,33521,35655,33332,35655,272130,KBS
2020-02-10 07:00:00,36785,38103,35780,38103,256350,KBS
2020-02-11 07:00:00,38919,40739,38919,39547,454660,KBS
2020-02-12 07:00:00,39233,41869,38731,40802,437870,KBS
2020-02-13 07:00:00,40614,41430,40112,40363,125260,KBS
2020-02-14 07:00:00,39672,41242,39358,40300,172420,KBS
2020-02-17 07:00:00,40300,42685,39735,42685,250230,KBS
2020-02-18 07:00:00,45071,45447,43313,43941,333580,KBS
2020-02-19 07:00:00,43627,44694,43313,43941,133290,KBS
2020-02-20 07:00:00,43313,44506,42246,42434,225110,KBS
2020-02-21 07:00:00,42058,43376,41493,41995,161430,KBS
2020-02-24 07:00:00,40802,40865,39107,39107,264160,KBS
2020-02-25 07:00:00,36722,40174,36722,40049,238120,KBS
2020-02-26 07:00:00,38919,40049,38605,39233,79240,KBS
2020-02-27 07:00:00,38982,40802,38982,40739,147910,KBS
2020-02-28 07:00:00,39484,40363,38919,39107,129600,KBS
2020-03-02 07:00:00,39107,40802,38919,40174,166400,KBS
2020-03-03 07:00:00,41116,42936,40865,42936,238760,KBS
2020-03-04 07:00:00,43941,45510,42999,42999,291500,KBS
2020-03-05 07:00:00,43627,43878,42058,42183,194510,KBS
2020-03-06 07:00:00,41744,44506,41242,43941,303280,KBS
2020-03-09 07:00:00,40865,42623,40865,40865,223240,KBS
2020-03-10 07:00:00,39233,41430,38793,40802,195980,KBS
2020-03-11 07:00:00,40802,41430,37977,37977,430810,KBS
2020-03-12 07:00:00,35780,39484,35341,35341,403670,KBS
2020-03-13 07:00:00,32956,35153,32893,34337,263780,KBS
2020-03-16 07:00:00,32956,34462,32328,32391,140480,KBS
2020-03-17 07:00:00,30759,34337,30759,34337,183630,KBS
2020-03-18 07:00:00,34337,35341,34337,34588,153030,KBS
2020-03-19 07:00:00,33269,33897,32642,33269,118400,KBS
2020-03-20 07:00:00,33583,34023,32956,33772,208660,KBS
2020-03-23 07:00:00,32830,32830,31449,31449,200910,KBS
2020-03-24 07:00:00,31449,32642,31386,32202,114070,KBS
2020-03-25 07:00:00,33269,34148,33144,33269,152310,KBS
2020-03-26 07:00:00,32956,33269,32014,32516,95830,KBS
2020-03-27 07:00:00,33772,33772,31888,32077,63030,KBS
2020-03-30 07:00:00,30445,31135,29848,30319,165000,KBS
2020-03-31 07:00:00,30194,31386,28216,28216,280350,KBS
2020-04-01 07:00:00,28248,28875,27620,28310,217950,KBS
2020-04-03 07:00:00,28813,30288,28813,30288,128520,KBS
2020-04-06 07:00:00,32014,32391,32014,32391,84890,KBS
2020-04-07 07:00:00,34211,34462,32642,34023,318610,KBS
2020-04-08 07:00:00,33207,34023,32642,33772,136450,KBS
2020-04-09 07:00:00,33395,34839,33395,34086,191390,KBS
2020-04-10 07:00:00,33897,34525,33269,33583,143230,KBS
2020-04-13 07:00:00,33834,34148,33521,33583,144440,KBS
2020-04-14 07:00:00,33583,33709,32014,33269,172560,KBS
2020-04-15 07:00:00,33269,35592,33269,35592,549210,KBS
2020-04-16 07:00:00,35592,37789,35592,37287,354240,KBS
2020-04-17 07:00:00,38291,38856,37664,38731,397140,KBS
2020-04-20 07:00:00,38731,39547,37538,38731,454940,KBS
2020-04-21 07:00:00,36785,37350,36031,36031,535580,KBS
2020-04-22 07:00:00,33960,35969,33960,35592,302320,KBS
2020-04-23 07:00:00,35906,36973,34839,35592,217070,KBS
2020-04-24 07:00:00,35467,38040,34839,38040,375720,KBS
2020-04-27 07:00:00,38605,40174,38605,40174,467190,KBS
2020-04-28 07:00:00,39861,40488,38919,40049,250210,KBS
2020-04-29 07:00:00,39358,40049,39233,39358,243670,KBS
2020-05-04 07:00:00,39233,39358,38291,38291,258520,KBS
2020-05-05 07:00:00,38291,38731,37350,38291,181260,KBS
2020-05-06 07:00:00,38291,40928,38291,40928,350690,KBS
2020-05-07 07:00:00,41430,42811,41430,42058,340880,KBS
2020-05-08 07:00:00,42183,42811,41053,41116,496840,KBS
2020-05-11 07:00:00,41618,42309,41179,41618,288520,KBS
2020-05-12 07:00:00,41430,43313,40865,43313,400210,KBS
2020-05-13 07:00:00,43313,45447,42372,44317,482130,KBS
2020-05-14 07:00:00,43878,44380,43313,43313,303350,KBS
2020-05-15 07:00:00,43313,44255,42058,42058,420700,KBS
2020-05-18 07:00:00,42372,43062,41681,42999,274500,KBS
2020-05-19 07:00:00,42999,44317,42685,42685,333030,KBS
2020-05-20 07:00:00,41869,44192,41869,43753,354870,KBS
2020-05-21 07:00:00,43815,44255,42685,43627,274820,KBS
2020-05-22 07:00:00,43627,43878,42685,42748,274320,KBS
2020-05-25 07:00:00,42748,42936,42372,42685,207710,KBS
2020-05-26 07:00:00,43188,43878,42560,43501,377220,KBS
2020-05-27 07:00:00,43878,46514,43690,46514,1197620,KBS
2020-05-28 07:00:00,46766,49276,46766,48209,479930,KBS
2020-05-29 07:00:00,47079,48209,47079,47707,238500,KBS
2020-06-01 07:00:00,47644,48963,47142,48523,447410,KBS
2020-06-02 07:00:00,48523,48774,45133,45133,844250,KBS
2020-06-03 07:00:00,42058,43878,41995,42246,1537730,KBS
2020-06-04 07:00:00,42246,45196,42246,45196,542240,KBS
2020-06-05 07:00:00,45196,47079,45196,45950,323220,KBS
2020-06-08 07:00:00,45196,45698,44569,45133,630860,KBS
2020-06-09 07:00:00,44882,45008,44129,44255,453560,KBS
2020-06-10 07:00:00,43313,43878,42372,43564,418980,KBS
2020-06-11 07:00:00,43313,45824,42058,42058,596480,KBS
2020-06-12 07:00:00,42058,43250,41430,42372,303610,KBS
2020-06-15 07:00:00,42372,42936,39421,39421,383160,KBS
2020-06-16 07:00:00,40174,40174,38668,40049,266990,KBS
2020-06-17 07:00:00,40174,40174,39296,39358,120440,KBS
2020-06-18 07:00:00,37977,39421,37475,39296,267290,KBS
2020-06-19 07:00:00,39296,40739,39170,39798,178350,KBS
2020-06-22 07:00:00,40174,42560,40174,42560,680980,KBS
2020-06-23 07:00:00,45510,45510,44820,45510,2269440,KBS
2020-06-24 07:00:00,47707,48586,45196,45196,1194010,KBS
2020-06-25 07:00:00,42874,44255,42434,42434,789930,KBS
2020-06-26 07:00:00,42811,44255,41430,41932,564420,KBS
2020-06-29 07:00:00,42372,44569,41744,43941,1108280,KBS
2020-06-30 07:00:00,44882,45196,42811,43690,471750,KBS
2020-07-01 07:00:00,46703,46703,46452,46703,782260,KBS
2020-07-02 07:00:00,49967,49967,49967,49967,406980,KBS
2020-07-03 07:00:00,53419,53419,50155,50155,2318180,KBS
2020-07-06 07:00:00,49779,51474,48963,49088,746210,KBS
2020-07-07 07:00:00,51787,51787,50030,50030,868500,KBS
2020-07-08 07:00:00,50030,51662,49653,50281,847340,KBS
2020-07-09 07:00:00,50281,51034,49590,49841,602140,KBS
2020-07-10 07:00:00,49904,50909,49590,49590,483860,KBS
2020-07-13 07:00:00,49528,51474,48963,50720,926850,KBS
2020-07-14 07:00:00,50720,51348,50281,50344,514110,KBS
2020-07-15 07:00:00,50846,53357,50469,52415,1342900,KBS
2020-07-16 07:00:00,52729,53357,52352,52415,634270,KBS
2020-07-17 07:00:00,52415,53545,52164,53106,720950,KBS
2020-07-20 07:00:00,53231,53671,50846,50846,871890,KBS
2020-07-21 07:00:00,51411,51850,50218,51787,542940,KBS
2020-07-22 07:00:00,51787,52352,49590,49590,1037170,KBS
2020-07-23 07:00:00,49590,50783,49151,49653,627670,KBS
2020-07-24 07:00:00,49716,49779,46201,46201,1405050,KBS
2020-07-27 07:00:00,43627,45510,42999,42999,893160,KBS
2020-07-28 07:00:00,42999,45133,42560,44569,707830,KBS
2020-07-29 07:00:00,42999,43250,41493,42058,829120,KBS
2020-07-30 07:00:00,42372,43627,42372,42811,405750,KBS
2020-07-31 07:00:00,42372,42623,41618,41932,673240,KBS
2020-08-03 07:00:00,41932,44066,41932,44004,499150,KBS
2020-08-04 07:00:00,45133,46326,44820,46138,903520,KBS
2020-08-05 07:00:00,46452,49151,45636,48084,1108780,KBS
2020-08-06 07:00:00,48084,48900,47331,48021,686550,KBS
2020-08-07 07:00:00,48209,49465,47582,49339,931470,KBS
2020-08-10 07:00:00,49904,50218,48460,48460,707180,KBS
2020-08-11 07:00:00,48398,49151,47958,49025,486670,KBS
2020-08-12 07:00:00,49025,49276,48021,48335,458910,KBS
2020-08-13 07:00:00,48837,49465,48712,49402,558860,KBS
