date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9572,9961,9549,9847,4347610,KBS
2020-01-03 07:00:00,9961,10007,9732,9755,3626640,KBS
2020-01-06 07:00:00,9709,9938,9664,9778,3173480,KBS
2020-01-07 07:00:00,9893,10007,9824,9938,4163600,KBS
2020-01-08 07:00:00,9870,10144,9755,9915,9864300,KBS
2020-01-09 07:00:00,10007,10351,10007,10282,8592300,KBS
2020-01-10 07:00:00,10305,10992,10305,10786,14701830,KBS
2020-01-13 07:00:00,10671,10992,10625,10625,5317470,KBS
2020-01-14 07:00:00,10648,10900,10625,10763,7040780,KBS
2020-01-15 07:00:00,10763,10854,10648,10809,4364850,KBS
2020-01-16 07:00:00,10854,11427,10831,11404,8002680,KBS
2020-01-17 07:00:00,11541,11633,11267,11427,6412750,KBS
2020-01-20 07:00:00,11404,11587,11335,11496,4737420,KBS
2020-01-21 07:00:00,11541,11816,11496,11587,6063350,KBS
2020-01-22 07:00:00,11587,11793,11473,11725,4747210,KBS
2020-01-30 07:00:00,11404,11610,10992,11152,11319200,KBS
2020-01-31 07:00:00,11267,11564,11175,11175,11815850,KBS
2020-02-03 07:00:00,10763,11541,10648,11518,13869450,KBS
2020-02-04 07:00:00,11633,12320,11610,12320,14852770,KBS
2020-02-05 07:00:00,12549,12732,12160,12160,11732260,KBS
2020-02-06 07:00:00,12228,12869,12068,12709,10566600,KBS
2020-02-07 07:00:00,12595,12663,12205,12320,8960350,KBS
2020-02-10 07:00:00,12022,12503,11999,12183,6287560,KBS
2020-02-11 07:00:00,12320,12709,12297,12709,6762320,KBS
2020-02-12 07:00:00,13030,13030,12457,12457,10390830,KBS
2020-02-13 07:00:00,12526,12640,12137,12480,9485770,KBS
2020-02-14 07:00:00,12526,12526,12228,12274,6108570,KBS
2020-02-17 07:00:00,12320,12389,12091,12160,5818090,KBS
2020-02-18 07:00:00,12228,12480,12183,12228,7231540,KBS
2020-02-19 07:00:00,12274,12457,12274,12366,5895360,KBS
2020-02-20 07:00:00,12526,12686,12205,12320,9011120,KBS
2020-02-21 07:00:00,12274,12320,11747,11839,12049570,KBS
2020-02-24 07:00:00,11496,11633,11152,11175,12317180,KBS
2020-02-25 07:00:00,11175,11954,11152,11954,9764100,KBS
2020-02-26 07:00:00,11702,11999,11633,11816,6229210,KBS
