date,open,high,low,close,volume,_source
2020-02-10 07:00:00,10887,11729,10887,11729,500,KBS
2020-02-11 07:00:00,12009,12009,12009,12009,100,KBS
2020-02-12 07:00:00,10943,11504,10943,11504,200,KBS
2020-02-13 07:00:00,12009,12009,12009,12009,100,KBS
2020-02-14 07:00:00,11224,11224,10831,10831,2100,KBS
2020-02-17 07:00:00,11224,11224,11224,11224,100,KBS
2020-02-21 07:00:00,11167,11167,10662,10662,4320,KBS
2020-02-24 07:00:00,11224,11224,10662,11055,6300,KBS
2020-02-25 07:00:00,10943,10943,10943,10943,100,KBS
2020-02-27 07:00:00,11167,11167,10662,10662,3000,KBS
2020-02-28 07:00:00,10967,11272,10967,11150,300,KBS
2020-03-02 07:00:00,11272,12003,11272,12003,200,KBS
2020-03-03 07:00:00,10845,11576,10845,11576,3100,KBS
2020-03-04 07:00:00,11881,11881,11881,11881,100,KBS
2020-03-06 07:00:00,10723,10723,10723,10723,200,KBS
2020-03-09 07:00:00,10967,10967,10967,10967,100,KBS
2020-03-11 07:00:00,9870,10906,9870,10845,12100,KBS
2020-03-13 07:00:00,9809,10358,9809,10358,1200,KBS
2020-03-16 07:00:00,9444,10297,9322,10297,900,KBS
2020-03-17 07:00:00,9322,10297,9322,10297,3300,KBS
2020-03-19 07:00:00,9322,10114,9322,10114,2400,KBS
2020-03-20 07:00:00,9139,10053,9139,10053,900,KBS
2020-03-23 07:00:00,9139,9139,9078,9078,5100,KBS
2020-03-24 07:00:00,9688,9688,9627,9627,200,KBS
2020-03-26 07:00:00,9809,9809,9809,9809,100,KBS
2020-03-31 07:00:00,9139,9566,9139,9566,300,KBS
2020-04-03 07:00:00,9139,9139,9139,9139,3300,KBS
2020-04-09 07:00:00,8591,9139,8591,9139,4000,KBS
2020-04-14 07:00:00,8652,9139,8652,9139,4600,KBS
2020-04-15 07:00:00,8896,9139,8652,8652,1800,KBS
2020-04-16 07:00:00,9139,9139,8225,8225,300,KBS
2020-04-17 07:00:00,8286,8956,8043,8956,3800,KBS
2020-04-20 07:00:00,8225,9017,8103,9017,400,KBS
2020-04-22 07:00:00,9017,9017,9017,9017,100,KBS
2020-04-23 07:00:00,8530,9017,8530,9017,4650,KBS
2020-04-27 07:00:00,9870,9870,9566,9566,1400,KBS
2020-04-28 07:00:00,9870,9870,9870,9870,100,KBS
2020-04-29 07:00:00,9809,9809,9139,9809,1800,KBS
2020-05-04 07:00:00,9809,9809,9809,9809,100,KBS
2020-05-05 07:00:00,9809,9809,9809,9809,100,KBS
2020-05-06 07:00:00,9200,9809,9200,9809,220,KBS
2020-05-11 07:00:00,9809,9809,9809,9809,1700,KBS
2020-05-15 07:00:00,9078,9627,9017,9627,2200,KBS
2020-05-18 07:00:00,9931,9931,9870,9931,1100,KBS
2020-05-19 07:00:00,9931,9931,9931,9931,20,KBS
2020-05-20 07:00:00,8956,9688,8956,9688,300,KBS
2020-05-21 07:00:00,8835,8835,8835,8835,100,KBS
2020-05-22 07:00:00,9627,9627,9627,9627,100,KBS
2020-05-25 07:00:00,10297,10297,9809,9809,400,KBS
2020-05-26 07:00:00,8896,9627,8896,9627,2400,KBS
2020-05-27 07:00:00,10236,10236,9139,10053,3020,KBS
2020-05-28 07:00:00,9078,10236,9078,10236,400,KBS
2020-05-29 07:00:00,9261,9748,9261,9748,820,KBS
2020-06-02 07:00:00,9017,9505,9017,9505,200,KBS
2020-06-04 07:00:00,8835,10053,8774,10053,1300,KBS
2020-06-05 07:00:00,9078,9870,9078,9078,6210,KBS
2020-06-08 07:00:00,9444,9444,9444,9444,200,KBS
2020-06-09 07:00:00,9444,9444,8896,9322,4300,KBS
2020-06-12 07:00:00,8956,9322,8956,9322,5110,KBS
2020-06-16 07:00:00,9322,9322,9322,9322,20,KBS
2020-06-17 07:00:00,9017,9322,9017,9322,600,KBS
2020-06-19 07:00:00,8896,9261,8896,9261,310,KBS
2020-06-22 07:00:00,8713,9139,8591,9139,1100,KBS
2020-06-25 07:00:00,8591,8591,8591,8591,100,KBS
2020-06-26 07:00:00,9078,9078,9078,9078,101,KBS
2020-07-01 07:00:00,8956,8956,8956,8956,1000,KBS
2020-07-03 07:00:00,9139,9139,9139,9139,108,KBS
2020-07-13 07:00:00,9078,9078,9078,9078,100,KBS
2020-07-14 07:00:00,9017,9017,9017,9017,200,KBS
2020-07-15 07:00:00,9139,9139,9139,9139,108,KBS
2020-07-20 07:00:00,9322,9931,9139,9139,1200,KBS
2020-07-27 07:00:00,9505,9505,9505,9505,100,KBS
2020-07-29 07:00:00,9139,9139,9139,9139,100,KBS
2020-08-05 07:00:00,9139,9139,9139,9139,10000,KBS
2020-08-06 07:00:00,9566,9931,9566,9931,300,KBS
2020-08-07 07:00:00,9688,9748,9688,9748,600,KBS
2020-08-13 07:00:00,9748,9748,9748,9748,20,KBS
2020-08-20 07:00:00,9139,9566,9139,9566,1800,KBS
2020-08-21 07:00:00,9688,9688,9139,9444,524,KBS
2020-08-24 07:00:00,10236,10236,9688,9688,200,KBS
2020-08-25 07:00:00,9688,9688,9688,9688,1,KBS
2020-08-26 07:00:00,9139,9627,9139,9139,6100,KBS
2020-08-27 07:00:00,9627,9627,9627,9627,100,KBS
2020-08-28 07:00:00,9566,9566,9505,9505,1224,KBS
2020-09-01 07:00:00,8956,9444,8956,9444,200,KBS
2020-09-03 07:00:00,9748,9748,9748,9748,5000,KBS
2020-09-14 07:00:00,9444,9444,9444,9444,100,KBS
2020-09-15 07:00:00,9688,9688,9017,9444,300,KBS
2020-09-17 07:00:00,8956,9383,8956,9383,700,KBS
2020-09-18 07:00:00,8896,9444,8896,8896,400,KBS
2020-09-21 07:00:00,9444,9444,9017,9322,1712,KBS
2020-09-22 07:00:00,8896,9322,8896,9322,300,KBS
2020-09-23 07:00:00,9688,9688,9566,9566,400,KBS
2020-09-24 07:00:00,9748,9748,8956,9444,300,KBS
2020-09-28 07:00:00,9688,9688,8956,9444,300,KBS
2020-09-29 07:00:00,9688,9688,9688,9688,100,KBS
2020-09-30 07:00:00,8956,9322,8956,9261,400,KBS
2020-10-01 07:00:00,9688,9688,9017,9383,702,KBS
2020-10-02 07:00:00,9017,9444,9017,9444,300,KBS
2020-10-05 07:00:00,9444,9444,9444,9444,40,KBS
