date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8487,8487,8487,8487,100,KBS
2020-01-08 07:00:00,8487,8487,8487,8487,800,KBS
2020-01-14 07:00:00,8487,8487,8487,8487,1100,KBS
2020-01-21 07:00:00,8487,8487,8487,8487,2800,KBS
2020-01-22 07:00:00,8487,8487,8487,8487,800,KBS
2020-02-06 07:00:00,8342,8342,7954,7954,2700,KBS
2020-02-07 07:00:00,8487,8487,8487,8487,100,KBS
2020-02-12 07:00:00,8342,8390,8342,8390,1100,KBS
2020-02-13 07:00:00,8487,8487,8487,8487,200,KBS
2020-02-14 07:00:00,8730,8730,8487,8487,3100,KBS
2020-02-17 07:00:00,8487,8536,8487,8536,300,KBS
2020-02-18 07:00:00,8536,8536,8536,8536,2000,KBS
2020-02-20 07:00:00,8681,8681,8681,8681,200,KBS
2020-02-21 07:00:00,8681,8681,8681,8681,300,KBS
2020-02-24 07:00:00,8681,8730,8681,8730,500,KBS
2020-03-03 07:00:00,8439,9215,8439,9215,3500,KBS
2020-03-05 07:00:00,8342,8730,8342,8730,600,KBS
2020-03-06 07:00:00,8342,8827,8342,8827,900,KBS
2020-03-09 07:00:00,8508,8508,7976,7976,2300,KBS
2020-03-10 07:00:00,8508,8508,8508,8508,100,KBS
2020-03-12 07:00:00,7657,8242,7657,8189,1800,KBS
2020-03-13 07:00:00,7976,7976,7976,7976,100,KBS
2020-03-17 07:00:00,7178,7816,7178,7710,1200,KBS
2020-03-23 07:00:00,7444,7444,7072,7072,5200,KBS
2020-03-24 07:00:00,7657,7657,7657,7657,100,KBS
2020-03-25 07:00:00,7657,7657,7657,7657,2800,KBS
2020-03-30 07:00:00,7444,7444,7444,7444,200,KBS
2020-03-31 07:00:00,6913,7444,6913,7444,600,KBS
2020-04-01 07:00:00,7497,7497,7444,7444,2600,KBS
2020-04-03 07:00:00,7444,7710,7444,7710,3500,KBS
2020-04-06 07:00:00,7710,7710,7710,7710,200,KBS
2020-04-07 07:00:00,7710,7710,7551,7551,200,KBS
2020-04-09 07:00:00,7551,7551,7551,7551,1000,KBS
2020-04-10 07:00:00,7338,7338,7338,7338,100,KBS
2020-04-15 07:00:00,7338,7444,7338,7444,4600,KBS
2020-04-16 07:00:00,7391,7391,7391,7391,1000,KBS
2020-04-17 07:00:00,7178,7870,7178,7870,300,KBS
2020-04-21 07:00:00,7444,7444,7232,7232,8200,KBS
2020-04-23 07:00:00,7497,7497,7444,7444,1100,KBS
2020-04-27 07:00:00,7444,7444,7444,7444,100,KBS
2020-04-28 07:00:00,7444,7444,7444,7444,1500,KBS
2020-04-29 07:00:00,7391,7391,7391,7391,100,KBS
2020-05-05 07:00:00,7391,7391,7391,7391,100,KBS
2020-05-06 07:00:00,7391,7551,7338,7551,600,KBS
2020-05-07 07:00:00,7551,7551,7444,7444,600,KBS
2020-05-08 07:00:00,7444,7444,7444,7444,500,KBS
2020-05-11 07:00:00,7444,7444,7444,7444,1100,KBS
2020-05-13 07:00:00,7444,7551,7444,7551,600,KBS
2020-05-14 07:00:00,7816,7816,7816,7816,100,KBS
2020-05-15 07:00:00,7763,7763,7763,7763,300,KBS
2020-05-20 07:00:00,7444,7657,7444,7657,700,KBS
2020-05-21 07:00:00,7444,7444,7444,7444,500,KBS
2020-05-25 07:00:00,7551,7551,7551,7551,100,KBS
2020-05-26 07:00:00,7657,7657,7551,7551,600,KBS
2020-05-27 07:00:00,7657,7657,7551,7551,1100,KBS
2020-05-28 07:00:00,7551,7551,7551,7551,1000,KBS
2020-05-29 07:00:00,7551,7551,7497,7497,2600,KBS
2020-06-01 07:00:00,7604,7604,7497,7551,5100,KBS
2020-06-02 07:00:00,7604,7604,7604,7604,200,KBS
2020-06-03 07:00:00,7710,7710,7710,7710,100,KBS
2020-06-05 07:00:00,7497,7497,7444,7444,4310,KBS
2020-06-08 07:00:00,7444,7444,7444,7444,200,KBS
2020-06-09 07:00:00,7551,7551,7551,7551,2000,KBS
2020-06-11 07:00:00,7497,7497,7497,7497,2000,KBS
2020-06-12 07:00:00,7604,7604,7604,7604,300,KBS
2020-06-15 07:00:00,7551,7551,7444,7444,600,KBS
2020-06-16 07:00:00,7444,7444,7391,7391,700,KBS
2020-06-17 07:00:00,7444,7870,7444,7870,600,KBS
2020-06-18 07:00:00,7444,7444,7444,7444,1700,KBS
2020-06-19 07:00:00,7444,7604,7391,7444,6000,KBS
2020-06-23 07:00:00,7391,7657,7391,7657,400,KBS
2020-06-24 07:00:00,7657,7657,7657,7657,500,KBS
2020-06-29 07:00:00,7657,7657,7657,7657,31,KBS
2020-07-08 07:00:00,7710,7710,7710,7710,4000,KBS
2020-07-09 07:00:00,7710,7710,7710,7710,200,KBS
2020-07-14 07:00:00,7604,7604,7604,7604,100,KBS
2020-07-27 07:00:00,7178,7232,7178,7178,700,KBS
2020-07-28 07:00:00,7178,7178,6966,6966,300,KBS
2020-07-29 07:00:00,7232,7232,7232,7232,100,KBS
2020-08-04 07:00:00,7497,7497,7497,7497,100,KBS
2020-08-05 07:00:00,7870,7870,7870,7870,100,KBS
2020-08-07 07:00:00,7497,7497,7497,7497,2800,KBS
2020-08-10 07:00:00,7497,7497,7497,7497,600,KBS
2020-08-12 07:00:00,7497,7497,7497,7497,200,KBS
2020-08-19 07:00:00,7497,7497,7497,7497,1000,KBS
2020-08-21 07:00:00,7178,7178,7178,7178,300,KBS
2020-08-25 07:00:00,7551,7763,7551,7763,500,KBS
2020-08-27 07:00:00,7604,7604,7604,7604,300,KBS
2020-08-28 07:00:00,7604,7604,7604,7604,200,KBS
2020-08-31 07:00:00,7604,7604,7497,7551,3800,KBS
2020-09-01 07:00:00,7444,7444,7444,7444,400,KBS
2020-09-08 07:00:00,7497,7497,7497,7497,400,KBS
2020-09-10 07:00:00,7444,7444,7444,7444,2000,KBS
2020-09-15 07:00:00,7444,7497,7444,7444,7100,KBS
2020-09-17 07:00:00,7444,7551,7444,7444,45100,KBS
2020-09-18 07:00:00,7710,7710,7710,7710,400,KBS
2020-09-22 07:00:00,7551,7551,7551,7551,400,KBS
2020-09-25 07:00:00,7444,7444,7444,7444,100,KBS
2020-09-28 07:00:00,7444,7444,7444,7444,1500,KBS
2020-09-30 07:00:00,7604,7657,7604,7657,2500,KBS
2020-10-02 07:00:00,7870,7870,7870,7870,100,KBS
2020-10-05 07:00:00,7657,7657,7657,7657,200,KBS
2020-10-06 07:00:00,7604,7604,7604,7604,1000,KBS
2020-10-07 07:00:00,7604,7604,7551,7551,1146,KBS
2020-10-08 07:00:00,7551,7551,7551,7551,500,KBS
2020-10-13 07:00:00,7551,7551,7551,7551,500,KBS
2020-10-14 07:00:00,7551,7551,7551,7551,3046,KBS
2020-10-20 07:00:00,7551,7551,7551,7551,2500,KBS
2020-10-21 07:00:00,7551,7551,7551,7551,1500,KBS
2020-10-22 07:00:00,7444,7444,7444,7444,2000,KBS
2020-10-23 07:00:00,7657,7710,7657,7657,4000,KBS
2020-10-30 07:00:00,7657,7657,7657,7657,400,KBS
2020-11-02 07:00:00,7657,7657,7657,7657,700,KBS
2020-11-06 07:00:00,7657,7657,7657,7657,800,KBS
2020-11-10 07:00:00,7657,7657,7657,7657,1700,KBS
2020-11-11 07:00:00,7657,7657,7657,7657,1400,KBS
2020-11-12 07:00:00,7657,7657,7657,7657,600,KBS
2020-11-13 07:00:00,8295,8295,8295,8295,100,KBS
2020-11-16 07:00:00,7870,7870,7657,7710,5010,KBS
2020-11-17 07:00:00,7710,7710,7710,7710,1,KBS
2020-11-18 07:00:00,7444,7444,7444,7444,200,KBS
2020-11-19 07:00:00,7976,7976,7657,7657,1000,KBS
2020-11-20 07:00:00,7657,7710,7657,7710,900,KBS
2020-11-23 07:00:00,7816,7816,7816,7816,300,KBS
2020-11-24 07:00:00,7870,7870,7870,7870,200,KBS
