date,open,high,low,close,volume,_source
2020-07-02 07:00:00,4834,4834,4834,4834,3000,KBS
2020-08-13 07:00:00,4741,4741,4741,4741,400,KBS
2021-07-15 07:00:00,4741,4741,4741,4741,1100,KBS
2021-10-29 07:00:00,4741,4741,4741,4741,9200,KBS
2022-01-11 07:00:00,6579,6579,6579,6579,3100,KBS
2022-01-21 07:00:00,5708,5708,5708,5708,1900,KBS
2022-03-17 07:00:00,5708,5708,5708,5708,100,KBS
2022-08-03 07:00:00,5708,5708,5708,5708,1500,KBS
2023-03-03 07:00:00,7934,7934,7934,7934,300,KBS
2023-05-10 07:00:00,7934,7934,7934,7934,500,KBS
2023-07-18 07:00:00,11068,11068,11068,11068,400,KBS
2023-07-21 07:00:00,9501,9501,9501,9501,4200,KBS
2023-08-18 07:00:00,10872,10872,10872,10872,2100,KBS
2023-08-29 07:00:00,9305,12439,9305,12439,200,KBS
2023-09-12 07:00:00,9892,9892,9892,9892,3300,KBS
2024-06-28 07:00:00,9892,10090,9892,10090,3500,KBS
2024-07-09 07:00:00,10090,10090,10090,10090,5600,KBS
2024-08-06 07:00:00,10090,10090,10090,10090,100,KBS
2024-08-14 07:00:00,10387,10387,10387,10387,300,KBS
2024-09-18 07:00:00,10783,10783,10783,10783,100,KBS
2024-10-01 07:00:00,9200,9200,9200,9200,2600,KBS
2025-03-19 07:00:00,9200,9200,9200,9200,100,KBS
2025-12-31 07:00:00,9200,9200,9200,9200,3100,KBS
2026-01-27 07:00:00,8000,8000,8000,8000,5300,KBS
2026-03-27 07:00:00,10000,10000,10000,10000,3100,KBS
