date,open,high,low,close,volume,_source
2020-01-02 07:00:00,63914,64474,63774,64474,14050,KBS
2020-01-03 07:00:00,64474,64474,63633,63914,14170,KBS
2020-01-06 07:00:00,63143,63914,63073,63914,12160,KBS
2020-01-07 07:00:00,63774,63774,62512,62512,26000,KBS
2020-01-08 07:00:00,62512,62512,60199,60269,76650,KBS
2020-01-09 07:00:00,60269,63073,60269,62372,12200,KBS
2020-01-10 07:00:00,61671,62372,60480,61671,52270,KBS
2020-01-13 07:00:00,61671,61671,60970,61040,1850,KBS
2020-01-14 07:00:00,61671,63073,61671,63073,13540,KBS
2020-01-15 07:00:00,63073,63283,62232,62372,14520,KBS
2020-01-16 07:00:00,62372,62372,60970,61251,34420,KBS
2020-01-17 07:00:00,61251,61671,61251,61671,6390,KBS
2020-01-20 07:00:00,60970,61951,60830,61951,3620,KBS
2020-01-21 07:00:00,62022,62022,60269,61881,55820,KBS
2020-01-22 07:00:00,61671,62372,60410,61671,56900,KBS
2020-01-30 07:00:00,62792,65175,62372,65175,75960,KBS
2020-01-31 07:00:00,69730,69730,68749,69730,92670,KBS
2020-02-03 07:00:00,74566,74566,71482,71903,152290,KBS
2020-02-04 07:00:00,70081,71903,68119,70782,66370,KBS
2020-02-05 07:00:00,68329,68329,65876,67628,45580,KBS
2020-02-06 07:00:00,65175,67278,64334,67207,82720,KBS
2020-02-07 07:00:00,67207,68329,65526,68259,20330,KBS
2020-02-10 07:00:00,67348,70782,67348,70782,51850,KBS
2020-02-11 07:00:00,70782,70782,69170,69380,51720,KBS
2020-02-12 07:00:00,69380,70011,68679,69730,41690,KBS
2020-02-13 07:00:00,69730,69871,67278,67278,39570,KBS
2020-02-14 07:00:00,67768,67768,66577,66927,26780,KBS
2020-02-17 07:00:00,66857,67978,65876,67978,20260,KBS
2020-02-18 07:00:00,68329,69100,68329,68749,27050,KBS
2020-02-19 07:00:00,69380,69380,67278,67978,16310,KBS
2020-02-20 07:00:00,67978,67978,67067,67628,16930,KBS
2020-02-21 07:00:00,67628,69030,67628,67838,26460,KBS
2020-02-24 07:00:00,67978,70361,67978,68679,88130,KBS
2020-02-25 07:00:00,69941,69941,68679,68679,41790,KBS
2020-02-26 07:00:00,68960,68960,67978,68048,11850,KBS
2020-02-27 07:00:00,68048,69030,67558,69030,59450,KBS
2020-02-28 07:00:00,69030,69030,67278,67278,26240,KBS
2020-03-02 07:00:00,67278,67628,65105,66577,17520,KBS
2020-03-03 07:00:00,67838,67838,65666,65736,35210,KBS
2020-03-04 07:00:00,65175,66226,63774,65736,98630,KBS
2020-03-05 07:00:00,65736,66577,61181,65806,42650,KBS
2020-03-06 07:00:00,65946,66927,65806,66577,14240,KBS
2020-03-09 07:00:00,66577,66577,61951,62162,61430,KBS
2020-03-10 07:00:00,58307,63633,58307,62722,23650,KBS
2020-03-11 07:00:00,64474,64474,61671,62652,29080,KBS
2020-03-12 07:00:00,59569,59849,58307,59499,50940,KBS
2020-03-13 07:00:00,55364,60970,55364,60269,65370,KBS
2020-03-16 07:00:00,60269,60269,56065,57466,65460,KBS
2020-03-17 07:00:00,56065,56065,53962,54663,74390,KBS
2020-03-18 07:00:00,54663,56065,54663,55574,18290,KBS
2020-03-19 07:00:00,55434,55434,53962,53962,20560,KBS
2020-03-20 07:00:00,54313,54943,54032,54663,18720,KBS
2020-03-23 07:00:00,51159,53962,50879,52911,52370,KBS
2020-03-24 07:00:00,50738,53121,50738,52981,9410,KBS
2020-03-25 07:00:00,53892,56625,53892,56625,59610,KBS
2020-03-26 07:00:00,56415,60199,56065,57817,27920,KBS
2020-03-27 07:00:00,57887,60269,53962,56765,60750,KBS
2020-03-30 07:00:00,56695,57466,53331,55294,23160,KBS
2020-03-31 07:00:00,58167,58167,55013,55364,19970,KBS
2020-04-01 07:00:00,56065,56415,55364,55364,21450,KBS
2020-04-03 07:00:00,55364,57466,55364,57326,9340,KBS
2020-04-06 07:00:00,57186,58868,57186,58868,16160,KBS
2020-04-07 07:00:00,59569,59569,58167,58167,22130,KBS
2020-04-08 07:00:00,58167,58868,57466,58517,106210,KBS
2020-04-09 07:00:00,58517,60970,58517,60970,23140,KBS
2020-04-10 07:00:00,61671,62862,61531,62512,36400,KBS
2020-04-13 07:00:00,62582,64404,62442,62512,34710,KBS
2020-04-14 07:00:00,62372,63073,60970,61531,35860,KBS
2020-04-15 07:00:00,60970,62722,60970,61741,17360,KBS
2020-04-16 07:00:00,62022,62512,61321,62372,22040,KBS
2020-04-17 07:00:00,62372,63073,61811,62372,19970,KBS
2020-04-20 07:00:00,62372,63143,62232,63143,35420,KBS
2020-04-21 07:00:00,65876,65876,63073,63143,53130,KBS
2020-04-22 07:00:00,61040,63984,61040,63774,18860,KBS
2020-04-23 07:00:00,64124,65105,63774,65105,42470,KBS
2020-04-24 07:00:00,65526,65526,64124,64264,6380,KBS
2020-04-27 07:00:00,63774,64474,63423,63844,16390,KBS
2020-04-28 07:00:00,63844,66226,63143,65806,38860,KBS
2020-04-29 07:00:00,65385,65876,64825,65385,39160,KBS
2020-05-04 07:00:00,66437,66507,65876,65946,40030,KBS
2020-05-05 07:00:00,66226,66226,65736,65736,7150,KBS
2020-05-06 07:00:00,65876,66997,65596,66647,46810,KBS
2020-05-07 07:00:00,68679,68679,66927,68048,24850,KBS
2020-05-08 07:00:00,68679,68679,67207,67278,46920,KBS
2020-05-11 07:00:00,68001,68724,67278,68001,35220,KBS
2020-05-12 07:00:00,68001,68001,66916,67712,27740,KBS
2020-05-13 07:00:00,67278,67712,66265,66988,16580,KBS
2020-05-14 07:00:00,66265,66916,66265,66554,14080,KBS
2020-05-15 07:00:00,66699,67133,66554,66627,13440,KBS
2020-05-18 07:00:00,66554,66627,66192,66265,14920,KBS
2020-05-19 07:00:00,66265,67639,66265,66554,19750,KBS
2020-05-20 07:00:00,67567,67567,66554,66627,7130,KBS
2020-05-21 07:00:00,66627,68001,66554,67639,75160,KBS
2020-05-22 07:00:00,67712,67712,66554,67205,8510,KBS
2020-05-25 07:00:00,67205,67350,66916,67350,10000,KBS
2020-05-26 07:00:00,67350,67639,67278,67278,11120,KBS
2020-05-27 07:00:00,67639,68146,67278,67422,46140,KBS
2020-05-28 07:00:00,67422,67712,67133,67133,4420,KBS
2020-05-29 07:00:00,67133,68652,66771,66771,6150,KBS
2020-06-01 07:00:00,67784,67929,66844,67133,22030,KBS
2020-06-02 07:00:00,67639,68001,66916,68001,20580,KBS
2020-06-03 07:00:00,68001,68001,66916,67278,7630,KBS
2020-06-04 07:00:00,68001,68363,67350,67350,33520,KBS
2020-06-05 07:00:00,67350,68001,67061,67061,18650,KBS
2020-06-08 07:00:00,67061,67639,67061,67278,17710,KBS
2020-06-09 07:00:00,67278,68073,66916,68001,42550,KBS
2020-06-10 07:00:00,68001,68290,67422,67422,19690,KBS
2020-06-11 07:00:00,67422,68001,66554,66554,21540,KBS
2020-06-12 07:00:00,63082,66554,63082,65469,30740,KBS
2020-06-15 07:00:00,65469,66409,65252,65252,27150,KBS
2020-06-16 07:00:00,66482,66482,65324,66192,39590,KBS
2020-06-17 07:00:00,65541,66771,65541,66554,12790,KBS
2020-06-18 07:00:00,66554,66699,65831,66554,4540,KBS
2020-06-19 07:00:00,66554,67278,66554,66627,24170,KBS
2020-06-22 07:00:00,66627,67133,66627,66844,3020,KBS
2020-06-23 07:00:00,66554,66554,65831,66120,4320,KBS
2020-06-24 07:00:00,66192,66554,66120,66265,5660,KBS
2020-06-25 07:00:00,66265,66265,65252,65469,3120,KBS
2020-06-26 07:00:00,65469,66048,65469,65903,7740,KBS
2020-06-29 07:00:00,65831,65831,64890,64963,3970,KBS
2020-06-30 07:00:00,65686,66192,64963,66192,7090,KBS
2020-07-01 07:00:00,66192,66192,65107,65469,2300,KBS
2020-07-02 07:00:00,66048,66048,65469,65831,1700,KBS
2020-07-03 07:00:00,66192,66554,65324,66554,12070,KBS
2020-07-06 07:00:00,66554,67133,65831,67061,13190,KBS
2020-07-07 07:00:00,67495,67639,66988,67567,16850,KBS
2020-07-08 07:00:00,67278,67639,67278,67639,10900,KBS
2020-07-09 07:00:00,67278,68146,67278,68146,12210,KBS
2020-07-10 07:00:00,68001,68146,66554,67278,9190,KBS
2020-07-13 07:00:00,67278,68001,66554,67929,6090,KBS
2020-07-14 07:00:00,67856,68660,65808,68514,8860,KBS
2020-07-15 07:00:00,66978,68514,66466,68148,30680,KBS
2020-07-16 07:00:00,66686,68148,66686,68148,10520,KBS
2020-07-17 07:00:00,68148,68148,66539,68002,6450,KBS
2020-07-20 07:00:00,66905,68002,66905,67197,7770,KBS
2020-07-21 07:00:00,67197,68002,67051,67856,19450,KBS
2020-07-22 07:00:00,67271,68002,66978,67856,14010,KBS
2020-07-23 07:00:00,67856,67856,67271,67856,4720,KBS
2020-07-24 07:00:00,66759,68294,66539,68294,18610,KBS
2020-07-27 07:00:00,63615,68002,63615,66539,12160,KBS
2020-07-28 07:00:00,66539,67271,65808,67271,9680,KBS
2020-07-29 07:00:00,68002,68002,65735,67856,12880,KBS
2020-07-30 07:00:00,67856,67856,65808,67782,7370,KBS
2020-07-31 07:00:00,67709,67709,66613,66613,3240,KBS
2020-08-03 07:00:00,67636,68002,66539,67051,13380,KBS
2020-08-04 07:00:00,67051,70927,66978,70927,33840,KBS
2020-08-05 07:00:00,70927,70927,69537,70927,20210,KBS
2020-08-06 07:00:00,70195,70927,69757,70853,11800,KBS
2020-08-07 07:00:00,70707,70780,68733,70780,18470,KBS
2020-08-10 07:00:00,70780,70927,69318,70707,13190,KBS
2020-08-11 07:00:00,70707,70707,69537,70707,17140,KBS
2020-08-12 07:00:00,70707,70707,69610,70634,8230,KBS
2020-08-13 07:00:00,69757,70927,69757,70780,8130,KBS
2020-08-14 07:00:00,71292,71292,70195,70195,7170,KBS
2020-08-17 07:00:00,70195,70195,69684,70122,6800,KBS
2020-08-18 07:00:00,70122,70561,69830,69976,6090,KBS
2020-08-19 07:00:00,69976,70488,69830,70415,2110,KBS
2020-08-20 07:00:00,70561,70927,69537,70927,17130,KBS
2020-08-21 07:00:00,70561,72389,70195,72389,30320,KBS
2020-08-24 07:00:00,72389,76630,71658,76630,33570,KBS
2020-08-25 07:00:00,79628,79628,76630,77507,21900,KBS
2020-08-26 07:00:00,76776,77507,74583,77069,14720,KBS
2020-08-27 07:00:00,77069,77069,75314,76776,20440,KBS
2020-08-28 07:00:00,76776,77507,76411,77507,17620,KBS
2020-08-31 07:00:00,75679,77507,75679,77142,6890,KBS
2020-09-01 07:00:00,77069,77069,75314,76630,8770,KBS
2020-09-03 07:00:00,76045,76411,74948,74948,18830,KBS
2020-09-04 07:00:00,76776,76776,74583,74656,5600,KBS
2020-09-07 07:00:00,74583,75314,73120,73120,8490,KBS
2020-09-08 07:00:00,73120,76776,73120,76776,17060,KBS
2020-09-09 07:00:00,76630,76776,74802,74875,1350,KBS
2020-09-10 07:00:00,76045,76045,74583,75241,2320,KBS
2020-09-11 07:00:00,73851,76703,73851,76411,5630,KBS
2020-09-14 07:00:00,76411,76411,74656,74656,1650,KBS
2020-09-15 07:00:00,74729,76484,74729,75314,7200,KBS
2020-09-16 07:00:00,76776,76776,75314,76337,7820,KBS
2020-09-17 07:00:00,77507,77654,76776,77507,36730,KBS
2020-09-18 07:00:00,78531,78531,77142,77215,3170,KBS
2020-09-21 07:00:00,77215,77507,72170,76264,4020,KBS
2020-09-22 07:00:00,76776,77507,76045,77507,9670,KBS
2020-09-23 07:00:00,76411,77507,76411,77507,5960,KBS
2020-09-24 07:00:00,78239,78239,77215,77654,14890,KBS
2020-09-25 07:00:00,73559,78165,73559,76849,7520,KBS
2020-09-28 07:00:00,76045,77507,76045,77507,7530,KBS
2020-09-29 07:00:00,77581,77873,77069,77434,13560,KBS
2020-09-30 07:00:00,77434,77434,77069,77142,4730,KBS
2020-10-01 07:00:00,77142,77507,76922,77434,8160,KBS
