date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1910,2040,1910,2040,6255170,KBS
2020-01-03 07:00:00,2160,2160,2010,2070,9258590,KBS
2020-01-06 07:00:00,2060,2200,2000,2200,11643910,KBS
2020-01-07 07:00:00,2250,2350,2230,2350,12117690,KBS
2020-01-08 07:00:00,2300,2480,2240,2380,12089860,KBS
2020-01-09 07:00:00,2420,2450,2300,2360,9677500,KBS
2020-01-10 07:00:00,2330,2420,2250,2250,8921930,KBS
2020-01-13 07:00:00,2250,2280,2100,2100,12821760,KBS
2020-01-14 07:00:00,1980,2060,1960,1960,9923840,KBS
2020-01-15 07:00:00,1880,2030,1840,1980,11071300,KBS
2020-01-16 07:00:00,2000,2030,1850,1850,9266450,KBS
2020-01-17 07:00:00,1800,1870,1750,1790,5878850,KBS
2020-01-20 07:00:00,1800,1850,1730,1850,3344920,KBS
2020-01-21 07:00:00,1860,1970,1850,1970,2411940,KBS
2020-01-22 07:00:00,2050,2090,1940,1970,4717620,KBS
2020-01-30 07:00:00,1910,1930,1840,1840,6849810,KBS
2020-01-31 07:00:00,1810,1880,1720,1720,9079960,KBS
2020-02-03 07:00:00,1600,1660,1600,1600,8134330,KBS
2020-02-04 07:00:00,1630,1710,1580,1710,8577330,KBS
2020-02-05 07:00:00,1750,1820,1750,1790,10198390,KBS
2020-02-06 07:00:00,1790,1870,1780,1800,5004080,KBS
2020-02-07 07:00:00,1770,1800,1720,1720,6931420,KBS
2020-02-10 07:00:00,1700,1840,1620,1820,5018120,KBS
2020-02-11 07:00:00,1830,1830,1750,1760,3291420,KBS
2020-02-12 07:00:00,1750,1850,1750,1800,5417650,KBS
2020-02-13 07:00:00,1770,1820,1770,1790,4403190,KBS
2020-02-14 07:00:00,1800,1870,1790,1830,5250400,KBS
2020-02-17 07:00:00,1850,1950,1850,1950,8784900,KBS
2020-02-18 07:00:00,2020,2060,1940,1940,7991400,KBS
2020-02-19 07:00:00,1930,2040,1900,2040,5937150,KBS
2020-02-20 07:00:00,2050,2090,1960,2010,6671160,KBS
2020-02-21 07:00:00,2000,2030,1910,1910,7384300,KBS
2020-02-24 07:00:00,1850,1870,1780,1780,10818870,KBS
2020-02-25 07:00:00,1670,1880,1670,1820,9038540,KBS
2020-02-26 07:00:00,1780,1840,1770,1790,3382850,KBS
2020-02-27 07:00:00,1770,1840,1760,1820,3747670,KBS
2020-02-28 07:00:00,1760,1780,1710,1760,5709240,KBS
2020-03-02 07:00:00,1760,1830,1760,1790,3650190,KBS
2020-03-03 07:00:00,1820,1910,1810,1850,8537380,KBS
2020-03-04 07:00:00,1850,1970,1800,1970,10398070,KBS
2020-03-05 07:00:00,2050,2070,1910,1910,8410980,KBS
2020-03-06 07:00:00,1910,1970,1860,1900,7459730,KBS
2020-03-09 07:00:00,1770,1810,1770,1770,8552000,KBS
2020-03-10 07:00:00,1700,1850,1690,1790,8593850,KBS
2020-03-11 07:00:00,1820,1850,1680,1730,9752290,KBS
2020-03-12 07:00:00,1650,1720,1610,1630,8449560,KBS
2020-03-13 07:00:00,1520,1720,1520,1650,6968130,KBS
2020-03-16 07:00:00,1650,1730,1650,1700,9495860,KBS
2020-03-17 07:00:00,1660,1810,1660,1810,11972080,KBS
2020-03-18 07:00:00,1900,1930,1870,1930,12633480,KBS
2020-03-19 07:00:00,1990,2000,1800,1800,15896840,KBS
2020-03-20 07:00:00,1740,1900,1730,1840,8828660,KBS
2020-03-23 07:00:00,1810,1810,1720,1720,7100330,KBS
2020-03-24 07:00:00,1700,1800,1660,1800,8513590,KBS
2020-03-25 07:00:00,1820,1850,1750,1750,5271040,KBS
2020-03-26 07:00:00,1730,1780,1640,1650,6567610,KBS
2020-03-27 07:00:00,1650,1700,1590,1590,7848280,KBS
2020-03-30 07:00:00,1510,1570,1480,1480,11223910,KBS
2020-03-31 07:00:00,1460,1540,1380,1390,10924970,KBS
2020-04-01 07:00:00,1360,1480,1360,1480,3917550,KBS
2020-04-03 07:00:00,1530,1580,1500,1540,5312270,KBS
2020-04-06 07:00:00,1560,1620,1530,1610,9184480,KBS
2020-04-07 07:00:00,1610,1610,1540,1560,4278330,KBS
2020-04-08 07:00:00,1510,1570,1480,1570,5017370,KBS
2020-04-09 07:00:00,1590,1630,1530,1530,7696330,KBS
2020-04-10 07:00:00,1550,1580,1510,1530,3761920,KBS
2020-04-13 07:00:00,1540,1580,1530,1540,2942850,KBS
2020-04-14 07:00:00,1550,1570,1510,1540,3396950,KBS
2020-04-15 07:00:00,1540,1640,1540,1630,13619720,KBS
2020-04-16 07:00:00,1600,1660,1600,1610,3972360,KBS
2020-04-17 07:00:00,1650,1650,1590,1600,5466240,KBS
2020-04-20 07:00:00,1630,1660,1590,1600,7089190,KBS
2020-04-21 07:00:00,1590,1590,1490,1500,10459190,KBS
2020-04-22 07:00:00,1480,1540,1470,1530,4648650,KBS
2020-04-23 07:00:00,1560,1570,1530,1540,3122480,KBS
2020-04-24 07:00:00,1520,1550,1500,1540,3469110,KBS
2020-04-27 07:00:00,1540,1570,1530,1540,3852070,KBS
2020-04-28 07:00:00,1550,1550,1510,1530,1862430,KBS
2020-04-29 07:00:00,1520,1550,1520,1520,2883800,KBS
2020-05-04 07:00:00,1420,1460,1420,1420,13061830,KBS
2020-05-05 07:00:00,1420,1510,1420,1490,3967240,KBS
2020-05-06 07:00:00,1480,1490,1450,1460,3036290,KBS
2020-05-07 07:00:00,1460,1460,1430,1450,2464600,KBS
2020-05-08 07:00:00,1450,1480,1440,1470,4640620,KBS
2020-05-11 07:00:00,1470,1480,1450,1470,4448460,KBS
2020-05-12 07:00:00,1480,1480,1460,1470,2532060,KBS
2020-05-13 07:00:00,1470,1570,1450,1570,10230890,KBS
2020-05-14 07:00:00,1570,1600,1550,1560,4530700,KBS
2020-05-15 07:00:00,1560,1570,1510,1510,3156790,KBS
