date,open,high,low,close,volume,_source
2020-01-02 07:00:00,17700,17700,17600,17700,16105,KBS
2020-01-03 07:00:00,17500,17600,17400,17600,13200,KBS
2020-01-06 07:00:00,17500,18000,17500,17600,36000,KBS
2020-01-07 07:00:00,17200,17600,17200,17600,4640,KBS
2020-01-08 07:00:00,17500,17500,17500,17500,25000,KBS
2020-01-09 07:00:00,17500,17600,17400,17600,13000,KBS
2020-01-10 07:00:00,17400,17600,17400,17500,9803,KBS
2020-01-13 07:00:00,17500,17600,17500,17600,6600,KBS
2020-01-14 07:00:00,17600,17700,17600,17700,5540,KBS
2020-01-15 07:00:00,17500,17800,17500,17800,7300,KBS
2020-01-16 07:00:00,17800,17800,17800,17800,6040,KBS
2020-01-17 07:00:00,17600,17800,17600,17800,5510,KBS
2020-01-21 07:00:00,17800,17900,16100,17900,12100,KBS
2020-01-22 07:00:00,17900,18000,17900,18000,14800,KBS
2020-01-30 07:00:00,17900,17900,17900,17900,600,KBS
2020-01-31 07:00:00,18000,18000,17800,18000,20400,KBS
2020-02-03 07:00:00,17500,17500,17500,17500,5003,KBS
2020-02-04 07:00:00,18000,18300,18000,18100,24500,KBS
2020-02-05 07:00:00,18200,18300,18200,18300,11500,KBS
2020-02-06 07:00:00,18400,18500,18200,18500,54000,KBS
2020-02-07 07:00:00,18500,18500,18500,18500,1040,KBS
2020-02-10 07:00:00,18100,18100,18000,18000,11600,KBS
2020-02-11 07:00:00,18200,18200,16200,18000,5400,KBS
2020-02-12 07:00:00,18200,18500,18200,18500,25900,KBS
2020-02-13 07:00:00,18500,18500,18500,18500,10800,KBS
2020-02-14 07:00:00,18500,18500,18500,18500,15250,KBS
2020-02-17 07:00:00,18200,18400,18200,18400,14700,KBS
2020-02-18 07:00:00,18400,18600,18400,18500,26100,KBS
2020-02-19 07:00:00,18500,18500,18500,18500,17000,KBS
2020-02-20 07:00:00,18500,18500,18400,18500,16000,KBS
2020-02-21 07:00:00,18500,18500,18500,18500,18058,KBS
2020-02-24 07:00:00,18500,18500,18400,18400,10000,KBS
2020-02-25 07:00:00,18400,18400,18400,18400,10700,KBS
2020-02-26 07:00:00,18400,18400,18000,18400,16800,KBS
2020-02-27 07:00:00,18300,18500,18300,18500,20300,KBS
2020-02-28 07:00:00,18100,18500,18100,18500,16000,KBS
2020-03-02 07:00:00,18200,18500,16900,18500,7500,KBS
2020-03-03 07:00:00,18400,18500,18400,18500,9565,KBS
2020-03-04 07:00:00,18300,18300,16900,18300,1900,KBS
2020-03-05 07:00:00,18300,18400,18300,18400,5000,KBS
2020-03-06 07:00:00,18400,18500,16600,18500,7000,KBS
2020-03-09 07:00:00,18400,18400,17800,18400,46200,KBS
2020-03-10 07:00:00,18300,18300,18200,18300,19900,KBS
2020-03-11 07:00:00,18000,18300,18000,18300,3500,KBS
2020-03-12 07:00:00,18000,18200,17500,18000,30300,KBS
2020-03-13 07:00:00,17800,18000,17300,18000,43000,KBS
2020-03-16 07:00:00,18000,18100,18000,18100,13400,KBS
2020-03-17 07:00:00,18000,18100,17800,18100,25100,KBS
2020-03-18 07:00:00,18100,18400,18000,18400,26410,KBS
2020-03-19 07:00:00,18300,18300,18200,18300,28200,KBS
2020-03-20 07:00:00,18200,18300,18200,18300,21610,KBS
2020-03-23 07:00:00,18000,18200,17500,18000,45500,KBS
2020-03-24 07:00:00,17800,18000,16600,18000,36713,KBS
2020-03-25 07:00:00,18000,18100,17800,18000,31520,KBS
2020-03-26 07:00:00,18000,18000,17300,17600,43700,KBS
2020-03-27 07:00:00,17700,18000,17500,18000,30554,KBS
2020-03-30 07:00:00,17900,17900,17300,17700,32662,KBS
2020-03-31 07:00:00,17700,17800,17500,17800,31300,KBS
2020-04-01 07:00:00,16500,17800,16100,17800,1581,KBS
2020-04-03 07:00:00,17500,17500,17500,17500,2100,KBS
2020-04-06 07:00:00,17400,17400,17000,17300,16304,KBS
2020-04-07 07:00:00,17000,17000,17000,17000,5000,KBS
2020-04-08 07:00:00,17400,17400,17400,17400,100,KBS
2020-04-09 07:00:00,17400,17400,16600,16600,2920,KBS
2020-04-10 07:00:00,16600,17400,15000,17400,1100,KBS
2020-04-13 07:00:00,17300,17300,17300,17300,1000,KBS
2020-04-14 07:00:00,16500,16500,16500,16500,5620,KBS
2020-04-15 07:00:00,16600,16600,14900,16600,100,KBS
2020-04-16 07:00:00,17000,17000,17000,17000,1500,KBS
2020-04-17 07:00:00,16800,17000,15300,17000,8900,KBS
2020-04-22 07:00:00,16500,16500,16500,16500,2400,KBS
2020-04-27 07:00:00,16900,16900,16900,16900,600,KBS
2020-04-28 07:00:00,16900,16900,16900,16900,30,KBS
2020-04-29 07:00:00,16900,16900,16400,16400,4600,KBS
2020-05-04 07:00:00,17000,17000,17000,17000,100,KBS
2020-05-06 07:00:00,17000,17000,15300,16300,1400,KBS
2020-05-07 07:00:00,16400,16400,16400,16400,3611,KBS
2020-05-08 07:00:00,16300,17400,16300,17400,680,KBS
2020-05-11 07:00:00,16500,17500,16500,17500,5100,KBS
2020-05-12 07:00:00,17000,17000,15800,17000,100,KBS
2020-05-13 07:00:00,16900,16900,16900,16900,280,KBS
2020-05-14 07:00:00,16700,16700,15300,16300,6800,KBS
2020-05-15 07:00:00,16300,16300,14700,16300,2600,KBS
2020-05-18 07:00:00,16300,16300,16000,16000,11100,KBS
2020-05-19 07:00:00,16500,17400,16500,17400,10200,KBS
2020-05-20 07:00:00,17400,17400,17400,17400,1,KBS
2020-05-21 07:00:00,16500,17400,16500,17000,20600,KBS
2020-05-22 07:00:00,16200,17000,16100,17000,14615,KBS
2020-05-25 07:00:00,17000,17000,17000,17000,8100,KBS
2020-05-26 07:00:00,17000,17000,17000,17000,2,KBS
2020-05-27 07:00:00,16000,17000,16000,17000,17178,KBS
2020-05-29 07:00:00,17000,17000,17000,17000,215,KBS
2020-06-01 07:00:00,16800,17000,16600,17000,6800,KBS
2020-06-02 07:00:00,16600,17000,15300,17000,37674,KBS
2020-06-03 07:00:00,16600,16600,16500,16600,6100,KBS
2020-06-04 07:00:00,16600,17000,16100,17000,67700,KBS
2020-06-05 07:00:00,17000,17000,17000,17000,3009,KBS
2020-06-08 07:00:00,17000,17000,17000,17000,5000,KBS
2020-06-09 07:00:00,16200,17000,16000,17000,18600,KBS
2020-06-11 07:00:00,16200,17000,16200,17000,11000,KBS
2020-06-12 07:00:00,16800,16900,16800,16900,3200,KBS
2020-06-15 07:00:00,16500,16900,16500,16900,20163,KBS
2020-06-16 07:00:00,16900,16900,16900,16900,500,KBS
2020-06-17 07:00:00,16900,16900,16900,16900,49,KBS
2020-06-18 07:00:00,16500,16500,16500,16500,17500,KBS
2020-06-23 07:00:00,16400,16500,16400,16500,5300,KBS
2020-06-24 07:00:00,16400,16400,16400,16400,500,KBS
2020-06-25 07:00:00,17000,17000,17000,17000,4000,KBS
2020-06-26 07:00:00,16500,16900,16500,16900,10587,KBS
2020-06-30 07:00:00,16300,16900,16300,16900,1960,KBS
2020-07-01 07:00:00,16500,16900,16500,16900,11100,KBS
2020-07-02 07:00:00,16700,16700,16400,16400,10549,KBS
2020-07-03 07:00:00,16400,16400,16300,16400,15609,KBS
2020-07-06 07:00:00,16400,17000,16400,17000,76400,KBS
2020-07-07 07:00:00,16500,16500,16500,16500,273,KBS
2020-07-08 07:00:00,16700,17200,16700,17200,163800,KBS
2020-07-09 07:00:00,16600,16600,16600,16600,200,KBS
2020-07-10 07:00:00,16800,17100,16800,17000,115060,KBS
2020-07-13 07:00:00,16800,16900,16300,16900,8349,KBS
2020-07-14 07:00:00,16900,17500,16900,17500,18000,KBS
2020-07-15 07:00:00,17300,17500,17300,17500,45800,KBS
2020-07-16 07:00:00,17500,17900,17500,17800,20900,KBS
2020-07-17 07:00:00,18000,18500,17900,18500,46432,KBS
2020-07-20 07:00:00,18500,18500,18200,18200,30099,KBS
2020-07-21 07:00:00,18200,18200,18100,18100,600,KBS
2020-07-22 07:00:00,17800,18100,17800,18100,31586,KBS
2020-07-23 07:00:00,17900,18100,17500,18100,46010,KBS
2020-07-24 07:00:00,17200,18000,17000,18000,31620,KBS
2020-07-27 07:00:00,17000,17000,17000,17000,100,KBS
2020-07-28 07:00:00,17000,17900,17000,17900,53000,KBS
2020-07-29 07:00:00,19300,19300,17500,18000,24900,KBS
2020-07-30 07:00:00,18000,18300,17800,18300,85100,KBS
2020-07-31 07:00:00,18300,18300,17500,18200,37700,KBS
2020-08-03 07:00:00,18500,18500,18200,18500,4820,KBS
2020-08-04 07:00:00,18200,18400,18000,18300,59710,KBS
2020-08-05 07:00:00,17800,18300,17800,18300,2000,KBS
2020-08-06 07:00:00,17800,18300,17800,18300,30300,KBS
2020-08-07 07:00:00,18200,18300,18200,18300,41800,KBS
2020-08-10 07:00:00,17800,18300,17800,18200,22400,KBS
