date,open,high,low,close,volume,_source
2020-01-02 07:00:00,12272,12693,12219,12693,616620,KBS
2020-01-03 07:00:00,12746,12851,12430,12430,316560,KBS
2020-01-06 07:00:00,12535,12825,12324,12772,789060,KBS
2020-01-07 07:00:00,12877,13325,12746,13141,1220030,KBS
2020-01-08 07:00:00,13062,13193,12719,12798,767410,KBS
2020-01-09 07:00:00,13141,13378,13035,13272,1004770,KBS
2020-01-10 07:00:00,13272,13536,13009,13167,800060,KBS
2020-01-13 07:00:00,13167,13325,12930,13009,406620,KBS
2020-01-14 07:00:00,12983,13509,12983,13114,621030,KBS
2020-01-15 07:00:00,13114,13325,13062,13062,417530,KBS
2020-01-16 07:00:00,13141,13852,13088,13825,1276220,KBS
2020-01-17 07:00:00,13825,13904,13483,13667,746440,KBS
2020-01-20 07:00:00,13746,13746,13404,13404,466920,KBS
2020-01-21 07:00:00,13430,13694,13325,13694,459280,KBS
2020-01-22 07:00:00,13483,14089,13483,13720,469760,KBS
2020-01-30 07:00:00,13351,13588,12904,13009,737980,KBS
2020-01-31 07:00:00,12904,13167,12114,12114,854650,KBS
2020-02-03 07:00:00,11745,12298,11455,12061,1189140,KBS
2020-02-04 07:00:00,12061,12324,11850,11850,487330,KBS
2020-02-05 07:00:00,12114,12272,11956,11982,461550,KBS
2020-02-06 07:00:00,12114,12535,12061,12535,432960,KBS
2020-02-07 07:00:00,12640,12640,12351,12430,366340,KBS
2020-02-10 07:00:00,12114,12377,12061,12166,231320,KBS
2020-02-11 07:00:00,12166,12482,12166,12298,269180,KBS
2020-02-12 07:00:00,12430,12798,12324,12588,498190,KBS
2020-02-13 07:00:00,12588,12798,12509,12509,272010,KBS
2020-02-14 07:00:00,12482,12667,12298,12535,287530,KBS
2020-02-17 07:00:00,12535,12535,12140,12140,527690,KBS
2020-02-18 07:00:00,12140,12324,12140,12272,355850,KBS
2020-02-19 07:00:00,12272,12614,12166,12509,444270,KBS
2020-02-20 07:00:00,12509,12640,12193,12482,349110,KBS
2020-02-21 07:00:00,12482,12482,12272,12272,215010,KBS
2020-02-24 07:00:00,12008,12087,11771,11798,895970,KBS
2020-02-25 07:00:00,11745,12008,11745,12008,237350,KBS
2020-02-26 07:00:00,11850,11982,11798,11929,222040,KBS
2020-02-27 07:00:00,11903,12272,11850,12272,303350,KBS
2020-02-28 07:00:00,11824,12114,11745,11824,329010,KBS
2020-03-02 07:00:00,11771,11877,11640,11666,265100,KBS
2020-03-03 07:00:00,11956,11956,11666,11719,154490,KBS
2020-03-04 07:00:00,11666,11719,11534,11587,312680,KBS
2020-03-05 07:00:00,11666,11798,11613,11666,198440,KBS
2020-03-06 07:00:00,11587,11798,11534,11798,202070,KBS
2020-03-09 07:00:00,11008,11534,10981,10981,1154240,KBS
2020-03-10 07:00:00,10534,11218,10534,11060,446900,KBS
2020-03-11 07:00:00,11245,11245,10296,10375,509700,KBS
2020-03-12 07:00:00,9743,9928,9664,9691,872680,KBS
2020-03-13 07:00:00,9111,9822,9111,9401,570520,KBS
2020-03-16 07:00:00,9296,9849,9296,9559,567370,KBS
2020-03-17 07:00:00,9480,9796,9296,9796,274820,KBS
2020-03-18 07:00:00,9796,9901,9480,9638,286810,KBS
2020-03-19 07:00:00,9480,9559,9269,9348,299220,KBS
2020-03-20 07:00:00,9480,9612,9322,9480,420520,KBS
2020-03-23 07:00:00,9190,9217,8822,8822,501740,KBS
2020-03-24 07:00:00,8822,8927,8532,8822,273530,KBS
2020-03-25 07:00:00,9085,9164,8980,9111,305600,KBS
2020-03-26 07:00:00,9111,9111,8716,8743,338030,KBS
2020-03-27 07:00:00,8848,8901,8690,8743,203570,KBS
2020-03-30 07:00:00,8532,8532,8137,8137,509100,KBS
2020-03-31 07:00:00,8427,8427,7663,7663,403580,KBS
2020-04-01 07:00:00,7663,8032,7663,7847,184560,KBS
2020-04-03 07:00:00,7900,8163,7900,8163,505810,KBS
2020-04-06 07:00:00,8163,8716,8163,8716,454460,KBS
2020-04-07 07:00:00,8901,8953,8690,8795,352190,KBS
2020-04-08 07:00:00,8690,8690,8348,8558,383420,KBS
2020-04-09 07:00:00,8690,9138,8611,9138,564670,KBS
2020-04-10 07:00:00,9164,9164,8901,9111,385770,KBS
2020-04-13 07:00:00,9111,9217,8901,9006,219710,KBS
2020-04-14 07:00:00,9006,9164,8743,9006,445170,KBS
2020-04-15 07:00:00,9006,9585,8953,9454,565230,KBS
2020-04-16 07:00:00,9427,9796,9401,9743,471140,KBS
2020-04-17 07:00:00,9849,9901,9585,9770,527970,KBS
2020-04-20 07:00:00,9770,10244,9770,9980,1066950,KBS
2020-04-21 07:00:00,9585,9980,9296,9296,1168550,KBS
2020-04-22 07:00:00,9296,9822,9296,9796,628870,KBS
2020-04-23 07:00:00,10112,10217,9849,10059,1026840,KBS
2020-04-24 07:00:00,9901,10033,9822,9928,631080,KBS
2020-04-27 07:00:00,10007,10059,9691,9770,584390,KBS
2020-04-28 07:00:00,9770,9770,9506,9717,530050,KBS
2020-04-29 07:00:00,10138,10191,9612,10138,1050510,KBS
2020-05-04 07:00:00,10007,10744,9901,10428,1257370,KBS
2020-05-05 07:00:00,10402,10507,10007,10375,430680,KBS
2020-05-06 07:00:00,10428,10744,10323,10534,901360,KBS
2020-05-07 07:00:00,10402,10665,10375,10507,939800,KBS
2020-05-08 07:00:00,10507,10507,10165,10217,1802400,KBS
2020-05-11 07:00:00,10428,10454,10138,10428,596190,KBS
2020-05-12 07:00:00,10428,10665,10323,10586,576880,KBS
2020-05-13 07:00:00,10428,10613,10349,10375,885270,KBS
2020-05-14 07:00:00,10270,10349,10165,10217,616150,KBS
2020-05-15 07:00:00,10217,10375,9980,9980,631940,KBS
2020-05-18 07:00:00,9954,9980,9770,9954,490960,KBS
