date,open,high,low,close,volume,_source
2020-01-02 07:00:00,37915,37915,37272,37272,6080,KBS
2020-01-03 07:00:00,37144,37594,37144,37337,1860,KBS
2020-01-06 07:00:00,37337,37594,37080,37272,2110,KBS
2020-01-07 07:00:00,37337,37465,37272,37272,5640,KBS
2020-01-08 07:00:00,37722,37722,37208,37208,850,KBS
2020-01-09 07:00:00,37272,37594,37208,37272,3060,KBS
2020-01-10 07:00:00,37915,37915,37144,37208,4310,KBS
2020-01-13 07:00:00,37208,37272,37144,37144,3770,KBS
2020-01-14 07:00:00,37208,37272,37080,37144,12290,KBS
2020-01-15 07:00:00,37144,37594,37080,37594,5910,KBS
2020-01-16 07:00:00,37208,37915,37144,37594,3480,KBS
2020-01-17 07:00:00,37594,37658,37401,37658,2950,KBS
2020-01-20 07:00:00,37658,37722,36951,37529,5220,KBS
2020-01-21 07:00:00,37851,37851,37722,37786,11300,KBS
2020-01-22 07:00:00,37915,37915,37529,37786,1830,KBS
2020-01-30 07:00:00,37786,37786,35152,35280,83290,KBS
2020-01-31 07:00:00,36373,36373,35280,35344,11840,KBS
2020-02-03 07:00:00,35280,35280,32902,33738,21100,KBS
2020-02-04 07:00:00,33738,34573,33738,34573,12890,KBS
2020-02-05 07:00:00,35023,35473,35023,35152,18110,KBS
2020-02-06 07:00:00,35344,35409,35216,35280,24710,KBS
2020-02-07 07:00:00,35280,35601,34702,35280,9230,KBS
2020-02-10 07:00:00,35280,35280,34702,35087,6840,KBS
2020-02-11 07:00:00,35344,36565,35344,35859,2340,KBS
2020-02-12 07:00:00,36437,36437,35794,35923,4320,KBS
2020-02-13 07:00:00,35987,36437,35666,35794,12390,KBS
2020-02-14 07:00:00,35666,36308,35666,36308,13760,KBS
2020-02-17 07:00:00,36244,36437,36116,36308,24320,KBS
2020-02-18 07:00:00,36308,36308,35987,35987,3680,KBS
2020-02-19 07:00:00,35987,36116,35730,35987,6350,KBS
2020-02-20 07:00:00,35987,35987,35923,35923,9390,KBS
2020-02-21 07:00:00,34580,36259,34580,36124,5110,KBS
2020-02-24 07:00:00,36124,36124,34714,34714,7590,KBS
2020-02-25 07:00:00,33976,34916,33908,34916,16470,KBS
2020-02-26 07:00:00,34781,34916,34580,34580,7740,KBS
2020-02-27 07:00:00,34580,34647,34244,34580,4750,KBS
2020-02-28 07:00:00,34244,34244,33976,34110,2790,KBS
2020-03-02 07:00:00,33908,33908,32566,32767,14580,KBS
2020-03-03 07:00:00,32767,33908,32767,33573,5450,KBS
2020-03-04 07:00:00,33371,33371,32901,33371,2240,KBS
2020-03-05 07:00:00,33371,33707,33371,33640,4960,KBS
2020-03-06 07:00:00,33573,33707,33237,33707,8140,KBS
2020-03-09 07:00:00,33237,33237,31558,31558,18530,KBS
2020-03-10 07:00:00,30887,32901,30887,32901,10770,KBS
2020-03-11 07:00:00,32901,33573,32230,32230,8900,KBS
2020-03-12 07:00:00,30887,30887,30215,30551,12540,KBS
2020-03-13 07:00:00,28873,30081,28436,29376,14840,KBS
2020-03-16 07:00:00,28604,29813,28604,29410,5850,KBS
2020-03-17 07:00:00,28873,29376,28772,29376,15500,KBS
2020-03-18 07:00:00,29745,29745,29544,29544,3340,KBS
2020-03-19 07:00:00,29544,29544,29141,29544,6930,KBS
2020-03-20 07:00:00,29544,29678,29544,29544,3730,KBS
2020-03-23 07:00:00,29544,29544,27731,28000,17560,KBS
2020-03-24 07:00:00,27630,28805,27630,28537,17390,KBS
2020-03-25 07:00:00,28805,29074,28537,28873,7480,KBS
2020-03-26 07:00:00,28873,29410,28537,28537,1150,KBS
2020-03-27 07:00:00,28201,28604,27865,28235,1320,KBS
2020-03-30 07:00:00,27865,27865,26858,27798,12160,KBS
2020-03-31 07:00:00,28805,28805,27664,27966,2610,KBS
2020-04-01 07:00:00,28537,28604,28201,28604,2850,KBS
2020-04-03 07:00:00,28873,29208,27664,28873,16550,KBS
2020-04-06 07:00:00,28201,30551,28201,30215,10940,KBS
2020-04-07 07:00:00,30215,30283,29544,30014,13650,KBS
2020-04-08 07:00:00,29343,30618,28873,30215,14970,KBS
2020-04-09 07:00:00,30820,30820,29074,29745,39050,KBS
2020-04-10 07:00:00,30081,30081,29544,29678,19320,KBS
2020-04-13 07:00:00,29343,29813,29309,29544,32950,KBS
2020-04-14 07:00:00,29813,29813,29410,29544,5670,KBS
2020-04-15 07:00:00,29611,29745,29544,29745,78500,KBS
2020-04-16 07:00:00,29745,29745,29208,29544,43490,KBS
2020-04-17 07:00:00,29007,29880,29007,29510,62020,KBS
2020-04-20 07:00:00,29745,29813,29477,29611,67130,KBS
2020-04-21 07:00:00,29611,29611,29343,29443,40470,KBS
2020-04-22 07:00:00,29410,29544,29208,29443,25270,KBS
2020-04-23 07:00:00,29544,30215,29410,29410,47330,KBS
2020-04-24 07:00:00,29880,29880,29410,29880,34060,KBS
2020-04-27 07:00:00,29678,30215,29645,30148,56640,KBS
2020-04-28 07:00:00,30148,30148,29813,29880,17420,KBS
2020-04-29 07:00:00,30081,30148,29880,30081,12680,KBS
2020-05-04 07:00:00,30081,30081,29846,29947,18720,KBS
2020-05-05 07:00:00,29947,30014,29678,29880,15500,KBS
2020-05-06 07:00:00,29813,29947,29813,29880,15440,KBS
2020-05-07 07:00:00,29880,30887,29880,30551,50530,KBS
2020-05-08 07:00:00,30618,31155,30551,30753,37950,KBS
2020-05-11 07:00:00,30954,30954,30753,30954,43870,KBS
2020-05-12 07:00:00,31223,32633,31223,32566,32840,KBS
2020-05-13 07:00:00,32633,32700,31625,32431,40780,KBS
2020-05-14 07:00:00,32431,32431,31827,31827,18190,KBS
2020-05-15 07:00:00,31961,32028,31491,31558,29520,KBS
2020-05-18 07:00:00,31558,32096,31558,31760,9770,KBS
2020-05-19 07:00:00,31827,32163,31827,31961,14890,KBS
2020-05-20 07:00:00,31558,32028,31558,31625,11710,KBS
2020-05-21 07:00:00,31625,32163,31625,31793,21770,KBS
2020-05-22 07:00:00,31793,32028,31793,31894,19740,KBS
2020-05-25 07:00:00,31827,31894,31827,31827,18740,KBS
2020-05-26 07:00:00,31827,31894,31592,31894,11430,KBS
2020-05-27 07:00:00,32028,32633,32028,32096,26000,KBS
2020-05-28 07:00:00,31558,32230,31558,31961,3690,KBS
2020-05-29 07:00:00,31961,31961,31726,31760,8190,KBS
2020-06-01 07:00:00,32230,32230,31558,31894,10930,KBS
2020-06-02 07:00:00,31894,31894,31693,31726,15550,KBS
2020-06-03 07:00:00,31726,31726,31693,31693,9370,KBS
2020-06-04 07:00:00,31693,31793,31659,31760,11730,KBS
2020-06-05 07:00:00,32062,32062,31693,31860,10070,KBS
