date,open,high,low,close,volume,_source
2020-01-02 07:00:00,900,900,900,900,180210,KBS
2020-01-03 07:00:00,1000,1000,800,900,84000,KBS
2020-01-06 07:00:00,1000,1000,800,900,62110,KBS
2020-01-07 07:00:00,900,1000,800,900,118800,KBS
2020-01-08 07:00:00,900,1000,800,800,65400,KBS
2020-01-09 07:00:00,800,900,800,900,17241,KBS
2020-01-10 07:00:00,900,900,800,800,222000,KBS
2020-01-13 07:00:00,900,900,800,800,43000,KBS
2020-01-14 07:00:00,800,900,800,900,235800,KBS
2020-01-15 07:00:00,800,900,800,800,40200,KBS
2020-01-16 07:00:00,800,900,800,900,263700,KBS
2020-01-17 07:00:00,800,1000,800,900,150900,KBS
2020-01-20 07:00:00,900,900,800,900,57800,KBS
2020-01-21 07:00:00,900,1000,900,1000,217700,KBS
2020-01-22 07:00:00,1000,1000,900,900,266700,KBS
2020-01-30 07:00:00,1000,1000,900,1000,75320,KBS
2020-01-31 07:00:00,1000,1000,900,900,324800,KBS
2020-02-03 07:00:00,800,900,800,900,995600,KBS
2020-02-04 07:00:00,900,900,800,900,49101,KBS
2020-02-05 07:00:00,900,900,800,800,53400,KBS
2020-02-06 07:00:00,800,900,800,900,139000,KBS
2020-02-07 07:00:00,900,900,800,800,58500,KBS
2020-02-10 07:00:00,900,900,800,900,179400,KBS
2020-02-11 07:00:00,900,900,800,800,430300,KBS
2020-02-12 07:00:00,900,900,800,800,99200,KBS
2020-02-13 07:00:00,900,900,800,800,247001,KBS
2020-02-14 07:00:00,900,900,800,800,99800,KBS
2020-02-17 07:00:00,800,900,800,800,125000,KBS
2020-02-18 07:00:00,800,900,800,900,180300,KBS
2020-02-19 07:00:00,800,900,800,800,208700,KBS
2020-02-20 07:00:00,800,900,800,900,69400,KBS
2020-02-21 07:00:00,900,900,800,900,565500,KBS
2020-02-24 07:00:00,900,1000,800,800,2101600,KBS
2020-02-25 07:00:00,800,900,800,900,91700,KBS
2020-02-26 07:00:00,800,1000,800,1000,903600,KBS
2020-02-27 07:00:00,1000,1100,900,900,1553000,KBS
2020-02-28 07:00:00,900,1000,900,1000,827222,KBS
2020-03-02 07:00:00,1000,1100,1000,1000,154400,KBS
2020-03-03 07:00:00,1000,1100,1000,1100,633157,KBS
2020-03-04 07:00:00,1200,1200,1100,1200,720000,KBS
2020-03-05 07:00:00,1300,1300,1100,1100,547700,KBS
2020-03-06 07:00:00,1100,1200,1000,1100,883720,KBS
2020-03-09 07:00:00,1100,1200,1000,1200,1478540,KBS
2020-03-10 07:00:00,1300,1300,1100,1200,920911,KBS
2020-03-11 07:00:00,1200,1300,1200,1200,713914,KBS
2020-03-12 07:00:00,1300,1300,1200,1300,615861,KBS
2020-03-13 07:00:00,1400,1400,1400,1400,347700,KBS
2020-03-16 07:00:00,1500,1500,1500,1500,834700,KBS
2020-03-17 07:00:00,1600,1600,1600,1600,741321,KBS
2020-03-18 07:00:00,1700,1700,1700,1700,332480,KBS
2020-03-19 07:00:00,1800,1800,1800,1800,1696430,KBS
2020-03-20 07:00:00,1900,1900,1700,1700,2649956,KBS
2020-03-23 07:00:00,1600,1700,1600,1600,81400,KBS
2020-03-24 07:00:00,1500,1500,1500,1500,120,KBS
2020-03-25 07:00:00,1400,1400,1400,1400,27300,KBS
2020-03-26 07:00:00,1300,1300,1300,1300,38639,KBS
2020-03-27 07:00:00,1200,1200,1200,1200,33400,KBS
2020-03-30 07:00:00,1100,1100,1100,1100,35700,KBS
2020-03-31 07:00:00,1000,1100,1000,1000,850789,KBS
2020-04-01 07:00:00,900,1100,900,1100,481900,KBS
2020-04-03 07:00:00,1200,1200,1200,1200,472000,KBS
