date,open,high,low,close,volume,_source
2020-01-02 07:00:00,23100,23100,23100,23100,10,KBS
2020-01-06 07:00:00,21500,24700,21500,24700,1000,KBS
2020-01-07 07:00:00,26300,26300,23000,26100,30,KBS
2020-01-08 07:00:00,27750,27750,25000,25000,20,KBS
2020-01-09 07:00:00,26650,26650,23900,23900,40,KBS
2020-01-10 07:00:00,25550,25550,22700,22700,50,KBS
2020-01-13 07:00:00,24150,24150,21150,21750,230,KBS
2020-01-14 07:00:00,23250,23250,21000,21000,150,KBS
2020-01-15 07:00:00,22400,22400,19750,19750,30,KBS
2020-01-16 07:00:00,20950,20950,18600,18600,40,KBS
2020-01-17 07:00:00,19900,19900,19900,19900,20,KBS
2020-01-20 07:00:00,21250,21250,18700,18700,90,KBS
2020-01-21 07:00:00,20000,20000,17700,17700,20,KBS
2020-01-22 07:00:00,16600,16600,16600,16600,50,KBS
2020-01-30 07:00:00,17750,17750,15500,15500,160,KBS
2020-01-31 07:00:00,16550,16550,14450,14450,230,KBS
2020-02-03 07:00:00,15450,15450,13650,13650,20,KBS
2020-02-04 07:00:00,14600,14600,12800,12800,20,KBS
2020-02-05 07:00:00,13650,13650,13650,13650,10,KBS
2020-02-06 07:00:00,12800,14600,12750,12750,100,KBS
2020-02-07 07:00:00,12000,12200,12000,12200,190,KBS
2020-02-10 07:00:00,13050,13050,11400,11400,220,KBS
2020-02-11 07:00:00,10700,10900,10650,10900,230,KBS
2020-02-12 07:00:00,10150,10300,10150,10300,40,KBS
2020-02-13 07:00:00,10300,10300,9600,9750,30,KBS
2020-02-14 07:00:00,9200,9250,9100,9100,150,KBS
2020-02-17 07:00:00,9210,9730,9100,9100,1590,KBS
2020-02-18 07:00:00,9100,9100,8550,8610,130,KBS
2020-02-19 07:00:00,8100,9210,8100,9210,70,KBS
2020-02-20 07:00:00,8700,8700,8600,8620,70,KBS
2020-02-21 07:00:00,8590,8590,8590,8590,60,KBS
2020-02-24 07:00:00,8000,9190,8000,9190,870,KBS
2020-02-25 07:00:00,9800,9800,9800,9800,250,KBS
2020-02-26 07:00:00,9800,10450,9800,10450,240,KBS
2020-02-27 07:00:00,11000,11000,11000,11000,10,KBS
2020-02-28 07:00:00,11050,11050,11050,11050,20,KBS
2020-03-02 07:00:00,11100,11800,11100,11800,120,KBS
2020-03-03 07:00:00,11700,11700,11600,11600,30,KBS
2020-03-04 07:00:00,12400,12400,12400,12400,10,KBS
2020-03-05 07:00:00,13250,13250,13250,13250,1760,KBS
2020-03-06 07:00:00,14150,14150,14150,14150,40,KBS
2020-03-09 07:00:00,15100,15100,14300,14300,730,KBS
2020-03-10 07:00:00,15300,15300,15300,15300,60,KBS
2020-03-11 07:00:00,16350,16350,16000,16000,10240,KBS
2020-03-12 07:00:00,17100,17100,17000,17000,360,KBS
2020-03-13 07:00:00,18150,18150,18150,18150,370,KBS
