date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8600,8600,8422,8482,1174150,KBS
2020-01-03 07:00:00,8482,8571,8185,8244,2395940,KBS
2020-01-06 07:00:00,8185,8304,8067,8126,1016310,KBS
2020-01-07 07:00:00,8126,8274,8126,8244,754450,KBS
2020-01-08 07:00:00,8126,8155,7859,7889,1847430,KBS
2020-01-09 07:00:00,8037,8126,8007,8037,1716210,KBS
2020-01-10 07:00:00,8037,8067,7918,7948,752260,KBS
2020-01-13 07:00:00,7948,8126,7948,8037,562450,KBS
2020-01-14 07:00:00,8067,8126,7889,7918,1168130,KBS
2020-01-15 07:00:00,7948,8007,7918,7948,460760,KBS
2020-01-16 07:00:00,7948,8037,7859,7889,760470,KBS
2020-01-17 07:00:00,7948,7948,7651,7711,1474240,KBS
2020-01-20 07:00:00,7711,7889,7622,7651,885570,KBS
2020-01-21 07:00:00,7651,7711,7533,7622,1620230,KBS
2020-01-22 07:00:00,7622,7770,7622,7740,986700,KBS
2020-01-30 07:00:00,7592,7592,7325,7355,2769860,KBS
2020-01-31 07:00:00,7355,7414,6851,6851,2915700,KBS
2020-02-03 07:00:00,6524,6702,6376,6435,5598760,KBS
2020-02-04 07:00:00,6495,6702,6257,6346,4152840,KBS
2020-02-05 07:00:00,6376,6643,6376,6465,7330590,KBS
2020-02-06 07:00:00,6673,6910,6584,6910,2480480,KBS
2020-02-07 07:00:00,7118,7384,7029,7384,4683240,KBS
2020-02-10 07:00:00,7177,7533,7118,7325,3611090,KBS
2020-02-11 07:00:00,7325,7562,7266,7503,2036700,KBS
2020-02-12 07:00:00,7533,7651,7414,7592,2159340,KBS
2020-02-13 07:00:00,7592,7592,7384,7533,1300890,KBS
2020-02-14 07:00:00,7503,7829,7473,7740,1638000,KBS
2020-02-17 07:00:00,7711,7800,7533,7562,1104430,KBS
2020-02-18 07:00:00,7562,7681,7325,7533,1225460,KBS
2020-02-19 07:00:00,7503,7533,7266,7295,1282440,KBS
2020-02-20 07:00:00,7414,7444,7266,7355,1312980,KBS
2020-02-21 07:00:00,7355,7651,7355,7533,1792460,KBS
2020-02-24 07:00:00,7058,7325,7029,7029,2358620,KBS
2020-02-25 07:00:00,6702,7236,6702,7177,1584590,KBS
2020-02-26 07:00:00,6999,7236,6999,7118,1261660,KBS
2020-02-27 07:00:00,7058,7266,6969,7236,1525470,KBS
2020-02-28 07:00:00,7029,7147,6999,7029,1148530,KBS
2020-03-02 07:00:00,7118,7118,6999,7029,915620,KBS
2020-03-03 07:00:00,7177,7414,7088,7414,1962140,KBS
2020-03-04 07:00:00,7355,7770,7325,7681,3447470,KBS
2020-03-05 07:00:00,7829,7889,7622,7622,1661480,KBS
2020-03-06 07:00:00,7533,8126,7473,8126,4826760,KBS
2020-03-09 07:00:00,7592,7829,7562,7562,3750780,KBS
2020-03-10 07:00:00,7266,7622,7118,7473,2503550,KBS
2020-03-11 07:00:00,7533,7592,6969,6999,4024740,KBS
2020-03-12 07:00:00,6524,6643,6524,6524,3872830,KBS
2020-03-13 07:00:00,6080,6584,6080,6524,3448410,KBS
2020-03-16 07:00:00,6524,6643,6139,6317,1652890,KBS
2020-03-17 07:00:00,6020,6613,5991,6584,1503100,KBS
2020-03-18 07:00:00,6702,6702,6376,6465,1493770,KBS
2020-03-19 07:00:00,6346,6346,6109,6317,2166850,KBS
2020-03-20 07:00:00,6257,6317,6080,6198,1200570,KBS
2020-03-23 07:00:00,5991,5991,5765,5765,3637850,KBS
2020-03-24 07:00:00,5694,5771,5486,5581,1534020,KBS
2020-03-25 07:00:00,5813,5842,5694,5813,1282610,KBS
2020-03-26 07:00:00,5753,5753,5546,5575,935090,KBS
2020-03-27 07:00:00,5575,5635,5303,5308,1963340,KBS
2020-03-30 07:00:00,5059,5101,4941,4941,429980,KBS
2020-03-31 07:00:00,4686,4941,4597,4597,3790910,KBS
2020-04-01 07:00:00,4276,4739,4276,4609,2405020,KBS
2020-04-03 07:00:00,4775,4929,4745,4929,1613750,KBS
2020-04-06 07:00:00,5249,5273,4947,5273,2477300,KBS
2020-04-07 07:00:00,5279,5397,5101,5178,2278480,KBS
