date,open,high,low,close,volume,_source
2020-01-02 07:00:00,3480,3480,3480,3480,1360,KBS
2020-01-03 07:00:00,3520,3520,3520,3520,2000,KBS
2020-01-06 07:00:00,3300,3300,3290,3290,4500,KBS
2020-01-07 07:00:00,3300,3480,3150,3480,6100,KBS
2020-01-10 07:00:00,3240,3240,3240,3240,10,KBS
2020-01-13 07:00:00,3200,3300,3200,3300,4010,KBS
2020-01-16 07:00:00,3300,3450,3300,3300,7370,KBS
2020-01-21 07:00:00,3300,3300,3300,3300,1240,KBS
2020-01-22 07:00:00,3400,3400,3300,3300,490,KBS
2020-01-31 07:00:00,3100,3100,3070,3070,2500,KBS
2020-02-03 07:00:00,2870,3240,2870,3240,460,KBS
2020-02-04 07:00:00,3200,3200,3200,3200,200,KBS
2020-02-05 07:00:00,3290,3290,3290,3290,10,KBS
2020-02-06 07:00:00,3060,3440,3060,3440,2650,KBS
2020-02-07 07:00:00,3640,3640,3640,3640,10,KBS
2020-02-10 07:00:00,3840,3840,3390,3390,11150,KBS
2020-02-11 07:00:00,3160,3160,3160,3160,80,KBS
2020-02-12 07:00:00,3000,3000,3000,3000,1210,KBS
2020-02-13 07:00:00,3000,3200,3000,3010,3140,KBS
2020-02-14 07:00:00,2860,3000,2860,3000,20,KBS
2020-02-20 07:00:00,3210,3210,3210,3210,10,KBS
2020-02-24 07:00:00,3100,3100,3100,3100,5200,KBS
2020-02-25 07:00:00,3100,3100,3100,3100,5000,KBS
2020-02-26 07:00:00,2900,2900,2900,2900,7650,KBS
2020-02-27 07:00:00,3100,3100,2850,2850,7050,KBS
2020-02-28 07:00:00,2700,3040,2700,3040,20,KBS
2020-03-02 07:00:00,2910,3200,2910,3200,250,KBS
2020-03-03 07:00:00,3010,3100,3010,3100,640,KBS
2020-03-05 07:00:00,3100,3100,3100,3100,820,KBS
2020-03-06 07:00:00,3000,3100,3000,3100,910,KBS
2020-03-09 07:00:00,2900,2900,2900,2900,200,KBS
2020-03-10 07:00:00,3100,3100,3100,3100,10,KBS
2020-03-13 07:00:00,2900,3000,2890,2890,830,KBS
2020-03-18 07:00:00,2890,2890,2850,2850,150,KBS
2020-03-20 07:00:00,3040,3040,3040,3040,10,KBS
2020-03-23 07:00:00,2830,2900,2830,2900,4720,KBS
2020-03-24 07:00:00,2700,2700,2700,2700,10,KBS
2020-03-25 07:00:00,2520,2880,2520,2880,20,KBS
2020-03-26 07:00:00,2680,2700,2680,2700,2830,KBS
2020-03-27 07:00:00,2880,2880,2880,2880,10,KBS
2020-03-30 07:00:00,3050,3050,2700,2700,1510,KBS
2020-03-31 07:00:00,2530,2880,2530,2880,2260,KBS
2020-04-01 07:00:00,2680,2680,2680,2680,10,KBS
2020-04-03 07:00:00,2500,2860,2500,2550,2080,KBS
2020-04-06 07:00:00,2700,2700,2700,2700,3220,KBS
2020-04-07 07:00:00,2880,2880,2800,2880,3020,KBS
2020-04-08 07:00:00,3080,3080,2680,3000,6940,KBS
2020-04-09 07:00:00,3200,3200,2790,2950,150,KBS
2020-04-10 07:00:00,3150,3150,2750,3000,5370,KBS
2020-04-13 07:00:00,2790,2800,2790,2790,17460,KBS
2020-04-14 07:00:00,2600,2600,2600,2600,20,KBS
2020-04-16 07:00:00,2600,2780,2600,2780,3310,KBS
2020-04-20 07:00:00,2600,2960,2600,2780,2090,KBS
2020-04-21 07:00:00,2700,2960,2590,2960,19560,KBS
2020-04-24 07:00:00,3090,3090,2770,2770,2080,KBS
2020-04-27 07:00:00,2580,2950,2580,2580,53540,KBS
2020-04-28 07:00:00,2700,2700,2400,2400,78010,KBS
2020-04-29 07:00:00,2400,2560,2260,2560,2170,KBS
2020-05-04 07:00:00,2700,2700,2560,2600,10550,KBS
2020-05-05 07:00:00,2420,2450,2420,2420,13340,KBS
2020-05-06 07:00:00,2500,2500,2500,2500,10,KBS
2020-05-07 07:00:00,2490,2500,2400,2400,11010,KBS
2020-05-08 07:00:00,2450,2470,2300,2300,5510,KBS
2020-05-11 07:00:00,2300,2450,2440,2440,22630,KBS
2020-05-12 07:00:00,2440,2450,2300,2440,15960,KBS
2020-05-13 07:00:00,2360,2440,2360,2400,2720,KBS
2020-05-14 07:00:00,2540,2540,2320,2450,10260,KBS
2020-05-18 07:00:00,2320,2440,2320,2400,1150,KBS
2020-05-19 07:00:00,2400,2400,2350,2400,3120,KBS
2020-05-21 07:00:00,2380,2390,2310,2390,5460,KBS
2020-05-22 07:00:00,2390,2390,2330,2330,500,KBS
2020-05-25 07:00:00,2340,2410,2340,2400,16250,KBS
2020-05-26 07:00:00,2400,2400,2300,2300,46220,KBS
2020-05-27 07:00:00,2300,2350,2300,2350,800,KBS
2020-05-28 07:00:00,2190,2400,2190,2380,14050,KBS
2020-05-29 07:00:00,2380,2380,2220,2290,9960,KBS
2020-06-01 07:00:00,2290,2390,2290,2380,28880,KBS
2020-06-02 07:00:00,2380,2380,2290,2320,7980,KBS
2020-06-03 07:00:00,2290,2320,2280,2280,38780,KBS
2020-06-04 07:00:00,2250,2300,2130,2130,195090,KBS
2020-06-05 07:00:00,2260,2270,2250,2270,11560,KBS
2020-06-08 07:00:00,2420,2420,2420,2420,69730,KBS
2020-06-09 07:00:00,2450,2520,2420,2520,54180,KBS
2020-06-10 07:00:00,2580,2580,2520,2570,33440,KBS
2020-06-11 07:00:00,2570,2740,2570,2700,82430,KBS
2020-06-12 07:00:00,2520,2550,2520,2550,28200,KBS
2020-06-15 07:00:00,2550,2620,2470,2470,2910,KBS
2020-06-16 07:00:00,2400,2570,2300,2570,55410,KBS
2020-06-17 07:00:00,2470,2600,2400,2600,1150,KBS
2020-06-18 07:00:00,2600,2600,2420,2450,10540,KBS
2020-06-19 07:00:00,2450,2500,2300,2350,23370,KBS
2020-06-22 07:00:00,2350,2470,2300,2440,5220,KBS
2020-06-23 07:00:00,2400,2520,2400,2450,18960,KBS
2020-06-24 07:00:00,2450,2460,2400,2460,3830,KBS
2020-06-25 07:00:00,2370,2370,2360,2360,1470,KBS
2020-06-26 07:00:00,2360,2360,2300,2360,8830,KBS
2020-06-29 07:00:00,2360,2360,2340,2340,5140,KBS
2020-06-30 07:00:00,2300,2500,2260,2450,15340,KBS
2020-07-01 07:00:00,2280,2450,2280,2450,2250,KBS
2020-07-02 07:00:00,2350,2350,2350,2350,60800,KBS
2020-07-03 07:00:00,2360,2410,2260,2410,120,KBS
2020-07-06 07:00:00,2410,2410,2320,2410,6440,KBS
2020-07-07 07:00:00,2320,2400,2310,2400,4390,KBS
2020-07-08 07:00:00,2310,2390,2310,2390,1360,KBS
2020-07-09 07:00:00,2260,2370,2260,2350,9930,KBS
2020-07-10 07:00:00,2310,2350,2310,2340,2080,KBS
2020-07-13 07:00:00,2340,2340,2300,2300,3080,KBS
2020-07-14 07:00:00,2300,2350,2300,2300,5710,KBS
2020-07-15 07:00:00,2350,2350,2160,2300,3850,KBS
2020-07-16 07:00:00,2340,2340,2300,2300,5240,KBS
2020-07-17 07:00:00,2390,2390,2300,2320,2280,KBS
2020-07-20 07:00:00,2340,2400,2220,2400,13170,KBS
2020-07-21 07:00:00,2240,2400,2240,2350,12680,KBS
2020-07-22 07:00:00,2350,2350,2320,2350,22390,KBS
2020-07-23 07:00:00,2350,2460,2350,2450,28960,KBS
2020-07-24 07:00:00,2450,2450,2350,2350,34610,KBS
2020-07-27 07:00:00,2500,2500,2350,2350,24520,KBS
2020-07-28 07:00:00,2350,2480,2350,2480,17430,KBS
2020-07-29 07:00:00,2500,2500,2310,2310,10960,KBS
2020-07-30 07:00:00,2310,2310,2310,2310,2740,KBS
2020-07-31 07:00:00,2300,2400,2300,2300,4330,KBS
2020-08-03 07:00:00,2320,2460,2320,2460,11760,KBS
2020-08-04 07:00:00,2500,2500,2450,2500,19250,KBS
2020-08-05 07:00:00,2500,2550,2400,2400,22400,KBS
2020-08-06 07:00:00,2500,2500,2480,2500,27390,KBS
2020-08-07 07:00:00,2500,2670,2500,2670,57900,KBS
2020-08-10 07:00:00,2710,2850,2710,2850,6780,KBS
2020-08-11 07:00:00,2660,3020,2660,3020,40830,KBS
2020-08-12 07:00:00,3230,3230,3100,3230,37330,KBS
2020-08-13 07:00:00,3450,3450,3300,3450,45810,KBS
2020-08-14 07:00:00,3500,3690,3300,3500,37710,KBS
2020-08-17 07:00:00,3500,3500,3280,3500,15860,KBS
2020-08-18 07:00:00,3500,3500,3260,3300,6070,KBS
2020-08-19 07:00:00,3200,3200,3070,3070,5100,KBS
2020-08-20 07:00:00,2860,3100,2860,2900,5130,KBS
2020-08-21 07:00:00,2710,3090,2710,3090,500,KBS
2020-08-24 07:00:00,3100,3300,3100,3200,10190,KBS
2020-08-25 07:00:00,3280,3380,3010,3100,1000,KBS
2020-08-26 07:00:00,3100,3170,3010,3010,6480,KBS
2020-08-27 07:00:00,2900,3220,2900,3220,17710,KBS
2020-08-28 07:00:00,3410,3440,3400,3440,57660,KBS
2020-08-31 07:00:00,3680,3680,3500,3680,48710,KBS
2020-09-01 07:00:00,3900,3930,3820,3930,27000,KBS
2020-09-03 07:00:00,4000,4000,3960,3980,29880,KBS
2020-09-04 07:00:00,3710,3980,3710,3900,5550,KBS
2020-09-07 07:00:00,3900,4100,3700,3700,2330,KBS
2020-09-08 07:00:00,3900,3900,3700,3800,1650,KBS
2020-09-09 07:00:00,3800,3800,3800,3800,1610,KBS
2020-09-10 07:00:00,3800,3950,3800,3920,6720,KBS
2020-09-11 07:00:00,3920,3920,3800,3800,3810,KBS
2020-09-14 07:00:00,3600,4000,3600,3900,30,KBS
2020-09-15 07:00:00,3880,3880,3850,3850,4270,KBS
2020-09-16 07:00:00,3800,3800,3790,3790,9000,KBS
2020-09-17 07:00:00,3790,3800,3790,3800,7380,KBS
2020-09-18 07:00:00,3540,3820,3540,3820,3110,KBS
2020-09-21 07:00:00,4070,4080,3800,3800,7530,KBS
2020-09-22 07:00:00,3540,4000,3540,3950,2090,KBS
2020-09-23 07:00:00,3900,3900,3680,3800,9470,KBS
2020-09-24 07:00:00,3800,3800,3800,3800,2890,KBS
2020-09-25 07:00:00,3610,3610,3610,3610,1500,KBS
2020-09-28 07:00:00,3600,3800,3600,3800,110,KBS
2020-09-29 07:00:00,3800,3800,3800,3800,10,KBS
2020-09-30 07:00:00,3600,3800,3540,3800,4060,KBS
2020-10-01 07:00:00,3700,3700,3600,3700,5940,KBS
2020-10-05 07:00:00,3450,3800,3450,3550,18480,KBS
2020-10-06 07:00:00,3700,3700,3600,3650,7160,KBS
2020-10-08 07:00:00,3600,3750,3420,3750,1150,KBS
2020-10-09 07:00:00,3750,3750,3650,3650,1230,KBS
2020-10-13 07:00:00,3420,3650,3420,3650,2860,KBS
2020-10-14 07:00:00,3650,3650,3650,3650,3030,KBS
2020-10-15 07:00:00,3880,3880,3420,3420,30,KBS
2020-10-16 07:00:00,3200,3200,3200,3200,20,KBS
2020-10-19 07:00:00,3420,3420,3420,3420,500,KBS
2020-10-20 07:00:00,3650,3650,3650,3650,5480,KBS
2020-10-22 07:00:00,3600,3650,3600,3650,1040,KBS
2020-10-23 07:00:00,3410,3650,3410,3650,90,KBS
2020-10-27 07:00:00,3600,3800,3600,3620,1130,KBS
2020-10-28 07:00:00,3660,3660,3660,3660,30,KBS
2020-10-29 07:00:00,3500,3500,3500,3500,180,KBS
2020-10-30 07:00:00,3640,3650,3640,3650,670,KBS
2020-11-02 07:00:00,3700,3700,3700,3700,760,KBS
2020-11-04 07:00:00,3500,3720,3500,3720,30,KBS
2020-11-06 07:00:00,3460,3730,3460,3700,500,KBS
2020-11-09 07:00:00,3450,3450,3450,3450,500,KBS
2020-11-10 07:00:00,3250,3650,3250,3650,6110,KBS
2020-11-12 07:00:00,3400,3600,3400,3600,3020,KBS
2020-11-16 07:00:00,3400,3600,3400,3600,360,KBS
2020-11-17 07:00:00,3470,3470,3450,3450,990,KBS
2020-11-18 07:00:00,3400,3400,3400,3400,3000,KBS
2020-11-19 07:00:00,3350,3350,3350,3350,620,KBS
2020-11-20 07:00:00,3450,3450,3450,3450,1940,KBS
2020-11-24 07:00:00,3300,3300,3300,3300,740,KBS
2020-11-25 07:00:00,3390,3500,3390,3500,450,KBS
2020-11-26 07:00:00,3500,3500,3500,3500,400,KBS
2020-11-27 07:00:00,3500,3500,3500,3500,1020,KBS
2020-11-30 07:00:00,3500,3500,3500,3500,30,KBS
2020-12-01 07:00:00,3500,3500,3500,3500,10,KBS
2020-12-02 07:00:00,3290,3490,3290,3490,10680,KBS
2020-12-03 07:00:00,3320,3500,3320,3400,610,KBS
2020-12-04 07:00:00,3400,3500,3400,3500,3550,KBS
2020-12-07 07:00:00,3450,3600,3450,3500,760,KBS
2020-12-08 07:00:00,3590,3590,3400,3570,6120,KBS
2020-12-09 07:00:00,3420,3500,3410,3420,6880,KBS
2020-12-10 07:00:00,3420,3430,3420,3430,2010,KBS
2020-12-11 07:00:00,3670,3670,3460,3460,3820,KBS
2020-12-14 07:00:00,3460,3460,3460,3460,1220,KBS
2020-12-15 07:00:00,3400,3460,3400,3460,110,KBS
2020-12-16 07:00:00,3360,3470,3360,3470,2210,KBS
2020-12-17 07:00:00,3420,3420,3420,3420,1000,KBS
2020-12-18 07:00:00,3470,3470,3470,3470,110,KBS
2020-12-21 07:00:00,3690,3690,3420,3470,510,KBS
2020-12-22 07:00:00,3470,3500,3470,3490,10170,KBS
2020-12-23 07:00:00,3500,3600,3490,3510,5840,KBS
2020-12-24 07:00:00,3520,3520,3520,3520,500,KBS
2020-12-25 07:00:00,3460,3760,3460,3700,5380,KBS
2020-12-30 07:00:00,3700,3700,3560,3600,620,KBS
2020-12-31 07:00:00,3700,3700,3500,3700,8160,KBS
2021-01-04 07:00:00,3700,3700,3700,3700,1100,KBS
