date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2500,2500,2500,2500,1000,KBS
2020-01-06 07:00:00,2500,2500,2500,2500,20,KBS
2020-01-16 07:00:00,2500,2500,2500,2500,4,KBS
2020-01-21 07:00:00,2500,2500,2500,2500,40,KBS
2020-01-22 07:00:00,2500,2500,2500,2500,36,KBS
2020-01-31 07:00:00,2300,2300,2300,2300,100,KBS
2020-02-03 07:00:00,2100,2100,2100,2100,101,KBS
2020-02-04 07:00:00,2300,2300,1900,2300,300,KBS
2020-02-05 07:00:00,2100,2100,2100,2100,2100,KBS
2020-02-06 07:00:00,2300,2300,1900,2300,2600,KBS
2020-02-07 07:00:00,2100,2500,2100,2100,800,KBS
2020-02-10 07:00:00,1900,1900,1900,1900,355480,KBS
2020-02-11 07:00:00,1900,2000,1900,2000,540900,KBS
2020-02-12 07:00:00,2200,2200,1900,2200,10000,KBS
2020-02-13 07:00:00,2200,2400,2200,2400,5900,KBS
2020-02-14 07:00:00,2200,2500,2200,2500,1100,KBS
2020-02-17 07:00:00,2300,2600,2300,2600,9300,KBS
2020-02-18 07:00:00,2400,2500,2400,2500,1100,KBS
2020-02-19 07:00:00,2300,2600,2300,2600,1100,KBS
2020-02-20 07:00:00,2400,2500,2400,2500,600,KBS
2020-02-21 07:00:00,2300,2300,2300,2300,1200,KBS
2020-02-24 07:00:00,2100,2300,2100,2300,400,KBS
2020-02-25 07:00:00,2200,2400,2200,2400,200,KBS
2020-02-27 07:00:00,2200,2400,2200,2200,1200,KBS
2020-03-03 07:00:00,2400,2400,2400,2400,100,KBS
2020-03-06 07:00:00,2200,2600,2200,2600,1100,KBS
2020-03-09 07:00:00,2400,2400,2400,2400,100,KBS
2020-03-10 07:00:00,2200,2500,2200,2500,200,KBS
2020-03-12 07:00:00,2300,2400,2300,2400,300,KBS
2020-03-13 07:00:00,2200,2500,2200,2500,200,KBS
2020-03-16 07:00:00,2600,2600,2600,2600,100,KBS
2020-03-20 07:00:00,2400,2400,2400,2400,100,KBS
2020-03-25 07:00:00,2500,2500,2500,2500,100,KBS
2020-03-27 07:00:00,2300,2600,2300,2300,270000,KBS
2020-04-01 07:00:00,2400,2400,2400,2400,100,KBS
2020-04-03 07:00:00,2500,2500,2500,2500,100,KBS
2020-04-06 07:00:00,2600,2600,2600,2600,100,KBS
2020-04-08 07:00:00,2500,2500,2500,2500,500,KBS
2020-04-09 07:00:00,2300,2600,2300,2500,600,KBS
2020-04-16 07:00:00,2300,2300,2300,2300,190,KBS
2020-04-20 07:00:00,2300,2300,2300,2300,20,KBS
2020-04-21 07:00:00,2500,2500,2500,2500,4200,KBS
2020-04-22 07:00:00,2700,2700,2600,2600,2596,KBS
2020-04-23 07:00:00,2800,2800,2800,2800,2200,KBS
2020-04-27 07:00:00,2900,2900,2900,2900,1900,KBS
2020-04-28 07:00:00,3000,3100,3000,3100,6210,KBS
2020-04-29 07:00:00,3200,3200,3100,3100,1300,KBS
2020-05-06 07:00:00,2800,3200,2800,3200,400,KBS
2020-05-07 07:00:00,2900,2900,2900,2900,2100,KBS
2020-05-08 07:00:00,2700,3100,2700,2800,2610,KBS
2020-05-12 07:00:00,2600,2600,2600,2600,1110,KBS
2020-05-13 07:00:00,2400,2600,2400,2400,48000,KBS
2020-05-14 07:00:00,2300,2600,2200,2400,38042,KBS
2020-05-15 07:00:00,2200,2400,2200,2400,9300,KBS
2020-05-18 07:00:00,2200,2500,2200,2500,4200,KBS
2020-05-19 07:00:00,2400,2500,2300,2300,10000,KBS
2020-05-20 07:00:00,2300,2400,2100,2100,311000,KBS
2020-05-21 07:00:00,2200,2300,2200,2300,512700,KBS
2020-05-22 07:00:00,2400,2500,2400,2500,7300,KBS
2020-05-25 07:00:00,2700,2700,2700,2700,91100,KBS
2020-05-26 07:00:00,2900,2900,2500,2800,334558,KBS
2020-05-27 07:00:00,2900,3000,2900,3000,74206,KBS
2020-05-28 07:00:00,3300,3300,3300,3300,36900,KBS
2020-05-29 07:00:00,3600,3600,3300,3600,263634,KBS
2020-06-01 07:00:00,3500,3800,3300,3400,120524,KBS
2020-06-02 07:00:00,3400,3600,3200,3200,87300,KBS
2020-06-03 07:00:00,3100,3300,2900,3100,139720,KBS
2020-06-04 07:00:00,3200,3400,3100,3400,97121,KBS
2020-06-05 07:00:00,3300,3500,3200,3400,112800,KBS
2020-06-08 07:00:00,3400,3500,3200,3400,114100,KBS
