date,open,high,low,close,volume,_source
2020-01-02 07:00:00,14100,14100,14100,14100,50,KBS
2020-01-03 07:00:00,14900,14900,14900,14900,40,KBS
2020-01-07 07:00:00,13900,15700,13900,15700,40,KBS
2020-01-08 07:00:00,16500,16500,14650,16300,110,KBS
2020-01-10 07:00:00,17000,17000,17000,17000,20,KBS
2020-01-14 07:00:00,18100,18100,15850,15850,20,KBS
2020-01-16 07:00:00,14750,14750,14750,14750,1660,KBS
2020-01-17 07:00:00,13750,13750,13750,13750,10,KBS
2020-01-30 07:00:00,12850,12850,12850,12850,10,KBS
2020-02-18 07:00:00,12000,12000,12000,12000,5570,KBS
2020-02-19 07:00:00,12000,12000,12000,12000,4190,KBS
2020-03-10 07:00:00,11250,11250,11250,11250,20,KBS
2020-03-18 07:00:00,12000,12000,12000,12000,20,KBS
2020-04-16 07:00:00,11200,11200,11200,11200,40,KBS
2020-04-21 07:00:00,11950,11950,10800,10800,20,KBS
2020-06-02 07:00:00,10050,11550,10050,11550,5460,KBS
2020-06-03 07:00:00,12350,12350,12350,12350,20,KBS
2020-06-05 07:00:00,11500,13200,11500,13200,5270,KBS
2020-06-08 07:00:00,14050,14050,14050,14050,10,KBS
2020-06-09 07:00:00,13100,13100,13100,13100,10,KBS
2020-06-10 07:00:00,13950,13950,13950,13950,20,KBS
2020-06-11 07:00:00,14850,14850,13500,14850,30,KBS
2020-06-12 07:00:00,15800,15800,15800,15800,40,KBS
2020-06-15 07:00:00,16850,16850,16850,16850,30,KBS
2020-06-16 07:00:00,16850,17950,15700,17950,40,KBS
2020-06-18 07:00:00,16700,19050,16700,19000,4240,KBS
2020-06-23 07:00:00,17700,19950,17700,17700,50,KBS
2020-06-24 07:00:00,17700,17700,17700,17700,200,KBS
2020-06-25 07:00:00,16500,18900,16500,18900,20,KBS
2020-06-26 07:00:00,17600,17600,17600,17600,10,KBS
2020-06-29 07:00:00,16400,16400,16400,16400,1110,KBS
2020-06-30 07:00:00,15300,15300,15300,15300,30,KBS
