date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8477,8734,8477,8649,321240,KBS
2020-01-03 07:00:00,8777,8863,8734,8734,464080,KBS
2020-01-06 07:00:00,8777,8820,8734,8734,175250,KBS
2020-01-07 07:00:00,8734,8734,8649,8692,173070,KBS
2020-01-08 07:00:00,8606,8606,8349,8520,413820,KBS
2020-01-09 07:00:00,8546,8606,8477,8477,123650,KBS
2020-01-10 07:00:00,8477,8563,8477,8563,162440,KBS
2020-01-13 07:00:00,8563,8563,8512,8563,102200,KBS
2020-01-14 07:00:00,8563,8563,8495,8555,105360,KBS
2020-01-15 07:00:00,8555,8555,8495,8546,414730,KBS
2020-01-16 07:00:00,8546,8546,8477,8546,534730,KBS
2020-01-17 07:00:00,8546,8555,8495,8555,116340,KBS
2020-01-20 07:00:00,8520,8563,8520,8520,53810,KBS
2020-01-21 07:00:00,8520,8606,8520,8537,257720,KBS
2020-01-22 07:00:00,8537,8820,8537,8820,293000,KBS
2020-01-30 07:00:00,8734,8777,8520,8563,270410,KBS
2020-01-31 07:00:00,8563,8563,8049,8306,182030,KBS
2020-02-03 07:00:00,7732,8306,7732,8306,945060,KBS
2020-02-04 07:00:00,8066,8306,8066,8298,306760,KBS
2020-02-05 07:00:00,8272,8272,7964,7964,322240,KBS
2020-02-06 07:00:00,7964,8212,7964,8169,159480,KBS
2020-02-07 07:00:00,8178,8178,8049,8135,241770,KBS
2020-02-10 07:00:00,8135,8135,7972,8118,299730,KBS
2020-02-11 07:00:00,8118,8195,8049,8118,409230,KBS
2020-02-12 07:00:00,8135,8392,8075,8340,466670,KBS
2020-02-13 07:00:00,8340,8452,8263,8289,348610,KBS
2020-02-14 07:00:00,8289,8418,8221,8323,285560,KBS
2020-02-17 07:00:00,8340,8340,8221,8221,112360,KBS
2020-02-18 07:00:00,8263,8392,8212,8229,162290,KBS
2020-02-19 07:00:00,8229,8375,8229,8289,85040,KBS
2020-02-20 07:00:00,8289,8383,8289,8349,328050,KBS
2020-02-21 07:00:00,8349,8777,8349,8546,1238870,KBS
2020-02-24 07:00:00,8503,8503,7955,8041,327760,KBS
2020-02-25 07:00:00,7972,8169,7955,8169,200260,KBS
2020-02-26 07:00:00,7998,8075,7835,7972,316420,KBS
2020-02-27 07:00:00,8049,8049,7955,8049,431560,KBS
2020-02-28 07:00:00,7998,7998,7707,7878,269260,KBS
2020-03-02 07:00:00,7878,7964,7818,7827,211180,KBS
2020-03-03 07:00:00,7878,8015,7878,7878,110760,KBS
2020-03-04 07:00:00,7869,7981,7869,7964,243010,KBS
2020-03-05 07:00:00,8049,8186,8041,8161,448810,KBS
2020-03-06 07:00:00,8161,8161,7972,8135,49050,KBS
2020-03-09 07:00:00,7578,8049,7570,7570,744690,KBS
2020-03-10 07:00:00,7047,7578,7047,7236,1121920,KBS
2020-03-11 07:00:00,7236,7536,6731,7005,1279870,KBS
2020-03-12 07:00:00,6517,6696,6517,6525,739450,KBS
2020-03-13 07:00:00,6080,6302,6071,6088,2158430,KBS
2020-03-16 07:00:00,6088,6225,5960,5994,1481970,KBS
2020-03-17 07:00:00,5737,5994,5737,5994,307060,KBS
2020-03-18 07:00:00,6251,6414,6251,6414,869770,KBS
2020-03-19 07:00:00,6465,6517,6251,6380,337580,KBS
2020-03-20 07:00:00,6594,6594,6285,6474,123940,KBS
2020-03-23 07:00:00,6165,6251,6028,6028,400320,KBS
2020-03-24 07:00:00,5909,6123,5737,6003,466070,KBS
2020-03-25 07:00:00,6191,6294,6080,6174,322370,KBS
2020-03-26 07:00:00,6165,6294,5994,5994,330900,KBS
2020-03-27 07:00:00,5994,6157,5968,5994,416020,KBS
2020-03-30 07:00:00,5951,5977,5703,5814,287020,KBS
2020-03-31 07:00:00,5814,5986,5566,5814,365790,KBS
2020-04-01 07:00:00,5909,6217,5891,6217,620370,KBS
2020-04-03 07:00:00,6337,6542,6328,6491,696770,KBS
2020-04-06 07:00:00,6636,6808,6611,6722,667780,KBS
2020-04-07 07:00:00,6722,6825,6636,6808,358900,KBS
2020-04-08 07:00:00,6722,6842,6594,6808,274120,KBS
2020-04-09 07:00:00,6791,6996,6791,6996,1609630,KBS
2020-04-10 07:00:00,6996,7022,6893,6936,179150,KBS
2020-04-13 07:00:00,6945,7116,6936,7107,857200,KBS
2020-04-14 07:00:00,7107,7124,6936,7022,714020,KBS
2020-04-15 07:00:00,7022,7150,7005,7030,666920,KBS
2020-04-16 07:00:00,6979,7090,6953,7013,564210,KBS
2020-04-17 07:00:00,7065,7150,7013,7022,956520,KBS
2020-04-20 07:00:00,7116,7484,7013,7373,2311420,KBS
2020-04-21 07:00:00,7279,7279,6919,6919,1398170,KBS
2020-04-22 07:00:00,6850,7047,6679,6979,753970,KBS
2020-04-23 07:00:00,7159,7253,7039,7082,749490,KBS
2020-04-24 07:00:00,7039,7082,6945,7022,548810,KBS
2020-04-27 07:00:00,7193,7304,7073,7193,1165000,KBS
2020-04-28 07:00:00,7450,7690,7364,7690,2144380,KBS
2020-04-29 07:00:00,7690,7912,7664,7690,934720,KBS
2020-05-04 07:00:00,7664,7664,7244,7244,1068070,KBS
2020-05-05 07:00:00,7244,7536,7244,7536,700660,KBS
2020-05-06 07:00:00,7578,7947,7536,7878,1333500,KBS
2020-05-07 07:00:00,7921,7929,7784,7878,1098690,KBS
2020-05-08 07:00:00,7835,7921,7750,7758,1126340,KBS
2020-05-11 07:00:00,7878,7912,7707,7878,1014870,KBS
2020-05-12 07:00:00,7878,8092,7784,7981,1078380,KBS
2020-05-13 07:00:00,8006,8144,7887,8006,1021770,KBS
2020-05-14 07:00:00,7887,8084,7887,7947,866520,KBS
2020-05-15 07:00:00,7887,8049,7621,7827,1186110,KBS
2020-05-18 07:00:00,7732,7869,7707,7827,319850,KBS
2020-05-19 07:00:00,7921,7998,7707,7707,872600,KBS
2020-05-20 07:00:00,7707,7878,7681,7878,604470,KBS
2020-05-21 07:00:00,7912,7912,7810,7912,694800,KBS
