date,open,high,low,close,volume,_source
2020-01-09 07:00:00,17000,17000,15600,15600,90,KBS
2020-01-10 07:00:00,16550,16550,16550,16550,10,KBS
2020-01-13 07:00:00,15400,15400,15400,15400,10,KBS
2020-01-14 07:00:00,14350,14350,14350,14350,10,KBS
2020-01-15 07:00:00,13350,14000,13350,13350,1170,KBS
2020-01-16 07:00:00,12650,12650,12450,12450,8410,KBS
2020-01-17 07:00:00,13300,13300,12450,12450,2010,KBS
2020-01-20 07:00:00,13200,13200,13200,13200,10,KBS
2020-01-21 07:00:00,12350,12350,12300,12300,1520,KBS
2020-01-22 07:00:00,12000,13000,11500,13000,7030,KBS
2020-01-30 07:00:00,12100,13800,12100,13800,6430,KBS
2020-01-31 07:00:00,13700,13800,13700,13800,1610,KBS
2020-02-04 07:00:00,13100,13100,13100,13100,1030,KBS
2020-02-05 07:00:00,12300,12300,12200,12200,840,KBS
2020-02-06 07:00:00,12200,12800,12200,12800,680,KBS
2020-02-07 07:00:00,12200,12200,12200,12200,200,KBS
2020-02-10 07:00:00,13000,13000,12000,12000,370,KBS
2020-02-11 07:00:00,12200,12200,12000,12000,1890,KBS
2020-02-12 07:00:00,12700,12800,12500,12700,2500,KBS
2020-02-13 07:00:00,12000,12700,12000,12700,10630,KBS
2020-02-14 07:00:00,12100,12100,12100,12100,10,KBS
2020-02-17 07:00:00,11600,12700,11600,12700,40,KBS
2020-02-20 07:00:00,12500,12500,12500,12500,60,KBS
2020-02-21 07:00:00,12500,12500,12500,12500,110,KBS
2020-02-24 07:00:00,12500,12500,12500,12500,10,KBS
2020-02-25 07:00:00,12300,12300,12300,12300,150,KBS
2020-02-26 07:00:00,13000,13000,13000,13000,10,KBS
2020-02-27 07:00:00,12150,12700,12150,12700,50,KBS
2020-02-28 07:00:00,13000,13450,13000,13300,2060,KBS
2020-03-02 07:00:00,12400,12700,12400,12700,2170,KBS
2020-03-03 07:00:00,12250,12950,12250,12950,50,KBS
2020-03-05 07:00:00,12950,12950,12950,12950,10,KBS
2020-03-06 07:00:00,12100,12100,12100,12100,1440,KBS
