date,open,high,low,close,volume,_source
2020-01-02 07:00:00,13232,13232,13074,13187,2930,KBS
2020-01-03 07:00:00,13254,13254,13074,13232,3730,KBS
2020-01-06 07:00:00,13232,13232,12849,13187,2660,KBS
2020-01-07 07:00:00,13187,13232,13052,13232,4700,KBS
2020-01-08 07:00:00,13187,13367,13187,13367,9240,KBS
2020-01-09 07:00:00,13659,13659,13074,13502,2580,KBS
2020-01-10 07:00:00,13119,13727,13119,13502,4140,KBS
2020-01-13 07:00:00,13547,13547,13547,13547,500,KBS
2020-01-14 07:00:00,13074,13322,13052,13322,5300,KBS
2020-01-15 07:00:00,13322,13322,13052,13052,7740,KBS
2020-01-16 07:00:00,13254,13254,13052,13254,3620,KBS
2020-01-17 07:00:00,13322,13322,13187,13187,770,KBS
2020-01-20 07:00:00,13052,13457,13052,13457,780,KBS
2020-01-21 07:00:00,13074,14087,13074,13727,4810,KBS
2020-01-22 07:00:00,13727,13952,13727,13952,850,KBS
2020-01-30 07:00:00,14087,14087,13502,13907,3020,KBS
2020-01-31 07:00:00,13907,13907,12961,13097,9550,KBS
2020-02-03 07:00:00,12961,12961,12601,12871,3960,KBS
2020-02-04 07:00:00,12826,13007,12376,12601,16970,KBS
2020-02-05 07:00:00,13052,13052,11926,12601,4690,KBS
2020-02-06 07:00:00,13052,13052,12826,13052,2220,KBS
2020-02-07 07:00:00,13277,13277,12691,13164,19220,KBS
2020-02-10 07:00:00,13164,13164,12601,13007,12750,KBS
2020-02-11 07:00:00,12894,13007,12894,13007,2630,KBS
2020-02-12 07:00:00,12781,13007,12646,13007,21080,KBS
2020-02-13 07:00:00,12826,13277,12826,12916,1900,KBS
2020-02-14 07:00:00,12826,12826,12826,12826,1980,KBS
2020-02-17 07:00:00,12826,13187,12691,12781,3000,KBS
2020-02-18 07:00:00,12691,12781,12691,12736,2800,KBS
2020-02-19 07:00:00,13007,13007,12691,12961,1130,KBS
2020-02-20 07:00:00,12736,13029,12736,12961,5390,KBS
2020-02-21 07:00:00,12961,13457,12916,13052,7730,KBS
2020-02-24 07:00:00,12691,12961,12601,12691,6510,KBS
2020-02-25 07:00:00,12601,12826,12331,12826,3100,KBS
2020-02-26 07:00:00,12601,12826,12601,12826,1020,KBS
2020-02-27 07:00:00,12601,12826,12219,12826,600,KBS
2020-02-28 07:00:00,12691,12691,12511,12511,3070,KBS
2020-03-02 07:00:00,12399,12601,12376,12601,2410,KBS
2020-03-03 07:00:00,12399,12826,12399,12826,1600,KBS
2020-03-04 07:00:00,12736,12736,12601,12624,7850,KBS
2020-03-05 07:00:00,12781,12826,12534,12534,8760,KBS
2020-03-06 07:00:00,12511,12511,12421,12421,13790,KBS
2020-03-09 07:00:00,12421,12421,11791,12151,14880,KBS
2020-03-10 07:00:00,11926,12106,11499,11499,48840,KBS
2020-03-11 07:00:00,11499,12084,11094,11206,21800,KBS
2020-03-12 07:00:00,10486,11611,10441,11476,11620,KBS
2020-03-13 07:00:00,10689,10689,10689,10689,16770,KBS
2020-03-16 07:00:00,11229,11229,10351,10981,1390,KBS
2020-03-17 07:00:00,10711,10711,10216,10216,44820,KBS
2020-03-18 07:00:00,10216,10801,10216,10261,2570,KBS
2020-03-19 07:00:00,10351,10576,10216,10261,27990,KBS
2020-03-20 07:00:00,10351,10486,10216,10261,31440,KBS
2020-03-23 07:00:00,10216,10216,9564,9564,16810,KBS
2020-03-24 07:00:00,9586,9676,9496,9541,11270,KBS
2020-03-25 07:00:00,9586,10126,9541,9676,8590,KBS
2020-03-26 07:00:00,10126,10126,9496,9856,5200,KBS
2020-03-27 07:00:00,9856,10306,9856,9879,22170,KBS
2020-03-30 07:00:00,9856,10239,9316,10081,6830,KBS
2020-03-31 07:00:00,10261,10261,9384,9789,26320,KBS
2020-04-01 07:00:00,10126,10126,9676,9901,2820,KBS
2020-04-03 07:00:00,10306,10306,9586,10261,18140,KBS
2020-04-06 07:00:00,10306,10329,10081,10306,10030,KBS
2020-04-07 07:00:00,10801,10801,10351,10576,110270,KBS
2020-04-08 07:00:00,10486,10981,10126,10711,25340,KBS
2020-04-09 07:00:00,10936,11206,10801,11184,58750,KBS
2020-04-10 07:00:00,10621,11184,10621,10891,9230,KBS
2020-04-13 07:00:00,11116,11116,10801,10801,17620,KBS
2020-04-14 07:00:00,10801,11116,10801,11026,28670,KBS
2020-04-15 07:00:00,11004,11026,10891,11026,34110,KBS
2020-04-16 07:00:00,10869,11161,10846,11161,16730,KBS
2020-04-17 07:00:00,11116,11521,11026,11251,53130,KBS
2020-04-20 07:00:00,11206,11251,11026,11251,33990,KBS
2020-04-21 07:00:00,11251,11521,11161,11386,71760,KBS
2020-04-22 07:00:00,11161,11926,11161,11904,22160,KBS
2020-04-23 07:00:00,11926,11926,11701,11926,3600,KBS
2020-04-24 07:00:00,11926,12151,11926,11971,23450,KBS
2020-04-27 07:00:00,12061,12601,11971,12601,21870,KBS
2020-04-28 07:00:00,12376,12579,12061,12556,6820,KBS
2020-04-29 07:00:00,12309,12579,12286,12309,10850,KBS
2020-05-04 07:00:00,12151,12309,11926,12151,4990,KBS
2020-05-05 07:00:00,12196,12196,12061,12106,1630,KBS
2020-05-06 07:00:00,12444,12444,11926,12061,6590,KBS
2020-05-07 07:00:00,12061,12106,11949,12061,8500,KBS
2020-05-08 07:00:00,12061,12151,12061,12151,7440,KBS
2020-05-11 07:00:00,12151,12376,12151,12241,5780,KBS
2020-05-12 07:00:00,12241,12331,12151,12241,7520,KBS
2020-05-13 07:00:00,12196,12286,12106,12241,11950,KBS
2020-05-14 07:00:00,12151,12241,12151,12241,5260,KBS
2020-05-15 07:00:00,12241,12264,12151,12151,5140,KBS
2020-05-18 07:00:00,12151,12826,12151,12151,7090,KBS
2020-05-19 07:00:00,12466,12601,12466,12511,550,KBS
2020-05-20 07:00:00,12556,12556,12331,12489,6760,KBS
2020-05-21 07:00:00,12759,12759,12376,12466,5780,KBS
2020-05-22 07:00:00,12421,12421,12241,12331,12910,KBS
2020-05-25 07:00:00,12421,13074,12421,13074,25950,KBS
2020-05-26 07:00:00,13142,13457,12961,13457,28520,KBS
2020-05-27 07:00:00,13569,13839,13569,13727,62560,KBS
2020-05-28 07:00:00,13367,13704,13367,13502,20000,KBS
2020-05-29 07:00:00,13547,13547,13367,13547,27000,KBS
2020-06-01 07:00:00,13547,13592,13052,13547,20410,KBS
2020-06-02 07:00:00,13502,13592,13367,13547,16820,KBS
2020-06-03 07:00:00,14318,14318,13595,13884,16530,KBS
2020-06-04 07:00:00,13161,13643,13161,13595,9070,KBS
2020-06-05 07:00:00,13498,13691,13498,13667,6160,KBS
2020-06-08 07:00:00,13667,13667,13595,13667,23690,KBS
2020-06-09 07:00:00,13884,14029,13667,13980,15300,KBS
2020-06-10 07:00:00,13980,14029,13788,14029,11280,KBS
2020-06-11 07:00:00,14029,14077,13739,13739,16090,KBS
2020-06-12 07:00:00,13161,13595,13161,13474,15980,KBS
2020-06-15 07:00:00,13498,14053,13498,13571,40220,KBS
2020-06-16 07:00:00,13980,13980,13595,13739,13760,KBS
2020-06-17 07:00:00,13956,14390,13739,14270,25070,KBS
2020-06-18 07:00:00,14270,14390,13812,14294,10810,KBS
2020-06-19 07:00:00,14270,14366,14270,14366,13480,KBS
2020-06-22 07:00:00,14366,14511,14366,14511,27530,KBS
2020-06-23 07:00:00,14559,14559,14318,14559,8470,KBS
2020-06-24 07:00:00,14559,14607,14270,14463,11420,KBS
2020-06-25 07:00:00,14463,14463,14270,14463,9340,KBS
2020-06-26 07:00:00,14463,14511,14318,14463,7590,KBS
2020-06-29 07:00:00,14463,14463,13980,14366,4340,KBS
2020-06-30 07:00:00,14366,14463,14029,14077,8580,KBS
2020-07-01 07:00:00,14221,14366,14077,14246,2040,KBS
2020-07-02 07:00:00,14366,14366,14270,14270,5900,KBS
2020-07-03 07:00:00,14414,14463,14294,14463,3400,KBS
2020-07-06 07:00:00,14463,14463,14342,14463,9080,KBS
2020-07-07 07:00:00,14463,14511,14463,14463,5490,KBS
2020-07-08 07:00:00,14463,14487,14318,14463,7930,KBS
2020-07-09 07:00:00,14463,14583,14463,14583,10670,KBS
2020-07-10 07:00:00,14487,14679,14487,14583,1330,KBS
2020-07-13 07:00:00,14583,14607,14559,14583,3330,KBS
2020-07-14 07:00:00,14559,14704,14559,14704,9940,KBS
2020-07-15 07:00:00,14704,14704,14559,14655,11020,KBS
2020-07-16 07:00:00,14704,15186,14607,15065,24850,KBS
2020-07-17 07:00:00,15620,15620,15186,15403,1910,KBS
2020-07-20 07:00:00,15523,15523,14945,15330,2370,KBS
2020-07-21 07:00:00,14848,15041,14559,15041,40430,KBS
2020-07-22 07:00:00,14655,14945,14463,14896,37160,KBS
2020-07-23 07:00:00,14246,14848,14246,14655,4700,KBS
2020-07-24 07:00:00,14270,14655,14149,14463,48900,KBS
2020-07-27 07:00:00,14029,14270,13450,13667,117720,KBS
2020-07-28 07:00:00,13667,14221,13498,14173,13590,KBS
2020-07-29 07:00:00,14149,14221,13619,14197,9510,KBS
2020-07-30 07:00:00,14221,14704,13860,14463,5820,KBS
2020-07-31 07:00:00,14463,14511,14221,14366,12710,KBS
2020-08-03 07:00:00,13884,14342,13884,14221,32560,KBS
2020-08-04 07:00:00,14463,14463,14366,14414,8050,KBS
2020-08-05 07:00:00,14463,14655,14270,14559,5830,KBS
2020-08-06 07:00:00,14559,14655,14559,14607,11470,KBS
2020-08-07 07:00:00,14607,15017,14607,14872,21940,KBS
2020-08-10 07:00:00,15346,15346,14748,14997,6690,KBS
2020-08-11 07:00:00,15171,15171,14748,14947,16860,KBS
2020-08-12 07:00:00,14748,15047,14698,14922,4290,KBS
2020-08-13 07:00:00,14798,14997,14798,14972,12030,KBS
2020-08-14 07:00:00,14997,14997,14947,14972,7090,KBS
2020-08-17 07:00:00,14922,15097,14798,15072,7990,KBS
2020-08-18 07:00:00,14847,15346,14847,15121,12970,KBS
2020-08-19 07:00:00,15121,15121,14997,14997,8580,KBS
2020-08-20 07:00:00,14972,15146,14947,15072,34290,KBS
2020-08-21 07:00:00,15121,15121,15047,15097,1910,KBS
2020-08-24 07:00:00,15694,15694,14897,15196,17330,KBS
2020-08-25 07:00:00,15221,15221,14997,15196,1050,KBS
2020-08-26 07:00:00,15196,15694,15196,15445,24690,KBS
2020-08-27 07:00:00,15669,15819,15470,15645,40460,KBS
2020-08-28 07:00:00,15944,15944,15495,15819,2330,KBS
2020-08-31 07:00:00,15944,16516,15944,16392,56670,KBS
2020-09-01 07:00:00,16442,16442,16143,16392,7500,KBS
2020-09-03 07:00:00,16417,16442,16043,16392,3280,KBS
2020-09-04 07:00:00,15819,16292,15819,16193,13280,KBS
2020-09-07 07:00:00,16267,16292,16193,16193,5340,KBS
2020-09-08 07:00:00,16442,16691,16342,16691,18170,KBS
2020-09-09 07:00:00,16442,16840,16442,16691,4580,KBS
2020-09-10 07:00:00,16840,17438,16791,17065,5010,KBS
2020-09-11 07:00:00,17065,17189,16840,16915,8810,KBS
2020-09-14 07:00:00,16915,17139,16840,17089,6100,KBS
2020-09-15 07:00:00,17089,17164,17065,17164,2110,KBS
2020-09-16 07:00:00,17089,17189,17089,17139,6130,KBS
2020-09-17 07:00:00,17139,17638,17089,17388,23110,KBS
2020-09-18 07:00:00,17662,17662,17388,17388,15870,KBS
2020-09-21 07:00:00,17413,17638,17413,17488,1920,KBS
2020-09-22 07:00:00,17488,17638,16442,17438,16810,KBS
2020-09-23 07:00:00,17588,17588,17413,17463,5950,KBS
2020-09-24 07:00:00,17413,17413,17314,17388,5720,KBS
2020-09-25 07:00:00,17363,17363,17239,17339,10950,KBS
2020-09-28 07:00:00,17339,17488,17289,17488,38410,KBS
2020-09-29 07:00:00,17588,18435,17488,18210,6870,KBS
2020-09-30 07:00:00,18210,18210,17613,18111,4770,KBS
2020-10-01 07:00:00,18385,18385,18111,18111,4440,KBS
2020-10-02 07:00:00,17887,18335,17887,18061,4530,KBS
2020-10-05 07:00:00,17936,18061,17936,18061,7140,KBS
2020-10-06 07:00:00,18136,19307,18136,19132,8440,KBS
2020-10-07 07:00:00,19132,19307,18983,19307,26220,KBS
2020-10-08 07:00:00,19381,19381,19182,19381,57040,KBS
2020-10-09 07:00:00,19531,19556,19481,19556,21630,KBS
2020-10-12 07:00:00,19805,19805,18933,19680,46050,KBS
2020-10-13 07:00:00,19680,20403,19680,19929,10500,KBS
2020-10-14 07:00:00,19929,20179,19929,19929,24200,KBS
2020-10-15 07:00:00,19929,19929,19680,19929,19290,KBS
2020-10-16 07:00:00,19929,19979,19581,19880,7340,KBS
2020-10-19 07:00:00,19880,19880,18933,19431,13180,KBS
2020-10-20 07:00:00,19431,19830,18983,19307,4660,KBS
2020-10-21 07:00:00,19680,19680,18684,18783,33420,KBS
2020-10-22 07:00:00,18509,18933,18509,18933,4760,KBS
2020-10-23 07:00:00,19307,19307,18933,18933,39100,KBS
2020-10-26 07:00:00,18883,18933,18709,18933,4580,KBS
2020-10-27 07:00:00,20154,20154,18908,18933,53740,KBS
2020-10-28 07:00:00,19282,19282,18684,18933,25160,KBS
2020-10-29 07:00:00,18933,18933,18235,18435,42440,KBS
2020-10-30 07:00:00,18435,18435,17936,18385,59110,KBS
2020-11-02 07:00:00,19232,19232,18534,18883,210,KBS
2020-11-03 07:00:00,18883,18883,18734,18734,6970,KBS
2020-11-04 07:00:00,18833,19033,18734,18983,6550,KBS
2020-11-05 07:00:00,18933,18983,18933,18933,5090,KBS
2020-11-06 07:00:00,18933,19307,18933,19307,16780,KBS
2020-11-09 07:00:00,19464,19911,19464,19858,9490,KBS
2020-11-10 07:00:00,19806,19963,19280,19280,15960,KBS
2020-11-11 07:00:00,19937,19937,19385,19385,1640,KBS
2020-11-12 07:00:00,19438,19543,19385,19438,3300,KBS
2020-11-13 07:00:00,19438,19701,18965,19701,13030,KBS
2020-11-16 07:00:00,19806,19806,19202,19596,16020,KBS
2020-11-17 07:00:00,19596,19701,19333,19596,4720,KBS
2020-11-18 07:00:00,19596,19622,19228,19490,6210,KBS
2020-11-19 07:00:00,19385,19464,19228,19438,5970,KBS
2020-11-20 07:00:00,19438,19438,19412,19438,12280,KBS
2020-11-23 07:00:00,19438,19490,19412,19490,13990,KBS
2020-11-24 07:00:00,19412,19490,19385,19438,8310,KBS
2020-11-25 07:00:00,19438,19543,19385,19438,18600,KBS
2020-11-26 07:00:00,19438,19490,19385,19464,9180,KBS
2020-11-27 07:00:00,19464,20068,19464,19963,21780,KBS
2020-11-30 07:00:00,19963,20016,19911,19911,7530,KBS
2020-12-01 07:00:00,19858,19963,19438,19963,17580,KBS
2020-12-02 07:00:00,19911,20226,19806,20226,82200,KBS
2020-12-03 07:00:00,20226,20620,20226,20384,16320,KBS
2020-12-04 07:00:00,20384,20436,19701,19701,52030,KBS
2020-12-07 07:00:00,19701,20173,19701,20173,15630,KBS
2020-12-08 07:00:00,20173,20384,20121,20121,3370,KBS
2020-12-09 07:00:00,20121,20173,20042,20173,9150,KBS
2020-12-10 07:00:00,20226,20226,20068,20121,20950,KBS
2020-12-11 07:00:00,20121,20357,20068,20357,12650,KBS
2020-12-14 07:00:00,20226,20226,20068,20121,10630,KBS
2020-12-15 07:00:00,20121,20384,20121,20173,16780,KBS
2020-12-16 07:00:00,20489,20988,20226,20804,18770,KBS
2020-12-17 07:00:00,20804,22038,20804,21224,39140,KBS
2020-12-18 07:00:00,21277,22327,21014,21277,14950,KBS
2020-12-21 07:00:00,21277,21277,21066,21093,18610,KBS
2020-12-22 07:00:00,21093,21776,21066,21487,7580,KBS
2020-12-23 07:00:00,21487,21487,21066,21066,26690,KBS
2020-12-24 07:00:00,21066,22065,20909,21014,36280,KBS
2020-12-25 07:00:00,21014,21539,20856,21119,40900,KBS
2020-12-28 07:00:00,21224,22012,20988,21277,32280,KBS
2020-12-29 07:00:00,21014,21539,21014,21224,4490,KBS
2020-12-30 07:00:00,21014,21487,21014,21066,5410,KBS
2020-12-31 07:00:00,21224,21539,21014,21539,12160,KBS
2021-01-04 07:00:00,21907,21907,21224,21513,12500,KBS
2021-01-05 07:00:00,21487,21487,21014,21014,49000,KBS
2021-01-06 07:00:00,21014,21145,20883,20883,65100,KBS
2021-01-07 07:00:00,20830,20830,20068,20226,187100,KBS
2021-01-08 07:00:00,20226,20751,20226,20489,26700,KBS
2021-01-11 07:00:00,20331,20489,20252,20252,58600,KBS
2021-01-12 07:00:00,20278,20278,20016,20173,93800,KBS
2021-01-13 07:00:00,20173,21014,20173,20489,7600,KBS
2021-01-14 07:00:00,20436,20489,20384,20489,16300,KBS
2021-01-15 07:00:00,20594,20699,20489,20646,17700,KBS
2021-01-18 07:00:00,20646,21277,20646,20751,11700,KBS
2021-01-19 07:00:00,20804,20804,20567,20567,28600,KBS
2021-01-20 07:00:00,20620,20620,20068,20541,32900,KBS
