date,open,high,low,close,volume,_source
2020-01-02 07:00:00,8794,8794,8635,8771,246750,KBS
2020-01-03 07:00:00,8771,8771,8521,8726,495710,KBS
2020-01-06 07:00:00,8635,9316,8544,9316,206400,KBS
2020-01-07 07:00:00,9316,9316,8953,9066,564170,KBS
2020-01-08 07:00:00,8975,8975,8862,8930,200170,KBS
2020-01-09 07:00:00,8907,8975,8907,8930,200070,KBS
2020-01-10 07:00:00,8930,8953,8885,8953,200830,KBS
2020-01-13 07:00:00,8998,8998,8839,8953,176450,KBS
2020-01-14 07:00:00,8953,8953,8816,8885,114800,KBS
2020-01-15 07:00:00,8862,8953,8816,8930,683420,KBS
2020-01-16 07:00:00,8930,8953,8839,8953,817390,KBS
2020-01-17 07:00:00,8953,9112,8930,9044,1160880,KBS
2020-01-20 07:00:00,9044,9044,8885,8975,276790,KBS
2020-01-21 07:00:00,8998,8998,8544,8998,1555970,KBS
2020-01-22 07:00:00,8953,8998,8726,8998,467980,KBS
2020-01-30 07:00:00,8862,8953,8589,8953,749070,KBS
2020-01-31 07:00:00,8771,8771,8612,8771,841230,KBS
2020-02-03 07:00:00,8589,8726,8157,8726,816860,KBS
2020-02-04 07:00:00,8635,8635,8407,8635,917370,KBS
2020-02-05 07:00:00,8498,8680,8498,8680,233060,KBS
2020-02-06 07:00:00,8635,8680,8544,8657,330530,KBS
2020-02-07 07:00:00,8657,8862,8635,8635,127750,KBS
2020-02-10 07:00:00,8635,8635,8544,8612,99880,KBS
2020-02-11 07:00:00,8476,8612,8385,8612,749300,KBS
2020-02-12 07:00:00,8612,8635,8385,8635,872340,KBS
2020-02-13 07:00:00,8544,8544,8407,8521,526920,KBS
2020-02-14 07:00:00,8476,8544,8317,8544,843800,KBS
2020-02-17 07:00:00,8498,8521,8407,8521,503950,KBS
2020-02-18 07:00:00,8453,8453,8339,8339,500370,KBS
2020-02-19 07:00:00,8339,8544,8271,8521,1158020,KBS
2020-02-20 07:00:00,8544,8589,8521,8521,192890,KBS
2020-02-21 07:00:00,8453,8521,8430,8498,156950,KBS
2020-02-24 07:00:00,8407,8430,8248,8430,502960,KBS
2020-02-25 07:00:00,8248,8498,8226,8498,532820,KBS
2020-02-26 07:00:00,8362,8476,8317,8476,172020,KBS
2020-02-27 07:00:00,8362,8430,8317,8317,410000,KBS
2020-02-28 07:00:00,8317,8362,7862,8362,743160,KBS
2020-03-02 07:00:00,7976,8248,7976,8248,960360,KBS
2020-03-03 07:00:00,8248,8248,7953,8203,1393310,KBS
2020-03-04 07:00:00,8044,8044,7930,7953,1155240,KBS
2020-03-05 07:00:00,8044,8044,7748,7771,992380,KBS
2020-03-06 07:00:00,7771,7953,7589,7953,1167030,KBS
2020-03-09 07:00:00,7498,7817,7408,7408,1000710,KBS
2020-03-10 07:00:00,7044,7226,7044,7044,904610,KBS
2020-03-11 07:00:00,6953,7180,6590,6908,1073570,KBS
2020-03-12 07:00:00,6612,6612,6431,6431,1711320,KBS
2020-03-13 07:00:00,5999,6112,5999,6090,1756940,KBS
2020-03-16 07:00:00,6090,6090,5681,6090,4240250,KBS
2020-03-17 07:00:00,6090,6499,5908,6499,1177650,KBS
2020-03-18 07:00:00,6817,6908,6590,6635,1098210,KBS
2020-03-19 07:00:00,6362,6476,6181,6453,1096510,KBS
2020-03-20 07:00:00,6362,6590,6362,6590,1245340,KBS
2020-03-23 07:00:00,6181,6408,6135,6135,1310410,KBS
2020-03-24 07:00:00,5976,6453,5976,6385,1715500,KBS
2020-03-25 07:00:00,6544,6567,6408,6431,1125830,KBS
2020-03-26 07:00:00,6453,6453,6317,6362,891530,KBS
2020-03-27 07:00:00,6135,6362,6135,6181,273240,KBS
2020-03-30 07:00:00,6090,6181,5749,6135,1890540,KBS
2020-03-31 07:00:00,6135,6271,5908,6271,921180,KBS
2020-04-01 07:00:00,6181,6590,6135,6317,371530,KBS
2020-04-03 07:00:00,6408,6408,6181,6317,918480,KBS
2020-04-06 07:00:00,6362,6590,6362,6590,1363920,KBS
2020-04-07 07:00:00,6908,6908,6453,6680,1258380,KBS
2020-04-08 07:00:00,6680,6749,6544,6749,832160,KBS
2020-04-09 07:00:00,6749,6817,6635,6771,1306550,KBS
