date,open,high,low,close,volume,_source
2020-01-02 07:00:00,5446,5506,5377,5506,2142970,KBS
2020-01-03 07:00:00,5496,5496,5426,5456,1305640,KBS
2020-01-06 07:00:00,5446,5446,5308,5347,1309500,KBS
2020-01-07 07:00:00,5347,5347,5268,5288,865630,KBS
2020-01-08 07:00:00,5268,5327,5179,5288,1954710,KBS
2020-01-09 07:00:00,5288,5466,5278,5446,2024450,KBS
2020-01-10 07:00:00,5456,5624,5456,5565,1917360,KBS
2020-01-13 07:00:00,5565,5575,5476,5525,866380,KBS
2020-01-14 07:00:00,5486,5575,5466,5545,813000,KBS
2020-01-15 07:00:00,5545,5555,5476,5496,712440,KBS
2020-01-16 07:00:00,5496,5684,5486,5674,2717120,KBS
2020-01-17 07:00:00,5684,5733,5654,5654,2061530,KBS
2020-01-20 07:00:00,5654,5654,5565,5595,939700,KBS
2020-01-21 07:00:00,5595,5763,5585,5733,1656380,KBS
2020-01-22 07:00:00,5733,5753,5644,5743,2241630,KBS
2020-01-30 07:00:00,5684,5684,5535,5535,1695770,KBS
2020-01-31 07:00:00,5516,5525,5149,5347,1891250,KBS
2020-02-03 07:00:00,5278,5436,5060,5347,1825080,KBS
2020-02-04 07:00:00,5357,5486,5318,5456,1620490,KBS
2020-02-05 07:00:00,5456,5644,5397,5624,1330510,KBS
2020-02-06 07:00:00,5634,5941,5615,5922,3301040,KBS
2020-02-07 07:00:00,5922,5961,5862,5931,1757480,KBS
2020-02-10 07:00:00,5912,5922,5773,5842,1230340,KBS
2020-02-11 07:00:00,5823,5862,5714,5743,2634890,KBS
2020-02-12 07:00:00,5753,5922,5753,5783,1790130,KBS
2020-02-13 07:00:00,5793,5842,5763,5783,1237040,KBS
2020-02-14 07:00:00,5793,5852,5664,5664,2113640,KBS
2020-02-17 07:00:00,5664,5694,5654,5694,2070830,KBS
2020-02-18 07:00:00,5684,5743,5674,5674,1079920,KBS
2020-02-19 07:00:00,5674,5674,5565,5644,1704650,KBS
2020-02-20 07:00:00,5654,5674,5605,5624,1144200,KBS
2020-02-21 07:00:00,5615,5684,5585,5624,1193560,KBS
2020-02-24 07:00:00,5545,5555,5397,5397,1366630,KBS
2020-02-25 07:00:00,5347,5555,5337,5545,1834510,KBS
2020-02-26 07:00:00,5486,5595,5417,5486,1200270,KBS
2020-02-27 07:00:00,5496,5565,5476,5545,1243660,KBS
2020-02-28 07:00:00,5456,5506,5387,5506,1033040,KBS
2020-03-02 07:00:00,5486,5545,5426,5486,1320040,KBS
2020-03-03 07:00:00,5545,5605,5466,5486,2539510,KBS
2020-03-04 07:00:00,5486,5595,5486,5575,1566000,KBS
2020-03-05 07:00:00,5595,5674,5496,5545,1184690,KBS
2020-03-06 07:00:00,5525,5545,5446,5545,720180,KBS
2020-03-09 07:00:00,5308,5318,5159,5159,1611800,KBS
2020-03-10 07:00:00,4961,5278,4951,5110,2498670,KBS
2020-03-11 07:00:00,5149,5149,4753,4852,1355180,KBS
2020-03-12 07:00:00,4783,4783,4515,4515,2178450,KBS
2020-03-13 07:00:00,4208,4644,4208,4555,3270420,KBS
2020-03-16 07:00:00,4426,4555,4238,4298,2497160,KBS
2020-03-17 07:00:00,4080,4466,4020,4199,3084830,KBS
2020-03-18 07:00:00,4347,4347,4169,4218,1712110,KBS
2020-03-19 07:00:00,4159,4159,3931,4139,2289340,KBS
2020-03-20 07:00:00,4100,4139,3911,4139,1539210,KBS
2020-03-23 07:00:00,3882,3882,3852,3852,695880,KBS
2020-03-24 07:00:00,3852,3901,3703,3763,1649110,KBS
2020-03-25 07:00:00,3941,3941,3793,3941,2066330,KBS
2020-03-26 07:00:00,3921,3941,3743,3882,3422990,KBS
2020-03-27 07:00:00,3862,3862,3614,3614,1966000,KBS
