date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9770,10016,9770,9868,207360,KBS
2020-01-03 07:00:00,9868,10197,9868,10082,381270,KBS
2020-01-06 07:00:00,10115,10115,9885,9950,218960,KBS
2020-01-07 07:00:00,9868,9934,9786,9934,262170,KBS
2020-01-08 07:00:00,9835,10197,9408,10197,359560,KBS
2020-01-09 07:00:00,9934,10066,9802,9885,179980,KBS
2020-01-10 07:00:00,9885,9983,9737,9802,130280,KBS
2020-01-13 07:00:00,9638,9868,9638,9671,105560,KBS
2020-01-14 07:00:00,9802,9950,9671,9950,262930,KBS
2020-01-15 07:00:00,9983,10082,9852,10066,254790,KBS
2020-01-16 07:00:00,9950,10082,9934,10066,221510,KBS
2020-01-17 07:00:00,10033,10033,9852,9852,114120,KBS
2020-01-20 07:00:00,9770,9852,9737,9770,117710,KBS
2020-01-21 07:00:00,9770,9868,9737,9868,131460,KBS
2020-01-22 07:00:00,9868,10033,9819,9835,101130,KBS
2020-01-30 07:00:00,9835,9835,9375,9523,320140,KBS
2020-01-31 07:00:00,9457,9539,9046,9046,429210,KBS
2020-02-03 07:00:00,8849,8849,8421,8750,832420,KBS
2020-02-04 07:00:00,8569,8766,8520,8552,161190,KBS
2020-02-05 07:00:00,8552,8750,8552,8651,155520,KBS
2020-02-06 07:00:00,8701,8964,8585,8964,185780,KBS
2020-02-07 07:00:00,8881,8964,8799,8964,100460,KBS
2020-02-10 07:00:00,8750,8849,8733,8733,93190,KBS
2020-02-11 07:00:00,8865,8865,8733,8849,129280,KBS
2020-02-12 07:00:00,8816,9177,8816,9095,329660,KBS
2020-02-13 07:00:00,9095,9375,9029,9309,167310,KBS
2020-02-14 07:00:00,9243,9375,9227,9243,84540,KBS
2020-02-17 07:00:00,9243,9243,9046,9095,172380,KBS
2020-02-18 07:00:00,9095,9177,8980,9095,114550,KBS
2020-02-19 07:00:00,9095,9161,9079,9095,106640,KBS
2020-02-20 07:00:00,9161,9260,9079,9260,220810,KBS
2020-02-21 07:00:00,9276,9506,9276,9293,494060,KBS
2020-02-24 07:00:00,8980,9013,8717,8717,210710,KBS
2020-02-25 07:00:00,8306,9046,8306,9046,326380,KBS
2020-02-26 07:00:00,8635,8881,8635,8783,112760,KBS
2020-02-27 07:00:00,8783,8980,8684,8980,106490,KBS
2020-02-28 07:00:00,8733,8931,8668,8816,399070,KBS
2020-03-02 07:00:00,8635,8750,8552,8684,135130,KBS
2020-03-03 07:00:00,8849,8849,8651,8651,253300,KBS
2020-03-04 07:00:00,8585,8717,8569,8651,149140,KBS
2020-03-05 07:00:00,8717,8766,8651,8651,122270,KBS
2020-03-06 07:00:00,8668,8849,8635,8733,438430,KBS
2020-03-09 07:00:00,8191,8470,8125,8125,349660,KBS
2020-03-10 07:00:00,7664,8125,7631,7895,343770,KBS
2020-03-11 07:00:00,8059,8059,7352,7352,638030,KBS
2020-03-12 07:00:00,6908,6941,6842,6842,806400,KBS
2020-03-13 07:00:00,6365,6743,6365,6743,695750,KBS
2020-03-16 07:00:00,6414,6645,6283,6283,662940,KBS
2020-03-17 07:00:00,5921,6710,5855,6513,1315930,KBS
2020-03-18 07:00:00,6562,6579,6349,6513,640230,KBS
2020-03-19 07:00:00,6447,6447,6184,6250,425880,KBS
2020-03-20 07:00:00,6217,6332,6151,6250,364770,KBS
2020-03-23 07:00:00,6250,6250,5822,5822,788010,KBS
2020-03-24 07:00:00,5691,5987,5493,5806,572080,KBS
2020-03-25 07:00:00,5921,6118,5921,6036,509070,KBS
2020-03-26 07:00:00,6003,6003,5674,5691,855560,KBS
2020-03-27 07:00:00,5789,5822,5625,5724,339550,KBS
2020-03-30 07:00:00,5411,5510,5329,5329,524680,KBS
2020-03-31 07:00:00,5329,5691,5263,5395,267720,KBS
2020-04-01 07:00:00,5395,5691,5362,5576,174430,KBS
2020-04-03 07:00:00,5674,5921,5674,5839,355510,KBS
2020-04-06 07:00:00,5954,6233,5954,6233,494070,KBS
2020-04-07 07:00:00,6480,6661,6283,6612,564650,KBS
2020-04-08 07:00:00,6579,6645,6283,6497,299930,KBS
2020-04-09 07:00:00,6480,6743,6480,6628,318690,KBS
2020-04-10 07:00:00,6480,6760,6480,6579,230190,KBS
2020-04-13 07:00:00,6645,6875,6628,6842,224140,KBS
2020-04-14 07:00:00,6908,7072,6809,7039,634760,KBS
2020-04-15 07:00:00,7187,7516,7105,7516,620640,KBS
2020-04-16 07:00:00,7631,8026,7631,8026,921010,KBS
2020-04-17 07:00:00,8372,8585,8355,8437,1288180,KBS
2020-04-20 07:00:00,8355,8388,7895,8026,794140,KBS
2020-04-21 07:00:00,7895,7960,7467,7467,903100,KBS
2020-04-22 07:00:00,7105,7829,7105,7812,335690,KBS
2020-04-23 07:00:00,7895,7993,7533,7599,375230,KBS
2020-04-24 07:00:00,7566,7730,7451,7631,487610,KBS
2020-04-27 07:00:00,7928,7928,7582,7812,629130,KBS
2020-04-28 07:00:00,7812,8010,7796,7960,633280,KBS
2020-04-29 07:00:00,7977,8010,7895,7977,307320,KBS
2020-05-04 07:00:00,7928,7928,7697,7697,191090,KBS
2020-05-05 07:00:00,7697,7763,7566,7714,150820,KBS
2020-05-06 07:00:00,7796,7845,7664,7829,308890,KBS
2020-05-07 07:00:00,7829,7960,7796,7960,452900,KBS
2020-05-08 07:00:00,8043,8092,7862,7895,389660,KBS
2020-05-11 07:00:00,8158,8158,7878,8158,466870,KBS
2020-05-12 07:00:00,8158,8421,8059,8322,400790,KBS
2020-05-13 07:00:00,8240,8536,8224,8388,396330,KBS
2020-05-14 07:00:00,8322,8964,8256,8964,1082360,KBS
2020-05-15 07:00:00,9079,9210,8783,8783,901280,KBS
2020-05-18 07:00:00,8783,8931,8684,8849,396470,KBS
2020-05-19 07:00:00,8947,9013,8816,8816,621890,KBS
2020-05-20 07:00:00,8783,8849,8701,8701,435020,KBS
2020-05-21 07:00:00,8701,8849,8701,8799,264330,KBS
2020-05-22 07:00:00,8799,8799,8552,8552,577650,KBS
2020-05-25 07:00:00,8651,9145,8470,9145,957230,KBS
2020-05-26 07:00:00,9342,9441,9210,9260,557780,KBS
2020-05-27 07:00:00,9309,9309,9046,9046,862740,KBS
2020-05-28 07:00:00,8997,9177,8947,9112,374410,KBS
2020-05-29 07:00:00,9145,9375,9079,9375,580200,KBS
2020-06-01 07:00:00,9474,9539,9375,9441,440680,KBS
2020-06-02 07:00:00,9539,9572,9276,9309,613750,KBS
2020-06-03 07:00:00,9309,9572,9243,9408,529030,KBS
2020-06-04 07:00:00,9408,9506,9342,9342,444390,KBS
2020-06-05 07:00:00,9375,9474,9276,9408,418100,KBS
2020-06-08 07:00:00,9539,9539,9441,9490,455600,KBS
2020-06-09 07:00:00,9539,10148,9474,10016,1037760,KBS
2020-06-10 07:00:00,10033,10099,9753,9983,462550,KBS
2020-06-11 07:00:00,9983,10033,9293,9293,930830,KBS
2020-06-12 07:00:00,8766,9293,8766,9112,761760,KBS
2020-06-15 07:00:00,9411,9411,8513,8684,902970,KBS
2020-06-16 07:00:00,9069,9069,8791,9026,253430,KBS
2020-06-17 07:00:00,9133,9133,8812,8919,335240,KBS
2020-06-18 07:00:00,8812,8983,8812,8919,261210,KBS
2020-06-19 07:00:00,8983,9112,8855,9112,313520,KBS
2020-06-22 07:00:00,9261,9261,8983,9090,351020,KBS
2020-06-23 07:00:00,9090,9090,8941,8983,442380,KBS
2020-06-24 07:00:00,8983,9112,8855,8898,359010,KBS
2020-06-25 07:00:00,8577,8876,8577,8855,256200,KBS
2020-06-26 07:00:00,8983,8983,8727,8834,120180,KBS
2020-06-29 07:00:00,8855,8855,8299,8427,508270,KBS
2020-06-30 07:00:00,8299,8598,8128,8235,388680,KBS
2020-07-01 07:00:00,8363,8363,8192,8299,385590,KBS
2020-07-02 07:00:00,8299,8384,8235,8256,113230,KBS
2020-07-03 07:00:00,8278,8299,8235,8278,312050,KBS
2020-07-06 07:00:00,8320,8384,8278,8342,266710,KBS
2020-07-07 07:00:00,8427,8919,8427,8812,2470760,KBS
2020-07-08 07:00:00,8812,9240,8812,9026,1006020,KBS
2020-07-09 07:00:00,9069,9197,8962,9026,592060,KBS
2020-07-10 07:00:00,8876,8983,8769,8855,855940,KBS
2020-07-13 07:00:00,8983,9026,8727,8769,566650,KBS
2020-07-14 07:00:00,8769,8876,8705,8769,394660,KBS
2020-07-15 07:00:00,8898,9005,8769,8855,842470,KBS
2020-07-16 07:00:00,8962,8983,8769,8769,588350,KBS
2020-07-17 07:00:00,8769,8941,8769,8898,524540,KBS
2020-07-20 07:00:00,8919,8919,8769,8769,456880,KBS
2020-07-21 07:00:00,8769,8791,8577,8705,401160,KBS
2020-07-22 07:00:00,8705,8705,8491,8513,527510,KBS
2020-07-23 07:00:00,8513,8684,8513,8641,431760,KBS
2020-07-24 07:00:00,8556,8598,8042,8042,1383970,KBS
2020-07-27 07:00:00,7486,7850,7486,7486,1705620,KBS
2020-07-28 07:00:00,7486,7828,7379,7657,720420,KBS
2020-07-29 07:00:00,7379,7486,7123,7272,1074240,KBS
2020-07-30 07:00:00,7272,7572,7272,7358,345840,KBS
2020-07-31 07:00:00,7871,7871,7828,7871,1886000,KBS
2020-08-03 07:00:00,8384,8406,8128,8406,2606650,KBS
2020-08-04 07:00:00,8556,8855,8513,8556,880440,KBS
2020-08-05 07:00:00,8470,8812,8427,8641,1750310,KBS
2020-08-06 07:00:00,8577,8919,8577,8791,1882340,KBS
2020-08-07 07:00:00,8898,8919,8748,8769,846640,KBS
2020-08-10 07:00:00,8919,8919,8684,8748,1446310,KBS
2020-08-11 07:00:00,8748,8769,8598,8684,1173490,KBS
2020-08-12 07:00:00,8684,8876,8684,8812,1223580,KBS
2020-08-13 07:00:00,8898,9176,8748,9048,1678710,KBS
2020-08-14 07:00:00,9069,9368,9005,9176,2039110,KBS
2020-08-17 07:00:00,9197,9283,9026,9154,1060530,KBS
2020-08-18 07:00:00,9069,9197,9048,9133,1243930,KBS
2020-08-19 07:00:00,9154,9176,9069,9154,987840,KBS
2020-08-20 07:00:00,9154,9582,9112,9539,3374870,KBS
2020-08-21 07:00:00,9625,9882,9539,9796,2267860,KBS
2020-08-24 07:00:00,9946,9967,9711,9753,2094450,KBS
2020-08-25 07:00:00,9753,9818,9668,9753,2667070,KBS
2020-08-26 07:00:00,9711,10010,9625,9818,1885130,KBS
2020-08-27 07:00:00,9818,9989,9796,9839,1502060,KBS
2020-08-28 07:00:00,9839,9903,9775,9775,1177810,KBS
2020-08-31 07:00:00,9839,9882,9646,9689,1110150,KBS
2020-09-01 07:00:00,9689,9775,9561,9604,2024910,KBS
2020-09-03 07:00:00,9668,9732,9433,9475,1991180,KBS
2020-09-04 07:00:00,9390,9903,9347,9775,2822710,KBS
2020-09-07 07:00:00,9839,9839,9604,9604,1292910,KBS
2020-09-08 07:00:00,9839,9839,9582,9625,664150,KBS
2020-09-09 07:00:00,9539,9646,9539,9646,1100900,KBS
2020-09-10 07:00:00,9775,9924,9646,9818,3663080,KBS
2020-09-11 07:00:00,9818,10352,9711,10309,4911690,KBS
2020-09-14 07:00:00,10438,10481,10352,10374,2001860,KBS
2020-09-15 07:00:00,10374,10395,10203,10267,2255690,KBS
2020-09-16 07:00:00,10245,10502,10203,10395,2152470,KBS
2020-09-17 07:00:00,10395,10673,10374,10566,2763040,KBS
2020-09-18 07:00:00,10588,10609,10459,10523,1019810,KBS
2020-09-21 07:00:00,10523,10566,10224,10245,3110690,KBS
2020-09-22 07:00:00,10181,10416,10181,10267,2030540,KBS
2020-09-23 07:00:00,10309,10416,10267,10374,1452960,KBS
2020-09-24 07:00:00,10331,10438,10267,10416,1195140,KBS
2020-09-25 07:00:00,10374,10438,10309,10331,1317800,KBS
2020-09-28 07:00:00,10331,10395,10288,10331,983690,KBS
2020-09-29 07:00:00,10374,10673,10331,10374,2524220,KBS
2020-09-30 07:00:00,10416,10652,10374,10652,2736490,KBS
2020-10-01 07:00:00,10823,10908,10716,10823,1976370,KBS
2020-10-02 07:00:00,10823,10887,10395,10694,2985170,KBS
2020-10-05 07:00:00,10694,11037,10652,11015,2816750,KBS
2020-10-06 07:00:00,11079,11079,10930,11015,1436070,KBS
2020-10-07 07:00:00,10951,11229,10908,10994,2387280,KBS
2020-10-08 07:00:00,11058,11058,10823,10908,2620120,KBS
2020-10-09 07:00:00,10887,10994,10866,10930,1058990,KBS
2020-10-12 07:00:00,10930,11037,10844,10866,1374880,KBS
2020-10-13 07:00:00,10866,10908,10694,10737,1631590,KBS
2020-10-14 07:00:00,10737,10823,10694,10694,1024380,KBS
2020-10-15 07:00:00,10694,10801,10309,10309,1816090,KBS
2020-10-16 07:00:00,10309,10352,10117,10267,1312000,KBS
2020-10-19 07:00:00,10267,10609,10267,10481,827930,KBS
2020-10-20 07:00:00,10481,10609,10395,10523,611010,KBS
2020-10-21 07:00:00,10566,10566,10416,10459,687460,KBS
2020-10-22 07:00:00,10438,10438,10352,10416,315860,KBS
2020-10-23 07:00:00,10438,10566,10416,10545,645250,KBS
2020-10-26 07:00:00,10545,10887,10545,10652,1446180,KBS
2020-10-27 07:00:00,10588,10801,10545,10609,1007170,KBS
2020-10-28 07:00:00,10673,10673,10267,10267,952910,KBS
2020-10-29 07:00:00,10138,10331,9924,10031,1344750,KBS
2020-10-30 07:00:00,10181,10203,9775,9924,1073250,KBS
2020-11-02 07:00:00,9839,9860,9668,9753,1188960,KBS
2020-11-03 07:00:00,9753,10245,9753,10096,679590,KBS
2020-11-04 07:00:00,10203,10331,10096,10309,801660,KBS
2020-11-05 07:00:00,10267,10352,10203,10203,825520,KBS
2020-11-06 07:00:00,10203,10566,10181,10481,1238640,KBS
2020-11-09 07:00:00,10566,10652,10438,10609,937350,KBS
2020-11-10 07:00:00,10737,10801,10566,10588,906010,KBS
2020-11-11 07:00:00,10652,10673,10523,10609,1406470,KBS
2020-11-12 07:00:00,10609,10801,10609,10694,1427110,KBS
2020-11-13 07:00:00,10737,10780,10673,10737,1572640,KBS
2020-11-16 07:00:00,10823,10823,10673,10673,2410140,KBS
2020-11-17 07:00:00,10673,10951,10630,10951,2343130,KBS
2020-11-18 07:00:00,10951,11550,10930,11550,3477540,KBS
2020-11-19 07:00:00,11593,11657,11422,11614,1988860,KBS
2020-11-20 07:00:00,11614,11871,11550,11828,2286790,KBS
2020-11-23 07:00:00,11849,11914,11678,11807,1804330,KBS
2020-11-24 07:00:00,11764,11849,11400,11593,2141930,KBS
2020-11-25 07:00:00,11593,11678,11422,11464,1533420,KBS
2020-11-26 07:00:00,11379,11700,11315,11700,2215250,KBS
2020-11-27 07:00:00,11785,12513,11678,12513,3960830,KBS
2020-11-30 07:00:00,12726,13047,12534,12555,1987610,KBS
2020-12-01 07:00:00,12406,13154,12277,13047,2505610,KBS
2020-12-02 07:00:00,13047,13090,12748,12812,2330000,KBS
2020-12-03 07:00:00,12833,13411,12769,13304,1799750,KBS
2020-12-04 07:00:00,13240,13518,13154,13389,1305240,KBS
2020-12-07 07:00:00,13389,13582,13154,13261,2566100,KBS
2020-12-08 07:00:00,13261,13325,12919,13111,1982910,KBS
2020-12-09 07:00:00,13176,13411,13154,13325,2161500,KBS
2020-12-10 07:00:00,13347,13817,13218,13496,2606050,KBS
2020-12-11 07:00:00,13496,13561,13304,13496,2256630,KBS
2020-12-14 07:00:00,13689,14352,13689,14309,1964080,KBS
2020-12-15 07:00:00,14331,14758,14138,14737,2240950,KBS
2020-12-16 07:00:00,14758,14972,14587,14716,1244140,KBS
2020-12-17 07:00:00,14544,14673,14245,14288,1753830,KBS
2020-12-18 07:00:00,14480,14887,14202,14887,2150800,KBS
2020-12-21 07:00:00,14887,15357,14887,14972,1267210,KBS
2020-12-22 07:00:00,14951,15079,14758,15036,1332530,KBS
2020-12-23 07:00:00,15165,15272,14758,14929,1512020,KBS
2020-12-24 07:00:00,14887,14972,14031,14758,1910880,KBS
2020-12-25 07:00:00,14929,14951,14758,14887,1028110,KBS
2020-12-28 07:00:00,14972,15593,14929,15507,2857790,KBS
2020-12-29 07:00:00,15443,16063,15400,16020,1915690,KBS
2020-12-30 07:00:00,16063,16833,16020,16598,1636710,KBS
2020-12-31 07:00:00,16491,16812,16448,16726,1840860,KBS
2021-01-04 07:00:00,17282,17881,16940,17753,1698700,KBS
2021-01-05 07:00:00,17753,18993,17453,18972,1770900,KBS
2021-01-06 07:00:00,18972,19464,18394,18523,2359500,KBS
