date,open,high,low,close,volume,_source
2020-01-15 07:00:00,23639,23639,23000,23000,47500,KBS
2020-02-17 07:00:00,23000,23000,23000,23000,100,KBS
2020-04-28 07:00:00,21084,23575,21084,23575,900,KBS
2020-05-27 07:00:00,21290,21290,21290,21290,4500,KBS
2020-05-28 07:00:00,21290,23379,19200,23379,3800,KBS
2020-05-29 07:00:00,21485,21485,21485,21485,3200,KBS
2020-06-01 07:00:00,19396,21485,19396,21485,6600,KBS
2020-06-03 07:00:00,19396,23575,19396,23575,8600,KBS
2020-06-22 07:00:00,22857,24816,22857,24816,15900,KBS
2020-12-29 07:00:00,23510,23510,23510,23510,200,KBS
2020-12-30 07:00:00,22857,22857,22857,22857,200,KBS
2020-12-31 07:00:00,22857,22857,22857,22857,100,KBS
2021-01-18 07:00:00,22204,22204,22204,22204,700,KBS
2021-03-12 07:00:00,24424,24424,24424,24424,100,KBS
2021-04-16 07:00:00,24424,24424,24424,24424,3100,KBS
2021-04-28 07:00:00,24816,24816,24816,24816,200,KBS
2021-05-10 07:00:00,25817,25817,25817,25817,500,KBS
2021-05-14 07:00:00,26684,26684,26684,26684,100,KBS
2021-05-17 07:00:00,24349,24349,24349,24349,400,KBS
2021-05-31 07:00:00,24349,24349,24349,24349,300,KBS
2021-06-02 07:00:00,24349,24349,24349,24349,1000,KBS
2021-06-25 07:00:00,22014,22014,22014,22014,100,KBS
2021-06-28 07:00:00,22014,24015,22014,24015,300,KBS
2021-07-12 07:00:00,23348,23348,23348,23348,100,KBS
2021-07-19 07:00:00,25617,25617,25617,25617,200,KBS
2021-07-20 07:00:00,28018,28018,28018,28018,300,KBS
2021-07-21 07:00:00,28018,28018,28018,28018,200,KBS
2021-07-27 07:00:00,25216,25216,25216,25216,100,KBS
2021-08-04 07:00:00,27351,27351,27351,27351,100,KBS
2021-08-10 07:00:00,27351,27351,27351,27351,200,KBS
2021-08-11 07:00:00,27351,27351,27351,27351,100,KBS
2021-08-18 07:00:00,27351,27351,27351,27351,5000,KBS
2021-09-14 07:00:00,25300,25300,25300,25300,100,KBS
2021-09-22 07:00:00,25300,25300,25300,25300,1,KBS
2021-10-01 07:00:00,27830,27830,27830,27830,700,KBS
2021-10-04 07:00:00,27830,27830,27830,27830,500,KBS
2021-10-08 07:00:00,25163,25163,25163,25163,100,KBS
2021-10-12 07:00:00,23112,23112,23112,23112,100,KBS
2021-10-13 07:00:00,20992,20992,20992,20992,179,KBS
2021-10-14 07:00:00,23043,23043,23043,23043,100,KBS
2021-10-18 07:00:00,23248,23248,23248,23248,300,KBS
2021-10-22 07:00:00,25573,25573,25573,25573,100,KBS
2021-10-26 07:00:00,28035,28103,28035,28103,20610,KBS
2021-10-27 07:00:00,30770,30770,30428,30428,460,KBS
2021-10-29 07:00:00,27419,27419,27419,27419,3600,KBS
2021-11-01 07:00:00,27351,27351,27351,27351,200,KBS
2021-11-02 07:00:00,30086,30086,30086,30086,16200,KBS
2021-11-03 07:00:00,33095,33095,30770,31112,20600,KBS
2021-11-08 07:00:00,30770,30770,30701,30701,500,KBS
2021-11-09 07:00:00,29402,29539,29402,29539,500,KBS
2021-11-11 07:00:00,29402,29402,27351,27351,2700,KBS
2021-11-18 07:00:00,27351,27351,27351,27351,100,KBS
2021-11-24 07:00:00,24958,24958,24958,24958,100,KBS
2021-12-08 07:00:00,27419,27419,24958,27419,4400,KBS
2021-12-09 07:00:00,30154,30154,28719,28719,400,KBS
2021-12-10 07:00:00,31454,31454,31454,31454,100,KBS
2021-12-13 07:00:00,30770,30770,30770,30770,200,KBS
2021-12-14 07:00:00,27693,27693,27693,27693,100,KBS
2021-12-16 07:00:00,30018,30428,25983,25983,300,KBS
2021-12-17 07:00:00,28582,28582,28582,28582,210,KBS
2021-12-20 07:00:00,28582,28582,28582,28582,400,KBS
2021-12-23 07:00:00,30086,30086,28719,28719,439,KBS
2021-12-27 07:00:00,25983,26667,25983,26667,900,KBS
2021-12-28 07:00:00,24616,26667,24616,26667,1200,KBS
2021-12-30 07:00:00,28650,28650,24001,24001,3300,KBS
2022-01-04 07:00:00,26394,26394,26394,26394,100,KBS
2022-01-05 07:00:00,26325,26325,26325,26325,1300,KBS
2022-01-07 07:00:00,26667,26667,26667,26667,200,KBS
2022-01-10 07:00:00,27351,27351,27351,27351,1000,KBS
2022-01-11 07:00:00,27351,27351,27351,27351,100,KBS
2022-01-12 07:00:00,27351,27351,27351,27351,500,KBS
2022-01-17 07:00:00,27351,27419,27351,27419,200,KBS
2022-02-07 07:00:00,27351,27351,27351,27351,100,KBS
2022-02-09 07:00:00,24958,24958,24958,24958,100,KBS
2022-02-10 07:00:00,27419,27419,27419,27419,300,KBS
2022-02-15 07:00:00,26325,26325,26325,26325,100,KBS
2022-02-16 07:00:00,27693,28924,27693,28924,800,KBS
2022-02-23 07:00:00,28719,28719,28719,28719,100,KBS
2022-03-03 07:00:00,31454,31454,31454,31454,200,KBS
2022-03-10 07:00:00,30770,31454,30770,31454,200,KBS
2022-03-15 07:00:00,30770,31385,30770,31385,200,KBS
2022-03-23 07:00:00,31112,31112,31112,31112,200,KBS
2022-03-29 07:00:00,28719,30770,28719,30770,200,KBS
2022-04-01 07:00:00,28035,28719,28035,28377,300,KBS
2022-04-08 07:00:00,30086,30770,30086,30770,200,KBS
2022-04-13 07:00:00,33163,33163,33163,33163,3100,KBS
2022-05-17 07:00:00,36443,36443,36443,36443,100,KBS
2022-06-10 07:00:00,40087,40087,40087,40087,100,KBS
2022-06-21 07:00:00,44096,44096,44096,44096,100,KBS
2022-07-27 07:00:00,40087,40087,40087,40087,100,KBS
2022-08-09 07:00:00,41545,41545,41545,41545,1000,KBS
2022-08-18 07:00:00,37901,37901,37901,37901,600,KBS
2022-09-16 07:00:00,37901,37901,37901,37901,39,KBS
2022-09-19 07:00:00,34111,34111,34111,34111,1000,KBS
2022-09-28 07:00:00,34111,34111,34111,34111,39,KBS
2022-10-03 07:00:00,34111,34111,34111,34111,1,KBS
2022-10-05 07:00:00,34111,34111,34111,34111,10,KBS
2022-10-06 07:00:00,34111,34111,34111,34111,1,KBS
2022-10-17 07:00:00,34111,34985,34111,34256,314,KBS
2022-10-18 07:00:00,34256,34256,34256,34256,20,KBS
2022-10-19 07:00:00,33528,34111,33528,34111,300,KBS
2022-10-21 07:00:00,32340,32340,32340,32340,1000,KBS
2022-11-07 07:00:00,30030,30030,30030,30030,200,KBS
2022-11-08 07:00:00,29260,30030,29260,30030,300,KBS
2022-11-11 07:00:00,30800,30800,30800,30800,200,KBS
2022-11-14 07:00:00,30800,30800,30800,30800,100,KBS
2022-11-21 07:00:00,30800,30800,30800,30800,3,KBS
2022-11-23 07:00:00,30800,30800,30800,30800,100,KBS
2022-12-06 07:00:00,30800,30800,30800,30800,100,KBS
2022-12-29 07:00:00,28105,28105,28105,28105,100,KBS
2022-12-30 07:00:00,28105,28105,28105,28105,1,KBS
2023-01-03 07:00:00,28105,28105,28105,28105,1,KBS
2023-01-04 07:00:00,28105,28105,28105,28105,4,KBS
2023-01-09 07:00:00,28105,28105,28105,28105,1,KBS
2023-01-30 07:00:00,29260,29260,29260,29260,2000,KBS
2023-02-02 07:00:00,29260,29260,29260,29260,1,KBS
2023-02-06 07:00:00,29260,29260,29260,29260,800,KBS
2023-02-10 07:00:00,32186,32186,32186,32186,100,KBS
2023-02-20 07:00:00,33110,35343,33110,35343,900,KBS
2023-02-21 07:00:00,34650,34650,34650,34650,100,KBS
2023-02-27 07:00:00,34650,34650,34650,34650,11,KBS
2023-02-28 07:00:00,38115,38115,38115,38115,100,KBS
2023-03-02 07:00:00,37345,37345,37345,37345,100,KBS
2023-03-03 07:00:00,37345,37345,37345,37345,300,KBS
2023-03-06 07:00:00,37345,37345,37345,37345,100,KBS
2023-03-07 07:00:00,37345,37345,37345,37345,400,KBS
2023-03-14 07:00:00,37345,37345,37345,37345,400,KBS
2023-03-24 07:00:00,36575,37345,36575,37345,700,KBS
2023-03-30 07:00:00,37268,37345,37268,37345,600,KBS
2023-04-06 07:00:00,37345,37345,37345,37345,200,KBS
2023-04-10 07:00:00,37345,37345,37345,37345,500,KBS
2023-04-19 07:00:00,38500,38500,38500,38500,1001,KBS
2023-05-15 07:00:00,35721,35721,35721,35721,100,KBS
2023-05-16 07:00:00,35721,35721,35721,35721,100,KBS
2023-05-18 07:00:00,34134,34134,34134,34134,300,KBS
2023-05-19 07:00:00,34134,34134,34134,34134,100,KBS
2023-06-08 07:00:00,37547,37547,37547,37547,2500,KBS
2023-06-09 07:00:00,40960,41278,40960,41278,1000,KBS
2023-06-13 07:00:00,37309,37309,37309,37309,900,KBS
2023-06-14 07:00:00,38103,38103,38103,38103,200,KBS
2023-07-03 07:00:00,39690,39690,39690,39690,1300,KBS
2023-07-04 07:00:00,39690,39690,39690,39690,500,KBS
2023-07-05 07:00:00,39690,39690,39690,39690,1000,KBS
2023-07-13 07:00:00,38103,38103,38103,38103,200,KBS
2023-07-18 07:00:00,38103,38103,38103,38103,5000,KBS
2023-07-20 07:00:00,38103,38103,38103,38103,3000,KBS
2023-08-21 07:00:00,35801,35801,35801,35801,100,KBS
2023-08-29 07:00:00,35801,35801,35801,35801,3,KBS
2023-09-12 07:00:00,38896,38896,38896,38896,1000,KBS
