date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10864,10864,10577,10577,20300,KBS
2020-01-03 07:00:00,10692,10692,10520,10520,13000,KBS
2020-01-06 07:00:00,10462,10462,10405,10405,16000,KBS
2020-01-07 07:00:00,10117,10232,10117,10232,3000,KBS
2020-01-08 07:00:00,10232,10232,10117,10117,16600,KBS
2020-01-09 07:00:00,10232,10347,10117,10347,17300,KBS
2020-01-10 07:00:00,10117,10347,10117,10347,3600,KBS
2020-01-13 07:00:00,10347,10347,10347,10347,500,KBS
2020-01-14 07:00:00,10347,10405,10232,10232,21600,KBS
2020-01-15 07:00:00,10175,10462,10175,10290,46200,KBS
2020-01-16 07:00:00,10520,10520,10232,10232,17600,KBS
2020-01-17 07:00:00,10290,10462,10232,10347,11300,KBS
2020-01-20 07:00:00,10117,10290,10117,10290,6000,KBS
2020-01-21 07:00:00,10290,10290,10117,10232,23700,KBS
2020-01-22 07:00:00,10634,10634,10634,10634,100,KBS
2020-02-03 07:00:00,9945,10117,9945,10060,12000,KBS
2020-02-04 07:00:00,10577,10577,10117,10117,20500,KBS
2020-02-05 07:00:00,10175,10175,10002,10002,14201,KBS
2020-02-06 07:00:00,10060,10175,10002,10175,7800,KBS
2020-02-07 07:00:00,10175,10405,10117,10405,36600,KBS
2020-02-10 07:00:00,10232,10232,10232,10232,5000,KBS
2020-02-11 07:00:00,10922,10922,10405,10520,44801,KBS
2020-02-12 07:00:00,10634,10634,10634,10634,1000,KBS
2020-02-13 07:00:00,10520,10634,10520,10634,5700,KBS
2020-02-14 07:00:00,10634,10634,10520,10520,8000,KBS
2020-02-17 07:00:00,10520,10520,10405,10462,10000,KBS
2020-02-18 07:00:00,10577,10577,10577,10577,9400,KBS
2020-02-19 07:00:00,10577,10634,10462,10577,16200,KBS
2020-02-20 07:00:00,10634,10634,10462,10634,15100,KBS
2020-02-21 07:00:00,10634,10634,10520,10634,6500,KBS
2020-02-24 07:00:00,10807,10807,10175,10577,16100,KBS
2020-02-25 07:00:00,10520,10577,10290,10577,37700,KBS
2020-02-26 07:00:00,10405,10922,10347,10347,5000,KBS
2020-02-27 07:00:00,10347,10347,10347,10347,5000,KBS
2020-02-28 07:00:00,10405,10577,10347,10577,21100,KBS
2020-03-02 07:00:00,10634,10922,10347,10577,80300,KBS
2020-03-03 07:00:00,10577,10577,10405,10577,42200,KBS
2020-03-04 07:00:00,10405,10520,10405,10405,600,KBS
2020-03-05 07:00:00,10462,10462,10347,10347,57613,KBS
2020-03-06 07:00:00,10462,10922,10347,10347,20616,KBS
2020-03-09 07:00:00,10232,10634,10117,10347,103100,KBS
2020-03-10 07:00:00,10347,10462,10347,10347,109600,KBS
2020-03-11 07:00:00,10347,10922,10232,10347,57600,KBS
2020-03-12 07:00:00,10634,10634,9772,10232,28100,KBS
2020-03-13 07:00:00,9772,10117,9312,10117,14000,KBS
2020-03-16 07:00:00,10060,10060,9772,10060,6000,KBS
2020-03-17 07:00:00,9830,9830,9772,9830,5100,KBS
2020-03-18 07:00:00,9772,10347,9772,9830,19800,KBS
2020-03-19 07:00:00,9772,10347,9772,9772,1200,KBS
2020-03-20 07:00:00,9772,9772,9715,9715,632,KBS
