date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2820,2840,2780,2800,2600540,KBS
2020-01-03 07:00:00,2800,2830,2770,2800,2527380,KBS
2020-01-06 07:00:00,2770,2780,2720,2720,1434450,KBS
2020-01-07 07:00:00,2710,2750,2710,2730,710290,KBS
2020-01-08 07:00:00,2720,2720,2640,2700,5620220,KBS
2020-01-09 07:00:00,2660,2700,2650,2700,1585090,KBS
2020-01-10 07:00:00,2670,2690,2650,2660,1143780,KBS
2020-01-13 07:00:00,2690,2690,2640,2640,1356190,KBS
2020-01-14 07:00:00,2640,2690,2620,2680,1852320,KBS
2020-01-15 07:00:00,2680,2680,2640,2650,1093170,KBS
2020-01-16 07:00:00,2650,2670,2630,2650,888710,KBS
2020-01-17 07:00:00,2640,2650,2630,2630,1961180,KBS
2020-01-20 07:00:00,2650,2650,2580,2600,1646960,KBS
2020-01-21 07:00:00,2600,2640,2590,2640,1360450,KBS
2020-01-22 07:00:00,2640,2640,2620,2640,372570,KBS
2020-01-30 07:00:00,2620,2620,2530,2560,2422550,KBS
2020-01-31 07:00:00,2500,2500,2390,2390,4268600,KBS
2020-02-03 07:00:00,2250,2290,2230,2230,5287820,KBS
2020-02-04 07:00:00,2230,2270,2180,2190,2411320,KBS
2020-02-05 07:00:00,2200,2240,2180,2220,1790570,KBS
2020-02-06 07:00:00,2200,2290,2190,2290,2893950,KBS
2020-02-07 07:00:00,2290,2290,2220,2250,1489240,KBS
2020-02-10 07:00:00,2250,2250,2200,2220,1546840,KBS
2020-02-11 07:00:00,2210,2230,2190,2220,1614890,KBS
2020-02-12 07:00:00,2230,2270,2220,2260,1713180,KBS
2020-02-13 07:00:00,2270,2410,2270,2350,5689130,KBS
2020-02-14 07:00:00,2360,2360,2290,2300,1556150,KBS
2020-02-17 07:00:00,2280,2300,2260,2260,1600150,KBS
2020-02-18 07:00:00,2260,2360,2230,2330,5542550,KBS
2020-02-19 07:00:00,2330,2490,2320,2490,7551450,KBS
2020-02-20 07:00:00,2540,2570,2450,2450,3826680,KBS
2020-02-21 07:00:00,2430,2460,2360,2400,2373770,KBS
2020-02-24 07:00:00,2330,2340,2240,2240,6325740,KBS
2020-02-25 07:00:00,2150,2270,2150,2260,3064770,KBS
2020-02-26 07:00:00,2190,2260,2190,2220,1520010,KBS
2020-02-27 07:00:00,2220,2290,2220,2270,1438450,KBS
2020-02-28 07:00:00,2210,2230,2200,2220,2592450,KBS
2020-03-02 07:00:00,2210,2240,2190,2230,1705040,KBS
2020-03-03 07:00:00,2250,2310,2250,2300,3000460,KBS
2020-03-04 07:00:00,2310,2410,2260,2370,3921080,KBS
2020-03-05 07:00:00,2400,2400,2320,2340,2429740,KBS
2020-03-06 07:00:00,2310,2340,2270,2310,1964160,KBS
2020-03-09 07:00:00,2170,2200,2150,2150,8057160,KBS
2020-03-10 07:00:00,2070,2190,2060,2170,2650010,KBS
2020-03-11 07:00:00,2190,2220,2070,2100,3651070,KBS
2020-03-12 07:00:00,2040,2050,1960,1980,8785280,KBS
2020-03-13 07:00:00,1900,2070,1880,2040,4736070,KBS
2020-03-16 07:00:00,2050,2160,2010,2080,3387830,KBS
2020-03-17 07:00:00,2050,2160,2040,2140,2983520,KBS
2020-03-18 07:00:00,2180,2220,2150,2200,6985330,KBS
2020-03-19 07:00:00,2200,2200,2100,2110,2500940,KBS
2020-03-20 07:00:00,2100,2140,2080,2100,1194590,KBS
2020-03-23 07:00:00,2040,2070,1960,1960,4618420,KBS
2020-03-24 07:00:00,1910,2020,1900,2000,1421640,KBS
