date,open,high,low,close,volume,_source
2020-01-02 07:00:00,3400,3400,3320,3370,235380,KBS
2020-01-03 07:00:00,3370,3480,3360,3450,258750,KBS
2020-01-06 07:00:00,3440,3510,3430,3480,233370,KBS
2020-01-07 07:00:00,3480,3520,3460,3490,95340,KBS
2020-01-08 07:00:00,3500,3500,3390,3450,149340,KBS
2020-01-09 07:00:00,3490,3490,3230,3480,151020,KBS
2020-01-10 07:00:00,3490,3490,3420,3440,45700,KBS
2020-01-13 07:00:00,3410,3470,3340,3440,307520,KBS
2020-01-14 07:00:00,3380,3440,3330,3440,228550,KBS
2020-01-15 07:00:00,3350,3400,3250,3290,379030,KBS
2020-01-16 07:00:00,3290,3290,3100,3100,293520,KBS
2020-01-17 07:00:00,3100,3200,3080,3100,64040,KBS
2020-01-20 07:00:00,3000,3160,3000,3090,236160,KBS
2020-01-21 07:00:00,3010,3100,3000,3050,121090,KBS
2020-01-22 07:00:00,3050,3090,2950,3040,156770,KBS
2020-01-30 07:00:00,3090,3250,3000,3250,461350,KBS
2020-01-31 07:00:00,3470,3470,3470,3470,133420,KBS
2020-02-03 07:00:00,3710,3710,3710,3710,831970,KBS
2020-02-04 07:00:00,3900,3940,3690,3690,3930330,KBS
2020-02-05 07:00:00,3650,3750,3500,3560,401140,KBS
2020-02-06 07:00:00,3560,3560,3400,3500,313790,KBS
2020-02-07 07:00:00,3420,3470,3340,3400,1034820,KBS
2020-02-10 07:00:00,3400,3630,3400,3630,215780,KBS
2020-02-11 07:00:00,3800,3850,3550,3550,651770,KBS
2020-02-12 07:00:00,3510,3520,3420,3520,704670,KBS
2020-02-13 07:00:00,3590,3680,3510,3530,381370,KBS
2020-02-14 07:00:00,3540,3540,3380,3410,464660,KBS
2020-02-17 07:00:00,3400,3400,3290,3290,572190,KBS
2020-02-18 07:00:00,3300,3390,3300,3380,357160,KBS
2020-02-19 07:00:00,3400,3430,3300,3350,376020,KBS
2020-02-20 07:00:00,3330,3400,3250,3280,457700,KBS
2020-02-21 07:00:00,3300,3400,3250,3320,360970,KBS
2020-02-24 07:00:00,3400,3550,3390,3550,1550620,KBS
2020-02-25 07:00:00,3560,3780,3500,3550,1345790,KBS
2020-02-26 07:00:00,3580,3580,3410,3430,384380,KBS
2020-02-27 07:00:00,3410,3490,3300,3490,802230,KBS
2020-02-28 07:00:00,3380,3400,3290,3370,946430,KBS
2020-03-02 07:00:00,3320,3370,3250,3350,546220,KBS
2020-03-03 07:00:00,3300,3360,3280,3320,550990,KBS
2020-03-04 07:00:00,3300,3430,3280,3370,640100,KBS
2020-03-05 07:00:00,3420,3470,3340,3340,533490,KBS
2020-03-06 07:00:00,3330,3400,3300,3380,273010,KBS
2020-03-09 07:00:00,3500,3580,3290,3290,1606670,KBS
2020-03-10 07:00:00,3270,3370,3260,3330,715010,KBS
2020-03-11 07:00:00,3320,3430,3320,3390,674890,KBS
2020-03-12 07:00:00,3300,3340,3160,3160,1112400,KBS
2020-03-13 07:00:00,2940,3040,2940,2940,989620,KBS
2020-03-16 07:00:00,3000,3140,2950,3140,621790,KBS
2020-03-17 07:00:00,3070,3190,3070,3140,772910,KBS
2020-03-18 07:00:00,3140,3180,3040,3050,750610,KBS
2020-03-19 07:00:00,3050,3130,2940,2940,858370,KBS
2020-03-20 07:00:00,2940,3030,2860,2970,342610,KBS
2020-03-23 07:00:00,2950,2950,2770,2770,661980,KBS
2020-03-24 07:00:00,2650,2790,2640,2650,469730,KBS
2020-03-25 07:00:00,2770,2770,2590,2650,494640,KBS
2020-03-26 07:00:00,2650,2650,2470,2480,500930,KBS
2020-03-27 07:00:00,2500,2500,2350,2380,425310,KBS
