date,open,high,low,close,volume,_source
2020-01-02 07:00:00,16698,16826,16569,16826,60080,KBS
2020-01-03 07:00:00,16826,17041,16569,16998,65670,KBS
2020-01-06 07:00:00,16998,16998,16397,16440,75080,KBS
2020-01-07 07:00:00,16440,17084,16440,16998,62040,KBS
2020-01-08 07:00:00,16998,16998,16397,16826,112720,KBS
2020-01-09 07:00:00,16826,16826,16311,16311,159090,KBS
2020-01-10 07:00:00,16311,16569,16268,16569,57670,KBS
2020-01-13 07:00:00,16698,16698,16311,16612,49390,KBS
2020-01-14 07:00:00,16569,16569,16311,16569,55380,KBS
2020-01-15 07:00:00,16569,16569,16311,16397,51970,KBS
2020-01-16 07:00:00,16311,16569,16225,16483,48230,KBS
2020-01-17 07:00:00,16483,16483,16140,16397,63340,KBS
2020-01-20 07:00:00,16440,16440,16140,16397,54720,KBS
2020-01-21 07:00:00,15710,16397,15710,16397,41390,KBS
2020-01-22 07:00:00,16397,16483,16054,16483,40940,KBS
2020-01-30 07:00:00,16397,16440,15796,16440,40880,KBS
2020-01-31 07:00:00,15839,16397,15796,16225,39210,KBS
2020-02-03 07:00:00,15324,15968,15109,15968,359830,KBS
2020-02-04 07:00:00,15968,15968,15367,15625,122860,KBS
2020-02-05 07:00:00,15625,15625,15281,15453,120840,KBS
2020-02-06 07:00:00,15453,15710,15453,15667,119290,KBS
2020-02-07 07:00:00,15667,15882,15582,15796,37640,KBS
2020-02-10 07:00:00,15796,15796,15367,15367,15910,KBS
2020-02-11 07:00:00,15453,15796,15453,15582,28550,KBS
2020-02-12 07:00:00,15753,15796,15367,15582,39820,KBS
2020-02-13 07:00:00,15625,15625,15367,15453,45240,KBS
2020-02-14 07:00:00,15582,15582,15410,15453,36040,KBS
2020-02-17 07:00:00,15453,15582,15281,15453,22360,KBS
2020-02-18 07:00:00,15453,15710,15453,15453,71300,KBS
2020-02-19 07:00:00,15453,15539,15281,15410,64070,KBS
2020-02-20 07:00:00,15539,15925,15453,15710,72610,KBS
2020-02-21 07:00:00,15625,15882,15625,15882,30230,KBS
2020-02-24 07:00:00,15882,15882,15367,15625,87940,KBS
2020-02-25 07:00:00,15625,15796,15367,15796,82740,KBS
2020-02-26 07:00:00,15796,15796,15453,15796,75080,KBS
2020-02-27 07:00:00,15796,15796,15453,15796,17610,KBS
2020-02-28 07:00:00,15367,15753,15238,15539,27530,KBS
2020-03-02 07:00:00,15281,15539,15281,15539,21100,KBS
2020-03-03 07:00:00,15453,15710,15367,15625,38070,KBS
2020-03-04 07:00:00,15625,15625,15453,15625,182220,KBS
2020-03-05 07:00:00,15625,15710,15539,15710,28750,KBS
2020-03-06 07:00:00,15582,15582,15324,15582,38720,KBS
2020-03-09 07:00:00,14594,15367,14508,14508,98360,KBS
2020-03-10 07:00:00,14766,15238,14594,15238,82860,KBS
2020-03-11 07:00:00,15367,15367,14508,14809,25880,KBS
2020-03-12 07:00:00,14637,14637,13822,14594,377340,KBS
2020-03-13 07:00:00,13736,14337,13607,14251,186820,KBS
2020-03-16 07:00:00,13392,14251,13392,14251,173410,KBS
2020-03-17 07:00:00,14251,14251,13564,14165,28680,KBS
2020-03-18 07:00:00,14165,14165,13822,14165,19090,KBS
2020-03-19 07:00:00,14165,14165,13607,14079,78940,KBS
2020-03-20 07:00:00,13736,13908,13350,13350,189130,KBS
2020-03-23 07:00:00,13908,13908,12620,13264,109020,KBS
2020-03-24 07:00:00,13049,13307,12877,13264,156250,KBS
2020-03-25 07:00:00,13178,14165,13178,13736,183360,KBS
2020-03-26 07:00:00,13736,13736,13392,13736,228490,KBS
2020-03-27 07:00:00,13392,13736,13221,13435,218190,KBS
2020-03-30 07:00:00,13435,13435,12620,13178,310080,KBS
2020-03-31 07:00:00,13693,13693,12362,12362,431940,KBS
2020-04-01 07:00:00,12448,13135,12191,12877,208600,KBS
2020-04-03 07:00:00,12105,12706,12105,12534,397300,KBS
2020-04-06 07:00:00,12877,12877,12620,12792,307700,KBS
2020-04-07 07:00:00,13307,13392,13049,13307,582010,KBS
2020-04-08 07:00:00,13307,13392,12963,13392,220870,KBS
2020-04-09 07:00:00,13392,13521,13221,13307,290740,KBS
2020-04-10 07:00:00,13307,13350,12963,12963,365890,KBS
2020-04-13 07:00:00,13135,13221,12877,12920,370130,KBS
2020-04-14 07:00:00,12920,13822,12920,13822,700080,KBS
2020-04-15 07:00:00,13908,14594,13908,14508,401060,KBS
2020-04-16 07:00:00,14508,14594,13993,14594,415900,KBS
2020-04-17 07:00:00,14680,14938,14337,14938,383150,KBS
2020-04-20 07:00:00,15024,15109,14594,14938,512270,KBS
2020-04-21 07:00:00,14938,14938,13908,14466,611670,KBS
2020-04-22 07:00:00,14466,14594,13779,14594,301040,KBS
