date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1600,1700,1600,1600,1241320,KBS
2020-01-03 07:00:00,1700,1700,1600,1600,1887040,KBS
2020-01-06 07:00:00,1600,1700,1500,1500,1661408,KBS
2020-01-07 07:00:00,1600,1600,1500,1600,1954432,KBS
2020-01-08 07:00:00,1600,1600,1500,1500,2250900,KBS
2020-01-09 07:00:00,1500,1600,1500,1500,782790,KBS
2020-01-10 07:00:00,1500,1600,1400,1400,2021320,KBS
2020-01-13 07:00:00,1400,1500,1400,1400,2643641,KBS
2020-01-14 07:00:00,1400,1500,1400,1500,124500,KBS
2020-01-15 07:00:00,1500,1500,1400,1400,315200,KBS
2020-01-16 07:00:00,1400,1500,1400,1500,327200,KBS
2020-01-17 07:00:00,1500,1500,1400,1500,524960,KBS
2020-01-20 07:00:00,1500,1600,1400,1500,625200,KBS
2020-01-21 07:00:00,1500,1600,1400,1500,1931701,KBS
2020-01-22 07:00:00,1600,1600,1500,1600,446650,KBS
2020-01-30 07:00:00,1600,1700,1500,1500,1332500,KBS
2020-01-31 07:00:00,1400,1500,1400,1400,2071700,KBS
2020-02-03 07:00:00,1300,1400,1300,1300,1478010,KBS
2020-02-04 07:00:00,1200,1400,1200,1400,856830,KBS
2020-02-05 07:00:00,1400,1400,1300,1400,749043,KBS
2020-02-06 07:00:00,1400,1500,1300,1400,918260,KBS
2020-02-07 07:00:00,1400,1500,1300,1400,587380,KBS
2020-02-10 07:00:00,1400,1500,1300,1400,555126,KBS
2020-02-11 07:00:00,1400,1500,1300,1400,350170,KBS
2020-02-12 07:00:00,1400,1500,1300,1500,685880,KBS
2020-02-13 07:00:00,1500,1500,1400,1500,1310270,KBS
2020-02-14 07:00:00,1500,1600,1400,1400,1725840,KBS
2020-02-17 07:00:00,1400,1500,1300,1400,607610,KBS
2020-02-18 07:00:00,1400,1500,1400,1400,720860,KBS
2020-02-19 07:00:00,1500,1500,1400,1500,1576035,KBS
2020-02-20 07:00:00,1600,1600,1500,1600,1366563,KBS
2020-02-21 07:00:00,1600,1600,1500,1500,1042550,KBS
2020-02-24 07:00:00,1500,1500,1400,1400,2143664,KBS
2020-02-25 07:00:00,1300,1500,1300,1400,914728,KBS
2020-02-26 07:00:00,1400,1400,1300,1400,400136,KBS
2020-02-27 07:00:00,1400,1500,1300,1400,455532,KBS
2020-02-28 07:00:00,1400,1500,1300,1400,682346,KBS
2020-03-02 07:00:00,1400,1500,1400,1400,861538,KBS
2020-03-03 07:00:00,1500,1500,1500,1500,1349110,KBS
2020-03-04 07:00:00,1600,1600,1600,1600,1736438,KBS
2020-03-05 07:00:00,1700,1700,1600,1600,5950670,KBS
2020-03-06 07:00:00,1600,1700,1500,1700,2156372,KBS
2020-03-09 07:00:00,1600,1600,1600,1600,183740,KBS
2020-03-10 07:00:00,1500,1700,1500,1500,5206213,KBS
2020-03-11 07:00:00,1600,1600,1500,1600,5707565,KBS
2020-03-12 07:00:00,1700,1700,1600,1600,3980256,KBS
2020-03-13 07:00:00,1600,1700,1500,1700,5059109,KBS
2020-03-16 07:00:00,1800,1800,1700,1800,2698679,KBS
2020-03-17 07:00:00,1900,1900,1900,1900,3077218,KBS
2020-03-18 07:00:00,2000,2000,2000,2000,1615247,KBS
2020-03-19 07:00:00,2200,2200,1800,1900,29773459,KBS
2020-03-20 07:00:00,1800,2000,1800,2000,6445171,KBS
2020-03-23 07:00:00,2000,2200,2000,2100,7534012,KBS
2020-03-24 07:00:00,2100,2200,1900,1900,9604678,KBS
2020-03-25 07:00:00,1800,1900,1800,1800,4986422,KBS
2020-03-26 07:00:00,1700,1800,1700,1700,6404832,KBS
2020-03-27 07:00:00,1600,1800,1600,1600,5649790,KBS
2020-03-30 07:00:00,1500,1500,1500,1500,1591820,KBS
2020-03-31 07:00:00,1400,1600,1400,1400,6622080,KBS
2020-04-01 07:00:00,1300,1500,1300,1500,4536061,KBS
2020-04-03 07:00:00,1600,1600,1500,1600,6173661,KBS
2020-04-06 07:00:00,1700,1700,1500,1500,5351619,KBS
2020-04-07 07:00:00,1500,1500,1400,1500,6129928,KBS
2020-04-08 07:00:00,1500,1600,1400,1600,1710671,KBS
2020-04-09 07:00:00,1600,1600,1500,1500,4310273,KBS
2020-04-10 07:00:00,1500,1500,1400,1400,3604840,KBS
2020-04-13 07:00:00,1400,1500,1400,1400,1119893,KBS
2020-04-14 07:00:00,1500,1500,1300,1400,3808265,KBS
2020-04-15 07:00:00,1400,1500,1400,1500,1088962,KBS
2020-04-16 07:00:00,1500,1500,1400,1400,801227,KBS
2020-04-17 07:00:00,1400,1500,1400,1400,1393613,KBS
2020-04-20 07:00:00,1500,1500,1500,1500,3681097,KBS
2020-04-21 07:00:00,1600,1600,1500,1600,9371731,KBS
2020-04-22 07:00:00,1700,1700,1600,1700,7628153,KBS
2020-04-23 07:00:00,1800,1800,1700,1800,8963509,KBS
2020-04-24 07:00:00,1900,1900,1700,1900,11873261,KBS
2020-04-27 07:00:00,2000,2000,1900,2000,8918788,KBS
2020-04-28 07:00:00,2000,2200,1800,2200,14354962,KBS
2020-04-29 07:00:00,2400,2400,2200,2400,18759243,KBS
2020-05-04 07:00:00,2600,2600,2200,2200,7858437,KBS
