date,open,high,low,close,volume,_source
2020-01-02 07:00:00,9137,10122,9137,9375,500,KBS
2020-01-03 07:00:00,9510,9510,9510,9510,10,KBS
2020-01-06 07:00:00,9035,9171,8967,9171,2270,KBS
2020-01-07 07:00:00,8933,8933,8933,8933,10,KBS
2020-01-08 07:00:00,8593,9171,8593,9171,20,KBS
2020-01-09 07:00:00,9477,9477,9273,9273,410,KBS
2020-01-10 07:00:00,9171,9171,9171,9171,10,KBS
2020-01-13 07:00:00,8729,9443,8729,9443,20,KBS
2020-01-14 07:00:00,8933,8933,8933,8933,10,KBS
2020-01-15 07:00:00,8356,9443,8356,9443,1370,KBS
2020-01-17 07:00:00,8865,8865,8865,8865,10,KBS
2020-01-20 07:00:00,8390,8390,8390,8390,10,KBS
2020-01-21 07:00:00,8390,8390,8390,8390,10,KBS
2020-01-22 07:00:00,8254,8254,8254,8254,10,KBS
2020-01-30 07:00:00,8254,8254,8254,8254,40,KBS
2020-02-03 07:00:00,8254,8254,8254,8254,3150,KBS
2020-02-04 07:00:00,7846,7846,7846,7846,10,KBS
2020-02-07 07:00:00,7506,8390,7506,8390,110,KBS
2020-02-17 07:00:00,7982,7982,7982,7982,10,KBS
2020-02-18 07:00:00,7642,7642,7642,7642,10,KBS
2020-02-26 07:00:00,8152,8152,8152,8152,50,KBS
2020-02-27 07:00:00,8695,8695,8695,8695,20,KBS
2020-02-28 07:00:00,9273,9273,9273,9273,110,KBS
2020-03-02 07:00:00,8627,8627,8627,8627,20,KBS
2020-03-04 07:00:00,9205,9205,9205,9205,20,KBS
2020-03-05 07:00:00,8593,9782,8593,9782,30,KBS
2020-03-06 07:00:00,9782,9782,9782,9782,10,KBS
2020-03-10 07:00:00,10190,10190,10190,10190,20,KBS
2020-03-12 07:00:00,9477,9477,9477,9477,10,KBS
2020-03-17 07:00:00,10122,10122,10122,10122,10,KBS
2020-03-18 07:00:00,10801,10801,10801,10801,10,KBS
2020-03-19 07:00:00,11548,11548,10054,10054,150,KBS
2020-03-20 07:00:00,9375,10733,9375,9510,800,KBS
2020-03-23 07:00:00,9510,10156,8933,8933,130,KBS
2020-03-25 07:00:00,9544,9544,8322,8322,80,KBS
2020-03-26 07:00:00,8899,8899,7812,7812,20,KBS
2020-03-27 07:00:00,8356,8356,8356,8356,10,KBS
2020-03-30 07:00:00,7812,8933,7778,8186,130,KBS
2020-03-31 07:00:00,7676,7846,7676,7812,40,KBS
2020-04-01 07:00:00,8356,8356,8356,8356,30,KBS
2020-04-06 07:00:00,7846,7846,7846,7846,20,KBS
2020-04-08 07:00:00,8390,8390,8390,8390,10,KBS
2020-04-09 07:00:00,8967,8967,8492,8492,50,KBS
2020-04-10 07:00:00,9069,9069,8593,8593,20,KBS
2020-04-13 07:00:00,9171,9171,9171,9171,10,KBS
2020-04-14 07:00:00,9782,9782,9782,9782,10,KBS
2020-04-15 07:00:00,10462,10462,10462,10462,360,KBS
2020-04-16 07:00:00,11175,11175,9748,9748,410,KBS
2020-04-17 07:00:00,10428,10428,9748,9748,100,KBS
2020-04-20 07:00:00,9578,10428,9578,10428,60,KBS
2020-04-21 07:00:00,10428,10428,9714,9714,1410,KBS
2020-04-22 07:00:00,9714,10394,9035,9035,120,KBS
2020-04-23 07:00:00,8492,8492,8492,8492,10,KBS
2020-04-24 07:00:00,9069,9069,9069,9069,10,KBS
2020-04-27 07:00:00,9680,9680,9341,9341,30,KBS
2020-04-29 07:00:00,9986,9986,9986,9986,10,KBS
2020-05-04 07:00:00,9375,10665,9375,10665,1560,KBS
2020-05-05 07:00:00,11379,11379,11379,11379,570,KBS
2020-05-06 07:00:00,10597,10597,10597,10597,10,KBS
2020-05-07 07:00:00,10597,10597,10597,10597,20,KBS
2020-05-08 07:00:00,11243,11311,9884,10054,1430,KBS
2020-05-11 07:00:00,9375,9375,9375,9375,30,KBS
2020-05-12 07:00:00,10020,10020,9884,9884,60,KBS
2020-05-13 07:00:00,9239,9239,9239,9239,10,KBS
2020-05-14 07:00:00,9884,9884,9273,9273,30,KBS
2020-05-15 07:00:00,8899,8899,8899,8899,10,KBS
2020-05-18 07:00:00,8831,8831,8831,8831,10,KBS
2020-05-19 07:00:00,9443,9443,9443,9443,120,KBS
2020-05-20 07:00:00,10088,10088,8831,8831,510,KBS
2020-05-21 07:00:00,9443,9443,9443,9443,100,KBS
2020-05-22 07:00:00,10088,10088,8967,8967,120,KBS
2020-05-25 07:00:00,9578,9578,9578,9578,100,KBS
2020-05-26 07:00:00,10224,10224,10224,10224,350,KBS
2020-05-27 07:00:00,10937,10937,9510,9510,80,KBS
2020-05-28 07:00:00,9307,9307,9307,9307,100,KBS
2020-05-29 07:00:00,9239,9239,9239,9239,10,KBS
2020-06-01 07:00:00,9205,9205,9205,9205,10,KBS
2020-06-10 07:00:00,9816,9816,9816,9816,100,KBS
2020-06-11 07:00:00,10190,10190,10190,10190,10,KBS
2020-06-12 07:00:00,10869,10869,10869,10869,10,KBS
2020-06-15 07:00:00,10869,10869,10869,10869,90,KBS
2020-06-16 07:00:00,11616,11616,11616,11616,30,KBS
2020-06-17 07:00:00,10869,10869,10869,10869,30,KBS
2020-06-19 07:00:00,11209,11209,10122,10122,20,KBS
2020-06-22 07:00:00,9443,9443,9443,9443,60,KBS
2020-06-24 07:00:00,10088,10088,9239,9239,1160,KBS
2020-06-25 07:00:00,9612,9612,9612,9612,40,KBS
2020-06-30 07:00:00,10258,10258,9375,9375,130,KBS
2020-07-02 07:00:00,9510,9510,9239,9239,130,KBS
2020-07-07 07:00:00,9646,9850,9646,9850,500,KBS
2020-07-08 07:00:00,10495,10529,10495,10529,240,KBS
2020-07-09 07:00:00,11175,11243,9918,9918,4380,KBS
2020-07-10 07:00:00,10597,10597,10597,10597,20,KBS
2020-07-13 07:00:00,10190,11311,9918,9918,2110,KBS
2020-07-17 07:00:00,10597,10597,9239,9239,190,KBS
2020-07-20 07:00:00,9884,9884,9884,9884,1300,KBS
2020-07-22 07:00:00,9443,9443,9443,9443,10,KBS
2020-07-27 07:00:00,8797,8797,8797,8797,10,KBS
2020-07-28 07:00:00,9409,9409,9409,9409,1460,KBS
2020-07-31 07:00:00,8763,10054,8763,10054,20,KBS
2020-08-03 07:00:00,10733,10733,9375,9375,50,KBS
2020-08-05 07:00:00,10020,10020,10020,10020,33900,KBS
2020-08-13 07:00:00,9341,9341,9341,9341,10,KBS
2020-08-20 07:00:00,9963,9963,9963,9963,46900,KBS
2020-08-25 07:00:00,9744,10659,9744,10659,2000,KBS
2020-08-26 07:00:00,11392,11392,11392,11392,20,KBS
2020-08-27 07:00:00,12161,12161,12161,12161,1430,KBS
2020-08-28 07:00:00,12894,12894,11319,11319,30,KBS
2020-08-31 07:00:00,12088,12088,10549,10549,650,KBS
2020-09-01 07:00:00,9817,11282,9817,9963,3020,KBS
