date,open,high,low,close,volume,_source
2020-01-02 07:00:00,7154,7154,7011,7011,1000,KBS
2020-01-03 07:00:00,6803,6803,6660,6660,1060,KBS
2020-01-06 07:00:00,6517,6517,6517,6517,10,KBS
2020-01-07 07:00:00,6524,6524,6517,6517,2500,KBS
2020-01-14 07:00:00,6517,6517,6517,6517,6000,KBS
2020-01-15 07:00:00,6517,6517,6517,6517,3000,KBS
2020-01-16 07:00:00,6517,6517,6517,6517,4000,KBS
2020-01-20 07:00:00,6524,6524,6524,6524,1230,KBS
2020-01-21 07:00:00,6524,6524,6524,6524,2000,KBS
2020-01-22 07:00:00,6975,6975,6975,6975,60,KBS
2020-01-30 07:00:00,7011,7154,7011,7011,11300,KBS
2020-01-31 07:00:00,6524,7011,6524,7011,280,KBS
2020-02-03 07:00:00,6596,6596,6596,6596,60,KBS
2020-02-05 07:00:00,6446,6446,6439,6439,6700,KBS
2020-02-07 07:00:00,6889,6889,6889,6889,500,KBS
2020-02-10 07:00:00,7154,7154,7147,7154,33050,KBS
2020-02-11 07:00:00,7154,7154,7154,7154,14080,KBS
2020-02-12 07:00:00,7369,7369,7154,7154,510,KBS
2020-02-13 07:00:00,7154,7154,7154,7154,100,KBS
2020-02-14 07:00:00,6868,6868,6868,6868,10,KBS
2020-02-17 07:00:00,6939,6939,6939,6939,10,KBS
2020-02-18 07:00:00,6939,6939,6939,6939,3810,KBS
2020-02-19 07:00:00,6811,6939,6474,6474,24410,KBS
2020-02-20 07:00:00,6868,6868,6796,6796,5120,KBS
2020-02-26 07:00:00,6796,6796,6796,6796,10,KBS
2020-02-27 07:00:00,6796,6868,6796,6796,3810,KBS
2020-02-28 07:00:00,6868,6868,6868,6868,10,KBS
2020-03-05 07:00:00,6396,6861,6396,6861,20,KBS
2020-03-06 07:00:00,7333,7333,6868,6868,140,KBS
2020-03-10 07:00:00,6396,6396,6396,6396,30,KBS
2020-03-11 07:00:00,6446,6446,6439,6439,400,KBS
2020-03-12 07:00:00,6439,6861,5988,6861,1530,KBS
2020-03-13 07:00:00,6439,6439,6439,6439,500,KBS
2020-03-16 07:00:00,6446,6446,6439,6439,500,KBS
2020-03-17 07:00:00,6582,6789,6582,6789,80,KBS
2020-03-18 07:00:00,6796,6796,6796,6796,500,KBS
2020-03-23 07:00:00,6689,6689,6689,6689,560,KBS
2020-03-25 07:00:00,6439,7075,6439,7075,110,KBS
2020-03-26 07:00:00,7154,7261,7154,7261,60,KBS
2020-03-30 07:00:00,6753,6753,6753,6753,10,KBS
