date,open,high,low,close,volume,_source
2020-01-02 07:00:00,5132,5299,4916,4999,70,KBS
2020-01-03 07:00:00,5332,5332,4666,4666,4130,KBS
2020-01-06 07:00:00,4982,4982,4499,4524,520,KBS
2020-01-07 07:00:00,4841,4841,4841,4841,10,KBS
2020-01-08 07:00:00,4841,4841,4841,4841,40,KBS
2020-01-09 07:00:00,4533,4724,4533,4724,250,KBS
2020-01-10 07:00:00,4807,4807,4458,4583,770,KBS
2020-01-13 07:00:00,4816,4816,4358,4583,910,KBS
2020-01-14 07:00:00,4732,4732,4658,4666,2510,KBS
2020-01-15 07:00:00,4499,4732,4499,4732,110,KBS
2020-01-16 07:00:00,4583,4724,4583,4724,140,KBS
2020-01-17 07:00:00,4541,4624,4533,4624,610,KBS
2020-01-20 07:00:00,4716,4716,4516,4666,1550,KBS
2020-01-21 07:00:00,4916,4916,4524,4666,500,KBS
2020-01-22 07:00:00,4832,4891,4566,4566,180,KBS
2020-01-30 07:00:00,4799,4799,4566,4566,580,KBS
2020-01-31 07:00:00,4832,4832,4499,4774,6180,KBS
2020-02-03 07:00:00,4816,4816,4499,4732,2460,KBS
2020-02-04 07:00:00,4732,4732,4732,4732,80,KBS
2020-02-05 07:00:00,4799,4799,4433,4616,120,KBS
2020-02-06 07:00:00,4799,4799,4349,4558,340,KBS
2020-02-07 07:00:00,4258,4541,4258,4516,1140,KBS
2020-02-10 07:00:00,4458,4458,4333,4399,250,KBS
2020-02-11 07:00:00,4474,4474,4333,4474,1260,KBS
2020-02-12 07:00:00,4474,4649,4333,4649,2040,KBS
2020-02-13 07:00:00,4741,4741,4666,4666,20,KBS
2020-02-17 07:00:00,4583,4732,4391,4391,3030,KBS
2020-02-18 07:00:00,4658,4658,4166,4166,1950,KBS
2020-02-19 07:00:00,4366,4458,4266,4291,2150,KBS
2020-02-20 07:00:00,4499,4574,4349,4566,70,KBS
2020-02-21 07:00:00,4566,4566,4566,4566,20,KBS
2020-02-24 07:00:00,4483,4491,4333,4333,1780,KBS
2020-02-25 07:00:00,4483,4483,4058,4399,1060,KBS
2020-02-26 07:00:00,4491,4491,4174,4316,1100,KBS
2020-02-27 07:00:00,4491,4491,4416,4416,1490,KBS
2020-02-28 07:00:00,4174,4408,4166,4408,4700,KBS
2020-03-02 07:00:00,4166,4383,4166,4341,800,KBS
2020-03-03 07:00:00,4491,4491,4416,4416,60,KBS
2020-03-04 07:00:00,4316,4349,4316,4349,1690,KBS
2020-03-05 07:00:00,4466,4466,4349,4416,3040,KBS
2020-03-06 07:00:00,4399,4499,4399,4466,7300,KBS
2020-03-09 07:00:00,4774,4774,4466,4466,15510,KBS
2020-03-10 07:00:00,4166,4749,4166,4333,3280,KBS
2020-03-11 07:00:00,4249,4333,4166,4316,3130,KBS
2020-03-12 07:00:00,4333,4399,4316,4399,1210,KBS
2020-03-13 07:00:00,4166,4274,4166,4166,550,KBS
2020-03-16 07:00:00,4416,4416,4099,4099,4630,KBS
2020-03-17 07:00:00,4266,4266,4166,4199,110,KBS
2020-03-18 07:00:00,4333,4399,4333,4333,1170,KBS
2020-03-19 07:00:00,4489,4489,4489,4489,30,KBS
2020-03-20 07:00:00,4385,4385,4246,4246,2340,KBS
2020-03-23 07:00:00,4419,4419,3951,4333,40,KBS
2020-03-24 07:00:00,4402,4402,4350,4350,1020,KBS
2020-03-25 07:00:00,4402,4402,4402,4402,30,KBS
2020-03-26 07:00:00,4402,4402,4402,4402,20,KBS
2020-03-27 07:00:00,4506,4506,4159,4159,1660,KBS
2020-03-30 07:00:00,4333,4333,4298,4333,1020,KBS
2020-03-31 07:00:00,4107,4194,4073,4177,2860,KBS
2020-04-01 07:00:00,4246,4246,4159,4229,33800,KBS
2020-04-03 07:00:00,4229,4333,4229,4333,20,KBS
2020-04-06 07:00:00,4281,4333,4281,4333,970,KBS
2020-04-07 07:00:00,4471,4471,4263,4333,4630,KBS
2020-04-08 07:00:00,4333,4419,4333,4419,110,KBS
2020-04-09 07:00:00,4246,4333,4246,4333,2170,KBS
2020-04-10 07:00:00,4333,4333,4333,4333,190,KBS
2020-04-13 07:00:00,4333,4506,4315,4402,6080,KBS
2020-04-14 07:00:00,4402,4402,4333,4333,1250,KBS
2020-04-15 07:00:00,4402,4402,4298,4333,3390,KBS
2020-04-16 07:00:00,4333,4333,4281,4281,40,KBS
2020-04-17 07:00:00,4281,4333,4263,4333,1750,KBS
2020-04-20 07:00:00,4281,4281,4246,4246,2110,KBS
2020-04-21 07:00:00,4419,4419,4298,4298,110,KBS
2020-04-22 07:00:00,4099,4298,4099,4246,1940,KBS
2020-04-23 07:00:00,4281,4281,4246,4263,610,KBS
2020-04-27 07:00:00,4263,4263,4229,4246,2100,KBS
2020-04-28 07:00:00,4298,4506,4298,4419,1810,KBS
2020-04-29 07:00:00,4419,4402,4367,4402,700,KBS
2020-05-04 07:00:00,4419,4679,4367,4437,960,KBS
2020-05-05 07:00:00,4454,4454,4333,4454,650,KBS
2020-05-06 07:00:00,4454,4714,4454,4523,4520,KBS
2020-05-07 07:00:00,4541,4644,4523,4558,5920,KBS
2020-05-08 07:00:00,4593,4766,4593,4679,5290,KBS
2020-05-11 07:00:00,4679,4800,4610,4800,4060,KBS
2020-05-12 07:00:00,4939,4939,4766,4818,6980,KBS
2020-05-13 07:00:00,4818,4818,4818,4818,140,KBS
2020-05-14 07:00:00,4558,5112,4558,4601,1410,KBS
2020-05-15 07:00:00,4852,4852,4610,4610,580,KBS
2020-05-18 07:00:00,4887,4887,4610,4679,1220,KBS
2020-05-19 07:00:00,4852,4852,4679,4696,2100,KBS
2020-05-20 07:00:00,4696,4835,4696,4835,420,KBS
2020-05-21 07:00:00,4852,5026,4852,4887,250,KBS
2020-05-22 07:00:00,4887,4887,4870,4870,190,KBS
2020-05-25 07:00:00,4705,5026,4705,4731,190,KBS
2020-05-26 07:00:00,5017,5017,4722,4722,50,KBS
2020-05-27 07:00:00,5000,5000,4532,4532,60,KBS
2020-05-28 07:00:00,4359,4800,4359,4800,940,KBS
2020-05-29 07:00:00,4800,4948,4800,4800,230,KBS
2020-06-01 07:00:00,4800,4930,4679,4800,710,KBS
2020-06-02 07:00:00,4800,4800,4800,4800,720,KBS
2020-06-03 07:00:00,4696,4696,4696,4696,50,KBS
2020-06-04 07:00:00,4930,4930,4679,4679,810,KBS
2020-06-05 07:00:00,4939,4939,4679,4835,3420,KBS
2020-06-08 07:00:00,4835,4939,4766,4939,1410,KBS
2020-06-09 07:00:00,4783,4783,4783,4783,20,KBS
