date,open,high,low,close,volume,_source
2020-01-02 07:00:00,16150,16150,15000,16150,610,KBS
2020-01-03 07:00:00,15300,16400,15300,16400,1170,KBS
2020-01-06 07:00:00,15450,16300,15450,16300,80,KBS
2020-01-07 07:00:00,16600,16600,15500,16500,370,KBS
2020-01-08 07:00:00,16450,16450,16450,16450,100,KBS
2020-01-09 07:00:00,16500,16500,15500,15500,170,KBS
2020-01-10 07:00:00,16100,16100,15050,15900,920,KBS
2020-01-13 07:00:00,16500,16500,15050,16000,180,KBS
2020-01-14 07:00:00,16200,16200,16200,16200,600,KBS
2020-01-15 07:00:00,15500,15500,15200,15200,350,KBS
2020-01-16 07:00:00,15500,16000,15500,16000,220,KBS
2020-01-17 07:00:00,16000,16000,16000,16000,900,KBS
2020-01-20 07:00:00,15050,15900,15050,15900,280,KBS
2020-01-21 07:00:00,15900,15900,15900,15900,150,KBS
2020-01-22 07:00:00,16000,16100,16000,16100,430,KBS
2020-01-30 07:00:00,16100,16100,15400,16100,170,KBS
2020-01-31 07:00:00,16400,16400,16400,16400,50,KBS
2020-02-03 07:00:00,16300,16400,15400,16400,980,KBS
2020-02-04 07:00:00,16500,16500,15350,16500,230,KBS
2020-02-05 07:00:00,16500,16500,16500,16500,400,KBS
2020-02-06 07:00:00,15450,16200,15450,16200,130,KBS
2020-02-07 07:00:00,16200,16450,15450,16450,390,KBS
2020-02-10 07:00:00,16450,16450,16450,16450,930,KBS
2020-02-11 07:00:00,15400,15400,15400,15400,410,KBS
2020-02-12 07:00:00,14500,16450,14500,16450,1000,KBS
2020-02-13 07:00:00,15550,16450,15500,16450,390,KBS
2020-02-14 07:00:00,15500,16400,15500,16400,180,KBS
2020-02-17 07:00:00,16300,16400,15450,16400,780,KBS
2020-02-18 07:00:00,16350,16700,16350,16650,560,KBS
2020-02-19 07:00:00,16500,16500,16500,16500,750,KBS
2020-02-20 07:00:00,16500,16500,15400,16350,1030,KBS
2020-02-21 07:00:00,15250,16450,15250,16450,950,KBS
2020-02-24 07:00:00,15300,16400,15300,15350,560,KBS
2020-02-25 07:00:00,16300,16350,14400,16350,1830,KBS
2020-02-26 07:00:00,17000,17000,17000,17000,340,KBS
2020-02-28 07:00:00,16600,16900,16600,16900,990,KBS
2020-03-02 07:00:00,15750,16900,15750,16900,300,KBS
2020-03-03 07:00:00,16500,17900,16500,17900,70,KBS
2020-03-04 07:00:00,16650,17500,16650,17500,590,KBS
2020-03-05 07:00:00,16300,16300,16300,16300,850,KBS
2020-03-06 07:00:00,17300,17300,17200,17200,300,KBS
2020-03-09 07:00:00,17200,17200,17200,17200,100,KBS
2020-03-10 07:00:00,17100,17100,17100,17100,100,KBS
2020-03-11 07:00:00,16100,17100,16100,17100,310,KBS
2020-03-12 07:00:00,17200,17200,17200,17200,50,KBS
2020-03-13 07:00:00,17000,17000,17000,17000,200,KBS
2020-03-16 07:00:00,17000,17000,17000,17000,50,KBS
2020-03-17 07:00:00,17000,17000,17000,17000,70,KBS
2020-03-18 07:00:00,15850,16500,15850,16500,130,KBS
2020-03-25 07:00:00,16900,16900,16900,16900,200,KBS
2020-03-26 07:00:00,16600,16600,16600,16600,150,KBS
2020-03-27 07:00:00,15450,16600,15450,16600,230,KBS
2020-03-30 07:00:00,16600,16600,16600,16600,20,KBS
2020-03-31 07:00:00,17000,17000,15450,16400,740,KBS
2020-04-01 07:00:00,17000,17000,17000,17000,50,KBS
2020-04-03 07:00:00,17000,17000,16900,16900,700,KBS
2020-04-06 07:00:00,16800,16800,16800,16800,300,KBS
2020-04-07 07:00:00,17000,17000,17000,17000,150,KBS
2020-04-09 07:00:00,17000,17000,15850,17000,290,KBS
2020-04-10 07:00:00,15850,17000,15850,17000,360,KBS
2020-04-14 07:00:00,15900,15900,15900,15900,160,KBS
2020-04-15 07:00:00,16600,16600,16500,16500,150,KBS
2020-04-16 07:00:00,15500,16350,15500,16350,450,KBS
2020-04-17 07:00:00,16350,16350,16350,16350,250,KBS
2020-04-20 07:00:00,15300,16500,15300,16500,70,KBS
2020-04-21 07:00:00,15400,16400,15400,16400,70,KBS
2020-04-22 07:00:00,16400,16400,16400,16400,110,KBS
2020-04-23 07:00:00,15450,16450,15450,16450,260,KBS
2020-04-24 07:00:00,16450,16450,16450,16450,50,KBS
2020-04-27 07:00:00,17000,17000,17000,17000,130,KBS
2020-04-29 07:00:00,17000,17000,17000,17000,90,KBS
2020-05-04 07:00:00,17000,17000,17000,17000,10,KBS
2020-05-06 07:00:00,17500,17500,16000,17000,240,KBS
2020-05-07 07:00:00,17000,17000,17000,17000,50,KBS
2020-05-08 07:00:00,15850,17000,15850,17000,240,KBS
2020-05-11 07:00:00,16900,16900,16900,16900,110,KBS
2020-05-12 07:00:00,17000,17000,17000,17000,20,KBS
2020-05-13 07:00:00,17000,17000,17000,17000,100,KBS
2020-05-14 07:00:00,17000,17000,17000,17000,50,KBS
2020-05-15 07:00:00,17000,17000,17000,17000,20,KBS
2020-05-18 07:00:00,17000,17000,17000,17000,50,KBS
2020-05-19 07:00:00,16000,16900,16000,16900,550,KBS
2020-05-20 07:00:00,15800,16900,15800,16900,1850,KBS
2020-05-21 07:00:00,16900,16900,16900,16900,200,KBS
2020-05-22 07:00:00,16900,16900,16900,16900,200,KBS
2020-05-25 07:00:00,16900,16900,16900,16900,110,KBS
2020-05-27 07:00:00,15750,15750,15750,15750,290,KBS
2020-05-28 07:00:00,15000,15000,15000,15000,110,KBS
2020-05-29 07:00:00,15000,15500,14900,15500,170,KBS
2020-06-01 07:00:00,14500,15800,14500,15800,1250,KBS
2020-06-02 07:00:00,14850,16000,14850,16000,2100,KBS
2020-06-03 07:00:00,17000,17000,16900,16900,160,KBS
2020-06-05 07:00:00,16800,16800,16800,16800,170,KBS
2020-06-08 07:00:00,16900,16900,15700,15700,780,KBS
2020-06-09 07:00:00,16750,16750,15100,15150,1400,KBS
2020-06-10 07:00:00,16100,16100,16100,16100,490,KBS
2020-06-11 07:00:00,16700,16700,16500,16500,110,KBS
2020-06-12 07:00:00,16100,16100,16100,16100,10,KBS
2020-06-15 07:00:00,15050,15050,15050,15050,630,KBS
2020-06-16 07:00:00,14050,15500,14050,15500,3250,KBS
2020-06-17 07:00:00,15500,15750,14500,15750,620,KBS
2020-06-18 07:00:00,15750,16000,15100,16000,2370,KBS
2020-06-19 07:00:00,16000,17050,15100,15100,2860,KBS
2020-06-22 07:00:00,15200,15200,15200,15200,350,KBS
2020-06-23 07:00:00,14950,15700,14950,15700,1110,KBS
2020-06-24 07:00:00,14900,15600,14650,15600,1060,KBS
2020-06-25 07:00:00,15000,15950,15000,15950,430,KBS
2020-06-26 07:00:00,15400,15400,15400,15400,10,KBS
2020-06-29 07:00:00,15450,15450,15450,15450,10,KBS
2020-06-30 07:00:00,14450,15600,14450,14600,1660,KBS
2020-07-01 07:00:00,15450,15450,15300,15450,1620,KBS
2020-07-02 07:00:00,15350,16500,15350,16500,2200,KBS
2020-07-03 07:00:00,16400,16500,15350,16500,1140,KBS
2020-07-06 07:00:00,16400,16500,16400,16500,300,KBS
2020-07-08 07:00:00,15800,15800,15800,15800,1000,KBS
2020-07-09 07:00:00,14800,15600,14750,14950,2470,KBS
2020-07-10 07:00:00,15600,15600,14950,14950,20,KBS
2020-07-13 07:00:00,15950,15950,14350,15950,390,KBS
2020-07-14 07:00:00,15950,15950,15450,15700,1870,KBS
2020-07-15 07:00:00,14700,14700,14700,14700,220,KBS
2020-07-16 07:00:00,15000,15000,15000,15000,10,KBS
2020-07-17 07:00:00,14500,15000,14500,15000,970,KBS
2020-07-20 07:00:00,15000,15000,14300,15000,740,KBS
2020-07-21 07:00:00,16000,16000,14100,14100,690,KBS
2020-07-22 07:00:00,14950,15050,14200,15050,700,KBS
2020-07-23 07:00:00,15000,16000,15000,16000,810,KBS
2020-07-24 07:00:00,16800,16800,15000,16800,840,KBS
2020-07-27 07:00:00,16800,16800,16800,16800,120,KBS
2020-07-28 07:00:00,16800,16800,16800,16800,10,KBS
2020-07-31 07:00:00,16800,17800,16800,17800,100,KBS
2020-08-03 07:00:00,16600,17300,16600,16700,200,KBS
2020-08-04 07:00:00,15700,16400,15600,16400,1790,KBS
2020-08-05 07:00:00,16400,16500,15400,15900,2050,KBS
2020-08-06 07:00:00,16500,16500,16500,16500,10,KBS
2020-08-07 07:00:00,15350,15350,15350,15350,370,KBS
2020-08-10 07:00:00,14800,15350,14800,15350,480,KBS
2020-08-11 07:00:00,15050,15650,15000,15650,1120,KBS
2020-08-12 07:00:00,14650,14650,14650,14650,10,KBS
2020-08-13 07:00:00,15500,15650,15500,15650,880,KBS
2020-08-14 07:00:00,15500,15650,15500,15650,2060,KBS
2020-08-17 07:00:00,16000,16000,16000,16000,120,KBS
2020-08-18 07:00:00,16000,16800,15000,16500,1810,KBS
2020-08-19 07:00:00,15500,16400,15500,16400,2020,KBS
2020-08-20 07:00:00,16700,16700,15300,16000,50,KBS
2020-08-24 07:00:00,15100,15100,15100,15100,10,KBS
2020-08-25 07:00:00,16100,16100,14700,15750,180,KBS
2020-08-26 07:00:00,16000,16000,15000,15750,1150,KBS
2020-08-27 07:00:00,15000,16700,15000,16700,1620,KBS
2020-08-28 07:00:00,15700,16700,15700,16700,1010,KBS
2020-08-31 07:00:00,16500,16500,15600,15600,30,KBS
2020-09-01 07:00:00,16650,16650,16500,16500,90,KBS
2020-09-03 07:00:00,15500,16400,15400,15450,440,KBS
2020-09-04 07:00:00,15900,16000,15900,16000,350,KBS
2020-09-07 07:00:00,16000,16000,16000,16000,50,KBS
2020-09-08 07:00:00,15050,15050,15050,15050,370,KBS
2020-09-09 07:00:00,15500,15500,15400,15500,660,KBS
2020-09-10 07:00:00,14600,14600,14600,14600,10,KBS
