date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1780,1780,1660,1770,3380,KBS
2020-01-03 07:00:00,1700,1850,1660,1800,31400,KBS
2020-01-06 07:00:00,1690,1800,1690,1800,30010,KBS
2020-01-07 07:00:00,1790,1800,1700,1700,21050,KBS
2020-01-08 07:00:00,1700,1780,1700,1770,61620,KBS
2020-01-09 07:00:00,1710,1770,1660,1770,25410,KBS
2020-01-10 07:00:00,1760,1770,1700,1700,20510,KBS
2020-01-13 07:00:00,1620,1760,1620,1620,23440,KBS
2020-01-14 07:00:00,1620,1720,1600,1600,2460,KBS
2020-01-15 07:00:00,1610,1700,1600,1700,560,KBS
2020-01-16 07:00:00,1690,1700,1690,1700,5000,KBS
2020-01-17 07:00:00,1590,1750,1590,1750,9580,KBS
2020-01-20 07:00:00,1750,1750,1750,1750,35000,KBS
2020-01-21 07:00:00,1650,1730,1650,1730,2020,KBS
2020-01-22 07:00:00,1670,1730,1670,1730,270,KBS
2020-01-30 07:00:00,1630,1750,1630,1740,950,KBS
2020-01-31 07:00:00,1740,1740,1630,1630,5960,KBS
2020-02-03 07:00:00,1630,1630,1520,1630,12230,KBS
2020-02-04 07:00:00,1630,1720,1630,1720,1500,KBS
2020-02-05 07:00:00,1700,1700,1600,1700,57130,KBS
2020-02-06 07:00:00,1590,1700,1590,1700,42910,KBS
2020-02-07 07:00:00,1700,1700,1690,1700,1240,KBS
2020-02-10 07:00:00,1700,1700,1700,1700,10,KBS
2020-02-11 07:00:00,1660,1690,1600,1690,13770,KBS
2020-02-12 07:00:00,1690,1800,1600,1730,145280,KBS
2020-02-13 07:00:00,1730,1740,1720,1730,62420,KBS
2020-02-14 07:00:00,1740,1740,1730,1740,14090,KBS
2020-02-17 07:00:00,1650,1740,1650,1740,31350,KBS
2020-02-18 07:00:00,1740,1740,1700,1730,19150,KBS
2020-02-19 07:00:00,1730,1730,1660,1730,720,KBS
2020-02-20 07:00:00,1740,1850,1740,1850,286460,KBS
2020-02-21 07:00:00,1970,1970,1950,1960,129220,KBS
2020-02-24 07:00:00,2000,2080,1830,1830,6790,KBS
2020-02-25 07:00:00,1710,1770,1710,1710,52510,KBS
2020-02-26 07:00:00,1610,1700,1600,1600,79370,KBS
2020-02-27 07:00:00,1700,1700,1680,1690,14430,KBS
2020-02-28 07:00:00,1800,1800,1580,1700,13670,KBS
2020-03-02 07:00:00,1670,1750,1650,1700,31480,KBS
2020-03-03 07:00:00,1730,1730,1650,1650,59650,KBS
2020-03-04 07:00:00,1580,1750,1580,1680,64130,KBS
2020-03-05 07:00:00,1680,1680,1620,1680,58570,KBS
2020-03-06 07:00:00,1680,1680,1570,1670,119840,KBS
2020-03-09 07:00:00,1570,1670,1560,1590,32470,KBS
2020-03-10 07:00:00,1600,1690,1480,1690,29570,KBS
2020-03-11 07:00:00,1680,1680,1580,1580,194210,KBS
2020-03-12 07:00:00,1490,1580,1480,1480,49340,KBS
2020-03-13 07:00:00,1400,1480,1390,1400,14430,KBS
2020-03-16 07:00:00,1470,1490,1350,1400,54980,KBS
2020-03-17 07:00:00,1480,1490,1350,1490,56320,KBS
2020-03-18 07:00:00,1570,1590,1510,1510,93260,KBS
2020-03-19 07:00:00,1430,1600,1430,1590,54070,KBS
2020-03-20 07:00:00,1670,1670,1550,1630,60,KBS
2020-03-23 07:00:00,1520,1520,1520,1520,18410,KBS
2020-03-24 07:00:00,1420,1520,1420,1500,40280,KBS
2020-03-25 07:00:00,1580,1580,1410,1460,4760,KBS
2020-03-26 07:00:00,1450,1500,1450,1450,6510,KBS
2020-03-27 07:00:00,1370,1400,1370,1400,1520,KBS
2020-03-30 07:00:00,1450,1450,1400,1400,71390,KBS
2020-03-31 07:00:00,1450,1490,1450,1450,56470,KBS
2020-04-01 07:00:00,1400,1400,1400,1400,2000,KBS
2020-04-03 07:00:00,1400,1490,1400,1490,50100,KBS
2020-04-06 07:00:00,1490,1490,1400,1490,21290,KBS
2020-04-07 07:00:00,1410,1490,1410,1490,6520,KBS
2020-04-08 07:00:00,1460,1590,1460,1580,16100,KBS
2020-04-09 07:00:00,1480,1670,1480,1500,10810,KBS
2020-04-10 07:00:00,1450,1540,1450,1500,8670,KBS
2020-04-13 07:00:00,1500,1510,1450,1510,25070,KBS
2020-04-14 07:00:00,1450,1510,1450,1510,8250,KBS
2020-04-15 07:00:00,1510,1510,1510,1510,50,KBS
2020-04-16 07:00:00,1450,1510,1410,1450,19090,KBS
2020-04-17 07:00:00,1450,1550,1450,1550,23750,KBS
2020-04-20 07:00:00,1520,1630,1500,1630,42570,KBS
2020-04-21 07:00:00,1530,1530,1520,1520,104980,KBS
2020-04-22 07:00:00,1600,1600,1580,1580,40,KBS
2020-04-23 07:00:00,1520,1600,1520,1600,2340,KBS
2020-04-24 07:00:00,1580,1610,1500,1500,2900,KBS
2020-04-27 07:00:00,1500,1500,1500,1500,5200,KBS
2020-04-28 07:00:00,1500,1500,1450,1500,13000,KBS
2020-04-29 07:00:00,1500,1600,1580,1600,37210,KBS
2020-05-04 07:00:00,1520,1520,1490,1490,30380,KBS
2020-05-05 07:00:00,1500,1500,1460,1500,480,KBS
2020-05-06 07:00:00,1600,1600,1600,1600,28580,KBS
2020-05-07 07:00:00,1600,1600,1600,1600,700,KBS
2020-05-08 07:00:00,1590,1600,1500,1560,54030,KBS
2020-05-11 07:00:00,1560,1660,1570,1630,180,KBS
2020-05-12 07:00:00,1600,1710,1600,1680,2210,KBS
2020-05-13 07:00:00,1580,1670,1570,1670,5660,KBS
2020-05-14 07:00:00,1660,1660,1570,1650,3440,KBS
2020-05-15 07:00:00,1550,1680,1540,1680,14960,KBS
2020-05-18 07:00:00,1680,1680,1570,1670,11530,KBS
2020-05-19 07:00:00,1700,1700,1600,1670,15250,KBS
2020-05-20 07:00:00,1670,1670,1600,1670,5790,KBS
2020-05-21 07:00:00,1680,1680,1600,1650,3330,KBS
2020-05-25 07:00:00,1600,1670,1600,1670,21000,KBS
2020-05-26 07:00:00,1600,1600,1560,1560,700,KBS
2020-05-27 07:00:00,1650,1650,1460,1650,19490,KBS
2020-05-28 07:00:00,1650,1660,1600,1660,1140,KBS
2020-05-29 07:00:00,1550,1560,1550,1560,1020,KBS
2020-06-01 07:00:00,1560,1650,1560,1650,7490,KBS
2020-06-02 07:00:00,1650,1730,1590,1690,5850,KBS
2020-06-03 07:00:00,1690,1690,1590,1690,160,KBS
2020-06-04 07:00:00,1600,1670,1600,1670,620,KBS
2020-06-05 07:00:00,1600,1660,1590,1660,7770,KBS
2020-06-08 07:00:00,1660,1700,1560,1680,45580,KBS
2020-06-09 07:00:00,1720,1790,1630,1790,59310,KBS
2020-06-10 07:00:00,1910,1910,1800,1910,100720,KBS
2020-06-11 07:00:00,2030,2040,1950,2020,194430,KBS
2020-06-12 07:00:00,1880,2150,1880,2150,30640,KBS
2020-06-15 07:00:00,2000,2150,2000,2000,82290,KBS
2020-06-16 07:00:00,2000,2000,1860,1860,42210,KBS
2020-06-17 07:00:00,1860,1860,1740,1740,20220,KBS
2020-06-18 07:00:00,1700,1860,1700,1860,42520,KBS
2020-06-19 07:00:00,1860,1980,1740,1740,16680,KBS
2020-06-22 07:00:00,1740,1860,1740,1760,6320,KBS
2020-06-23 07:00:00,1770,1830,1760,1830,25160,KBS
2020-06-24 07:00:00,1830,1830,1770,1770,12200,KBS
2020-06-25 07:00:00,1770,1790,1660,1790,61120,KBS
2020-06-26 07:00:00,1870,1870,1800,1800,1220,KBS
2020-06-29 07:00:00,1690,1720,1690,1710,5610,KBS
2020-06-30 07:00:00,1750,1750,1700,1710,2710,KBS
2020-07-01 07:00:00,1650,1810,1650,1810,4030,KBS
2020-07-02 07:00:00,1800,1930,1800,1930,2520,KBS
2020-07-03 07:00:00,1800,1800,1800,1800,23830,KBS
2020-07-06 07:00:00,1800,1800,1700,1700,21050,KBS
2020-07-07 07:00:00,1700,1700,1670,1700,4500,KBS
2020-07-08 07:00:00,1670,1670,1670,1670,6000,KBS
2020-07-09 07:00:00,1670,1770,1630,1770,2530,KBS
2020-07-10 07:00:00,1700,1750,1700,1750,5310,KBS
2020-07-13 07:00:00,1700,1750,1700,1700,1610,KBS
2020-07-14 07:00:00,1700,1720,1600,1720,11730,KBS
2020-07-15 07:00:00,1750,1750,1630,1650,1520,KBS
2020-07-16 07:00:00,1750,1750,1740,1740,5680,KBS
2020-07-17 07:00:00,1650,1740,1650,1730,13600,KBS
2020-07-20 07:00:00,1730,1730,1700,1700,600,KBS
2020-07-22 07:00:00,1700,1700,1590,1700,1920,KBS
2020-07-23 07:00:00,1700,1700,1700,1700,10,KBS
2020-07-24 07:00:00,1700,1700,1700,1700,100,KBS
2020-07-27 07:00:00,1590,1590,1590,1590,4760,KBS
2020-07-28 07:00:00,1500,1690,1500,1690,5050,KBS
2020-07-29 07:00:00,1700,1700,1680,1680,20,KBS
2020-07-30 07:00:00,1570,1680,1570,1680,1070,KBS
2020-07-31 07:00:00,1680,1680,1680,1680,50,KBS
2020-08-03 07:00:00,1580,1580,1570,1570,4200,KBS
2020-08-04 07:00:00,1660,1660,1660,1660,140,KBS
2020-08-06 07:00:00,1660,1660,1660,1660,10,KBS
2020-08-07 07:00:00,1600,1600,1550,1550,45770,KBS
2020-08-10 07:00:00,1560,1620,1550,1620,6610,KBS
2020-08-12 07:00:00,1620,1620,1520,1520,1230,KBS
2020-08-13 07:00:00,1550,1550,1550,1550,4000,KBS
2020-08-14 07:00:00,1620,1620,1620,1620,190,KBS
2020-08-17 07:00:00,1530,1640,1530,1630,490,KBS
2020-08-18 07:00:00,1630,1740,1630,1740,74430,KBS
2020-08-19 07:00:00,1860,1860,1860,1860,38310,KBS
2020-08-20 07:00:00,1990,1990,1990,1990,28300,KBS
2020-08-21 07:00:00,2120,2120,1950,2100,181840,KBS
2020-08-24 07:00:00,1960,2200,1960,2000,29110,KBS
2020-08-25 07:00:00,2100,2100,1900,1900,11190,KBS
2020-08-26 07:00:00,1900,1900,1770,1790,91190,KBS
2020-08-27 07:00:00,1750,1880,1700,1850,5140,KBS
2020-08-28 07:00:00,1850,1850,1770,1820,48280,KBS
2020-08-31 07:00:00,1820,1820,1800,1800,4990,KBS
2020-09-01 07:00:00,1710,1790,1710,1760,8980,KBS
2020-09-04 07:00:00,1680,1850,1680,1850,4600,KBS
2020-09-07 07:00:00,1850,1850,1780,1780,12020,KBS
2020-09-08 07:00:00,1870,1870,1800,1800,20,KBS
2020-09-09 07:00:00,1800,1850,1710,1850,15920,KBS
2020-09-10 07:00:00,1850,1900,1850,1860,1840,KBS
2020-09-11 07:00:00,1850,1850,1780,1850,1820,KBS
2020-09-14 07:00:00,1800,1840,1800,1830,6960,KBS
2020-09-15 07:00:00,1910,1910,1840,1840,13280,KBS
2020-09-16 07:00:00,1800,1800,1800,1800,2660,KBS
2020-09-17 07:00:00,1800,1800,1750,1750,3100,KBS
2020-09-18 07:00:00,1720,1820,1720,1820,7070,KBS
2020-09-21 07:00:00,1900,1900,1730,1850,6850,KBS
2020-09-23 07:00:00,1740,1850,1730,1840,5450,KBS
2020-09-24 07:00:00,1750,1830,1750,1830,250,KBS
2020-09-25 07:00:00,1750,1880,1710,1880,2740,KBS
2020-09-28 07:00:00,1750,1850,1750,1750,2530,KBS
2020-09-29 07:00:00,1750,1790,1750,1790,70,KBS
2020-09-30 07:00:00,1700,1790,1700,1710,5030,KBS
2020-10-01 07:00:00,1700,1800,1700,1800,5290,KBS
2020-10-02 07:00:00,1690,1800,1690,1780,530,KBS
2020-10-05 07:00:00,1780,1790,1750,1790,8010,KBS
2020-10-06 07:00:00,1780,1780,1780,1780,1960,KBS
2020-10-07 07:00:00,1780,1780,1780,1780,630,KBS
2020-10-08 07:00:00,1780,1780,1780,1780,100,KBS
2020-10-09 07:00:00,1760,1760,1700,1740,1970,KBS
2020-10-12 07:00:00,1780,1780,1720,1720,2310,KBS
2020-10-13 07:00:00,1700,1750,1600,1750,6380,KBS
2020-10-14 07:00:00,1750,1750,1680,1740,12070,KBS
2020-10-15 07:00:00,1680,1680,1650,1650,19640,KBS
2020-10-16 07:00:00,1650,1650,1540,1600,33820,KBS
2020-10-19 07:00:00,1600,1620,1600,1620,2300,KBS
2020-10-20 07:00:00,1640,1710,1640,1700,21900,KBS
2020-10-21 07:00:00,1700,1700,1700,1700,2400,KBS
2020-10-22 07:00:00,1700,1700,1700,1700,1400,KBS
2020-10-23 07:00:00,1700,1700,1690,1690,170,KBS
2020-10-26 07:00:00,1580,1700,1580,1650,1490,KBS
2020-10-27 07:00:00,1700,1700,1570,1700,5040,KBS
2020-10-28 07:00:00,1600,1700,1590,1590,11040,KBS
2020-10-29 07:00:00,1660,1660,1590,1630,11160,KBS
2020-10-30 07:00:00,1630,1640,1630,1640,300,KBS
2020-11-02 07:00:00,1680,1680,1610,1610,5990,KBS
2020-11-03 07:00:00,1670,1670,1600,1600,4300,KBS
2020-11-04 07:00:00,1580,1680,1580,1680,10300,KBS
2020-11-05 07:00:00,1680,1680,1680,1680,5600,KBS
2020-11-06 07:00:00,1670,1670,1610,1670,12110,KBS
2020-11-09 07:00:00,1560,1700,1560,1700,9030,KBS
2020-11-10 07:00:00,1700,1750,1700,1740,5410,KBS
2020-11-11 07:00:00,1630,1750,1630,1740,4690,KBS
2020-11-13 07:00:00,1750,1770,1650,1770,28440,KBS
2020-11-16 07:00:00,1770,1770,1700,1770,11060,KBS
2020-11-17 07:00:00,1750,1760,1700,1760,4240,KBS
2020-11-18 07:00:00,1760,1760,1650,1700,20090,KBS
2020-11-19 07:00:00,1700,1720,1700,1710,6640,KBS
2020-11-20 07:00:00,1700,1740,1700,1700,2050,KBS
2020-11-23 07:00:00,1700,1730,1700,1730,6170,KBS
2020-11-24 07:00:00,1730,1730,1720,1720,1430,KBS
2020-11-25 07:00:00,1700,1700,1700,1700,2000,KBS
2020-11-26 07:00:00,1630,1750,1630,1730,170,KBS
2020-11-27 07:00:00,1650,1740,1650,1740,2900,KBS
2020-11-30 07:00:00,1740,1820,1740,1800,30490,KBS
2020-12-01 07:00:00,1750,1800,1700,1800,7870,KBS
2020-12-02 07:00:00,1820,1920,1790,1920,23170,KBS
2020-12-03 07:00:00,1800,1850,1800,1850,2520,KBS
2020-12-04 07:00:00,1920,1920,1830,1900,600,KBS
2020-12-07 07:00:00,1900,1900,1780,1830,23890,KBS
2020-12-08 07:00:00,1820,1840,1730,1800,27700,KBS
2020-12-09 07:00:00,1800,1850,1800,1840,26430,KBS
2020-12-10 07:00:00,1760,1850,1760,1800,7440,KBS
2020-12-11 07:00:00,1830,1830,1800,1810,6590,KBS
2020-12-14 07:00:00,1820,1840,1820,1840,13050,KBS
2020-12-15 07:00:00,1840,1840,1790,1810,43910,KBS
2020-12-16 07:00:00,1860,1860,1800,1850,52200,KBS
2020-12-17 07:00:00,1810,1890,1800,1820,15120,KBS
2020-12-18 07:00:00,1790,1870,1770,1870,3670,KBS
2020-12-21 07:00:00,1850,1850,1800,1840,73780,KBS
2020-12-22 07:00:00,1870,1870,1760,1860,16190,KBS
2020-12-23 07:00:00,1860,1940,1850,1850,96990,KBS
2020-12-24 07:00:00,1850,1850,1770,1840,22980,KBS
2020-12-25 07:00:00,1840,1870,1800,1840,20220,KBS
2020-12-28 07:00:00,1830,1900,1800,1850,139660,KBS
2020-12-29 07:00:00,1850,1970,1850,1970,82610,KBS
2020-12-30 07:00:00,2100,2100,2100,2100,40510,KBS
2020-12-31 07:00:00,2240,2240,2240,2240,130440,KBS
2021-01-04 07:00:00,2390,2390,2390,2390,164800,KBS
2021-01-05 07:00:00,2550,2550,2550,2550,82200,KBS
2021-01-06 07:00:00,2720,2720,2700,2720,354700,KBS
2021-01-07 07:00:00,2910,2910,2720,2870,310400,KBS
2021-01-08 07:00:00,2870,2900,2670,2680,129200,KBS
2021-01-11 07:00:00,2500,2750,2500,2750,187800,KBS
