date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1710,1710,1710,1710,2100,KBS
2020-01-03 07:00:00,1805,1805,1805,1805,200,KBS
2020-01-06 07:00:00,1710,1710,1710,1710,200,KBS
2020-01-07 07:00:00,1615,1710,1615,1710,5100,KBS
2020-01-08 07:00:00,1615,1615,1615,1615,3000,KBS
2020-01-09 07:00:00,1520,1710,1520,1710,600,KBS
2020-01-10 07:00:00,1615,1615,1615,1615,100,KBS
2020-01-15 07:00:00,1710,1710,1710,1710,100,KBS
2020-01-16 07:00:00,1615,1615,1615,1615,100,KBS
2020-01-17 07:00:00,1520,1520,1520,1520,400,KBS
2020-01-21 07:00:00,1615,1615,1615,1615,200,KBS
2020-01-31 07:00:00,1520,1520,1520,1520,200,KBS
2020-02-03 07:00:00,1425,1425,1425,1425,200,KBS
2020-02-04 07:00:00,1520,1520,1520,1520,100,KBS
2020-02-05 07:00:00,1615,1615,1615,1615,100,KBS
2020-02-06 07:00:00,1520,1615,1520,1615,3100,KBS
2020-02-14 07:00:00,1615,1710,1615,1710,2700,KBS
2020-02-17 07:00:00,1615,1615,1615,1615,1100,KBS
2020-02-18 07:00:00,1710,1710,1710,1710,100,KBS
2020-02-19 07:00:00,1710,1805,1710,1805,3300,KBS
2020-02-20 07:00:00,1710,1710,1710,1710,600,KBS
2020-02-21 07:00:00,1805,1805,1710,1710,1100,KBS
2020-02-24 07:00:00,1805,1805,1805,1805,110,KBS
2020-02-25 07:00:00,1710,1805,1710,1710,4900,KBS
2020-02-27 07:00:00,1805,1805,1805,1805,100,KBS
2020-02-28 07:00:00,1710,1710,1710,1710,2000,KBS
2020-03-02 07:00:00,1615,1615,1615,1615,100,KBS
2020-03-03 07:00:00,1615,1615,1615,1615,700,KBS
2020-03-05 07:00:00,1710,1710,1710,1710,9500,KBS
2020-03-06 07:00:00,1805,1805,1805,1805,100,KBS
2020-03-09 07:00:00,1710,1900,1710,1900,2300,KBS
2020-03-10 07:00:00,1710,1805,1710,1805,900,KBS
2020-03-12 07:00:00,1710,1900,1710,1900,1500,KBS
2020-03-13 07:00:00,1710,1805,1710,1710,5700,KBS
2020-03-16 07:00:00,1710,1805,1710,1805,3100,KBS
2020-03-18 07:00:00,1805,1900,1805,1900,200,KBS
2020-03-19 07:00:00,1710,1710,1710,1710,2000,KBS
2020-03-20 07:00:00,1805,1805,1805,1805,100,KBS
2020-03-23 07:00:00,1710,1805,1710,1805,9500,KBS
2020-03-24 07:00:00,1805,1805,1710,1805,6100,KBS
2020-03-25 07:00:00,1900,1900,1710,1805,11298,KBS
2020-03-26 07:00:00,1710,1805,1710,1805,16200,KBS
2020-03-27 07:00:00,1710,1710,1710,1710,7400,KBS
2020-03-30 07:00:00,1805,1805,1710,1710,6100,KBS
2020-03-31 07:00:00,1805,1805,1710,1805,13056,KBS
2020-04-01 07:00:00,1710,1805,1710,1805,19400,KBS
2020-04-03 07:00:00,1900,1900,1710,1900,15150,KBS
2020-04-06 07:00:00,1900,1995,1900,1995,2200,KBS
2020-04-07 07:00:00,2090,2090,2090,2090,100,KBS
2020-04-08 07:00:00,1900,1900,1900,1900,300,KBS
2020-04-09 07:00:00,1805,1900,1805,1900,10100,KBS
2020-04-10 07:00:00,2090,2090,2090,2090,100,KBS
2020-04-13 07:00:00,2185,2185,1900,1900,300,KBS
2020-04-14 07:00:00,1805,1900,1710,1900,4100,KBS
2020-04-15 07:00:00,1710,1900,1710,1900,10300,KBS
2020-04-16 07:00:00,1710,1805,1710,1805,7400,KBS
2020-04-17 07:00:00,1805,1805,1805,1805,2700,KBS
2020-04-20 07:00:00,1900,1900,1710,1805,5400,KBS
2020-04-21 07:00:00,1805,1805,1710,1710,10200,KBS
2020-04-22 07:00:00,1710,1710,1710,1710,4002,KBS
2020-04-23 07:00:00,1710,1710,1710,1710,2,KBS
2020-04-24 07:00:00,1710,1710,1710,1710,3500,KBS
2020-04-27 07:00:00,1615,1615,1615,1615,13000,KBS
2020-04-28 07:00:00,1710,1710,1710,1710,2000,KBS
2020-04-29 07:00:00,1710,1710,1710,1710,600,KBS
2020-05-04 07:00:00,1710,1710,1710,1710,400,KBS
2020-05-05 07:00:00,1710,1805,1710,1805,10300,KBS
2020-05-06 07:00:00,1710,1805,1710,1805,20100,KBS
2020-05-11 07:00:00,1710,1900,1710,1900,652,KBS
2020-05-12 07:00:00,1995,1995,1995,1995,100,KBS
2020-05-13 07:00:00,1995,2090,1995,2090,220,KBS
2020-05-15 07:00:00,1900,1900,1900,1900,100,KBS
2020-05-18 07:00:00,2090,2090,2090,2090,100,KBS
2020-05-19 07:00:00,2090,2185,1900,1900,500,KBS
2020-05-20 07:00:00,1710,1710,1710,1710,100,KBS
2020-05-21 07:00:00,1710,1805,1710,1710,2200,KBS
2020-05-22 07:00:00,1710,1805,1710,1805,400,KBS
2020-05-25 07:00:00,1710,1900,1710,1900,2100,KBS
2020-05-26 07:00:00,2090,2090,2090,2090,21010,KBS
2020-05-27 07:00:00,2280,2280,2185,2280,19020,KBS
2020-05-28 07:00:00,2375,2375,2090,2375,36300,KBS
2020-05-29 07:00:00,2375,2565,2375,2565,16500,KBS
2020-06-01 07:00:00,2660,2660,2375,2660,4310,KBS
2020-06-02 07:00:00,2660,2850,2660,2660,4314,KBS
2020-06-03 07:00:00,2660,2660,2470,2470,1100,KBS
2020-06-04 07:00:00,2280,2470,2280,2470,1200,KBS
2020-06-05 07:00:00,2280,2470,2280,2470,14712,KBS
2020-06-08 07:00:00,2280,2375,2280,2375,2000,KBS
2020-06-09 07:00:00,2185,2565,2185,2565,2300,KBS
2020-06-10 07:00:00,2565,2660,2565,2660,314,KBS
2020-06-11 07:00:00,2660,2755,2660,2755,500,KBS
2020-06-15 07:00:00,2565,2850,2565,2565,1100,KBS
2020-06-17 07:00:00,2375,2470,2375,2375,1600,KBS
2020-06-18 07:00:00,2470,2470,2185,2185,1200,KBS
2020-06-19 07:00:00,1995,2375,1995,2375,610,KBS
2020-06-22 07:00:00,2185,2470,2185,2470,200,KBS
2020-06-23 07:00:00,2660,2660,2660,2660,100,KBS
2020-06-24 07:00:00,2470,2470,2470,2470,100,KBS
2020-06-26 07:00:00,2280,2280,2280,2280,112,KBS
2020-06-29 07:00:00,2280,2280,2280,2280,1000,KBS
2020-06-30 07:00:00,2090,2090,2090,2090,100,KBS
