date,open,high,low,close,volume,_source
2020-01-02 07:00:00,10813,10813,10813,10813,10,KBS
2020-01-03 07:00:00,11542,11542,10935,10935,20,KBS
2020-01-07 07:00:00,11664,11664,11664,11664,10,KBS
2020-01-16 07:00:00,12474,12474,10935,10935,20,KBS
2020-01-22 07:00:00,11502,11502,11502,11502,10,KBS
2020-01-31 07:00:00,12271,12271,12190,12190,90,KBS
2020-02-11 07:00:00,11340,11340,11340,11340,20,KBS
2020-02-14 07:00:00,10570,10570,10570,10570,10,KBS
2020-02-17 07:00:00,9841,9841,9841,9841,10,KBS
2020-02-18 07:00:00,9153,9153,9153,9153,10,KBS
2020-02-19 07:00:00,8950,9274,8545,9274,1090,KBS
2020-02-20 07:00:00,9720,9720,9720,9720,10,KBS
2020-02-21 07:00:00,10125,10125,9315,10125,1150,KBS
2020-02-25 07:00:00,10125,10773,10125,10773,60,KBS
2020-02-26 07:00:00,10044,11502,10044,10773,2170,KBS
2020-02-28 07:00:00,11178,11178,10044,11016,30,KBS
2020-03-02 07:00:00,10246,10246,10246,10246,50,KBS
2020-03-03 07:00:00,9558,9558,9558,9558,50,KBS
2020-03-04 07:00:00,10206,10206,8910,8910,90,KBS
2020-03-05 07:00:00,8424,9517,8302,8302,3130,KBS
2020-03-06 07:00:00,8829,8829,8829,8829,30,KBS
2020-03-09 07:00:00,9396,9396,8221,9315,360,KBS
2020-03-10 07:00:00,9679,9679,9679,9679,10,KBS
2020-03-11 07:00:00,10327,10327,10327,10327,10,KBS
2020-03-13 07:00:00,11016,11016,9639,10287,280,KBS
2020-03-16 07:00:00,10975,10975,9598,10894,210,KBS
2020-03-17 07:00:00,11623,11623,10165,10165,200,KBS
2020-03-18 07:00:00,9477,9477,9477,9477,70,KBS
2020-03-19 07:00:00,8829,10084,8829,8829,90,KBS
2020-03-20 07:00:00,9396,9396,8262,9355,220,KBS
2020-03-23 07:00:00,8707,8707,8707,8707,100,KBS
2020-03-24 07:00:00,8707,8707,8707,8707,10,KBS
2020-03-25 07:00:00,8707,8707,8140,8707,5170,KBS
2020-03-26 07:00:00,9234,9274,8100,8910,1050,KBS
2020-03-30 07:00:00,8505,9396,8505,9396,20,KBS
2020-03-31 07:00:00,8748,9720,8748,9720,19940,KBS
2020-04-01 07:00:00,9072,9072,9072,9072,87760,KBS
2020-04-03 07:00:00,9679,9679,8464,8586,1470,KBS
2020-04-06 07:00:00,9153,9153,8748,8748,30,KBS
2020-04-07 07:00:00,8140,9355,8140,9153,180,KBS
2020-04-09 07:00:00,9112,9112,9112,9112,20,KBS
2020-04-10 07:00:00,8505,9112,8505,8505,600,KBS
2020-04-13 07:00:00,9072,9072,9072,9072,8000,KBS
2020-04-14 07:00:00,9072,9072,9072,9072,90,KBS
2020-04-15 07:00:00,9072,9598,9072,9598,3360,KBS
2020-04-16 07:00:00,9558,9558,9072,9072,3170,KBS
2020-04-17 07:00:00,9679,9679,8545,9639,100,KBS
