date,open,high,low,close,volume,_source
2020-01-06 07:00:00,1500,1500,1500,1500,100,KBS
2020-01-08 07:00:00,1500,1500,1500,1500,500,KBS
2020-01-14 07:00:00,1500,1500,1500,1500,400,KBS
2020-01-15 07:00:00,1400,1400,1400,1400,100,KBS
2020-01-16 07:00:00,1400,1400,1400,1400,100,KBS
2020-01-17 07:00:00,1400,1500,1400,1500,5200,KBS
2020-01-31 07:00:00,1400,1400,1400,1400,100,KBS
2020-02-03 07:00:00,1300,1300,1300,1300,6500,KBS
2020-02-04 07:00:00,1200,1200,1200,1200,8500,KBS
2020-02-05 07:00:00,1100,1100,1100,1100,6406,KBS
2020-02-12 07:00:00,1200,1200,1200,1200,500,KBS
2020-02-14 07:00:00,1300,1300,1300,1300,100,KBS
2020-02-17 07:00:00,1200,1200,1200,1200,100,KBS
2020-02-18 07:00:00,1100,1100,1100,1100,100,KBS
2020-02-19 07:00:00,1000,1100,1000,1100,13900,KBS
2020-02-21 07:00:00,1000,1100,1000,1100,7500,KBS
2020-02-24 07:00:00,1100,1100,1100,1100,4000,KBS
2020-02-25 07:00:00,1000,1000,1000,1000,100,KBS
2020-02-26 07:00:00,1100,1100,1100,1100,1000,KBS
2020-02-27 07:00:00,1000,1000,1000,1000,100,KBS
2020-02-28 07:00:00,1000,1000,1000,1000,31000,KBS
2020-03-02 07:00:00,1100,1100,1000,1000,800,KBS
2020-03-03 07:00:00,1000,1000,1000,1000,500,KBS
2020-03-04 07:00:00,1000,1000,1000,1000,2000,KBS
2020-03-05 07:00:00,900,1000,900,1000,12200,KBS
2020-03-06 07:00:00,1100,1100,1100,1100,26100,KBS
2020-03-09 07:00:00,1200,1200,1200,1200,68100,KBS
2020-03-10 07:00:00,1300,1300,1100,1300,35700,KBS
2020-03-11 07:00:00,1200,1400,1200,1400,6620,KBS
2020-03-12 07:00:00,1300,1300,1300,1300,2540,KBS
2020-03-13 07:00:00,1200,1200,1200,1200,900,KBS
2020-03-16 07:00:00,1100,1100,1100,1100,1000,KBS
2020-03-17 07:00:00,1000,1000,1000,1000,7500,KBS
2020-03-18 07:00:00,900,1000,900,1000,44602,KBS
2020-03-19 07:00:00,900,1000,900,1000,34400,KBS
2020-03-20 07:00:00,1000,1000,1000,1000,600,KBS
2020-03-23 07:00:00,900,1000,900,1000,8300,KBS
2020-03-24 07:00:00,1000,1000,900,1000,1500,KBS
2020-03-26 07:00:00,900,1000,900,1000,300,KBS
2020-03-27 07:00:00,900,900,900,900,400,KBS
2020-03-31 07:00:00,900,1000,800,1000,55910,KBS
2020-04-03 07:00:00,900,1000,900,1000,6100,KBS
2020-04-06 07:00:00,900,900,900,900,200,KBS
2020-04-07 07:00:00,800,800,800,800,1200,KBS
2020-04-08 07:00:00,900,900,900,900,2100,KBS
2020-04-09 07:00:00,900,900,900,900,10,KBS
2020-04-13 07:00:00,1000,1000,1000,1000,100,KBS
2020-04-14 07:00:00,900,900,900,900,2000,KBS
2020-04-15 07:00:00,800,1000,800,1000,11700,KBS
2020-04-16 07:00:00,1000,1000,1000,1000,20,KBS
2020-04-20 07:00:00,900,900,900,900,1200,KBS
2020-04-21 07:00:00,800,900,800,900,3100,KBS
2020-04-22 07:00:00,800,900,800,900,1830,KBS
2020-04-23 07:00:00,1000,1000,900,900,600,KBS
2020-04-24 07:00:00,800,900,800,900,1600,KBS
2020-04-27 07:00:00,900,900,900,900,400,KBS
2020-04-28 07:00:00,900,900,900,900,100,KBS
2020-04-29 07:00:00,800,900,800,900,4400,KBS
2020-05-04 07:00:00,800,800,800,800,24710,KBS
2020-05-05 07:00:00,700,900,700,900,16100,KBS
2020-05-06 07:00:00,800,800,800,800,600,KBS
2020-05-07 07:00:00,700,800,700,700,30903,KBS
2020-05-08 07:00:00,600,700,600,600,122400,KBS
2020-05-11 07:00:00,500,600,500,600,20100,KBS
2020-05-12 07:00:00,600,600,500,600,2968,KBS
2020-05-13 07:00:00,500,600,500,600,3300,KBS
2020-05-14 07:00:00,600,600,600,600,20400,KBS
2020-05-15 07:00:00,500,500,500,500,97400,KBS
2020-05-18 07:00:00,600,600,600,600,2810,KBS
2020-05-19 07:00:00,500,600,500,600,3300,KBS
2020-05-20 07:00:00,500,600,500,600,9100,KBS
2020-05-21 07:00:00,500,600,500,600,8200,KBS
2020-05-22 07:00:00,600,600,500,500,17100,KBS
2020-05-25 07:00:00,500,600,500,500,25800,KBS
2020-06-02 07:00:00,500,700,500,700,500,KBS
2020-06-03 07:00:00,600,600,600,600,49700,KBS
2020-06-04 07:00:00,700,700,700,700,9800,KBS
2020-06-05 07:00:00,700,700,700,700,1200,KBS
2020-06-08 07:00:00,700,800,700,800,2200,KBS
2020-06-09 07:00:00,700,800,700,800,20300,KBS
2020-06-10 07:00:00,800,900,700,800,39140,KBS
2020-06-11 07:00:00,800,900,800,900,41526,KBS
2020-06-15 07:00:00,800,1000,800,1000,137800,KBS
2020-06-16 07:00:00,1000,1000,1000,1000,70866,KBS
2020-06-17 07:00:00,1100,1100,1100,1100,100,KBS
2020-06-18 07:00:00,1000,1100,1000,1000,137000,KBS
