date,open,high,low,close,volume,_source
2020-01-02 07:00:00,1900,2000,1900,2000,39200,KBS
2020-01-03 07:00:00,2000,2100,2000,2100,23700,KBS
2020-01-06 07:00:00,2000,2000,2000,2000,17020,KBS
2020-01-07 07:00:00,1900,1900,1900,1900,45700,KBS
2020-01-08 07:00:00,1900,1900,1800,1900,27100,KBS
2020-01-09 07:00:00,1900,1900,1800,1800,62220,KBS
2020-01-10 07:00:00,1800,1900,1700,1800,61921,KBS
2020-01-13 07:00:00,1700,1800,1700,1700,36200,KBS
2020-01-14 07:00:00,1700,1800,1600,1800,86304,KBS
2020-01-15 07:00:00,1800,1900,1800,1900,23400,KBS
2020-01-16 07:00:00,1800,1900,1800,1900,38700,KBS
2020-01-17 07:00:00,1800,1800,1800,1800,78041,KBS
2020-01-20 07:00:00,1800,1800,1700,1800,89200,KBS
2020-01-21 07:00:00,1700,1900,1700,1900,74201,KBS
2020-01-22 07:00:00,1800,1900,1800,1800,69000,KBS
2020-01-30 07:00:00,1700,1800,1700,1700,52420,KBS
2020-01-31 07:00:00,1700,1700,1600,1600,35602,KBS
2020-02-03 07:00:00,1600,1600,1500,1600,97840,KBS
2020-02-04 07:00:00,1600,1700,1600,1600,37820,KBS
2020-02-05 07:00:00,1700,1700,1600,1600,50100,KBS
2020-02-06 07:00:00,1600,1700,1600,1700,36040,KBS
2020-02-07 07:00:00,1700,1700,1600,1700,181000,KBS
2020-02-10 07:00:00,1600,1700,1600,1700,99520,KBS
2020-02-11 07:00:00,1600,1800,1600,1700,25610,KBS
2020-02-12 07:00:00,1700,1800,1600,1800,112230,KBS
2020-02-13 07:00:00,1700,1800,1700,1700,77150,KBS
2020-02-14 07:00:00,1700,1800,1600,1700,42370,KBS
2020-02-17 07:00:00,1700,1800,1700,1800,40710,KBS
2020-02-18 07:00:00,1700,1700,1700,1700,36560,KBS
2020-02-19 07:00:00,1600,1700,1600,1700,84802,KBS
2020-02-20 07:00:00,1700,1700,1600,1600,295000,KBS
2020-02-21 07:00:00,1600,1700,1600,1700,29700,KBS
2020-02-24 07:00:00,1700,1700,1600,1600,98800,KBS
2020-02-25 07:00:00,1500,1700,1500,1500,124700,KBS
2020-02-26 07:00:00,1600,1600,1500,1500,33117,KBS
2020-02-27 07:00:00,1600,1600,1500,1600,75590,KBS
2020-02-28 07:00:00,1500,1700,1500,1600,93100,KBS
2020-03-02 07:00:00,1600,1700,1500,1600,36919,KBS
2020-03-03 07:00:00,1500,1700,1500,1500,34400,KBS
2020-03-04 07:00:00,1600,1600,1500,1600,41920,KBS
2020-03-05 07:00:00,1600,1600,1500,1500,328610,KBS
2020-03-06 07:00:00,1500,1600,1500,1600,20400,KBS
2020-03-09 07:00:00,1500,1500,1500,1500,53000,KBS
2020-03-10 07:00:00,1500,1500,1400,1500,52501,KBS
2020-03-11 07:00:00,1400,1500,1400,1400,114549,KBS
2020-03-12 07:00:00,1400,1400,1300,1300,234800,KBS
2020-03-13 07:00:00,1200,1300,1200,1200,217720,KBS
2020-03-16 07:00:00,1100,1300,1100,1200,171600,KBS
2020-03-17 07:00:00,1200,1300,1100,1300,160000,KBS
2020-03-18 07:00:00,1300,1400,1200,1300,70000,KBS
2020-03-19 07:00:00,1300,1300,1200,1200,90030,KBS
2020-03-20 07:00:00,1200,1300,1100,1100,124500,KBS
2020-03-23 07:00:00,1100,1200,1000,1000,237200,KBS
2020-03-24 07:00:00,1000,1100,1000,1100,53920,KBS
2020-03-25 07:00:00,1000,1100,1000,1100,33901,KBS
2020-03-26 07:00:00,1100,1100,1000,1000,176540,KBS
2020-03-27 07:00:00,1000,1100,1000,1000,20069,KBS
2020-03-30 07:00:00,1100,1100,900,1000,97621,KBS
2020-03-31 07:00:00,1000,1000,900,900,82820,KBS
2020-04-01 07:00:00,900,1000,800,800,243009,KBS
2020-04-03 07:00:00,900,900,900,900,64313,KBS
2020-04-06 07:00:00,1000,1000,900,1000,329021,KBS
2020-04-07 07:00:00,1000,1000,900,900,232600,KBS
2020-04-08 07:00:00,1000,1000,900,900,50700,KBS
2020-04-09 07:00:00,900,1000,900,1000,88820,KBS
2020-04-10 07:00:00,1000,1000,900,900,182641,KBS
2020-04-13 07:00:00,1000,1000,900,1000,392003,KBS
2020-04-14 07:00:00,1100,1100,1000,1100,227393,KBS
2020-04-15 07:00:00,1100,1200,1100,1200,339447,KBS
2020-04-16 07:00:00,1300,1300,1300,1300,319610,KBS
2020-04-17 07:00:00,1400,1400,1400,1400,308259,KBS
2020-04-20 07:00:00,1500,1500,1300,1500,654935,KBS
2020-04-21 07:00:00,1400,1400,1400,1400,39827,KBS
2020-04-22 07:00:00,1300,1500,1300,1400,287490,KBS
2020-04-23 07:00:00,1400,1400,1300,1300,233642,KBS
2020-04-24 07:00:00,1200,1300,1200,1200,194955,KBS
2020-04-27 07:00:00,1200,1300,1200,1200,183456,KBS
2020-04-28 07:00:00,1300,1300,1200,1300,207573,KBS
2020-04-29 07:00:00,1300,1400,1200,1300,69820,KBS
2020-05-04 07:00:00,1200,1300,1200,1200,118745,KBS
2020-05-05 07:00:00,1200,1300,1200,1200,51644,KBS
2020-05-06 07:00:00,1300,1300,1200,1300,58200,KBS
2020-05-07 07:00:00,1300,1300,1200,1200,123561,KBS
2020-05-08 07:00:00,1200,1300,1100,1200,115660,KBS
2020-05-11 07:00:00,1200,1200,1200,1200,169426,KBS
2020-05-12 07:00:00,1200,1300,1200,1200,111113,KBS
2020-05-13 07:00:00,1200,1300,1200,1300,287520,KBS
2020-05-14 07:00:00,1400,1400,1300,1300,212209,KBS
2020-05-15 07:00:00,1300,1400,1300,1300,51339,KBS
2020-05-18 07:00:00,1300,1400,1300,1400,355220,KBS
2020-05-19 07:00:00,1400,1400,1300,1400,33310,KBS
2020-05-20 07:00:00,1400,1400,1300,1300,152010,KBS
2020-05-21 07:00:00,1300,1400,1200,1300,61040,KBS
2020-05-22 07:00:00,1300,1300,1200,1300,5100,KBS
2020-05-25 07:00:00,1300,1300,1200,1200,8000,KBS
2020-05-26 07:00:00,1200,1200,1200,1200,100610,KBS
2020-05-27 07:00:00,1300,1300,1200,1200,54900,KBS
2020-05-28 07:00:00,1200,1300,1200,1200,61801,KBS
2020-05-29 07:00:00,1300,1300,1200,1300,37450,KBS
2020-06-01 07:00:00,1200,1300,1200,1200,33410,KBS
2020-06-02 07:00:00,1200,1300,1200,1200,26190,KBS
2020-06-03 07:00:00,1300,1300,1200,1300,41051,KBS
2020-06-04 07:00:00,1300,1300,1200,1300,88209,KBS
2020-06-05 07:00:00,1300,1300,1200,1300,61780,KBS
