date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2483,2483,2373,2373,300,KBS
2020-01-03 07:00:00,2428,2483,2373,2373,4100,KBS
2020-01-06 07:00:00,2373,2483,2373,2483,6300,KBS
2020-01-07 07:00:00,2483,2483,2373,2428,3400,KBS
2020-01-08 07:00:00,2373,2428,2373,2428,2100,KBS
2020-01-09 07:00:00,2483,2483,2483,2483,170,KBS
2020-01-10 07:00:00,2428,2649,2373,2538,18800,KBS
2020-01-13 07:00:00,2593,2704,2483,2483,90620,KBS
2020-01-14 07:00:00,2538,2538,2428,2483,9400,KBS
2020-01-15 07:00:00,2428,2483,2373,2483,16400,KBS
2020-01-16 07:00:00,2483,2483,2483,2483,70,KBS
2020-01-20 07:00:00,2428,2538,2373,2483,4000,KBS
2020-01-21 07:00:00,2483,2483,2483,2483,4100,KBS
2020-01-22 07:00:00,2483,2704,2483,2704,9500,KBS
2020-01-30 07:00:00,2483,2704,2483,2649,21800,KBS
2020-01-31 07:00:00,2428,2483,2428,2483,16100,KBS
2020-02-03 07:00:00,2373,2373,2318,2373,9700,KBS
2020-02-04 07:00:00,2483,2593,2318,2428,20800,KBS
2020-02-05 07:00:00,2428,2483,2373,2428,13400,KBS
2020-02-06 07:00:00,2373,2483,2318,2483,35561,KBS
2020-02-07 07:00:00,2428,2483,2318,2428,37100,KBS
2020-02-10 07:00:00,2428,2428,2373,2373,4545,KBS
2020-02-11 07:00:00,2373,2428,2318,2428,5350,KBS
2020-02-12 07:00:00,2428,2428,2318,2428,23667,KBS
2020-02-13 07:00:00,2428,2428,2373,2428,13600,KBS
2020-02-14 07:00:00,2373,2428,2318,2428,21500,KBS
2020-02-17 07:00:00,2373,2373,2318,2373,10200,KBS
2020-02-18 07:00:00,2318,2318,2262,2318,5800,KBS
2020-02-19 07:00:00,2373,2428,2373,2373,6200,KBS
2020-02-20 07:00:00,2373,2373,2318,2373,11000,KBS
2020-02-21 07:00:00,2318,2373,2207,2373,14146,KBS
2020-02-25 07:00:00,2262,2373,2207,2373,11880,KBS
2020-02-26 07:00:00,2262,2373,2207,2207,17300,KBS
2020-02-27 07:00:00,2262,2373,2262,2373,4850,KBS
2020-02-28 07:00:00,2318,2373,2207,2207,8596,KBS
2020-03-02 07:00:00,2262,2373,2097,2318,28700,KBS
2020-03-03 07:00:00,2318,2373,2207,2207,9328,KBS
2020-03-04 07:00:00,2262,2262,2207,2262,13094,KBS
2020-03-05 07:00:00,2207,2262,2207,2207,16400,KBS
2020-03-06 07:00:00,2262,2262,2207,2207,9900,KBS
2020-03-09 07:00:00,2207,2262,2152,2262,36200,KBS
2020-03-10 07:00:00,2207,2207,2152,2152,5100,KBS
2020-03-11 07:00:00,2207,2207,2152,2207,9010,KBS
2020-03-12 07:00:00,2152,2207,2097,2152,12014,KBS
2020-03-13 07:00:00,2152,2207,2042,2207,38110,KBS
2020-03-16 07:00:00,2152,2207,2097,2207,3210,KBS
2020-03-17 07:00:00,2097,2152,2097,2152,7710,KBS
2020-03-18 07:00:00,2097,2207,2097,2097,18650,KBS
2020-03-19 07:00:00,2042,2152,2042,2152,7506,KBS
2020-03-20 07:00:00,2152,2152,2152,2152,1000,KBS
2020-03-23 07:00:00,2097,2097,1986,2097,12000,KBS
2020-03-24 07:00:00,2097,2097,2042,2097,8800,KBS
2020-03-25 07:00:00,2097,2152,2042,2042,33500,KBS
2020-03-26 07:00:00,2042,2152,2042,2152,3810,KBS
2020-03-27 07:00:00,2042,2152,2042,2152,1857,KBS
2020-03-30 07:00:00,2042,2152,2042,2152,2400,KBS
2020-03-31 07:00:00,2097,2152,2042,2152,11600,KBS
2020-04-01 07:00:00,2152,2152,2042,2097,9260,KBS
2020-04-03 07:00:00,2097,2097,2097,2097,3900,KBS
2020-04-06 07:00:00,2042,2152,1986,2152,94013,KBS
2020-04-07 07:00:00,2152,2152,2152,2152,114,KBS
2020-04-08 07:00:00,2097,2152,2097,2152,1932,KBS
2020-04-09 07:00:00,2097,2152,2097,2152,5403,KBS
2020-04-10 07:00:00,2042,2152,2042,2097,4200,KBS
2020-04-13 07:00:00,2097,2097,2097,2097,1000,KBS
2020-04-14 07:00:00,2097,2152,2097,2152,6100,KBS
2020-04-15 07:00:00,2152,2152,2042,2152,21448,KBS
2020-04-16 07:00:00,2152,2207,2042,2152,37800,KBS
2020-04-20 07:00:00,2042,2097,2042,2097,63594,KBS
2020-04-21 07:00:00,2042,2097,2042,2097,5300,KBS
2020-04-22 07:00:00,2097,2152,2042,2152,6400,KBS
2020-04-23 07:00:00,2097,2152,2042,2097,85160,KBS
2020-04-24 07:00:00,2042,2097,2042,2097,12900,KBS
2020-04-27 07:00:00,2097,2262,2097,2262,89950,KBS
2020-04-28 07:00:00,2207,2373,2207,2318,61808,KBS
2020-04-29 07:00:00,2207,2318,2207,2262,32512,KBS
2020-05-04 07:00:00,2207,2262,2152,2152,35910,KBS
2020-05-05 07:00:00,2152,2262,2152,2152,40110,KBS
2020-05-06 07:00:00,2207,2318,2207,2262,78900,KBS
2020-05-07 07:00:00,2262,2483,2262,2428,95435,KBS
2020-05-08 07:00:00,2373,2428,2318,2318,17646,KBS
2020-05-11 07:00:00,2318,2428,2262,2428,43100,KBS
2020-05-12 07:00:00,2483,2483,2373,2373,29700,KBS
2020-05-13 07:00:00,2373,2373,2318,2373,10400,KBS
2020-05-14 07:00:00,2318,2373,2318,2318,14549,KBS
2020-05-15 07:00:00,2318,2373,2318,2373,18678,KBS
2020-05-18 07:00:00,2318,2483,2318,2428,34100,KBS
2020-05-19 07:00:00,2428,2428,2373,2373,13300,KBS
2020-05-20 07:00:00,2318,2373,2318,2373,9600,KBS
2020-05-21 07:00:00,2428,2428,2318,2373,5360,KBS
2020-05-22 07:00:00,2318,2428,2318,2373,29523,KBS
2020-05-25 07:00:00,2373,2593,2373,2538,85410,KBS
2020-05-26 07:00:00,2593,2593,2538,2593,26129,KBS
2020-05-27 07:00:00,2593,2593,2538,2593,29100,KBS
2020-05-28 07:00:00,2593,2593,2483,2483,35630,KBS
2020-05-29 07:00:00,2538,2593,2483,2593,38000,KBS
2020-06-01 07:00:00,2593,2814,2593,2814,45211,KBS
2020-06-02 07:00:00,2814,3090,2759,2980,70600,KBS
2020-06-03 07:00:00,3035,3090,2869,2980,31077,KBS
2020-06-04 07:00:00,2980,3035,2759,2925,37557,KBS
2020-06-05 07:00:00,2925,3035,2814,2925,42200,KBS
2020-06-08 07:00:00,3145,3145,2925,3035,52310,KBS
2020-06-09 07:00:00,2980,3035,2869,2980,12300,KBS
2020-06-10 07:00:00,2925,3035,2814,3035,58800,KBS
2020-06-11 07:00:00,3035,3035,2869,3035,27400,KBS
2020-06-12 07:00:00,2980,3035,2869,3035,18500,KBS
2020-06-15 07:00:00,2869,2980,2869,2980,14232,KBS
2020-06-16 07:00:00,2925,2925,2814,2869,49867,KBS
2020-06-17 07:00:00,2925,2925,2814,2869,23100,KBS
2020-06-18 07:00:00,2869,2869,2814,2814,13449,KBS
2020-06-19 07:00:00,2759,2814,2759,2759,26300,KBS
2020-06-22 07:00:00,2759,2869,2759,2814,4231,KBS
2020-06-23 07:00:00,2814,2925,2814,2869,25816,KBS
2020-06-24 07:00:00,3145,3145,2814,2869,2774,KBS
2020-06-25 07:00:00,2869,2925,2869,2869,5100,KBS
2020-06-26 07:00:00,2814,2869,2759,2869,4000,KBS
2020-06-29 07:00:00,2704,2814,2704,2814,3800,KBS
2020-06-30 07:00:00,2925,2925,2759,2814,1900,KBS
2020-07-01 07:00:00,2814,2869,2704,2814,11700,KBS
2020-07-02 07:00:00,2814,2814,2814,2814,98,KBS
2020-07-03 07:00:00,2869,2869,2869,2869,2001,KBS
2020-07-06 07:00:00,2704,2869,2704,2869,500,KBS
2020-07-07 07:00:00,2814,2814,2759,2814,12096,KBS
2020-07-08 07:00:00,2759,2814,2704,2814,10558,KBS
2020-07-09 07:00:00,2759,2814,2759,2814,1450,KBS
2020-07-10 07:00:00,2759,2814,2759,2814,7410,KBS
2020-07-13 07:00:00,2704,2814,2704,2814,4558,KBS
2020-07-14 07:00:00,2759,2759,2759,2759,3840,KBS
2020-07-15 07:00:00,2759,2759,2759,2759,10640,KBS
2020-07-16 07:00:00,2759,2759,2704,2759,8800,KBS
2020-07-17 07:00:00,2704,2869,2704,2759,24056,KBS
2020-07-20 07:00:00,2759,2814,2759,2814,5500,KBS
2020-07-21 07:00:00,2759,2814,2704,2814,7770,KBS
2020-07-22 07:00:00,2759,2814,2704,2814,14800,KBS
2020-07-23 07:00:00,2759,2814,2759,2759,2700,KBS
2020-07-24 07:00:00,2649,2759,2593,2704,6400,KBS
2020-07-27 07:00:00,2649,2649,2483,2483,9250,KBS
2020-07-28 07:00:00,2318,2704,2262,2704,15300,KBS
2020-07-29 07:00:00,2649,2649,2483,2649,7080,KBS
2020-07-30 07:00:00,2593,2649,2593,2649,5722,KBS
2020-07-31 07:00:00,2483,2593,2428,2593,11500,KBS
2020-08-03 07:00:00,2483,2483,2373,2428,26400,KBS
2020-08-04 07:00:00,2428,2483,2373,2428,4100,KBS
2020-08-05 07:00:00,2649,2649,2649,2649,1160,KBS
2020-08-06 07:00:00,2704,2704,2649,2649,5800,KBS
2020-08-07 07:00:00,2759,2759,2759,2759,500,KBS
2020-08-10 07:00:00,2759,2759,2759,2759,100,KBS
2020-08-11 07:00:00,2538,2593,2538,2593,8910,KBS
2020-08-12 07:00:00,2593,2593,2538,2593,800,KBS
2020-08-13 07:00:00,2593,2649,2538,2593,8600,KBS
2020-08-14 07:00:00,2538,2649,2538,2649,9050,KBS
2020-08-17 07:00:00,2593,2649,2593,2649,7500,KBS
2020-08-18 07:00:00,2538,2649,2538,2593,1500,KBS
2020-08-19 07:00:00,2538,2649,2538,2649,20400,KBS
2020-08-20 07:00:00,2649,2649,2649,2649,15,KBS
2020-08-21 07:00:00,2649,2704,2538,2649,2900,KBS
2020-08-24 07:00:00,2538,2649,2538,2649,6600,KBS
2020-08-25 07:00:00,2649,2649,2649,2649,226,KBS
2020-08-26 07:00:00,2649,2704,2593,2704,5004,KBS
2020-08-27 07:00:00,2704,2925,2704,2925,238932,KBS
2020-08-28 07:00:00,3090,3090,2980,3035,68121,KBS
2020-08-31 07:00:00,2814,3035,2814,2925,13050,KBS
2020-09-01 07:00:00,2869,3035,2649,2925,111340,KBS
