date,open,high,low,close,volume,_source
2020-01-02 07:00:00,6076,6076,6076,6076,1500,KBS
2020-01-06 07:00:00,6490,6490,6490,6490,10,KBS
2020-01-07 07:00:00,6927,6927,6927,6927,10,KBS
2020-01-09 07:00:00,6903,7389,6903,7389,50,KBS
2020-01-10 07:00:00,7899,7899,7899,7899,10,KBS
2020-01-15 07:00:00,7899,8434,7899,8434,330,KBS
2020-01-16 07:00:00,9017,9017,9017,9017,10,KBS
2020-01-17 07:00:00,9236,9236,9236,9236,20,KBS
2020-01-20 07:00:00,9236,9236,9236,9236,260,KBS
2020-01-22 07:00:00,8604,9090,8604,9090,20,KBS
2020-01-30 07:00:00,9090,9090,8750,8750,3450,KBS
2020-01-31 07:00:00,8167,8167,8167,8167,7000,KBS
2020-02-03 07:00:00,8167,8167,7875,7875,10000,KBS
2020-02-04 07:00:00,8167,8167,8167,8167,3000,KBS
2020-02-05 07:00:00,8726,8726,8726,8726,1830,KBS
2020-02-06 07:00:00,9333,9333,9333,9333,21960,KBS
2020-02-07 07:00:00,9965,9965,9965,9965,1480,KBS
2020-02-10 07:00:00,10646,10646,10646,10646,28470,KBS
2020-02-11 07:00:00,10597,10597,9917,9917,11230,KBS
2020-02-12 07:00:00,9965,9965,9965,9965,100,KBS
2020-02-13 07:00:00,9333,10208,9333,10208,850,KBS
2020-02-14 07:00:00,10111,10208,10111,10208,3570,KBS
2020-02-17 07:00:00,10208,10208,9722,9722,1300,KBS
2020-02-18 07:00:00,9236,10038,9236,10038,500,KBS
2020-02-19 07:00:00,10014,10111,10014,10111,3160,KBS
2020-02-20 07:00:00,10111,10451,10111,10451,5880,KBS
2020-02-21 07:00:00,10451,10451,9965,9965,580,KBS
2020-02-24 07:00:00,10160,10208,9285,9285,7500,KBS
2020-02-25 07:00:00,9722,9722,8750,8750,6020,KBS
2020-02-26 07:00:00,9333,9358,8142,8142,3480,KBS
2020-02-27 07:00:00,8142,8264,8142,8264,4470,KBS
2020-02-28 07:00:00,8823,8823,8799,8799,20,KBS
2020-03-02 07:00:00,9406,9406,9236,9236,40,KBS
2020-03-03 07:00:00,9406,9406,8750,8750,1200,KBS
2020-03-04 07:00:00,9358,9358,9358,9358,20,KBS
2020-03-05 07:00:00,9358,9358,9358,9358,700,KBS
2020-03-06 07:00:00,9990,9990,8750,8750,20,KBS
2020-03-09 07:00:00,9358,9358,9358,9358,1020,KBS
2020-03-10 07:00:00,8726,9358,8726,9358,1780,KBS
2020-03-11 07:00:00,9990,9990,8993,8993,490,KBS
2020-03-12 07:00:00,8993,8993,8385,8385,2100,KBS
2020-03-13 07:00:00,8969,8969,8264,8264,2140,KBS
2020-03-16 07:00:00,8823,8823,8069,8069,40,KBS
2020-03-17 07:00:00,8628,8628,8628,8628,10,KBS
2020-03-18 07:00:00,9212,9212,9212,9212,210,KBS
2020-03-19 07:00:00,9844,9844,8750,8750,40,KBS
2020-03-20 07:00:00,9358,9358,8507,8507,20,KBS
2020-03-23 07:00:00,9090,9090,8264,8264,1590,KBS
2020-03-25 07:00:00,8823,8823,8823,8823,10,KBS
2020-03-26 07:00:00,9430,9430,9430,9430,10,KBS
2020-03-27 07:00:00,9430,10087,9236,9260,1090,KBS
2020-03-30 07:00:00,9892,9892,8653,8653,210,KBS
2020-03-31 07:00:00,9236,9236,9236,9236,10,KBS
2020-04-01 07:00:00,9868,9868,9819,9819,20,KBS
2020-04-03 07:00:00,9236,9236,9236,9236,50,KBS
2020-04-06 07:00:00,9868,9868,9868,9868,310,KBS
2020-04-07 07:00:00,9868,9868,9868,9868,2040,KBS
2020-04-09 07:00:00,9187,9187,9187,9187,110,KBS
2020-04-10 07:00:00,9819,9819,8750,8799,2570,KBS
2020-04-13 07:00:00,8799,8799,8215,8215,2920,KBS
2020-04-14 07:00:00,8774,8774,8774,8774,260,KBS
2020-04-15 07:00:00,9382,9382,8264,8264,170,KBS
2020-04-16 07:00:00,8823,8823,8021,8021,620,KBS
2020-04-17 07:00:00,8580,8580,7778,7778,740,KBS
2020-04-20 07:00:00,8312,8312,8312,8312,740,KBS
2020-04-21 07:00:00,8871,8871,7875,7875,1370,KBS
2020-04-22 07:00:00,8312,8410,8021,8021,1410,KBS
2020-04-23 07:00:00,8580,8580,8021,8021,1490,KBS
2020-04-24 07:00:00,8580,8580,8580,8580,78260,KBS
2020-04-27 07:00:00,9163,9163,9163,9163,720,KBS
2020-04-29 07:00:00,9795,9795,9795,9795,10,KBS
2020-05-04 07:00:00,9236,9236,9236,9236,90,KBS
2020-05-05 07:00:00,9430,9479,9430,9479,2010,KBS
2020-05-06 07:00:00,9722,9722,9722,9722,550,KBS
2020-05-07 07:00:00,10208,10208,9042,9042,7690,KBS
2020-05-08 07:00:00,8750,8750,8750,8750,10,KBS
2020-05-11 07:00:00,8750,8264,8264,8264,10,KBS
2020-05-12 07:00:00,8823,8823,8823,8823,60,KBS
2020-05-13 07:00:00,8993,8993,8993,8993,10,KBS
2020-05-18 07:00:00,8993,8993,8993,8993,10,KBS
2020-05-19 07:00:00,8993,8993,8750,8750,1790,KBS
2020-05-20 07:00:00,8507,9358,8264,9358,8280,KBS
2020-05-22 07:00:00,8726,8726,8726,8726,10,KBS
2020-05-25 07:00:00,8118,8118,8118,8118,10,KBS
2020-05-26 07:00:00,7778,8677,7778,8677,810,KBS
2020-05-27 07:00:00,9260,9260,8167,8167,1310,KBS
2020-05-29 07:00:00,8167,8167,8167,8167,110,KBS
2020-06-01 07:00:00,8726,8726,8726,8726,350,KBS
2020-06-02 07:00:00,9333,9333,9333,9333,200,KBS
2020-06-04 07:00:00,9868,9965,8847,8847,680,KBS
2020-06-08 07:00:00,9097,9097,9097,9097,60,KBS
2020-06-10 07:00:00,9447,9447,9447,9447,600,KBS
2020-06-12 07:00:00,8997,8997,8997,8997,130,KBS
2020-06-16 07:00:00,8997,9622,8372,9622,141710,KBS
2020-06-17 07:00:00,10272,10272,10147,10272,37340,KBS
2020-06-18 07:00:00,10272,10971,9997,10971,19120,KBS
2020-06-19 07:00:00,10247,11396,10247,11396,5330,KBS
2020-06-23 07:00:00,10622,10622,10622,10622,300,KBS
2020-06-24 07:00:00,9997,9997,9997,9997,20,KBS
2020-06-30 07:00:00,9997,10497,9997,9997,3290,KBS
2020-07-01 07:00:00,10247,10247,10247,10247,20,KBS
2020-07-03 07:00:00,9997,9997,9997,9997,30,KBS
2020-07-06 07:00:00,10697,10697,10497,10497,25040,KBS
2020-07-08 07:00:00,10497,10497,10497,10497,500,KBS
2020-07-13 07:00:00,10996,10996,10996,10996,5500,KBS
2020-07-16 07:00:00,11046,11746,11046,11746,24170,KBS
2020-07-17 07:00:00,10996,10996,10996,10996,10,KBS
2020-07-21 07:00:00,10497,10497,10497,10497,10,KBS
2020-07-22 07:00:00,10747,10996,10747,10996,510,KBS
2020-07-27 07:00:00,10247,10297,10247,10297,12520,KBS
2020-07-28 07:00:00,9647,10996,9647,10996,30,KBS
2020-07-29 07:00:00,10247,10247,10247,10247,10,KBS
2020-08-06 07:00:00,10247,10247,10247,10247,510,KBS
2020-08-07 07:00:00,10497,10497,10497,10497,200,KBS
2020-08-10 07:00:00,10797,11146,10747,11046,4830,KBS
2020-08-17 07:00:00,11408,11408,11408,11408,300,KBS
2020-08-19 07:00:00,10633,10633,10633,10633,10,KBS
2020-08-20 07:00:00,11356,11356,11356,11356,290,KBS
2020-08-26 07:00:00,11614,11614,11614,11614,10,KBS
2020-08-28 07:00:00,10814,11150,10814,11150,24600,KBS
2020-09-01 07:00:00,11150,11150,11150,11150,120,KBS
2020-09-03 07:00:00,11150,11150,11150,11150,1000,KBS
2020-09-07 07:00:00,11201,11201,11150,11150,21850,KBS
2020-09-10 07:00:00,10375,11459,10375,11356,1910,KBS
2020-09-11 07:00:00,11356,11356,11356,11356,120,KBS
2020-09-21 07:00:00,11356,11356,11356,11356,1600,KBS
2020-09-22 07:00:00,10840,10840,10840,10840,10,KBS
2020-09-23 07:00:00,11511,11511,11511,11511,830,KBS
2020-09-29 07:00:00,11356,11872,11356,11872,780,KBS
2020-09-30 07:00:00,11872,11872,11872,11872,20,KBS
2020-10-05 07:00:00,11046,11046,11046,11046,10,KBS
2020-10-06 07:00:00,11046,11046,11046,11046,50,KBS
2020-10-09 07:00:00,11614,11614,11614,11614,500,KBS
2020-10-27 07:00:00,10840,10840,10840,10840,400,KBS
2020-10-28 07:00:00,11588,11588,11588,11588,70,KBS
2020-11-04 07:00:00,12389,12389,12389,12389,100,KBS
2020-11-09 07:00:00,11537,13240,11537,13240,38710,KBS
2020-11-10 07:00:00,13369,13369,13369,13369,10,KBS
2020-11-11 07:00:00,12440,12440,12440,12440,500,KBS
2020-11-12 07:00:00,11614,13266,11614,13266,1700,KBS
2020-11-16 07:00:00,12363,12363,12363,12363,10,KBS
2020-11-17 07:00:00,11511,11511,11511,11511,850,KBS
2020-11-18 07:00:00,10840,10840,10840,10840,30,KBS
2020-11-19 07:00:00,11253,11253,11253,11253,10,KBS
2020-11-20 07:00:00,11305,11305,10479,10479,690,KBS
2020-11-23 07:00:00,10324,10324,10324,10324,1200,KBS
2020-11-24 07:00:00,10324,10324,10324,10324,500,KBS
2020-11-25 07:00:00,10324,10324,10324,10324,400,KBS
2020-11-26 07:00:00,9601,10737,9601,10737,30,KBS
2020-12-01 07:00:00,9988,9988,9988,9988,40,KBS
2020-12-07 07:00:00,10375,10685,10375,10685,130,KBS
2020-12-08 07:00:00,10814,10840,10814,10840,820,KBS
