date,open,high,low,close,volume,_source
2020-01-02 07:00:00,2426,2462,2390,2426,29300,KBS
2020-01-03 07:00:00,2462,2462,2390,2426,25700,KBS
2020-01-06 07:00:00,2426,2426,2426,2426,840,KBS
2020-01-07 07:00:00,2426,2462,2426,2462,2100,KBS
2020-01-08 07:00:00,2426,2462,2426,2462,4800,KBS
2020-01-09 07:00:00,2462,2462,2426,2462,900,KBS
2020-01-13 07:00:00,2426,2426,2426,2426,4300,KBS
2020-01-14 07:00:00,2462,2462,2390,2462,900,KBS
2020-01-16 07:00:00,2462,2571,2462,2571,7124,KBS
2020-01-17 07:00:00,2607,2607,2607,2607,600,KBS
2020-01-20 07:00:00,2607,2861,2607,2861,30580,KBS
2020-01-21 07:00:00,3114,3114,3114,3114,4200,KBS
2020-01-22 07:00:00,3404,3404,3150,3259,161572,KBS
2020-01-30 07:00:00,3187,3332,3114,3332,23800,KBS
2020-01-31 07:00:00,3187,3295,3114,3259,52813,KBS
2020-02-03 07:00:00,3078,3223,2969,3114,40328,KBS
2020-02-04 07:00:00,3223,3332,3223,3223,67650,KBS
2020-02-05 07:00:00,3259,3513,3223,3513,91378,KBS
2020-02-06 07:00:00,3694,3838,3694,3694,64220,KBS
2020-02-07 07:00:00,3694,3875,3694,3838,20708,KBS
2020-02-10 07:00:00,3838,3875,3621,3875,53400,KBS
2020-02-11 07:00:00,3911,4237,3838,4237,102438,KBS
2020-02-12 07:00:00,4201,4635,4201,4635,127728,KBS
2020-02-13 07:00:00,4780,4889,4454,4635,37880,KBS
2020-02-14 07:00:00,4563,4599,4201,4345,156826,KBS
2020-02-17 07:00:00,4201,4780,4128,4599,102182,KBS
2020-02-18 07:00:00,4599,4599,4237,4527,39290,KBS
2020-02-19 07:00:00,4527,4527,4273,4418,46600,KBS
2020-02-20 07:00:00,4382,4599,4237,4382,66650,KBS
2020-02-21 07:00:00,4635,4780,4454,4599,65910,KBS
2020-02-24 07:00:00,4563,4599,4273,4309,64300,KBS
2020-02-25 07:00:00,4273,4708,4237,4708,74640,KBS
2020-02-26 07:00:00,4708,4708,4237,4309,55728,KBS
2020-02-27 07:00:00,4345,4527,4345,4527,47100,KBS
