date,open,high,low,close,volume,_source
2020-01-02 07:00:00,7360,7600,7280,7360,1933112,KBS
2020-01-03 07:00:00,7360,7520,7200,7360,1844620,KBS
2020-01-06 07:00:00,7440,7520,7200,7360,1215110,KBS
2020-01-07 07:00:00,7360,7520,7200,7280,1619601,KBS
2020-01-08 07:00:00,7360,7440,7200,7360,1511864,KBS
2020-01-09 07:00:00,7360,7440,7200,7440,2668100,KBS
2020-01-10 07:00:00,7440,7520,7200,7360,1712600,KBS
2020-01-13 07:00:00,7440,8080,7200,7360,1708300,KBS
2020-01-14 07:00:00,7440,7440,7200,7360,1845600,KBS
2020-01-15 07:00:00,7360,7440,7200,7360,1498901,KBS
2020-01-16 07:00:00,7360,8080,7200,7360,1887300,KBS
2020-01-17 07:00:00,7360,8080,7200,7360,1735800,KBS
2020-01-20 07:00:00,7360,7440,7120,7360,1959200,KBS
2020-01-21 07:00:00,7360,7440,7120,7360,1928600,KBS
2020-01-22 07:00:00,7360,7360,7120,7200,2277000,KBS
2020-01-30 07:00:00,7200,7280,7120,7280,410700,KBS
2020-01-31 07:00:00,7280,7360,7120,7200,1381200,KBS
2020-02-03 07:00:00,7200,7200,7040,7200,1431701,KBS
2020-02-04 07:00:00,7200,7200,7040,7200,2409802,KBS
2020-02-05 07:00:00,7200,7280,7040,7280,2527100,KBS
2020-02-06 07:00:00,7280,7360,7280,7360,1626317,KBS
2020-02-07 07:00:00,7360,7440,7200,7200,2588610,KBS
2020-02-10 07:00:00,7200,7280,7040,7200,2459456,KBS
2020-02-11 07:00:00,7040,7280,7040,7200,1989212,KBS
2020-02-12 07:00:00,7200,7280,7040,7280,2979410,KBS
2020-02-13 07:00:00,7200,7360,7040,7200,2529210,KBS
2020-02-14 07:00:00,7200,7280,6960,7200,2219600,KBS
2020-02-17 07:00:00,7200,7280,6960,7120,2258510,KBS
2020-02-18 07:00:00,7120,7200,6960,7120,1954800,KBS
2020-02-19 07:00:00,7120,7200,6960,7040,2117800,KBS
2020-02-20 07:00:00,7040,7200,6960,7120,1948026,KBS
2020-02-21 07:00:00,7120,7200,6960,7120,3018811,KBS
2020-02-24 07:00:00,7120,7120,6560,7120,1069400,KBS
