date,open,high,low,close,volume,_source
2020-01-02 07:00:00,3490,3510,3480,3510,316170,KBS
2020-01-03 07:00:00,3480,3520,3480,3500,364850,KBS
2020-01-06 07:00:00,3500,3570,3500,3530,451140,KBS
2020-01-07 07:00:00,3560,3560,3500,3520,395530,KBS
2020-01-08 07:00:00,3510,3590,3500,3540,2939580,KBS
2020-01-09 07:00:00,3540,3550,3540,3550,247530,KBS
2020-01-10 07:00:00,3560,3660,3560,3650,508400,KBS
2020-01-13 07:00:00,3650,3650,3530,3530,35960,KBS
2020-01-14 07:00:00,3530,3600,3530,3570,121220,KBS
2020-01-15 07:00:00,3510,3570,3510,3560,107560,KBS
2020-01-16 07:00:00,3540,3550,3490,3490,425690,KBS
2020-01-17 07:00:00,3490,3520,3470,3490,543930,KBS
2020-01-20 07:00:00,3490,3550,3490,3500,75350,KBS
2020-01-21 07:00:00,3500,3550,3500,3550,290430,KBS
2020-01-22 07:00:00,3550,3640,3520,3630,336630,KBS
2020-01-30 07:00:00,3630,3630,3580,3600,206850,KBS
2020-01-31 07:00:00,3600,3600,3350,3350,355500,KBS
2020-02-03 07:00:00,3330,3460,3300,3460,3022790,KBS
2020-02-04 07:00:00,3480,3490,3400,3430,613260,KBS
2020-02-05 07:00:00,3500,3500,3350,3420,237000,KBS
2020-02-06 07:00:00,3400,3430,3350,3430,266070,KBS
2020-02-07 07:00:00,3450,3450,3410,3430,130390,KBS
2020-02-10 07:00:00,3400,3400,3250,3390,180750,KBS
2020-02-11 07:00:00,3390,3390,3250,3380,532280,KBS
2020-02-12 07:00:00,3390,3400,3330,3380,776620,KBS
2020-02-13 07:00:00,3330,3440,3330,3400,156540,KBS
2020-02-14 07:00:00,3450,3590,3450,3540,1008720,KBS
2020-02-17 07:00:00,3540,3630,3540,3550,462620,KBS
2020-02-18 07:00:00,3590,3650,3550,3560,389520,KBS
2020-02-19 07:00:00,3560,3590,3510,3540,183670,KBS
2020-02-20 07:00:00,3550,3600,3520,3530,306440,KBS
2020-02-21 07:00:00,3520,3540,3430,3470,284760,KBS
2020-02-24 07:00:00,3400,3400,3270,3270,576710,KBS
2020-02-25 07:00:00,3270,3330,3170,3330,362190,KBS
2020-02-26 07:00:00,3220,3300,3180,3210,212950,KBS
2020-02-27 07:00:00,3210,3280,3210,3270,482480,KBS
2020-02-28 07:00:00,3240,3300,3100,3300,698350,KBS
2020-03-02 07:00:00,3300,3470,3200,3410,575380,KBS
2020-03-03 07:00:00,3490,3520,3400,3410,708130,KBS
2020-03-04 07:00:00,3400,3450,3360,3390,551670,KBS
2020-03-05 07:00:00,3390,3430,3350,3390,389490,KBS
2020-03-06 07:00:00,3380,3390,3330,3390,166500,KBS
2020-03-09 07:00:00,3300,3300,3160,3160,943170,KBS
2020-03-10 07:00:00,3000,3230,3000,3200,343550,KBS
2020-03-11 07:00:00,3200,3220,2980,3110,587080,KBS
